""	PC1	PC2
HILPDA	0.0375948614265626	0.051033619833888
ADM	0.093534058620288	0.0405993238782069
DDIT3	0.0324311594609978	0.00945230470622574
NDRG1	0.0805951951385282	0.0121665084328856
HERPUD1	0.0572972712266962	-0.0687852377371226
DNAJB9	0.022784830385837	0.0167984595750388
TRIB3	0.0298201280396539	0.0361144560364186
ENO2	0.00611992879948496	0.0600009478806656
AKAP12	0.0498519391199673	0.0853579897722864
SQSTM1	0.0835302340337215	0.0403804070498176
ATF3	0.0874788176479574	0.0185330076089185
NRN1	0.0454687938138146	0.0822729093461488
SLC2A1	0.0445320875156371	0.0578952450033615
BNIP3	0.0196223146909966	0.0881900050727741
INSIG2	0.0250541030294691	0.0352799488113581
IGFBP3	0.0547069629293424	0.0775697561676464
PPP1R15A	0.0685834910498945	-0.0140643295709375
PLOD2	0.0519908879703925	0.126795241907564
GBE1	0.0333178600182439	0.0515452473175552
SLC2A3	0.0901826295643286	-0.00741369307492196
FTL	0.0853795002911568	-0.102489414606526
WARS	0.0426104152152478	0.0457121455919757
ERO1L	0.0761797429744341	0.0201578216868081
XPOT	0.0158241761661998	0.0682548933618303
HSPA5	0.0382426657297311	0.0686608812205842
GDF15	0.0419717780484825	0.0339677444680818
EPAS1	0.0969974682211645	0.10568721517941
LDHA	0.0690094195616111	0.0819690997964132
P4HA1	0.0825577962408291	0.0453653935852221
SERTAD1	0.0697340846903006	0.0450704096090608
PFKP	0.0482317138017986	0.0807095360877634
PGK1	0.0618504331954499	0.0516792979310547
EGLN3	0.0394621585639369	0.0396747100542821
SLC6A6	0.0417965626352825	-0.0281323560231916
CA9	0.0703498694885695	0.0370419463053404
BNIP3L	0.0299246016131169	0.0293044910687963
RPL21	0.0191153552625293	-0.0154128987463787
TRAM1	0.0561731315180462	0.0635426815406137
UFM1	0.00363578707284113	0.0468390677555089
ASNS	-0.0149193487001744	0.033963196900428
GOLT1B	0.0154014164631442	0.0483033734676161
ANGPTL4	0.078306649064879	0.0339034259469036
SLC39A14	0.0533355389998306	0.0778789527343265
CDKN1A	0.0860189971380115	-0.0204655529052832
HSPA9	0.0213283208775472	0.0860702329957909
CHI3L1	0.105405818997688	0.0826796886612862
ANXA2	0.127683504902961	0.077886855855183
ANXA1	0.131400675793734	0.0483056709356112
CD44	0.137034425657727	0.0287652137753449
VIM	0.131337778317455	0.135572957130762
MT2A	0.0886332365887932	0.15151312817743
C1S	0.0854531779789283	0.0884188298719988
NAMPT	0.119152859078473	0.0213384893876303
EFEMP1	0.039208926983564	0.0674541380424931
C1R	0.0988160477469269	0.118741311312422
SOD2	0.0999521233757076	0.00854629582245826
IFITM3	0.107707654124334	0.0821986594795404
TIMP1	0.0972092240209673	0.142716944603531
SPP1	0.0902477952799488	-0.0656750230153439
A2M	0.115315553765773	-0.0872162485852148
S100A11	0.144323246573685	-0.0679200802050396
MT1X	0.0834651754145013	0.0949360636476354
S100A10	0.125200359898031	0.0942723750717034
FN1	0.0864300277531564	0.0444423627689385
LGALS1	0.103300370901408	0.0833974844439011
S100A16	0.0639076512210395	0.17087635466888
CLIC1	0.123193013907356	0.0248686414944824
MGST1	0.0664758555207744	0.0615590680372625
RCAN1	0.0561847286841381	0.114990019555721
TAGLN2	0.0915677041654659	0.0964923784381277
NPC2	0.110642550495002	-0.102584507092972
SERPING1	0.0898675764492351	0.0413152300794479
C8orf4	0.0616858916202885	0.0994311548061492
EMP1	0.0983223699170487	0.136371817085717
APOE	0.106151732993863	-0.0979203103068628
CTSB	0.111020150287044	-0.0519801279239759
C3	0.103201411168502	-0.152647409548334
LGALS3	0.132855377896476	0.115624884640981
MT1E	0.0665037282019077	0.106914385088949
EMP3	0.126442060700808	0.0836269491389447
SERPINA3	0.067552534537427	0.09076428643439
ACTN1	0.0843126786209268	0.0835838426511681
PRDX6	0.042273986895632	0.108811861697302
IGFBP7	0.0579822641405095	0.0849739848748165
SERPINE1	0.0974091847960938	0.0213712426346454
PLP2	0.0929084739892657	0.056106328332414
MGP	0.0627096668651706	0.0505794121358485
CLIC4	0.0321835344730485	0.121435053081718
GFPT2	0.0228547279980312	0.0586195334688164
GSN	0.0780977219961708	-0.0628064670875633
NNMT	0.0682081313643863	0.0707555266241249
TUBA1C	0.0761920781831174	0.059508639613997
GJA1	0.0598555256771802	0.0902967758364332
TNFRSF1A	0.109752152846226	0.0445084586321549
WWTR1	0.0882871033830898	0.121922343812453
BCAN	-0.134008165077154	0.143783128334937
PLP1	-0.0666265389260952	0.0252639162117662
GPR17	-0.101990828687637	0.0290941903910409
FIBIN	-0.0414866280821784	0.134270094320859
LHFPL3	-0.127411009942105	0.071461779841396
OLIG1	-0.133107741080343	0.0938343782748593
PSAT1	-0.0558499485299059	0.100928325717993
SCRG1	-0.115358540736805	0.11352597563114
OMG	-0.0873480749464603	0.0231572394435125
APOD	-0.0947563641037807	0.0546780652058147
SIRT2	-0.0709076878942704	0.0563581962830684
TNR	-0.124239245716349	0.0416326823003577
THY1	-0.105973019704024	0.0670172397250032
PHYHIPL	-0.0867684139749064	0.0429133204524417
SOX2-OT	-0.103208731169574	0.124255179295546
NKAIN4	-0.129468706915059	0.0257075329386651
LPPR1	-0.128902104955197	0.00952515399544335
PTPRZ1	-0.0957291749512607	0.203339022296626
VCAN	-0.0750354011668257	0.107873126792702
DBI	-0.0593448095578578	0.155012355985788
PMP2	-0.0455048499525942	0.171546568471724
CNP	-0.0747950694666118	0.102846561073644
TNS3	-0.0534757610464915	-0.0116296896036954
LIMA1	-0.0976493485264172	0.112071813276021
CA10	-0.0962829563724327	0.0323144196384613
PCDHGC3	-0.0573444349606422	0.182294715914644
CNTN1	-0.127875992391791	0.0387828045118112
SCD5	-0.13688192899543	0.110291280035962
P2RX7	-0.0569877924982444	-0.0248902426206
CADM2	-0.124304087125628	0.0671971576329863
TTYH1	-0.0364174484133275	0.138840229474438
FGF12	-0.0725796009472165	0.0365203596413476
TMEM206	-0.0636626216346269	0.0361342834835824
NEU4	-0.0961235363082797	0.0400852422985628
FXYD6	-0.135211413711004	0.0964009012649414
RNF13	-0.00541476072065416	0.018363629229781
RTKN	-0.0772781783319292	0.0841584607221834
GPM6B	-0.0823326214787426	0.194074516452159
LMF1	-0.099684764103102	0.0453083552617155
ALCAM	-0.0849004849111702	-0.00803901138322958
PGRMC1	-0.0738915419860855	0.0630093033733891
HRASLS	-0.0863242178330618	0.0522846851878004
BCAS1	-0.0542674774437279	0.00215993497978592
RAB31	-0.0258023746526375	0.0854327980794183
PLLP	-0.0864616823565648	0.0496856567181312
FABP5	0.0195185888436161	0.0946584151230645
NLGN3	-0.0927597261568829	0.137651844516646
SERINC5	-0.0851417927424213	0.0394466153330925
EPB41L2	-0.0025789991698223	-0.0366970949504877
GPR37L1	-0.0194628247362103	0.120112197273939
