""	VerPN	VerNL	VerCL	VerMES
PARP1	0.422815762295481	-0.781401499565074	-0.235419392943777	-0.865239730194993
NFIB	0.760263120398687	-0.431070740769605	0.0920146847721956	-0.569188789565133
PCBP2	0.378677068070564	-0.766514719328213	-0.355852765081575	-0.831163612704049
PHF20	0.651908121871875	-0.604612387742464	-0.0178998708029697	-0.836080432550273
PHIP	0.575884130951511	-0.659619395329452	-0.180842084574395	-0.767447205843376
SMARCA4	0.605299637197729	-0.627422095885761	-0.0849064432499812	-0.86433966291418
CCDC109B	0.725774090225228	-0.551559570557404	0.0951378959046233	-0.677730109642475
C3orf14	0.341970625010277	-0.674970149612045	-0.471468308948374	-0.887414172595084
NDUFC2	0.792610129885477	-0.315939689677974	0.106135657223214	-0.695762435435228
SOGA1	0.715611747430354	-0.563662904174043	0.0822417271496957	-0.641523834393063
A2M	0.910049586609204	-0.277616152223631	0.318097493782315	-0.579310706169548
CDCA7L	0.655166886761917	-0.614266709257608	0.00695278091022701	-0.689216906634285
EWSR1	0.535440847495562	-0.560680858753082	-0.235854595762585	-0.895257201556469
TP53I13	0.489857712944288	-0.685903378477223	-0.230963216234302	-0.832794567666332
PCSK2	0.712324056913995	-0.586498238919237	0.0299212081788303	-0.837681291011185
WHSC1L1	0.681210775464504	-0.606357581423573	0.136217407148146	-0.679025326975556
CDK5RAP3	0.532653685192215	-0.656214908631352	-0.153178976579404	-0.818771196006166
LARP7	0.565072721550441	-0.554345005448463	-0.172020160614741	-0.805274619897418
SON	0.709887360091209	-0.455724363923044	-0.00314533983969042	-0.798789431378403
AMPH	0.843730297961044	-0.464552323258556	0.305732509733204	-0.546775776977877
SYNE2	0.469792238669798	-0.809138621499917	-0.228073641539586	-0.791110081138817
ZC3H13	0.704775234297077	-0.549025276364939	0.0428175831247074	-0.7731198698289
GLCE	0.733435544577	-0.576565618398661	0.0924661545841287	-0.783800887673873
NSFL1C	0.719417941580763	-0.613430575095011	0.0974462919522239	-0.747933781658665
POGZ	0.523829101066762	-0.734598384645668	-0.109383319321612	-0.660705961415988
RSRC1	0.48670353834716	-0.691318375189697	-0.280417356992274	-0.865619990321699
CCNI	0.466036303531509	-0.59053804442541	-0.342437444335529	-0.852607535620631
UBE2E3	0.856779363768987	-0.318182635917143	0.210360962662944	-0.648474638690214
CBX1	0.565342514873086	-0.575440676851061	-0.179858362282086	-0.807613516444211
NREP	0.895088019951919	-0.408498373252501	0.263543831096467	-0.667303560772644
SSX2IP	0.754600767040216	-0.444122221836616	0.111102465819215	-0.608306501827491
RDX	0.559145435081487	-0.623644035189312	-0.136526538929237	-0.796135467835966
PCBP4	0.774358442605753	-0.517286759370905	0.0788912199512549	-0.794476640287998
PUM3	0.761455035883485	-0.409323785480511	0.121876370042272	-0.63366577559089
TRIM28	0.517859965225518	-0.755916985392875	-0.202765867489064	-0.83726756905374
NKAIN3	0.889382557984371	-0.363155503347418	0.266435740167291	-0.661387083460983
POU3F2	0.761513778175014	-0.476770593657498	0.0475333616036106	-0.670850890392996
EHBP1	0.810814172358107	-0.428961214867555	0.169592836573033	-0.608799548353758
PRRT2	0.779843744326362	-0.493635290994941	0.161142395064817	-0.622633622077965
RTF1	0.824256694432363	-0.451376663631833	0.112144252955706	-0.786086292420822
TFDP2	0.87412391454072	-0.356511460699119	0.190182085386645	-0.614872156329008
AC002454.1	0.844541342183444	-0.493460087514382	0.124180715910507	-0.762699550868577
ALDH7A1	0.685078326111468	-0.498323773543624	-0.0907197982451497	-0.81843157757045
TAF15	0.605499303550055	-0.608143262190094	-0.118842432227031	-0.795930749769379
SHOX2	0.789215580977195	-0.534197798146779	0.131755619099258	-0.670101084700265
TERF1	0.858962062958653	-0.43136496803363	0.21459385666596	-0.676187566374704
HNRNPA3	0.617762944344854	-0.588966360512664	-0.10697662173882	-0.742425039405595
TRDC	0.774097574399987	-0.552256901323689	0.0304985502014924	-0.804538790999305
MPP6	0.798575222913878	-0.577435096599588	0.138247460141798	-0.746640670417923
H3F3A	0.826792038834103	-0.511928759755755	0.0976476447784079	-0.717643770166097
