""	PC1	PC2
HILPDA	-0.0164020162426653	0.0249211425378261
ADM	0.0261825973815505	0.0225727904050017
DDIT3	0.0631351429043029	0.0574432550603024
NDRG1	-0.0438862426189138	0.0460008725986805
HERPUD1	0.0908392593744253	0.00150077276726879
DNAJB9	0.0873719662444963	0.0276705847307313
TRIB3	0.0406317045026785	0.0275948983697575
ENO2	-0.0860192894888691	0.0769943502129305
AKAP12	0.00795125234256007	0.043035350269416
SQSTM1	0.0598983564722046	0.083554147176282
ATF3	0.0159128410407339	0.0897895792366959
NRN1	-0.0157755366806062	0.0813498036130402
SLC2A1	-0.0199957459312016	0.0552655501308544
BNIP3	0.040131136960701	0.0715662408873344
INSIG2	0.0275523499989045	0.0200179997059112
IGFBP3	-0.00757264391928735	0.0152697714602663
PPP1R15A	0.0145255550577815	0.0503271112926426
PLOD2	-0.0122451474852677	0.0556088174815512
GBE1	0.0543062585110948	0.0165856615345158
SLC2A3	-0.0368286710115076	0.0869725622938927
FTL	0.017491360246246	0.0798148054495212
WARS	-0.0192437661617414	0.0911556505392397
XPOT	0.0168111133138929	-0.0102155783470613
HSPA5	0.0818423377193924	0.0411271136860403
GDF15	-0.0530273682101691	0.0350220551640839
EPAS1	-0.00955846860583159	0.052936827361038
LDHA	0.0577975057789542	0.128305080118807
P4HA1	0.033499378733681	0.0405701117571938
SERTAD1	0.0778792249744435	0.10922790209301
PFKP	-0.0755746998605337	0.0316370864236541
PGK1	0.0401333933082595	0.05074857820279
EGLN3	-0.0437847308828856	0.0216428840727771
SLC6A6	0.0473426007905042	0.046946646167026
CA9	0.0118134220099675	0.0109954238104115
BNIP3L	0.0353844364459938	0.0541159370818115
RPL21	0.00835728185139971	-0.019007179264053
TRAM1	0.0108362596598173	0.0511124382499758
UFM1	0.124263753263013	-0.0207113244079659
ASNS	0.047481718925498	0.00323839146549752
GOLT1B	0.0378862037151029	0.00317739653705533
ANGPTL4	-0.00160922116226575	0.0650012789445848
SLC39A14	0.0233391234409218	0.0322516184030676
CDKN1A	-0.0432351327296412	0.0345512997402085
HSPA9	0.0289226584559687	0.0216656461481088
CHI3L1	0.00571145968494368	0.032107186619168
ANXA2	-0.147307596647099	0.120661216588708
ANXA1	-0.046407857914294	0.0715839286718079
CD44	-0.047203425514608	0.104576619320596
VIM	0.0580445760606679	0.0947281857030356
MT2A	0.101838554132293	0.0999405631344073
C1S	0.0101175831654297	0.010305776674375
NAMPT	0.0698222166466262	0.129283005796444
EFEMP1	-0.037273553522396	0.0369730400659953
C1R	-0.00877147107772305	0.0321426144417816
SOD2	0.0756618530639768	0.0629957443787163
IFITM3	-0.0868057374741328	0.104037570779454
TIMP1	0.0690865219553377	0.115871525372991
SPP1	0.022504852897355	0.057887435809126
A2M	-0.0746202315412985	0.0947231021649627
S100A11	-0.0317123754773146	0.127691492863044
MT1X	0.0677521706219345	0.0871626003765839
S100A10	-0.104056938939395	0.121358083405785
FN1	-0.0345283516724251	-0.00801148933255411
LGALS1	-0.0768776985294087	0.00592917293045509
S100A16	-0.0056207737488463	0.0869499211659495
CLIC1	-0.104683834045882	0.0843450470611875
MGST1	0.0106592148721236	0.0156722330348165
RCAN1	-0.0126666669720469	0.0778412501469474
