""	PC1	PC2
ACSL1	0.0296189716168212	0.00426521807702306
ADAM12	-0.145419615319169	-0.151288909035277
ALDH3B1	0.0619629463071233	-0.0377884691438374
ALOX5	-0.0131984504317177	-0.000180390670304842
AMPD3	0.00126432134841551	0.00905139637223457
ANXA1	0.067474696420142	-0.0783550810749061
ANXA2	0.188962105547961	-0.0779351441463232
ANXA4	-0.0204305630796604	-0.0626283605050081
ARHGAP29	-0.110011423188653	-0.0235279830974579
ARPC1B	0.0473753619286413	-0.0704470860168524
ARSJ	0.0482813440040963	-0.0325904135043177
ASL	0.0540081825927609	-0.00453352304878484
BDKRB2	0.00244908237253606	0.00525462176158417
BLVRB	0.0689268417425078	-0.0912282948276002
BNC2	-0.00365398183126391	-0.0301753690408562
C1orf54	0.116875213160985	-0.051782843547754
C5AR1	-0.0334591821275789	-0.0806831854577816
CASP1	-0.0190550246292538	-0.0322497856633536
CASP4	0.0108275982309908	-0.02657752661128
CASP5	-0.00593841755779777	-0.00690124402595288
CASP8	-0.0309051181133782	-0.0434890381845967
CAST	0.0113069195216394	-0.171871184588048
CAVIN1	0.135290148893065	0.0219015816142535
CD14	-0.0178884940070006	-0.0462060786722254
CD2AP	-0.0793130136678177	-0.0297792576531034
CD4	0.0127953576834206	0.00422187571553449
CDCP1	-0.0107337524225952	-0.000619951894846297
CEBPB	-0.0889761548938025	-0.124465426465861
CHI3L1	0.00549528577981608	-0.0247111985406719
CLCF1	-0.0283239164501758	-0.109467920432377
CLEC2B	0.0418970238740023	-0.0939696784622716
CLIC1	0.134712653489043	-0.0476483833489686
CNN2	0.0541708353258919	-0.0143293407903192
COL1A1	-0.00296888785180366	0.00698111399112846
COL5A1	0.0821820032718695	-0.0489894398308533
COL8A2	0.00350872307775371	-0.0204396052781302
COLGALT1	0.0191230822144428	0.023335272890923
COPZ2	-0.0507840585273292	-0.0299355384801617
CPQ	0.0975518831867392	-0.0161249155657293
CRYBG1	-0.0987115391949143	-0.00942302295251595
CSTA	0.0147656783718525	-0.00324915978364748
CTSB	0.137594919757269	-0.15395518776907
CTSC	-0.0882411497163953	-0.16794130647157
CTSZ	-0.0123833397432428	-0.00202658186399331
CYBRD1	0.0192323798308883	0.0248174240172014
CYTH4	-0.00492655233365056	-0.00415178674177982
CYTIP	-0.00559279153754061	0.00746404095986466
DAB2	-0.0323813315010363	-0.0721602481693787
DCBLD2	0.0508220393938257	-0.0203247253679599
DOK3	-0.0130517183887411	-0.0232778894747112
DRAM1	0.0130836581078889	-0.00730022587777062
DSC2	-0.0175043359591042	-0.0276715618895853
DSE	0.0132522943501374	0.0172425289852907
EFEMP2	0.171693567033874	-0.04074740455008
EHD2	0.0139085607478442	-0.0841565051916543
ELF4	-0.00555529103616735	-0.014223087238607
EMP3	0.199190934185385	-0.0395585858599851
ENG	0.135416870627585	-0.0512253626753324
FCGR2A	-0.0553141994012769	0.0480857414258255
FCGR2B	0.00334335650012018	-0.00715657296852074
FES	0.000429355890899085	0.00740040945133702
FHL2	-0.0398511128045206	-0.0575100464729976
FHOD1	-0.00950037355575743	0.0233307919846401
FMNL1	0.00154593357016461	-0.00522091261834026
FNDC3B	0.0234761658756529	-0.0456432127418057
FPR3	-0.00294482665510916	0.0143100243520646
FURIN	0.0273515358669805	-0.0688112372776551
FXYD5	0.115058026437211	-0.0169236603240995
GCNT1	0.0108808048166871	-0.0101310130146233
GNA15	0.00071971873458755	0.00966626933205788
GRN	0.0555332486705898	-0.052787637832031
HEXA	0.0771321470492776	-0.0155007161569548
HEXB	0.0691275747480475	-0.106630380368291
HFE	0.0362298213314622	0.00429731136385599
HK3	-0.00532111977362117	0.00932505554987728
ICAM3	-0.095887472347371	-0.0267337166023831
IFI30	0.000184085082672956	-0.00519685176521929
IGFBP6	0.140616598490387	-0.0441673693281536
IL15RA	0.00748046627218282	-0.0595051530446378
IL1R1	-0.0252156032274894	-0.147889255721966
IL4R	-0.00699369944835084	-0.0198493526605434
IQGAP1	0.0447096770829477	-0.0274485315049966
ITGA4	-0.0179839780010913	-0.0472716832056622
ITGA5	0.0324523207988388	-0.118151188687668
ITGAM	0.00578793853313005	-0.00272603938013816
ITGB2	0.00292084098545109	-0.0104894644672567
KYNU	0.00294009697537291	0.00123586365461865
LAIR1	-0.00900183493633422	-0.0223195800619268
LAMB1	0.0792519881129491	-0.103163770268521
LAPTM5	0.000706319094840825	0.000351516649640499
LCP1	-0.033265948961065	0.0217751732364437
LCP2	-0.0206873257484027	-0.0246731072325403
LGALS1	0.0951920694317887	0.00830144702011483
LGALS3	0.0834052363434254	-0.092844018507939
LHFPL2	-0.053703554251494	-0.0275124041299076
LILRB2	-0.00387154110143911	-0.0210337998577804
LILRB3	-0.00282664413672325	0.00440592600305927
LOX	-0.00599999046868675	0.0131719775401602
LRRFIP1	-0.0202070684577964	-0.0011472923296766
LTBP1	-0.0383881132819795	-0.113900446132321
LTBP2	-0.0310873836609579	0.00322677798168414
LY75	-0.020032048979483	-0.00332891032603554
LY96	-0.0249548314310598	-0.0959713909590003
MAFB	0.0210547608290966	-0.00718344069076501
MAN1A1	0.00222043992195322	-0.0503729678111627
MAN2A1	-0.0874017926101113	-0.201490093363656
MAN2B1	0.00556497560277493	0.00641797635906869
MAPK13	-0.0194969553615145	-0.0121988099675971
MCUB	0.116898013320519	-0.0956496051700771
MFSD1	-0.00736019732134967	-0.0537855671569553
MGAT1	-0.0228264356296074	-0.0331621960949419
MGST2	0.144134035848184	0.00194661228532343
MRC2	0.0579202316337558	-0.0835423085168713
MSR1	-0.00521487843453423	0.0106018758598551
MVP	-0.0620665257480594	-0.121431173641632
MYH9	-0.00936139343874468	-0.0083807858850578
MYO1F	0.0136574413790808	-0.00272376090972962
MYOF	-0.00752610689762019	-0.115524418553507
NCF2	-0.00851365622070166	0.0108342354895033
NCF4	0.00547203743144231	-0.00128803035955038
NOD2	0.0107581374070184	0.00974934180436603
NPC2	0.00688265935390703	-0.0896185076742336
NRP1	-0.0669284236105974	-0.14115327953991
P4HA2	0.016668904994232	-0.111039299711605
PDPN	0.164496462234783	-0.085790329059755
PHF11	-0.133035417662792	-0.0709050614510309
PIGP	0.0910816892172331	0.0205619721112191
PLA2G15	0.0135858828135393	-0.00192513526029455
PLAU	0.00915476682216036	-0.0358031509696706
PLAUR	-0.0481757042012425	-0.140996283015625
PLBD1	-0.0424639587065115	-0.00761231580814447
PLK3	-0.00669110354815979	-0.0494271548749542
PLS3	0.0516047259242864	-0.146797939726939
POLD4	-0.0314304333334915	-0.0916471418734777
PROCR	0.0520296952045876	-0.0249596542725141
PTGER4	-0.00728533168682114	-0.00216712893980425
PTPN22	-0.00436739778855867	-0.00357472395227375
PTPN6	0.0186390565533178	0.00940200588568512
PYGL	0.0639578210378181	-0.000996769009612708
RAB11FIP1	-0.0466392820189253	-0.0319011008527321
RAB27A	0.00891007040811472	-0.0581219990208533
RAB32	0.0218435380089658	-0.0349608762931028
RABGAP1L	-0.0635996859821938	0.00850225470415716
RAC2	-0.00553775724714916	-0.00829263440083596
RBKS	0.0135847931514548	-0.012552087522729
RBM47	0.0353259113281737	-0.0653314832859906
RBMS1	-0.0732280567341851	-0.129288512597418
RELB	-0.00530438841786144	-0.0417642267139764
RHOG	0.00171186216805639	-0.0215924222174079
RRAS	0.112987460200436	-0.0610626802289034
RUNX2	0.0230681277460721	-0.106788160857466
S100A11	0.0624328653508769	-0.146166893687028
S100A13	0.0181252975385084	-0.0749600894752429
S100A4	0.0530683604496417	0.00746702385268973
SAT1	-0.0168280914011206	0.00240014853320361
SCPEP1	0.0676697395272269	-0.0813450504243614
SEC24D	-0.0464969749063889	-0.012900037964336
SERPINA1	0.00596303605095731	-0.0185768937928125
SERPINE1	0.0249017176211915	-0.074716789354298
SFT2D2	-0.0803370921599349	-0.0280223926390208
SH2B3	0.0310166999616942	0.0236975318358287
SHC1	-0.0471980292575352	-0.116558938708322
SLC10A3	0.0345875543148655	-0.0322461789612581
SLC11A1	0.0412665146572925	0.00398754439122087
SLC16A3	-0.00971144809196387	-0.0466552415762833
SP100	0.112935085487573	-0.027989356300789
SQOR	-0.12773364735628	-0.116538567324881
SRPX2	0.0162500596683191	-0.0722583617823088
ST14	-0.000212675112509572	0.0107092727044128
STAB1	-0.000671396476369794	-0.00611079994679241
STAT6	0.0114401088531916	0.00498784230198049
STXBP2	-0.000672310784320562	-0.0228835405801452
SWAP70	0.114651433761924	0.0596017817833146
SYNGR2	0.0676735598318422	-0.0515316225644347
SYPL1	0.0152168866577918	-0.109392657790723
TCIRG1	-0.0452172199019806	-0.0233532639730494
TEC	0.00486526878263652	-0.00279748102093605
TES	0.00112352854127516	0.0103835118731995
TGFBI	0.00145744219457487	-0.00203541025944614
TGFBR2	0.0218766021805359	-0.0492087201529206
TGOLN2	-0.129225060244326	-0.0364324228302898
THBD	-0.00549105077444162	-0.00545858651643918
THBS1	-0.0269722160858944	-0.0497540034262681
THEMIS2	0.0146072618418013	-0.0157232782628471
TIMP1	-0.0599180495683571	-0.192317059568283
TLR2	-0.00265154029980667	-0.00257150989735313
TLR4	0.0302198382548111	-0.00189175616687497
TMBIM1	-0.00111803361552676	-0.0309589750642245
TNFAIP3	-0.0434035206908646	0.0710350280789562
TNFAIP8	-0.00728517818902282	0.0127626889727587
TNFRSF11A	-0.033773292110787	0.0222373749385037
TNFRSF1A	0.128515916862233	-0.153074335076033
TNFRSF1B	-0.00371284997384474	0.0636256367998032
TRADD	-0.0195491968844588	-0.0972966113441597
TRIM22	0.00894307888446439	-0.00886294630376032
TRIM38	0.00936977166058991	-0.00416010189015092
TYMP	-0.0665631695961917	-0.0325788727248597
UAP1	-0.0755816120667895	-0.0839531502954189
UCP2	0.0831848976081789	0.0501823049405574
