""	PC1	PC2
ABCD2	-0.0553995101893034	-0.0643299143666436
ACSBG1	0.0735514221182453	-0.0122622934650798
ACSL3	0.0982253556580482	-0.0163427161342755
ACSS3	0.052052779906751	0.00812762023240987
ADAM19	-0.0700906280947249	-0.0380960607598453
AKT2	0.0190090169596403	-0.0859117232440584
ANXA5	-0.101733615027099	0.0283194425302363
APBA3	-0.09256386770632	0.0221139236931558
ARAP2	0.0581216041995201	0.00338747436041499
ARAP3	-0.00267225600821144	-0.0509711736253283
B3GALT1	0.0437106443614691	-0.12655373556146
BLM	-0.0996170498875247	-0.0808264897516392
BTBD2	0.0371875623126113	0.0675756068740436
CALM1	-0.0701442546596594	0.00145827770088852
CAMK2B	-0.0689128051581512	-0.0669980897691241
CC2D1A	-0.00335240480352224	-0.0174871452747835
CD151	-0.0230688845987942	-0.0078281098182618
CDH2	0.0399751271566694	-0.0910129704233974
CDH4	0.123967596570119	-0.0263046008015744
CDH6	0.115441435588538	-0.0196571559789502
CDK6	-0.0189369562956503	0.00878008277935509
CLIP2	0.00750504599634437	0.034998007300778
CREB5	-0.0750736841778115	-0.0576246270955161
DAG1	-0.0149157292083415	-0.0988865480068777
DENND2A	-0.0421082266896462	-0.114885972985937
DLC1	-0.0423665585187654	0.0394319666957371
DMWD	-0.0117684337970039	-0.0937506146857262
DOCK6	0.0675443008604338	0.00158536986572852
EGFR	0.0886649329735673	-0.0473221032097009
ELOVL2	-0.0831047055064055	-0.066861944467001
EPHB4	-0.0618548952696883	-0.08890258622304
ERCC2	0.0514286772856776	-0.00269909001193307
EXTL3	0.046511065214866	0.0153890096619408
EYA2	0.0650858992396788	-0.026548858368514
FBXO17	-0.0055622301467748	-0.105760909086153
FGFR3	0.0796049563387078	-0.0126110155305466
FZD3	0.0912203084551611	-0.0392158923675181
FZD7	-0.000989010313899219	0.0351646726893642
GALNT4	0.0215977105487867	-0.0647864137042769
GAS1	-0.0823266361833832	0.120198716389273
GJA1	-0.0337909840708473	0.0648783619277585
GLG1	0.0529545459464571	-0.06290013690737
GLI2	-0.00108511555521327	0.0124635865035915
GNAS	-0.102868897383949	0.048661795414198
GNG7	0.116113836080356	-0.0123947800983525
GRIK1	0.0747053483249508	-0.0559083876854751
GRIK5	0.069089822980239	0.0503306635798537
GSTK1	0.0998392610947941	-0.106268414219137
HMG20B	-0.0784061932176143	0.120972264898749
HS3ST3B1	0.0970756604598562	0.0150286915916181
HSPBP1	0.0250721617814425	0.0319535969052011
ILK	0.0359343276479773	0.0630124078523812
IRF3	-0.0547201895980585	0.0210596633815142
IRS2	0.0488543293847875	-0.118121475603503
ITGA7	0.0967434247464493	-0.0739410122257543
ITGB8	0.0966235639961764	0.0264836041935874
JAG1	0.0649503024655466	0.00492387576210358
JUND	-0.0882595630925847	0.00188033264592928
KCNF1	0.112834075082382	0.0163594950967426
KEAP1	-0.0960126113894992	-0.0128844217507961
KLHDC8A	0.101505564522044	-0.0533257252557016
KLHL25	0.0382030766516976	0.103007608437109
KLHL4	-0.0367626583319589	-0.119288854929672
LAMB2	0.0733292689060451	0.00250535055633908
LFNG	0.0264973718032068	-0.0685661746865119
LMO2	0.105605540478661	0.0200609814240337
LRFN3	0.0219425578713224	-0.0737008424792025
LRP10	0.0944436365266564	0.0631875718686963
LRP5	0.0201881419455058	-0.0323058954545502
MAB21L1	-0.0126273026117112	-0.102304527339384
MCC	0.103411456582143	-0.0293649992182263
MEGF8	0.0961615253338578	-0.0284533173798394
MEIS1	-0.0396687735968169	0.00915543440622705
