""	PC1	PC2
ABAT	0.101706283310224	0.040190909231257
ACTR1A	3.92970854313779e-05	0.0769380201939338
ALCAM	-0.0691615965129576	0.0403354612356797
AMOTL2	0.0453676730492541	-0.0100072073569586
ARHGAP33	-0.0983525645660859	0.0303783358610346
ARHGEF9	0.0766324631305934	0.0195731816966085
ASCL1	-0.0698552896871496	0.0600429143836819
ATAD5	-0.0865484214066375	-0.00617523391409661
ATAT1	0.0156696224648136	0.0756166470246517
ATP1A3	-0.0546947880531227	-0.00486898379862023
BCAN	0.110212936749555	0.0196154858281383
BCL7A	0.0725097315750444	-0.0540976837706713
BCOR	-0.054889457827665	0.0992223169298188
BEX1	0.00627860943623548	-0.0464750319905105
C1QL1	-0.0518115446891585	-0.0228174788305769
CA10	0.00307261934316781	-0.0519251196987951
CAMSAP2	0.0281418345860513	0.0869802384952054
CASK	0.0659282106547029	0.0256185904689706
CBX1	-0.0998051564001276	0.058284598913663
CDC25A	-0.0920973274085566	-0.0237110860393824
CDC7	-0.0885605640216418	-0.0361498229960276
CDK5R1	-0.0262867841077579	0.0151004737464308
CDKN1B	-0.0832818147195698	0.0730329970245498
CELF3	-0.0229611509444349	-0.0243969604549403
CHD7	-0.0337472902508486	0.0792671852235716
CKB	-0.0971405959249871	-0.00133011555134073
CLASP2	-0.0656770349329405	0.0419884322392755
CLGN	-0.0683012783977232	0.029600626026442
CNTN1	0.0600360857541969	0.0836543734723632
CRB1	-0.057019147238914	0.0716013834690196
CRMP1	0.0234379204595065	-0.0605916740059089
CSNK1E	-0.00220060229168196	-0.0523091228656804
CSPG5	0.100898885559155	-0.0107934165189026
CXXC4	0.00318000686902425	-0.0184783026640714
DBN1	0.080891750279871	0.0110314142988892
DCAF7	-0.0643040939848077	0.0893927291293824
DCX	-0.0167322859810424	-0.0485081294293961
DGKI	-0.0195507092525558	-0.0592698147081923
DLL3	-0.0385239642299077	0.0183099096376619
DNM3	-0.0785007833722982	-0.00728871927324616
DPF1	-0.0598117544594486	-0.068295538668214
DPP6	-0.00153562313157634	-0.0419881968258016
DPYSL4	0.0809234455866457	-0.0573347394144129
DUSP26	-0.00380870660704879	-0.0527090972342983
E2F3	-0.025232506343421	-0.0111918862202915
EPB41	-0.0568931871980229	-0.000696138850925869
EPHB1	0.0994086067205065	-0.00792629028310215
ERBB3	0.010386548821362	-0.091907362200607
FAM110B	0.0966630424315955	0.0213956546124649
FBXO21	0.0440421192583612	-0.0855391912734961
FERMT1	0.00735669668600384	-0.0999740833515872
FGF9	-0.0681465047182566	-0.0350111860424265
FHOD3	-0.0303496744649516	-0.030506510084339
FLRT1	-0.0135681163229512	0.00223024444550316
FXYD6	-0.0864131667718371	-0.00508125942434843
