""	PC1	PC2
ACSL1	0.017310878265908	-0.0209130048793601
ADAM12	0.0913502674976083	0.0148419823980662
ALDH3B1	0.000352516983684659	-0.0199235646311776
ALOX5	0.0102952610087034	-0.0122371940162423
AMPD3	-0.0029366547701635	0.0100785380209801
ANXA1	-0.0599391657602897	-0.0292868559346867
ANXA2	-0.0833238014133431	-0.0478815522584021
ANXA4	-0.0338373765492152	-0.0431484747752462
ARHGAP29	-0.00950958178175943	-0.0509607788232678
ARPC1B	-0.0389635797067514	-0.00639831234224459
ARSJ	0.0115922639639314	-0.0247495683852538
ASL	0.00125505219995186	-0.0116452649019536
BATF	-0.00463597740114248	-0.0440069264113134
BDKRB2	0.00266886947708212	-0.0240758416687048
BLVRB	-0.0220377648314059	-0.0159126161317766
BNC2	-0.0166499168395827	-0.0518048148630379
C5AR1	-0.009807928146806	-0.097451860718192
CASP1	0.00978122461116908	-0.0244120950060899
CASP4	0.0510178580878013	-0.00911413831503734
CASP8	-5.29029128615754e-05	-0.0528735967315962
CAST	-0.0284315618946009	-0.0433238100207146
CCR5	-0.00582549296541538	-0.151658792204546
CD14	0.0358326870598735	-0.0468488874004683
CD2AP	0.0205688080188663	-0.044231344802418
CD4	-8.12598414873899e-05	-0.0114759866032088
CDCP1	0.00144114141148312	-0.00452320556734897
CEBPB	-0.000832613647770642	-0.0127151277354022
CLCF1	-0.0244809429611758	-0.0486926547411064
CLIC1	-0.0302741479515587	-0.0727567353799519
CNN2	-0.0115205709901204	0.00611204555269432
COL1A1	-0.018887767606054	-0.0457261266251037
COL1A2	-0.0295527650671442	-0.0595752095068463
COL5A1	-0.0304381034413175	-0.052747232562901
COL8A2	-0.00459193080277677	-0.0420426008985364
COPZ2	-0.0196684945645987	-0.0181149298192133
CPQ	0.0503248968274137	-0.0149638833082866
CTSB	-0.0121181801705494	8.0577259794871e-07
CTSC	-0.0259100909287812	-0.090488766153449
CTSZ	-0.0253207956170098	-0.0634615758752929
CYBRD1	-0.00681740686166716	-0.0210613638972486
CYTH4	-0.00841832683063404	-0.170695982086335
CYTIP	-0.0050921171745174	0.000977823806893861
DAB2	0.0239154297734719	-0.0423531917538966
DCBLD2	0.0117480265688308	-0.0290789896886277
DOK3	0.0146925191741222	-0.021219397235157
DRAM1	-0.000728137399272631	-0.00942402801227104
DSC2	0.0166933491735273	-0.000231425194051576
DSE	0.016596466104819	-0.0387684456427011
EFEMP2	-0.0431101565748909	-0.0267680164183068
EHD2	-0.0163873848412648	-0.0511759472870066
ELF4	-0.0107069419700893	-0.0751327485804847
EMP3	-0.0378379246684678	-0.0404817843377204
ENG	-0.000439914577405205	-0.0568937028988298
FCGR2B	0.0264271618568746	-0.108710411507403
FES	-0.00423561427652329	-0.12566070020093
FHL2	-0.00851785318144277	-0.0138476647187854
FHOD1	-0.00877912675923871	-0.0355981560332987
FMNL1	0.0110318361789448	-0.0744378271678667
FNDC3B	0.00230323658567745	-0.0599798951302634
FOLR2	-0.00765913593064315	-0.0205836481086952
FURIN	-0.0128249477206313	-0.031715639995207
FXYD5	-0.0122317577841612	0.0052734600845579
GCNT1	-0.00180916599193249	-0.044693627929405
GNA15	-0.00724177975825329	-0.0530348293827971
GRN	-0.0212087372207567	-0.119416276780692
