""	VerPN	VerNL	VerCL	VerMES
ITIH1	-0.261917950011427	-0.2208920613006	-0.0325639423926078	0.316148729042856
LINC02857	-0.365748566046394	-0.311199102903751	0.118809232528825	0.448036433449288
OLFML2A	-0.361042854102924	-0.213016293758077	0.0176678151727365	0.501826513441121
SIAH2-AS1	-0.423322872936221	-0.586912252874237	0.290133486401081	0.548316191537479
PACERR	-0.247204997619754	-0.269361022621523	0.0467037339946776	0.377014410672327
LMO3	-0.348339735875349	-0.157223268910815	-0.0175640089179992	0.347565501402227
AC010210.1	-0.176201522185457	-0.240388205214887	0.100089258427316	0.265400808278008
OR3A3	0.178412614120983	0.133311563111464	-0.107277470346084	-0.114183970895946
PPDPFL	-0.543862279824249	-0.432575233110131	-0.111098134072619	0.452050524698798
CALB1	-0.151080790934232	-0.1588622694697	0.137908987046284	0.168363953156198
CD300E	-0.439645218987888	-0.309883295231025	0.00836807135802789	0.471303216639375
ZMYM4-AS1	-0.402331371781229	-0.119677578719204	-0.135698820520453	0.287571817885335
GLRA4	-0.482429306396156	-0.371051774467734	-0.0654938056139547	0.496880832405838
RUFY4	-0.502379098955266	-0.428567713150381	0.0892540429962175	0.544669473220041
TSPAN19	-0.36187759170472	-0.235943238690261	-0.117170838331514	0.306103302701209
COX4I2	-0.688815553606064	-0.584266682942846	0.120291584321904	0.704720883469548
NOP53-AS1	-0.21982906692545	-0.298210279604796	0.1313927626938	0.246056315543217
AC116609.3	-0.325729735762925	-0.146472045970935	0.0315275921674645	0.404278467001777
AC007325.2	-0.309973581102406	-0.435821228368524	0.0564520362704444	0.371061874093157
LAMA3	-0.379195920456565	-0.371177416503635	0.221730790246813	0.444249647954985
CXCL1	-0.122439439264432	-0.0526602517432934	-0.0989496629836661	0.09774319552491
LDHD	-0.237840019787182	-0.273886260849078	0.0433222866917417	0.327052067663177
TSPYL6	-0.0754670127439168	-0.0283952803325845	-0.154042902390345	0.150569759742237
AP000688.3	-0.0857355652071031	-0.190525816298289	-0.0473577451698113	0.197916732639287
AC055788.2	-0.215247821095672	-0.171781061324298	0.12487925217107	0.311201141466815
LINC02413	-0.446961093038595	-0.35135371311303	-0.0116763694972036	0.438404930289373
NR1H4	-0.383325641027038	-0.309485089139962	-0.0986065291287456	0.375095369993615
AC007611.1	-0.520718559796961	-0.360016088292344	0.14018249700034	0.509210476257063
AC116351.1	-0.386208406544275	-0.346112455508283	0.0766130035463097	0.409660289426198
PMEL	-0.39706895894431	-0.378571530056448	0.14459978483992	0.460064918051093
AC131254.1	-0.286402429561556	-0.246641662016436	0.0759798280239593	0.32474017129937
CDKL2	-0.561366603044314	-0.61796158913014	0.221224282754213	0.662241789572223
AP001059.3	-0.347113997301871	-0.265631829487735	0.101584296712279	0.381737755204618
RNF43	0.0490736681883477	-0.150928230031197	0.0563206833137672	0.0528884221615035
AL023806.4	-0.541298696822983	-0.368817243721567	-0.0928946630800199	0.495869731186162
OVCH1	-0.336946357216625	-0.312997845199398	-0.022449128643994	0.388507607871747
DOCK8-AS1	-0.122168002525566	-0.204639265432576	-0.0275847360760408	0.219117414961151
CLEC4C	-0.374984272377	-0.317218644021345	-0.0352858205485194	0.412601003523049
DDIT4L	-0.590759014806283	-0.450813339429923	0.0316639219744049	0.56704783115222
LINC01570	-0.158831516415264	0.170302528141101	-0.283435342902688	-0.0735470721029472
LILRA4	-0.398338062308099	-0.334492467803028	0.0899915915797234	0.451180141429031
MUC5B	-0.250221599328498	-0.282526161093991	0.00386532333584184	0.301334151949409
LINC02224	-0.405646092173735	-0.366637189614415	-0.0105467229346357	0.368710779412293
LRRC38	-0.290939471955087	-0.237094086892306	0.0984240601789364	0.345790410848914
AC096576.2	-0.0677914846757861	-0.326058820667043	0.284456385025257	0.182216558678654
AL512662.2	-0.0593287906463828	-0.272001315454621	0.207949231019628	0.197263208581871
AC125603.4	-0.203028584858963	-0.272462400312935	0.154101372048866	0.285571918494357
TEKT1	-0.404489494483137	-0.437933502649605	0.160647590341649	0.500719109679051
AL357146.1	-0.220523973771162	-0.177975480485646	-0.025878592414617	0.287751287821273
AC034102.6	0.114119311829624	0.2725655604831	-0.157114986692501	-0.161820195904638
