""	NefMES	NefAC	NefOPC	NefNPC
AL390755.3	0.0180392905114604	-0.327741438593519	-0.283977488063375	-0.368720052048529
C7	-0.329300293803493	-0.400862592165627	-0.0218578576068123	0.0451722554939664
ASPN	-0.329720185526092	-0.36113699622326	0.02049103129568	0.0684028265587916
LINC01204	-0.0612830462957736	-0.337800630429135	-0.261537444624377	-0.122882790584056
AC005592.1	0.0059577345669809	-0.3201824833518	-0.322555791168761	-0.391585723918252
CETP	0.0833861575453223	-0.33912435546463	-0.286547041490066	-0.500810002905227
AC097382.2	-0.034256057461962	-0.256142801637578	-0.216606541682576	-0.31906700625414
RHPN1-AS1	-0.63563874882254	-0.387135971883519	0.465120491927973	0.0703257649620004
C5orf66	0.0769517274442713	-0.280817243300761	-0.317983460054343	-0.462078186148059
AC135048.2	-0.0756015836395561	-0.392218551238501	-0.2762488172307	-0.349752984692912
AC012313.6	-0.0756015836395561	-0.392218551238501	-0.2762488172307	-0.349752984692912
AL133367.1	-0.416804172448145	-0.288453317773287	0.379198147956203	-0.147639101742044
AL117327.1	-0.142630812828868	-0.312564865329289	-0.0172150861044534	-0.247985214752988
C4A	-0.161055673413606	-0.351190347635911	-0.0541486823726639	-0.32622091561717
AC139019.1	0.185944712874478	0.130113632427176	-0.0584119036785225	-0.367901156972178
FNDC10	-0.168383603738639	-0.160561826018768	0.106156263635257	-0.14192755150773
KIRREL3	-0.190963730962437	-0.340773955057214	-0.0358470690304026	-0.0616061454194966
AC046168.1	0.0313543656079875	-0.290410518813682	-0.310896319334047	-0.439572719020711
AC093833.1	-0.0100582052992488	-0.278899129080861	-0.231499726069578	-0.400322959508868
VSX1	-0.0212343504277509	-0.36101042693024	-0.238726985015337	-0.357602570813619
AL021807.1	-0.185593177137719	-0.472863696253991	-0.141123051781072	-0.289923738785297
AC022182.1	-0.168439029707293	-0.434375401630277	-0.195670570710227	-0.211198985938219
LINC02208	-0.0227224998764939	-0.345599164701663	-0.259559664900842	-0.426042906598445
AL355338.1	-0.0227224998764939	-0.345599164701663	-0.259559664900842	-0.426042906598445
CHODL	-0.0227224998764939	-0.345599164701663	-0.259559664900842	-0.426042906598445
AC006237.1	-0.0709717020710696	-0.371675499671806	-0.214584577140279	-0.373117481127311
AL365226.2	0.0496995546552228	-0.367811937612896	-0.302541007314067	-0.32269720278359
HYAL1	-0.00764497247602312	-0.234136436668862	-0.114156584863591	-0.299550236333318
AC087241.2	-0.276595838666523	0.129021190144749	0.426568580910064	0.366396889781001
FAM72D	-0.0153633635257432	-0.244769892018781	-0.146656420737441	-0.0655987010213083
AC023043.4	0.0877180240538369	-0.251549597304136	-0.308283945427794	-0.433611829293541
AL049840.6	-0.23932207288285	-0.411242352730424	0.0104391328935137	-0.181431376756194
BX470102.1	-0.185088438388813	-0.414801390844807	-0.128694787318419	-0.290135883349669
LINC02332	-0.0438559329836684	-0.369975515763697	-0.274796180764658	-0.394668871112146
AC010503.2	-0.0495650019487673	-0.37462469622499	-0.257925336914439	-0.389089678165602
SMIM11B	-0.116828660724453	-0.141299829884161	0.101708603558032	-0.241412715750146
EDN3	-0.146874708919833	-0.328258982131842	-0.194274405195274	-0.0412472229638836
TM4SF19	-0.0774177243675482	-0.391670289607743	-0.272623890582549	-0.350615312882687
AC115485.1	-0.641452815251411	-0.481421971732545	0.279647315578948	0.280290081178635
AC008840.1	-0.0733362131086402	-0.414354806759326	-0.299573016678341	-0.336331133316424
AKR1C1	-0.299180672329674	-0.253037966003463	0.133682434383023	0.175682056690914
AC087286.2	-0.0215629744001129	-0.29879617356236	-0.243089198798025	-0.408977609175957
S100A7	-0.332301616011079	-0.428889591554318	0.062834980284004	-0.108024923242235
AL136295.6	-0.233446365569549	-0.503433986028463	-0.200794553178506	-0.213446610797403
ASDURF	-0.335492644056623	-0.484366217578252	-0.0669617823480112	0.00669529840458962
AL512604.3	-0.208746768071827	-0.429948472363019	-0.0961492879427616	-0.279898406938444
MPP3	-0.564077305783435	-0.307671497605682	0.227471568060845	0.48553934723053
HPR	-0.0944296093977081	-0.281566982094405	-0.159001974772333	-0.0923235171134868
GDF9	0.103383587417692	-0.276009675540963	-0.300404123276909	-0.495020938962046
TTR	-0.110254373913663	-0.410171246086324	-0.2258376903277	-0.377461858469543
