""	VerPN	VerNL	VerCL	VerMES
CAPN9	0.123187252260216	0.209333748786635	-0.0344061142625754	-0.036390330945694
SPINK8	0.207603745927103	-0.0143271122777834	0.150167217977492	-0.173618160718684
PDE2A	0.289343860603796	-0.0051345063086316	0.1239106857923	-0.123057432868438
AL049648.1	0.0529632324308105	0.301877883316729	-0.154367174118287	-0.0727643346848638
ERLNC1	-0.0480572278132623	0.189656554195508	-0.0475020669038457	0.165925734175738
ICOS	-0.00487044562576278	0.286498648463743	-0.196616380347484	-0.0770318715159726
FGFBP2	0.391763949733798	-0.0201342042040331	0.276481671796479	-0.2197167518904
FRMD1	-0.30572986942841	0.477445691845876	-0.489589713632941	0.0401504368261817
FAT4	0.525208855502325	-0.202644152904762	0.416751548899222	-0.319661104180063
OTP	0.12607892858417	0.186316882981917	0.0202293307869995	-0.112454719767827
LINC02550	-0.05657202806828	0.213738618430449	-0.113640995769896	0.126017616532853
AC009690.1	0.401506600414204	-0.132966521983369	0.228134855469815	-0.311438644428001
AL137026.1	-0.0708795086174099	0.2401898361972	-0.133203982281572	0.11514041478646
LINC01763	0.0403279377682976	0.217871575378918	-0.102230377722453	0.00692810869823792
LINC01608	0.420768964425039	0.0247661512009657	0.222517431358696	-0.271754806308303
CD5	-0.0183258267584169	0.297777627255099	-0.209112122138669	-0.0670514718083008
ANKRD18A	0.692974522620315	-0.292624370172768	0.504849667310055	-0.530343047865538
LINC00323	-0.0625409895280529	0.128339715289039	-0.0312302800308801	0.125098615402113
MAG	0.111630479304558	0.179559002307834	-0.0701108746650011	-0.140129666677637
C6orf58	0.212457576859114	-0.00970320265725247	0.102418088289847	-0.21305073501398
MYOSLID	-0.20017343303958	0.565905287257096	-0.353932697135084	0.0562698106952283
FAM201A	0.300139862599973	-0.00244639311453015	0.1760231911258	-0.145583298620564
PLAC1	0.0939405097356744	0.221801485690101	-0.0465289601361338	-0.119457756892954
AL138737.1	-0.243197021062965	0.484020859737397	-0.331740520140924	0.0721285843768493
AC244517.11	0.192268187767594	0.0840831680096627	-0.0199287352434035	-0.330916368216245
TMEM151A	0.0361434254087143	0.121567316843654	-0.201778933790883	0.0213476440904854
ANKEF1	-0.180667368141458	0.32603269187232	-0.285920762516886	0.0841912213147469
SVIP	0.184991042235133	0.0588409017782076	0.148891092756519	-0.0869025559348063
AL117381.1	-0.218518173979604	0.40654855005194	-0.400276907294228	0.00798110552884801
STAT4	-0.0168353566515634	0.254969730217477	-0.197237066409412	0.0536294132226141
RTP5	0.496235912550581	-0.0988043090077528	0.274116180855806	-0.41608344835127
TRAM1L1	0.382079424495288	0.0503192036777203	0.255124446041287	-0.236924965896871
ENPP4	0.39219266676775	0.06772849790904	0.11651025985733	-0.386083834404156
TSHR	0.406683079268593	-0.013406027418915	0.240205591849117	-0.22321977214442
AL645608.5	0.213200684568549	0.260453981774171	0.0847397841393824	-0.229925313890629
ABCF2	0.139998508832278	0.0588572294133274	0.030897580890813	0.0577385390079364
AP003501.2	-0.183332141707839	0.328323382939661	-0.290491477550227	0.0776101244762865
CD8B2	-0.157086507316623	0.338958056307382	-0.313440930339514	0.0494387504144333
IGFBP1	-0.154068256760408	0.337538750999905	-0.310722188785578	0.046218456442327
KRT19	-0.154068256760408	0.337538750999905	-0.310722188785578	0.046218456442327
AC006273.1	-0.154068256760408	0.337538750999905	-0.310722188785578	0.046218456442327
ABO	-0.153794244963812	0.336996849948596	-0.315195962274458	0.0448214457319198
GJA4	0.145831549773119	0.0397842446380444	0.0102088195287044	-0.156607958196317
FAM53B-AS1	0.15995895421927	0.132972798533861	0.00811535538378437	-0.0647623777098137
AC012629.2	-0.321829621269569	0.528170486385983	-0.496493348506042	0.0999389738787664
NECTIN4	-0.239789053706472	0.466809193872388	-0.415684744905593	0.0750798872748289
AC093274.1	0.225819797421357	0.177077019720482	0.0513461740360935	-0.241273314673833
FAM95C	-0.11100077442505	0.415283690667368	-0.176846075881798	0.0873867563558886
IQSEC3	0.0575434209399609	0.369816360022324	-0.229618761880298	-0.134983982711198
PIEZO2	0.371508525933502	-0.147917937730995	0.276321673262923	-0.181133672366662
