""	PC1	PC2
AL627309.1	-0.00223861177496673	0.00223404402736751
AL627309.3	-0.00214621655802582	-0.0029206890529555
AL669831.5	-0.00685377170080395	-0.00411712667800408
FAM87B	-0.00244924233221067	-0.00447138604676026
LINC00115	-0.00483519528982929	0.011372521815182
FAM41C	-0.0057860772329301	-0.0049296508872442
AL645608.3	-0.0051930315673243	-0.00788771965192792
AL645608.5	-0.00171622110290986	-0.00204858639107092
AL645608.1	-0.00242573571246746	0.00496739818075438
SAMD11	-0.003199195549944	0.0117398864299335
NOC2L	-0.00988003621812183	-0.00376652319693125
KLHL17	-0.00724462199101905	-0.00718599571050691
PLEKHN1	0.00134797361631816	0.00189159991984583
PERM1	-0.000616258755088679	0.00420093669067983
AL645608.8	-0.00201376559214991	-0.000962986746969967
HES4	-0.0067556138484148	0.0158613188171879
ISG15	-0.00775176079147523	0.0103994524051608
AGRN	-0.00928877330349305	0.00269288165665955
RNF223	-0.000484569484580866	-0.00284456414556648
C1orf159	-0.00857349896867673	-0.00899335431877685
LINC01342	-0.00194866243817436	0.0024671372187093
AL390719.2	-0.00275123023263633	0.00492965536176789
TTLL10	0.000671986933326851	-0.00226514392426632
TNFRSF18	-0.00675620705915631	0.00977662162773776
TNFRSF4	-0.00151168977635952	0.000773048443469895
SDF4	-0.00996639557557863	0.00453884450804452
B3GALT6	-0.00982946110537364	-0.00182958541727055
C1QTNF12	-0.00401115236144723	-0.00659782025948368
AL162741.1	0.000239691131251152	-0.00113855606790566
UBE2J2	-0.00932919899122549	-0.00672926447849705
LINC01786	-0.00188640419615308	-0.00372496296091989
SCNN1D	-0.00761906280166665	-0.0058827340718829
ACAP3	-0.00726609878747222	-0.0150221653240429
PUSL1	-0.00804028507769164	-0.0109250691169901
INTS11	-0.00955686336974026	-0.00336060294537869
CPTP	-0.00918747234248241	-6.63055582306177e-05
TAS1R3	0.00117301441709724	0.000492141641958848
DVL1	-0.00947784538274572	-0.00374463101712448
MXRA8	-0.00482070972493812	0.0184177462912528
AURKAIP1	-0.00938112281111422	-0.00214676333044245
CCNL2	-0.00943717425282228	0.00262307060234814
MRPL20	-0.00952512855720166	-0.000639152991933414
AL391244.3	-0.0044879547156665	0.00383807480773795
ANKRD65	-0.00771138300758623	-0.00459758263411599
AL391244.2	-0.0011683250255752	-0.0052163572012033
TMEM88B	-0.0034098687502945	-0.0049874745432269
LINC01770	-0.0027985749363951	-0.00135125199788006
VWA1	-0.00900498296423233	0.0011780888964594
ATAD3C	-0.00575519003173316	-0.0013287298218557
ATAD3B	-0.00862545065572795	-0.00640030023595384
ATAD3A	-0.00925468908884874	-0.00532848583604371
TMEM240	-0.00742575991157201	8.69164755704493e-05
SSU72	-0.00974443213506756	-0.000924369760399163
AL645728.1	-0.00764447961768258	0.000116752359325519
FNDC10	-0.00777083674568831	0.00637716649704869
AL691432.2	-0.00892946139944196	0.0011974367555026
MIB2	-0.00942571380657276	0.00182871875796636
MMP23B	-0.00299043079494788	0.0146147827561185
CDK11B	-0.0098447332365952	-0.00505511767554447
FO704657.1	-0.00468152338225116	0.00482562937176756
SLC35E2B	-0.0086002916627266	-0.00442676007652428
CDK11A	-0.00930167091581777	-0.00372753643601282
SLC35E2A	-0.00816698170628122	-0.00414892871578417
NADK	-0.009503142731143	0.00592392934372841
GNB1	-0.0101960051780529	0.00138776525529256
AL109917.1	-0.00264224969043299	0.00718251337474587
CALML6	-0.00302984665648734	0.00345065234372736
TMEM52	-0.00427660499084842	-0.00326089089178084
CFAP74	-0.00348752272332791	0.00122291986713186
AL391845.2	-0.00136240639379697	0.00159144821975073
GABRD	1.23501626911704e-05	0.00171637261505799
PRKCZ	-0.00612712129590438	-0.00880757333364116
AL590822.2	-0.000423735575740017	-0.00323773760945988
PRKCZ-AS1	-0.0036943196600427	-0.00524674972092766
FAAP20	-0.00958087935003014	0.00200205273610192
SKI	-0.00931706801786115	0.00795712413442632
MORN1	-0.00785745982089363	0.00720111829287038
RER1	-0.00960036056745932	-1.80902446193067e-05
PEX10	-0.00918788016708224	0.00453250232416136
PLCH2	-0.00368752240982756	-0.00369523041227086
PANK4	-0.00867329838715564	-0.00322902138562568
HES5	-0.00562891074826932	0.00134933032387962
AL139246.5	-0.00358726523620253	0.00686199261810088
TNFRSF14-AS1	-0.00203963316990075	0.00473566366697999
TNFRSF14	-0.00514990729412854	0.0180621638068402
FAM213B	-0.0089123594537865	0.00764321211480466
MMEL1	-0.0032123901504879	0.0151742315394134
TTC34	-0.00407148488896366	0.00761073166355063
LINC00982	-0.00657745502815478	0.0145719160543007
PRDM16	-0.00586005751750603	0.0184986209306328
AL590438.1	-0.00183313384922558	0.0087437622095537
ARHGEF16	-0.003196257240641	-0.00530793021053239
MEGF6	-0.00480323452426361	0.00527712085419272
AL513320.1	-0.00273768772653392	-0.000154219841624112
TPRG1L	-0.00784693738584271	0.00944983164427091
WRAP73	-0.0090217389187033	-0.00814392785219924
TP73	-0.00567192766521389	-0.0136297767338242
AL136528.2	-0.0014513387823152	-0.00128004305502872
CCDC27	-0.00211756358092701	-0.00414447327714521
SMIM1	-0.00494100235754346	0.00174228138059973
LRRC47	-0.00984451554802878	-0.00398620651482546
CEP104	-0.00944100910521139	-0.000808797982109231
DFFB	-0.00827367966589447	-0.00697880447161314
C1orf174	-0.00946571328042406	-0.00655224301213224
LINC01134	0.000515673473073304	-0.000200931548354058
LINC01346	0.000514336157529172	-0.00206128105355392
AL805961.2	0.00115979778328482	-0.000376476080180461
AJAP1	-0.00255067640191158	-0.00256436502255816
NPHP4	-0.00646781542741248	0.000769003809196676
KCNAB2	-0.00557365719864	-0.0050567442621499
CHD5	-0.00423126407162465	0.00011194774223315
RPL22	-0.00923291965555057	-0.00421683610591654
AL031847.1	-0.00131032413374803	0.00910537708045213
RNF207	-7.35099505463103e-05	0.00380926303347088
ICMT	-0.00891373598514473	-0.00412374121429212
LINC00337	-0.00128910878680805	-0.00103580345536295
GPR153	-0.00132963722288749	-0.00198346300748766
ACOT7	-0.00742080569222842	-0.0106422017383379
AL031848.2	-0.00185873988085908	-0.00171922484900854
HES2	-0.00226983925009853	-0.0021877907743986
