""	MES	NPC	OPC	AC
AASDHPPT	-0.165004697365285	0.53565315566704	0.379637459718488	0.470798637682803
SPCS2	-0.210162922316014	0.533589692439506	0.413629192150852	0.495898342673063
C5orf24	-0.133424712153713	0.52353448706982	0.372750094935837	0.456141396430321
WAC	-0.120973131272484	0.548142045649256	0.383095597952777	0.466126083394166
USP14	-0.145870154703801	0.53450576520314	0.380168406109247	0.464100599847847
CSNK1A1	-0.112093275080104	0.502047196573262	0.347539317465457	0.431533554833877
USP48	-0.192198850652323	0.5949189866412	0.428610925384726	0.51199614074167
TGS1	-0.200055635257349	0.569654533501111	0.423786835428476	0.509041739476607
CCDC47	-0.0984472314153788	0.486460976842422	0.335454862397924	0.419548319070987
PRPF40A	-0.140090871661991	0.530219653822177	0.384177866574724	0.459724080220664
SRSF4	-0.189363110429414	0.614150925019417	0.445823740493638	0.535080394962855
ILF3	-0.213799578908895	0.613869347317351	0.438599832274385	0.527864173302633
NONO	-0.0992952012607177	0.519391484104209	0.353432300519819	0.436197514248022
UBA2	-0.106045797445373	0.492571631028583	0.31532974984882	0.402436471872904
CAPRIN1	-0.158549547057741	0.568830270077029	0.402566401883339	0.486481404799081
RNPS1	-0.145506321415325	0.488816606791253	0.330727630335645	0.413293301343791
MAN1A2	-0.179983657198494	0.577080023450488	0.425080558262219	0.508667697077364
NAP1L4	-0.214916152771041	0.548895552144948	0.406162209478946	0.49248340688795
KHDRBS1	-0.166698243326287	0.529893510213558	0.38725228756327	0.464063944679577
SUZ12	-0.13910160289781	0.531323729354995	0.384382007915251	0.468307537765398
MIER1	-0.167637781845621	0.54149762225227	0.388503588478456	0.469714433278137
XRCC5	-0.19103893991501	0.540173384874852	0.393979852145885	0.475492306438142
LSM8	-0.166524898095993	0.495887340379075	0.349308885495271	0.436135200083566
HNRNPR	-0.222622637186037	0.571305913451225	0.429402300958963	0.503939833481039
PPP2R5E	-0.171960199988705	0.528808515651429	0.394499365695262	0.468957276070087
XRN2	-0.148655476758918	0.539207134599634	0.387734327850328	0.46562293397734
ZNF131	-0.214548085237375	0.576403701308882	0.42801238469373	0.511671967080183
PAK2	-0.142621008360079	0.48647689215649	0.33275167236069	0.413510084103182
PURA	-0.14628351617395	0.502937144155872	0.357374103871407	0.436496380064312
YWHAG	-0.134285455872968	0.546216400868204	0.390827932733505	0.470338897036429
PDIA3	-0.181220457136353	0.532239189874735	0.410111574686037	0.491136504461911
MPHOSPH8	-0.176488904200401	0.58066113863684	0.426855277011464	0.508155329947118
KRIT1	-0.188288703443673	0.614621387908937	0.443602100342906	0.536149203213019
RTN3	-0.150455158105518	0.508944547079828	0.36741586882728	0.4433645914194
DR1	-0.195215511582622	0.570152139455506	0.420788082186375	0.505642150654585
SYNCRIP	-0.233979269505621	0.611808376202476	0.466591642545729	0.548130515014983
ANKIB1	-0.144151736809257	0.528825653939701	0.380984359984241	0.458667910378885
SUPT16H	-0.193341738891503	0.595351768908398	0.433643163132969	0.519658800934244
ERLEC1	-0.184864234374987	0.569397627184618	0.425129856383649	0.509561203035322
DDX46	-0.188878908031742	0.612929883658463	0.440307950389954	0.526204969751078
CALU	-0.148812385247249	0.511171098004282	0.373531113068678	0.457096388623466
APPL1	-0.152365823597131	0.521825378347837	0.368042666580004	0.447108865964039
MTDH	-0.205253709684741	0.597842675999639	0.455417357289841	0.537569633931385
GSPT1	-0.1660225304459	0.523886830024977	0.380311895950015	0.465528869406575
TMCO1	-0.197175013549008	0.5733624770155	0.436027572374765	0.521502544167989
CSNK2A1	-0.162475989488451	0.523738173575036	0.363380220366624	0.451351219426331
EIF2AK1	-0.179893946446205	0.543159143201363	0.384657485887427	0.47267980120044
HNRNPK	-0.223688596871544	0.590197107452668	0.442311291911238	0.528738888142016
DHX36	-0.188920232599855	0.58294286265006	0.425901018070727	0.512599438571477
G3BP1	-0.130769631545326	0.530367337038933	0.382299320643343	0.462707033693604
