""	MES	NPC	OPC	AC
AL355388.1	-0.105982899856395	-0.44199055874497	-0.23776076717299	-0.272446520141243
AC044802.2	-0.100132235535731	-0.33963392991166	-0.165969360131052	-0.199139528474084
S100A12	0.238605970986907	-0.333136546617976	-0.314138369009938	-0.393272982928823
AC104031.1	-0.0185074712807212	-0.220285599245574	-0.051513678308212	-0.124393629137088
AL137793.1	-0.170266031700845	-0.467640537535783	-0.209073069120082	-0.214385629969438
LGALS7B	-0.170266031700845	-0.467640537535783	-0.209073069120082	-0.214385629969438
Z73429.1	0.264926681410332	-0.604373949105927	-0.427013279950861	-0.488198066105786
DCLK3	0.0783559310491907	-0.523085034900124	-0.288750402233342	-0.31755543808915
AL158817.1	-0.0325143860544551	-0.188612280921347	-0.0985977462994927	-0.140369171778902
AC012123.1	-0.0948158725133072	-0.271704415918211	-0.0830060801825856	-0.128629804904855
DGKK	-0.140406648446669	-0.44266911820069	-0.229839769110148	-0.220550084501692
SLURP2	0.0013786071048134	-0.115343777615438	-0.0876690133536105	-0.141003973294667
MUM1L1	0.0244956193814498	-0.109785902722616	-0.0859762478658436	-0.143863908588433
RGS8	-0.140742228515323	-0.4333619194551	-0.219046777194284	-0.21009091563801
AC091826.2	-0.110659274603832	-0.387186602384263	-0.210793279582625	-0.218335981290417
MAFA-AS1	-0.110659274603832	-0.387186602384263	-0.210793279582625	-0.218335981290417
BFSP2-AS1	-0.135732277806913	-0.32799003784365	-0.128738422347509	-0.143687359625172
AL592528.1	0.215347537642129	-0.749733724639087	-0.640346257004878	-0.671445553593214
AC078880.3	-0.174772585898501	-0.439712528684356	-0.187949721773647	-0.183708952182021
AC022784.1	-0.145673467849806	-0.513647638743722	-0.274269789826795	-0.268513311404549
LINC02550	-0.0276196370323873	-0.0463595506905344	-0.0531785959385405	-0.108568252074922
ASCL2	0.19933900030281	-0.337473499317096	-0.301092572811361	-0.345844898784736
BIVM-ERCC5	-0.171931578719757	-0.490698972259946	-0.234763912264025	-0.224911041107102
GLIS3-AS1	-0.0352417867144961	-0.243453974937137	-0.179629083547681	-0.189718486133592
P4HA2-AS1	-0.236327197052445	-0.418338486694363	-0.101213326362718	-0.101969831850354
CXCL17	-0.236327197052445	-0.418338486694363	-0.101213326362718	-0.101969831850354
PCBP3	0.351937341196324	-0.460190230729871	-0.489615608048111	-0.498767820768326
AC097652.1	-0.00447608460985374	-0.189106990652254	-0.136637601034955	-0.181545070065942
LINC02428	0.0295530537829997	-0.0176890845444359	-0.0519799322590319	-0.100790404948496
NGEF	0.0475109328362426	-0.324194408654056	-0.330255962470688	-0.331861207164541
LPP-AS1	-0.206120190540929	-0.463144560723651	-0.182715903154804	-0.175700119729834
AL391056.1	-0.124586591207219	-0.264743829270214	-0.065407849109011	-0.0685725172561413
NCBP2L	-0.244275356323555	-0.0677194892407395	0.0309659042870854	0.0377953602145479
LINC00867	0.299219554811744	-0.302459319858858	-0.274009358048539	-0.297224247580818
AC011444.1	-0.226151855263984	-0.41552665408003	-0.122910721152673	-0.11825525747504
AL035412.1	-0.190016805428318	-0.415564236140096	-0.150125701559876	-0.153707884293129
SYNE1-AS1	0.033797807524387	-0.613128732078902	-0.429852922885956	-0.467489709973501
MROH9	-0.12407775905068	-0.503104530865003	-0.304787068630876	-0.288731998209578
AC010547.3	-0.124684731421663	-0.520810178824378	-0.307948141953456	-0.297305483258544
ITIH1	-0.0634373127869186	-0.500105030899519	-0.325823305369844	-0.32110062951021
GATA1	0.472154646155675	-0.345857182649933	-0.455146054538591	-0.500247486731067
C8orf74	-0.0469898717668078	-0.289353284559656	-0.205512666125645	-0.194583686842673
KCNH6	-0.092476047173252	-0.381040466754781	-0.100902422442908	-0.129748603600839
CXXC5-AS1	0.0580950958440104	-0.203698112089021	-0.104181134567586	-0.0751936676180054
AC078850.2	0.0353286204558111	-0.183325561234623	-0.149444262881308	-0.193497142481886
RASGEF1C	-0.0630061268882924	-0.49185095744981	-0.312619421636169	-0.323369913861759
AC126773.2	-0.191227489014482	-0.47449251730053	-0.208227452196665	-0.197845202956458
LINC02572	-0.275709356512142	0.0288527200896193	0.0594303714275914	0.134107900514817
OLAH	0.196475294944066	-0.536766838216582	-0.513586048062155	-0.522485252748085
ACTA2-AS1	0.205342242699031	-0.0637937373170664	-0.106798826727795	-0.177112308954275
