""	NefMES	NefAC	NefOPC	NefNPC
TCF25	-0.233391632724917	0.122625703350169	0.268852428669353	0.0770355762003294
PRRC2C	-0.15756894448656	0.232305391423875	0.367141984976276	-0.021481537809033
YY1	-0.202764064041281	0.149260194055649	0.286492194603885	0.0399422837681167
TOR1AIP2	-0.10808196784054	0.195904569723325	0.303601480031157	-0.0223096642997745
SRRM2	-0.186157782973906	0.197154205600051	0.334954051867603	-0.00140692781889837
CSNK1A1	-0.171768559516759	0.12031995493701	0.237760237304912	0.0135963805002863
TM9SF2	-0.096663459019296	0.16912945004643	0.268280316340617	-0.0428124131536527
CLTC	-0.0813977697929719	0.229839786251925	0.320790327583096	-0.0236490948093448
IST1	-0.141644768701367	0.204916599400445	0.329335337936657	-0.0241792059882326
TAX1BP1	-0.15988858585934	0.134658223294031	0.246574836785717	0.0227347684930263
DHX30	-0.205519405302912	0.177076107235732	0.314380910664517	0.036238208875264
SON	-0.171397424858251	0.234207421961014	0.386510442022059	-0.0186389071753092
ZFP91	-0.231871474158933	0.111932535962469	0.256593273014152	0.0674912646091698
GGNBP2	-0.203481959558086	0.136344872245342	0.284454336435158	0.0393917342168365
RAD50	-0.172818294915756	0.152835581728218	0.281093173169595	0.0543030298493873
AFG3L2	-0.258813073407167	0.145556716202472	0.306591810257842	0.0536212897897226
SAFB2	-0.230268712642455	0.164495095728769	0.311584388980426	0.0543857169258894
SRRM1	-0.232482442169179	0.154164588909932	0.318128775894896	0.0122833530602817
RSF1	-0.233725540861223	0.0965084711078628	0.252044217844955	0.127940378339757
HOOK3	-0.15396227248838	0.182237158477981	0.304429354141404	-0.0023515905809372
PURA	-0.117854427489523	0.22287402526893	0.343410533558308	-0.0712344167836418
DDX42	-0.142191091459533	0.229277524794354	0.352860641049865	-0.00941143857445642
DNAJA2	-0.295293068725033	0.0760017024481151	0.241164128074191	0.0957804342074046
PAFAH1B1	-0.281631708620487	0.0832216555599112	0.243815248210869	0.145950041766782
PRKAR2A	-0.150851417221579	0.211509120530434	0.33378614077607	-0.0261923128285747
SRSF5	-0.212731321219051	0.0912015956367406	0.236602396641165	0.0474057655072707
PMPCB	-0.223984386125939	0.186170040187707	0.350827452867618	0.0183734176218295
PHF20L1	-0.228083033812145	0.131471421181626	0.28059051970831	0.0762224281373024
NDUFS1	-0.21902535293592	0.192084251925179	0.350111248065008	0.0721433734362167
THOC2	-0.188456594073116	0.20692569081579	0.356431370984633	0.0137025303604753
TXLNA	-0.119051437765006	0.295275828770548	0.418249756860109	-0.047966090021514
RBBP6	-0.11459387002023	0.172769312669665	0.273746147717689	0.00410357828574913
PAK2	-0.319260452899351	0.0392220578394477	0.213683779350624	0.133323422128233
C11orf58	-0.311990032886451	0.0367770141505077	0.199824962504995	0.113904682606445
PRPF38B	-0.223800535160342	0.154930569297964	0.324692911763614	0.0425705669457282
RNF115	-0.159346286758234	0.122567732730522	0.23614328116016	0.0783157331729387
USP14	-0.254063046733767	0.115535609104578	0.280327691391897	0.082220757010537
SOS2	-0.179468183294975	0.199558487446712	0.330759476577246	0.0450009358490859
WDR33	-0.272157543331375	0.0613730269962086	0.219625298915555	0.12089978070361
CLINT1	-0.129332043648312	0.18364562314194	0.3122295734658	-0.0367819955638391
DCUN1D1	-0.207810630751866	0.140771336242963	0.27469641404829	0.0754426942791151
GPBP1	-0.288174891091802	0.0867109213757401	0.271129166084988	0.116044761373339
CEBPZ	-0.174715411260461	0.167856339074691	0.317054044986144	-0.00618497854911155
SF3B2	-0.235552484298509	0.118451478130204	0.272062075906084	0.036914862425024
CSNK2A1	-0.277790271313883	0.0846465882872005	0.268729673273424	0.144384145637526
OSTM1	-0.205831500334576	0.168580375760928	0.321250805485465	0.0291469308056174
CSNK2A2	-0.192249037558569	0.154710201742301	0.296889876412748	0.027097758783914
CCDC82	-0.198539973049787	0.110035725304862	0.248775204738794	0.0634224096018058
EIF2AK1	-0.168573980995154	0.200896194427644	0.335862255490455	-0.0290960841731253
UBXN4	-0.0666393465618689	0.2538640971268	0.346958680948613	-0.102995349964557
