""	PC1	PC2
HILPDA	0.0165402208882228	-0.133744807574684
CST3	0.0844935172858115	0.0212139635641709
BCAN	0.0236201343913393	0.112249257844733
DLL3	0.00942609455504895	0.0432787444142033
ADM	0.0266903445164133	-0.12191749747944
S100B	0.0601310827603098	0.0985400299659847
PLP1	0.0144412182973662	0.0672366454081521
DLL1	0.0233896038594169	0.0454622034833186
DDIT3	0.0696319499115133	-0.0603949715838671
SLC1A3	0.0762042705082603	0.0524217553946844
HES6	0.0466247751083008	0.0775242584460077
NDRG1	0.00968916326909873	-0.123820973232504
HEPN1	0.0664248480914342	0.068511742187655
FIBIN	0.0722389985117483	0.0557059945842752
NEU4	0.0115517736799475	0.0894415129925117
HERPUD1	0.059588625141801	-0.0923125866618123
HOPX	0.0714675854951374	0.0788172510306348
LHFPL3	0.0354963381077863	0.0686163001333282
MARCKSL1	0.0710685338701879	0.0339665244837588
DNAJB9	0.0211545501221442	-0.0808935216082547
MT3	0.0718648193001082	-0.023480766884593
OLIG1	0.0449866163279067	0.103207351086329
TCF12	0.0690764673764229	0.0818984467289194
TRIB3	0.0204006487976389	-0.0891134022622208
SPARCL1	0.0762957642053524	-0.000772928607661325
PSAT1	0.0512767317255614	0.0892634134985627
BEX1	0.0561682017693484	0.0497393386660684
ENO2	0.0332030284321624	-0.112297319670989
MLC1	0.0510047114680761	0.0735896821905054
SCRG1	0.0596041955786672	0.0962634735957385
AKAP12	0.029761299151076	-0.118211672734524
GFAP	0.0682369859414867	0.0747742400731186
OMG	0.00402634825064931	0.0546602743483738
MAP2	0.0565095684151008	0.102006844973657
SQSTM1	0.0827139633097724	-0.0384642859114928
FABP7	0.0538985783104603	0.101172972387932
APOD	0.0282258504056087	-0.0726034671506225
FXYD6	0.0746645781238412	0.0591756814050226
ATF3	0.0793354326026219	-0.0156280046331034
SIRT2	0.0823119711314266	0.0231061803786484
PTPRS	0.0565111738846025	0.0147567514952675
NRN1	0.033434680683516	-0.096811624902081
PON2	0.0810095020362049	0.0520403001035856
TNR	0.0260971920022205	0.0288060736133384
NPPA	-0.00567919497181519	0.0398776609798818
SLC2A1	0.036298408499102	-0.121114513415656
METTL7B	0.0795127096914626	0.0112941675485715
THY1	0.072624357303213	-0.0165905770256845
BNIP3	0.0373672201322226	-0.1149720423992
SPARC	0.086037471541278	0.00593108020549431
PHYHIPL	0.0435645847980812	0.10658739953486
MEST	0.0705708326095656	0.0497839738649611
INSIG2	0.0248817210529839	-0.117955862429726
GATM	0.0671191111910827	0.0903904773121385
SOX2-OT	0.0650047944195085	0.099918746186755
ASCL1	0.00982026844910847	0.104921567196824
IGFBP3	0.0297883544476443	-0.0731500089023088
RAMP1	0.0695654535298023	0.0804590263904101
NKAIN4	-0.00697969706262685	0.068411318355528
BTG2	0.0755484922189846	0.0150147553053688
PPP1R15A	0.0767386829992986	-0.0427335994864917
PMP2	0.0553690433095019	0.097081078858425
NXPH1	0.0214679461285555	0.0255977724933368
PLOD2	0.0429235259048788	-0.121370795195067
AQP4	0.0572111666915845	0.0701848934989799
PTPRZ1	0.0724266025086131	0.0750443597321172
PFN2	0.0767633493650189	-0.0375996215602612
GBE1	0.0364987506229165	-0.12245388577698
DBI	0.0797017804268861	0.0416911281244879
VCAN	0.0607671789667217	-0.0594562409274111
SCG3	0.0637117082434333	0.0665279063464557
SLC2A3	0.0597335868913279	-0.0951197500601292
EDNRB	0.0557358741278997	0.0899834751184327
MYT1	0.0297623356048638	0.0381932698434141
FTL	0.0624452848775441	-0.064359325381558
CHD7	0.0756954775120608	0.0243241169325953
WARS	0.0812879721905083	-0.0225113253485366
CLU	0.0832821878868813	0.0197178279080706
CNP	0.0765147919940584	0.0680628174888086
PMP22	0.0827430087977821	-0.0270667317932853
TNS3	0.055529097545085	-0.0459437076999917
TUBA1A	0.0746616392459911	0.0676780336144694
XPOT	0.0779679791515393	-0.0378930979032853
ATP1A2	0.016684883071349	0.111293826180304
LIMA1	0.0764487004081782	0.0623885014558544
PCBP4	0.0766342201915543	0.0398160146398227
HSPA5	0.07274004911885	-0.0446597597075831
S100A16	0.0838301699416792	-0.0240691949363384
CA10	0.00856306282935556	0.0333811668708375
ETV1	0.0628016459611189	0.0999022791237702
GDF15	0.0474278997969502	-0.0612418342776413
HEY1	0.0801097895928038	-0.000739984573768575
PCDHGC3	0.041563486864032	0.0619809570240598
SHD	0.00525833067017488	0.0492405898650332
EPAS1	0.044501762215844	-0.11827966864751
CNTN1	0.0394881308139339	0.0635315935096223
LDHA	0.0638294468865811	-0.0722524055883143
TTYH1	0.0625055128348485	0.0927376951635813
SCD5	0.0773866938561852	0.0697452827975562
AMOTL2	0.0743477830670038	-0.000462983298313632
P4HA1	0.0626981317654417	-0.100095658438056
NDRG2	0.060047651761745	0.0388370840674896
