""	PC1	PC2
ACSL1	0.0404329164838722	-0.00230234695856775
ADAM12	0.0387583068809509	-0.0397296278875739
ALDH3B1	0.0409046067821973	-0.00597820804058395
ALOX5	0.0380269732893481	0.0528840135057084
AMPD3	0.0403423467044558	-0.0280075862147999
ANXA1	0.0415063063961532	0.0133319913940496
ANXA2	0.0399417327194472	0.0273816740005949
ANXA4	0.0409646040198079	0.0394416827590778
ARHGAP29	0.0412601712063344	0.0246063274632401
ARPC1B	0.0374934249647405	0.0679777977491025
ARSJ	0.0415396389616133	0.0139774417164126
ASL	0.0415182220128882	0.0121751275572191
BATF	0.0261946791646429	0.0447988188861397
BDKRB2	0.0401261698731834	0.0326145876416981
BLVRB	0.0403401059044873	0.0354485316075815
BNC2	0.0386002747413662	0.0480636074702092
C1orf54	0.0391764652642774	0.0286764566502325
C5AR1	0.0389079343076559	-0.0162404138510416
CASP1	0.0383039581748363	0.0590752640597374
CASP4	0.0416578735354748	0.0293568620825981
CASP5	0.0176139570426368	0.0863427804394886
CASP8	0.039323625702343	0.0185547236793681
CAST	0.0427434171881531	0.00643462728842639
CAVIN1	0.0402721838401099	0.0355749872749076
CCR5	0.0376576723241185	0.00969632452598002
CD14	0.038748727807259	0.0487844107140536
CD2AP	0.042810255293938	0.00703602335291694
CD4	0.0375608235070284	0.0591656162169228
CDCP1	0.0370561223945531	-0.0425140090683493
CEBPB	0.0406919663117157	0.0347259146692796
CHI3L1	0.036779746573705	-0.0350314144026135
CLCF1	0.0375091813830871	0.0530630773215742
CLEC2B	0.0387466129785512	0.0567696453425669
CLIC1	0.0411061906687761	0.0381817200336011
CNN2	0.0369376353810116	0.0723579864045565
COL1A1	0.0183946495904843	0.0650081223654054
COL1A2	0.0222380356743845	0.0524429222712923
COL5A1	0.0261334421554154	0.0515819527547806
COL8A2	0.0376601809562676	0.0335204147839051
COLGALT1	0.0413660020341383	0.0288520745744825
COPZ2	0.0379277752303495	0.00375596112467593
CPQ	0.0408729940814022	-0.0136878096637245
CRYBG1	0.0348598076048606	0.0177045683021497
CSTA	0.0337377828028005	0.0430376280059574
CTSB	0.0408485065420127	0.0408755506605293
CTSC	0.0378735805240414	-0.0358564176901073
CTSZ	0.0419248422523049	0.0199392501013428
CYBRD1	0.0395505416426844	-0.00967747456711006
CYTH4	0.0404357834119772	0.00924811740005774
CYTIP	0.0331043572182148	0.0354164751895683
DAB2	0.0404184184733552	0.0357761372586846
DCBLD2	0.0387000797933893	0.00477007362461577
DOK3	0.0388560647327205	0.0509853788427702
DRAM1	0.0417865514601834	0.0185120787286061
DSC2	0.0375835167377271	-0.0276893508188162
DSE	0.0405892497417025	0.0269424844197091
EFEMP2	0.0424386443713208	-0.0136631941036164
EHD2	0.0370312964391376	0.0375863095627659
ELF4	0.0419074564467915	0.0263961121456018
EMP3	0.0372054058390432	0.05972215574663
ENG	0.0385792988352865	0.0536766032502969
FCGR2A	0.037581870152822	0.0516194673315889
FCGR2B	0.0327428033774818	0.0714929342273409
FES	0.0380618967504518	0.0576805545374244
FHL2	0.0370481155098792	0.0341435354282426
FHOD1	0.0405598621045195	0.0418996058930062
FMNL1	0.038289730034568	0.0543510847351818
FNDC3B	0.0422950203432976	0.0107748715615156
FOLR2	0.0355816827807692	0.0531051348563279
FPR3	0.0385637135433324	0.0417195129591282
FURIN	0.0378834763817423	0.0617177366271694
FXYD5	0.0359566172534249	0.0699119937660357
GCNT1	0.0401212375508656	0.000223056418989463
GNA15	0.0359166808643823	0.0707430042084133
GRN	0.0415765443623461	0.0285178131682993
HEXA	0.0428678113727333	0.00799046065905651
HEXB	0.0412607842366837	0.0356160285362415
HFE	0.0336328701947265	0.00210645168931742
HK3	0.0281265281993518	0.101514956192991
ICAM3	0.0278613190517552	0.0554524145651287
IFI30	0.0390645339833073	0.0469690266773598
IGFBP6	0.0315554485117033	-0.057842889153087
IL15RA	0.0334425478767444	0.0854049152453915
IL1R1	0.0411349884530641	0.0299355739769698
IL4R	0.0410468155872027	0.0410019971971128
