""	PC1	PC2
HILPDA	0.0563083332454992	-0.13419089860062
ADM	0.0246745734587308	-0.190795776875602
DDIT3	0.0635689523256785	-0.09372929432932
NDRG1	0.00983834338173964	-0.193192538637916
HERPUD1	0.0647616901293765	-0.0972255663033974
DNAJB9	0.0719680468840148	-0.073010146788737
TRIB3	0.0203722831726921	-0.17002922042848
ENO2	0.0692701201804228	-0.0850893906438397
AKAP12	0.0220534953111957	-0.18879797175019
SQSTM1	0.0712689705698314	-0.047185267842345
ATF3	0.0505523376810125	-0.0797308675623286
NRN1	0.0284260688339494	-0.173410877273035
SLC2A1	0.0281295162796223	-0.163648715520177
BNIP3	0.0644020098295675	-0.0924874354593608
INSIG2	0.072987291681374	-0.0291119598188716
IGFBP3	0.0455885142290269	-0.122477767870181
PPP1R15A	0.0456839771333589	-0.120571108659231
PLOD2	0.065317373065255	-0.116304526950064
GBE1	0.0546807664929652	-0.133589197343022
SLC2A3	0.0241751723864303	-0.137029321849316
FTL	0.0645137326337355	-0.0961518363807688
WARS	0.0713983201553535	-0.055261735120832
XPOT	0.07381414902791	-0.0565913896869751
HSPA5	0.0774460391526617	-0.0138925541333937
GDF15	0.0637664137574291	-0.0335682284002605
EPAS1	0.0349030954524814	-0.172441361658922
LDHA	0.0736158969875543	0.00133432647051332
P4HA1	0.0637770808879941	-0.123086342496302
SERTAD1	0.063607173692281	-0.0923942299603856
PFKP	0.0607074806040648	-0.121360430614163
PGK1	0.0682083773425711	-0.0637102091165844
EGLN3	0.0443815414867806	-0.140699307817863
SLC6A6	0.00877119967370656	-0.148328567658917
CA9	0.0302100484318547	-0.175233406632016
BNIP3L	0.075596381146698	-0.0464842166744796
RPL21	0.0716348247437005	-0.000476374755060193
TRAM1	0.0786602606455879	0.00920890834215503
UFM1	0.0772351944052434	-0.0295587814015896
ASNS	0.0626165749138138	-0.125464655870574
GOLT1B	0.0756427598844947	-0.0344040540426118
ANGPTL4	0.0389296012289461	-0.119857130530588
SLC39A14	0.0686806570169268	-0.0865706973291638
CDKN1A	0.0762535332056118	0.0180187158971012
HSPA9	0.0767097223955146	-0.0387029834490359
CHI3L1	0.0632607007197684	0.033636199938317
ANXA2	0.0718245165159299	0.0515108572931723
ANXA1	0.0753131923111742	-0.0132662349965694
CD44	0.0676383212049303	-0.0204437307018654
