	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	1.0	0.17176562094892403	0.867513611615245	0.4108763287529168	0.9009592947886959	0.21441534871661913	-0.02229712211563391	0.44568317345086855	0.14039408866995073	0.2569354420534094	0.30716878402903813	-0.2601763028260306	-0.22141560798548093	0.46720248898107336	0.9054964998703656
FAO	0.17176562094892403	1.0	0.1223100855587244	0.6183562354161265	0.17883069743323826	0.5576225045372051	0.5571687840290381	-0.027806585429089967	0.21661913404200156	0.8531241897848069	0.3870884106818771	0.3758750324086077	0.2438423645320197	-0.02476017630282603	0.18207155820585946
G2M	0.867513611615245	0.1223100855587244	1.0	0.39019963702359345	0.9836012444905367	0.14687581021519316	-0.13501425978739953	0.5702618615504278	0.21156339123671247	0.24099040705211305	0.29621467461757844	-0.4429608504018667	-0.27365828364013484	0.6099948146227638	0.9817215452424164
GLYC	0.4108763287529168	0.6183562354161265	0.39019963702359345	1.0	0.4226082447498056	0.3385403163080114	0.7396940627430646	-0.14337568058076225	-0.05703914959813326	0.5486777288047705	0.43693284936479126	0.4522945294270158	-0.15186673580502982	-0.0681228934404978	0.42656209489240343
KEGG_CC	0.9009592947886959	0.17883069743323826	0.9836012444905367	0.4226082447498056	1.0	0.18971998962924552	-0.08815141301529686	0.5726600985221675	0.22822141560798548	0.2929089966295048	0.32175265750583354	-0.3870235934664247	-0.2331475239823697	0.6140134819808141	0.9996110967072854
NefAC	0.21441534871661913	0.5576225045372051	0.14687581021519316	0.3385403163080114	0.18971998962924552	1.0	0.386310604096448	0.06345605392792325	0.24863883847549909	0.5329271454498314	0.7996499870365569	0.138903292714545	0.04407570650764843	-0.004083484573502722	0.19010889292196007
NefMES	-0.02229712211563391	0.5571687840290381	-0.13501425978739953	0.7396940627430646	-0.08815141301529686	0.386310604096448	1.0	-0.4620171117448794	-0.18006222452683432	0.43835882810474464	0.38021778584392013	0.8295307233601245	-0.1086336530982629	-0.4866476536168006	-0.08335493907181747
NefNPC	0.44568317345086855	-0.027806585429089967	0.5702618615504278	-0.14337568058076225	0.5726600985221675	0.06345605392792325	-0.4620171117448794	1.0	0.6753953850142598	0.14117189525537982	-0.08374384236453201	-0.649144412756028	0.21733212341197822	0.9406922478610319	0.5670210007778066
NefOPC	0.14039408866995073	0.21661913404200156	0.21156339123671247	-0.05703914959813326	0.22822141560798548	0.24863883847549909	-0.18006222452683432	0.6753953850142598	1.0	0.26030593725693546	-0.038501425978739956	-0.30373347161005965	0.3326419497018408	0.6817474721285973	0.22336012444905368
OXPHOS	0.2569354420534094	0.8531241897848069	0.24099040705211305	0.5486777288047705	0.2929089966295048	0.5329271454498314	0.43835882810474464	0.14117189525537982	0.26030593725693546	1.0	0.35208711433756806	0.18174747212859735	0.26892662691210784	0.1542649727767695	0.29200155561317087
VerCL	0.30716878402903813	0.3870884106818771	0.29621467461757844	0.43693284936479126	0.32175265750583354	0.7996499870365569	0.38021778584392013	-0.08374384236453201	-0.038501425978739956	0.35208711433756806	1.0	0.13313456053927925	-0.21493388644023853	-0.11543946072076744	0.32447498055483537
VerMES	-0.2601763028260306	0.3758750324086077	-0.4429608504018667	0.4522945294270158	-0.3870235934664247	0.138903292714545	0.8295307233601245	-0.649144412756028	-0.30373347161005965	0.18174747212859735	0.13313456053927925	1.0	0.04044594244231268	-0.6829789992221934	-0.3799585169821105
VerNL	-0.22141560798548093	0.2438423645320197	-0.27365828364013484	-0.15186673580502982	-0.2331475239823697	0.04407570650764843	-0.1086336530982629	0.21733212341197822	0.3326419497018408	0.26892662691210784	-0.21493388644023853	0.04044594244231268	1.0	0.24001814882032668	-0.2339253305677988
VerPN	0.46720248898107336	-0.02476017630282603	0.6099948146227638	-0.0681228934404978	0.6140134819808141	-0.004083484573502722	-0.4866476536168006	0.9406922478610319	0.6817474721285973	0.1542649727767695	-0.11543946072076744	-0.6829789992221934	0.24001814882032668	1.0	0.608957739175525
WP_CC	0.9054964998703656	0.18207155820585946	0.9817215452424164	0.42656209489240343	0.9996110967072854	0.19010889292196007	-0.08335493907181747	0.5670210007778066	0.22336012444905368	0.29200155561317087	0.32447498055483537	-0.3799585169821105	-0.2339253305677988	0.608957739175525	1.0
