	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	1.0	0.16783216783216784	0.6153846153846154	0.1888111888111888	0.8671328671328671	0.013986013986013986	-0.16783216783216784	0.04895104895104895	-0.46853146853146854	0.3356643356643357	0.08391608391608392	-0.1258741258741259	-0.13986013986013987	-0.13286713286713286	0.8881118881118881
FAO	0.16783216783216784	1.0	0.35664335664335667	0.965034965034965	0.21678321678321677	0.4125874125874126	0.7132867132867133	0.1888111888111888	-0.11888111888111888	0.8811188811188811	0.5314685314685315	0.7552447552447552	-0.6153846153846154	-0.5734265734265734	0.23776223776223776
G2M	0.6153846153846154	0.35664335664335667	1.0	0.3146853146853147	0.8531468531468531	0.2517482517482518	0.08391608391608392	0.16083916083916083	-0.23776223776223776	0.4755244755244755	0.5244755244755245	0.06993006993006994	-0.6153846153846154	-0.3776223776223776	0.8741258741258742
GLYC	0.1888111888111888	0.965034965034965	0.3146853146853147	1.0	0.2097902097902098	0.5524475524475524	0.6363636363636364	0.3076923076923077	-0.07692307692307693	0.8951048951048951	0.6153846153846154	0.6573426573426573	-0.6433566433566433	-0.4755244755244755	0.23776223776223776
KEGG_CC	0.8671328671328671	0.21678321678321677	0.8531468531468531	0.2097902097902098	1.0	0.07692307692307693	-0.07692307692307693	0.0979020979020979	-0.4125874125874126	0.34265734265734266	0.23776223776223776	-0.055944055944055944	-0.34265734265734266	-0.25874125874125875	0.986013986013986
NefAC	0.013986013986013986	0.4125874125874126	0.2517482517482518	0.5524475524475524	0.07692307692307693	1.0	0.04195804195804196	0.8461538461538461	0.5874125874125874	0.5734265734265734	0.8461538461538461	0.027972027972027972	-0.7972027972027972	0.2517482517482518	0.13286713286713286
NefMES	-0.16783216783216784	0.7132867132867133	0.08391608391608392	0.6363636363636364	-0.07692307692307693	0.04195804195804196	1.0	-0.2097902097902098	-0.38461538461538464	0.6013986013986014	0.23776223776223776	0.972027972027972	-0.2727272727272727	-0.8251748251748252	-0.07692307692307693
NefNPC	0.04895104895104895	0.1888111888111888	0.16083916083916083	0.3076923076923077	0.0979020979020979	0.8461538461538461	-0.2097902097902098	1.0	0.6993006993006993	0.38461538461538464	0.6783216783216783	-0.20279720279720279	-0.6013986013986014	0.5104895104895105	0.1258741258741259
NefOPC	-0.46853146853146854	-0.11888111888111888	-0.23776223776223776	-0.07692307692307693	-0.4125874125874126	0.5874125874125874	-0.38461538461538464	0.6993006993006993	1.0	-0.07692307692307693	0.35664335664335667	-0.35664335664335667	-0.34965034965034963	0.7412587412587412	-0.38461538461538464
OXPHOS	0.3356643356643357	0.8811188811188811	0.4755244755244755	0.8951048951048951	0.34265734265734266	0.5734265734265734	0.6013986013986014	0.38461538461538464	-0.07692307692307693	1.0	0.7132867132867133	0.6083916083916084	-0.7342657342657343	-0.4825174825174825	0.4125874125874126
VerCL	0.08391608391608392	0.5314685314685315	0.5244755244755245	0.6153846153846154	0.23776223776223776	0.8461538461538461	0.23776223776223776	0.6783216783216783	0.35664335664335667	0.7132867132867133	1.0	0.14685314685314685	-0.8951048951048951	-0.06293706293706294	0.32167832167832167
VerMES	-0.1258741258741259	0.7552447552447552	0.06993006993006994	0.6573426573426573	-0.055944055944055944	0.027972027972027972	0.972027972027972	-0.20279720279720279	-0.35664335664335667	0.6083916083916084	0.14685314685314685	1.0	-0.25874125874125875	-0.7972027972027972	-0.06993006993006994
VerNL	-0.13986013986013987	-0.6153846153846154	-0.6153846153846154	-0.6433566433566433	-0.34265734265734266	-0.7972027972027972	-0.2727272727272727	-0.6013986013986014	-0.34965034965034963	-0.7342657342657343	-0.8951048951048951	-0.25874125874125875	1.0	0.11888111888111888	-0.40559440559440557
VerPN	-0.13286713286713286	-0.5734265734265734	-0.3776223776223776	-0.4755244755244755	-0.25874125874125875	0.2517482517482518	-0.8251748251748252	0.5104895104895105	0.7412587412587412	-0.4825174825174825	-0.06293706293706294	-0.7972027972027972	0.11888111888111888	1.0	-0.2517482517482518
WP_CC	0.8881118881118881	0.23776223776223776	0.8741258741258742	0.23776223776223776	0.986013986013986	0.13286713286713286	-0.07692307692307693	0.1258741258741259	-0.38461538461538464	0.4125874125874126	0.32167832167832167	-0.06993006993006994	-0.40559440559440557	-0.2517482517482518	1.0
