Patient,Assignment,count
LGG-03,Myeloid,3996
LGG-03,Glioma,2691
LGG-03,Oligo,740
LGG-03,Endo,92
LGG-03,TCells,64
LGG-03,Pericytes,21
LGG-03,Other,4
LGG-04,Glioma,8402
LGG-04,Myeloid,3158
LGG-04,Oligo,244
LGG-04,TCells,166
LGG-04,Endo,51
LGG-04,Pericytes,24
LGG-04,BCells,3
ndGBM-01,Glioma,15655
ndGBM-01,Myeloid,4139
ndGBM-01,Oligo,385
ndGBM-01,TCells,130
ndGBM-01,Pericytes,33
ndGBM-01,Endo,11
ndGBM-01,BCells,7
ndGBM-02,Myeloid,6638
ndGBM-02,Glioma,6136
ndGBM-02,Pericytes,1223
ndGBM-02,TCells,400
ndGBM-02,Endo,90
ndGBM-02,Oligo,26
ndGBM-02,BCells,18
ndGBM-02,Other,3
ndGBM-03,Myeloid,4339
ndGBM-03,Glioma,3857
ndGBM-03,TCells,765
ndGBM-03,Oligo,49
ndGBM-03,Pericytes,10
ndGBM-03,BCells,4
ndGBM-03,Endo,3
ndGBM-04,Glioma,4880
ndGBM-04,Myeloid,2329
ndGBM-04,TCells,111
ndGBM-04,Endo,46
ndGBM-04,Pericytes,28
ndGBM-04,Oligo,10
ndGBM-04,BCells,4
ndGBM-04,Other,3
ndGBM-05,Glioma,3406
ndGBM-05,Myeloid,2229
ndGBM-05,Endo,493
ndGBM-05,TCells,249
ndGBM-05,Pericytes,237
ndGBM-05,Oligo,109
ndGBM-05,BCells,4
ndGBM-06,Glioma,2788
ndGBM-06,Oligo,183
ndGBM-06,Myeloid,80
ndGBM-06,Pericytes,59
ndGBM-06,TCells,47
ndGBM-06,Endo,8
ndGBM-06,BCells,2
ndGBM-07,Myeloid,5143
ndGBM-07,TCells,2223
ndGBM-07,Glioma,783
ndGBM-07,BCells,449
ndGBM-07,Other,190
ndGBM-07,Oligo,117
ndGBM-07,Pericytes,28
ndGBM-07,Endo,3
ndGBM-08,Myeloid,3596
ndGBM-08,Glioma,1430
ndGBM-08,Endo,222
ndGBM-08,TCells,134
ndGBM-08,Pericytes,98
ndGBM-08,Oligo,15
ndGBM-08,BCells,2
ndGBM-09,Myeloid,2701
ndGBM-09,Glioma,1062
ndGBM-09,TCells,1041
ndGBM-09,BCells,109
ndGBM-09,Pericytes,12
ndGBM-09,Endo,9
ndGBM-09,Other,5
ndGBM-10,Myeloid,9712
ndGBM-10,TCells,152
ndGBM-10,BCells,5
ndGBM-10,Endo,3
ndGBM-10,Glioma,1
ndGBM-11,Myeloid,3823
ndGBM-11,TCells,87
ndGBM-11,Oligo,42
ndGBM-11,Glioma,21
ndGBM-11,Pericytes,3
ndGBM-11,Endo,3
rGBM-01,Myeloid,19015
rGBM-01,Glioma,1083
rGBM-01,TCells,576
rGBM-01,Oligo,422
rGBM-01,BCells,44
rGBM-01,Endo,7
rGBM-01,Pericytes,3
rGBM-01,Other,2
rGBM-02,TCells,10891
rGBM-02,Myeloid,8566
rGBM-02,Glioma,1321
rGBM-02,BCells,481
rGBM-02,Pericytes,373
rGBM-02,Endo,157
rGBM-02,Other,76
rGBM-02,Oligo,34
rGBM-03,Glioma,5899
rGBM-03,Myeloid,2523
rGBM-03,TCells,447
rGBM-03,Oligo,252
rGBM-03,BCells,45
rGBM-03,Endo,42
rGBM-03,Pericytes,16
rGBM-04,Glioma,17548
rGBM-04,Myeloid,5344
rGBM-04,Oligo,1992
rGBM-04,TCells,1122
rGBM-04,Pericytes,44
rGBM-04,BCells,14
rGBM-04,Endo,5
rGBM-05,Glioma,4801
rGBM-05,Myeloid,3623
rGBM-05,TCells,965
rGBM-05,Pericytes,66
rGBM-05,Endo,57
rGBM-05,BCells,14
rGBM-05,Oligo,8
rGBM-05,Other,2
