""	VerCL	VerMES	VerNL	VerPN
CXCR5	-0.0559126063016977	-0.219913691617321	0.0340457949262813	0.186421486852443
ATP5MG	0.0305643302313669	-0.0233928114061299	0.097669256381798	0.0416631093656621
RPL35	0.0451634935541706	-0.00119525313753949	0.0839238453000939	-0.0067446427046871
RPL27A	0.1628105523777	0.104926150431145	0.0753009476649876	0.131392469905233
VIL1	-0.0332806535070458	-0.137864786735863	0.232750963166092	0.193531913205286
GP1BB	0.0801382291203713	-0.101019007415586	0.0964032564240122	0.32789415853475
TMSB10	-0.0132331597370443	-0.00179287970630923	0.296422778109793	-0.0300520788867071
RPS18	0.212242807137369	-0.0437974899684112	0.0355160932297447	0.258260052932639
CHURC1	0.167762315376078	0.0399556048834628	-0.0995475113122172	0.337146760010245
RPL24	0.0150260394433535	-0.0437974899684112	0.0894732348672415	0.041748484589772
NDUFB1	0.258345428156749	-0.119013062409289	0.0691539315290703	0.34884316571331
RPS27	0.126526082130966	-0.0780329548365064	0.102962520276616	0.0998036369845471
RPL12	0.252625288141381	0.000426876120549816	0.0317595833689063	0.150004268761206
RPS7	0.226671220011953	-0.025527192008879	0.0600187825493042	0.0568598992572355
NDUFB8	0.205412789208572	0.00623239136002732	0.0838384700759839	-0.0321864594894562
MRPL40	0.0750448219926577	-0.125928455562196	-0.0904123623324511	0.187910868266029
TMEM256	0.26164354346146	-0.17062966931236	0.0186125934000974	0.263479189140828
RPS13	0.0823017160420046	0.0467856228122599	0.0268078203705285	0.0750448219926577
RPS25	0.168790420733845	-0.0265095729073641	0.101299865554227	0.0188683272545168
ATP5MPL	0.0100744914752623	-0.109453373485477	-0.0424750805842629	0.0313760645521942
PFDN5	0.212498932809699	-0.195423887987706	0.16357892939469	0.110304789550073
RPS8	0.0885341074020319	-0.0770938273712968	0.170579697771707	0.0528472637240673
CHCHD1	0.152053274139845	0.0554085204473662	0.0658242977887817	-0.0829847178348843
RPS20	0.281225988218219	-0.11687868180654	0.0788013318534961	0.259455306070178
ROMO1	0.303850422607359	-0.30265516946982	0.187996243490139	0.321523093998122
NPC2	0.0351745923333049	0.0700076837701699	-0.0132331597370443	0.207034918466661
NDUFA12	0.074447195423888	-0.220438828651925	-0.00495176299837787	0.200717151882524
COMMD1	0.111243917015282	-0.0921198668146504	0.0908392384530009	0.0499445061043285
S100A13	-0.0361990950226244	0.0564330231366857	-0.00239050627507897	-0.0252710663365491
ATP5MF	0.104499274310595	-0.0644582942030223	0.1165371809101	0.0839238453000939
RAB13	-0.0470417484845898	-0.194057884401947	0.168445317168958	0.157431913258772
RPL9	0.223426961495774	-0.142235123367199	-0.0338939639716554	0.0361990950226244
RPL32	0.108341159395543	-0.126696832579186	0.0741910697515581	0.118415435840519
OST4	0.375736361307948	-0.166396311790318	0.090753863228891	0.280884487321779
LACRT	-0.0426604063546521	0.251734830290965	0.0285683802314938	0.0813494235291415
RNF7	0.107361635848664	-0.124308979559169	0.0335104907122074	0.211137435748507
PADI4	0.0269180940127646	0.00541857736620586	0.0303265539689263	-0.0333854282885587
VEGFB	0.25510116964057	0.0610432852386238	0.242209510799966	0.284299496286178
SMIM26	0.144244519893693	-0.317816055225967	0.118417963357533	0.205886747394874
LAMTOR5	0.240245880645437	0.0456757448988304	0.149662767864766	0.16272517715359
DBI	0.241782634679416	0.16238367625715	0.172970204046786	0.197899769486895
RPS29	0.088277981729702	-0.183471356612311	-0.027917698283958	0.238538376163237
RPS11	0.198241270383335	0.0243319388713395	-0.0611286604627337	0.195423887987706
RACK1	0.199778024417314	-0.107572782378554	0.048834628190899	0.0781183300606164
SLC22A8	-0.125955251849352	0.125955251849352	0.088635177227322	0.107295214538337
DCD	-0.125955251849352	0.125955251849352	0.088635177227322	0.107295214538337
PRY2	-0.125955251849352	0.125955251849352	0.088635177227322	0.107295214538337
CXorf51B	-0.125955251849352	0.125955251849352	0.088635177227322	0.107295214538337
LCE6A	-0.125955251849352	0.125955251849352	0.088635177227322	0.107295214538337
EFCAB11	0.0566903588099508	-0.0257411794897593	0.00811081940805019	0.188725961068368
