""	PC1	PC2
BCAN	-0.0150705601634748	-0.0174603342179992
PLP1	-0.193576337638531	-0.19146343706064
GPR17	-0.113277740205158	-0.145036030947887
FIBIN	0.0211556042932981	0.0484411377302343
LHFPL3	0.0426147201382536	-0.00222200855503285
OLIG1	-0.143808701314311	-0.229635070039791
PSAT1	0.0237106496245671	0.0417042170258816
SCRG1	-0.201641637325086	-0.0273316771624198
OMG	-0.00488207649956703	-0.0373015668224429
APOD	-0.17881438819716	-0.209704461323854
SIRT2	-0.138585212138785	-0.074839329669352
TNR	0.0108856637684895	0.000253528470021443
THY1	-0.0308925899028499	0.119580744419806
PHYHIPL	-0.141176391392977	0.161113180834398
NKAIN4	-0.0587276891897509	-0.152507098220311
PTPRZ1	-0.245969172828293	0.0190164970153339
VCAN	-0.0494176872448083	0.153090861177939
DBI	0.0254541944900038	-0.0476771820987888
PMP2	-0.193120775784396	-0.177260062209466
CNP	-0.199533788750391	-0.0716931256751739
TNS3	-0.107418995917954	0.0219397391169839
LIMA1	-0.0488505656919065	-0.0187718335703917
CA10	-0.00561706624594839	0.0841640596011397
PCDHGC3	-0.11043708508659	0.00164594194503196
CNTN1	-0.0157204223780496	0.0669630221966154
SCD5	-0.0271530963449688	0.144868935943807
P2RX7	-0.11017566173657	-0.135888849875569
CADM2	0.000878454795375285	-0.0250883289827583
TTYH1	-0.197613761161606	0.0718499287222772
FGF12	-0.0297427310058755	0.0879429608698038
NEU4	-0.0304048878375086	-0.0609280629899129
FXYD6	0.00478116730432253	-0.00843816527086395
RNF13	-0.0468963161796291	0.0607438221993452
RTKN	-0.144173021643003	-0.136522787728262
GPM6B	-0.220050490509133	0.0885473521256954
LMF1	-0.0947818107960013	0.0160820721545066
ALCAM	-0.03610623484542	0.089103675021357
PGRMC1	-0.0958553144707636	0.190547781361807
BCAS1	-0.183070053468332	-0.122453461199241
RAB31	-0.0325794420065149	0.158421910533494
PLLP	-0.072774042009534	-0.00360353327831344
FABP5	0.022722375226923	0.0125113217853729
NLGN3	-0.12509972578891	-0.0876483583760687
SERINC5	-0.125097003011214	0.0031750673031235
EPB41L2	-0.132014570747543	-0.00476628685283257
GPR37L1	-0.136316714210185	0.160856397404434
CST3	-0.121960135815387	0.0100211431772345
S100B	-0.230807121648202	-0.124202638802657
SLC1A3	0.0616144006930218	0.0853670849080834
HEPN1	-0.14586520262272	-0.186305730140217
HOPX	0.0645123754229318	0.0468139325715889
MT3	-0.0732817526804612	0.114671531631487
SPARCL1	-0.14532053924167	0.215572162567297
MLC1	-0.138734694332707	0.236963674040838
GFAP	-0.173013072143036	0.19317767622915
FABP7	-0.192815184147004	0.154461045237324
PON2	-0.129015911209354	0.13047397503387
METTL7B	-0.0401400147561645	0.0890183807436747
SPARC	-0.0820338537686492	0.0227793834922887
GATM	-0.112319469238751	-0.00136690995875771
RAMP1	-0.0871455539488887	-0.00220971186425297
AQP4	-0.10821703973243	0.230160397632921
EDNRB	-0.201393278927429	-0.0382767639992298
CLU	-0.025319510651433	0.270588765604171
PMP22	-0.187590492959565	-0.050012936021184
ATP1A2	-0.0221358309884195	-0.110844985177073
S100A16	-0.00531470131658885	0.0877933196193277
HEY1	-0.126109318901958	0.0275128259023275
NDRG2	-0.0857623327980356	0.0760207829390085
PRCP	-0.0411034947740874	0.093907050638652
ATP1B2	-0.11614079425722	0.164066803793705
AGT	-0.0132083204390776	0.0526630708843404
PLTP	-0.0292153598313778	0.123473443771754
F3	0.0581710034727805	0.0990414025262582
ANXA5	0.00721305975949795	-0.0040078240139178
TSPAN7	-0.057106580156829	-0.0849386665102329
