""	PC1	PC2
ACSL4	0.0291614914480358	-0.0442148900410814
ACYP2	-0.0398328897174671	0.0851454962324367
ADD3	-0.0859669275693445	0.0100817416808036
AGTPBP1	-0.0714680819937602	0.0123097346202544
AKR7A3	-0.0164031862538221	-0.00747358903102485
ANKRD46	-0.0602310060625542	-0.025360008996228
ANKS1B	-0.0155472568706727	0.0158117494943085
ANXA3	-0.0346057024159913	-0.0445084513053775
ANXA7	0.0364851336578506	-0.0760170398593603
ARRB1	0.00702510608947783	-0.0607666080120959
ATP5MG	0.0695141694883833	0.0273645993640608
ATP5PB	0.0120076590374164	-0.00758697417734303
ATRNL1	-0.09090861011591	0.0777524254438424
BASP1	-0.0101473063018144	-0.0739456675774535
BCAS1	-0.0330365835667698	0.0552905690745189
BEST1	0.019433976869462	0.0252258910699577
CA4	-0.0366980112590175	0.0800914798079688
CALM2	-0.0588832839309631	-0.0688206712945899
CAMK2G	-0.0635745651139488	-0.0846065175094852
CASQ1	-0.0680186024812401	0.0731563110398536
CCDC121	-0.10500518623557	0.0128003379932238
CCK	-0.0295278756259851	-0.0576816092517849
CDC42	0.0179722462017663	-0.042479740499546
CDR1	0.026247954783355	0.0707716357489534
CHN1	-0.101776384062766	0.0744380202868317
CLCA4	-0.00682212533976485	0.00887348182139537
COX5B	0.00682841059140838	0.0275538380784594
CPNE6	-0.0302237053762006	-0.00935270386693746
CRBN	-0.070490744892049	0.0190349692431727
CRYL1	-0.0514886905888583	0.0803020146967777
CRYM	-0.00757043516116571	0.0139475274871345
CRYZL1	-0.0509714340598807	0.053988806147613
CUTC	-0.0180197938501804	-0.063038403324741
CYRIB	-0.0710700083453965	-0.0882150653853496
CYTH1	-0.0651547811299776	0.00280487153160682
DHRS9	0.00200063942638814	-0.0775757321850705
DYNC1I1	-0.065263214434393	0.088279771318468
EDIL3	-0.0314295939989347	0.078279393457087
ENPP2	-0.0181324662932781	0.0757492898612946
ENPP4	-0.0809287349502613	0.0384949406527531
EPB41L3	-0.0299806933733341	-0.0102169891902072
ETNPPL	-0.0533617973022907	0.0220899258431718
EVI2A	0.0637169357122888	-0.00301103724628628
FBXO3	-0.0532541885111385	0.00783203640318659
FEZF2	0.0104451388181657	-0.0120759598997388
FHIT	-0.0220690458856503	0.0717144534236263
FUT9	-0.0552135059353998	0.00965749573197287
FXYD1	-0.00395298333812655	0.0607863723375579
GABARAPL2	-0.106419847297944	0.0463904843166728
GABRB2	-0.00983576132605665	-0.0362862741061429
GNAI1	-0.0656932898005283	0.0576578413026426
GPR22	-0.0239642782635301	-0.0115744779446708
GRM1	-0.0384747054452468	0.0872086180364205
GRM3	-0.0659678731405935	0.00657462245092845
GUK1	-0.0672167599352747	0.0117152100303005
HPCA	-0.0360775260998063	-0.0451874934435679
HPCAL4	-0.0155393144763589	-0.0558014572601815
HPRT1	0.00322957747536649	-0.11254022120068
IMPA1	-0.0801560590725756	-0.0522550019285623
KCNJ3	-0.0565925326122777	0.033360431045398
KCNK1	-0.0377059241690808	-0.0214247402335342
LYRM1	0.0249808352654149	0.0328622996374622
LYRM9	-0.0223669050984549	0.153754019817792
MAGEH1	-0.0176423529469378	0.0112678849192874
MAT2B	-0.0437707980337225	0.000377774460525172
MBP	-0.00941821395793613	0.0229502290560557
MDH1	-0.0416283933675047	-0.00395096957868882
MGST3	0.0314563977997901	0.0886096844534626
MMD	-0.0187735240971375	-0.121097959799412
MORF4L2	-0.0051763918749667	-0.00551547241244406
MRPL49	-0.0338133592722639	-0.0878590017291385
MSRB2	0.037150166734471	0.0712069444332979
MYBPC1	-0.0620326951473697	0.0682050572996991
NANOS1	-0.00877915662299237	-0.0261689958813244
NDRG2	-0.0527516395860105	0.037465522968199
NDUFS3	0.0122672595015509	0.00071086102814456
NSL1	-0.101848858647702	-0.0719628664924354
NTSR2	-0.0294283373569565	0.00259083630398812
ORC4	-0.0757239627739455	-0.0659422859641915
PARP8	-0.0217646990016198	0.0175938081821019
PDE6D	-0.0186025649678745	0.0158029721781493
PEX11B	-0.0532610677657173	0.08472964108943
PEX19	-0.105907896310505	-0.0332073381283777
PGBD5	-0.0484518088146054	0.0329512009834105
PLCL1	-0.0249366748671612	0.0289245287958629
POPDC3	-0.0169946198029037	-0.00582513428957563
PPA1	0.00797676505266943	-0.142644854174639
PPFIA2	-0.0456186476773632	0.0281832468671261
PPP1R1A	-0.00786741542939263	-0.0150769566049019
PPP2R5A	-0.076400581672397	-0.0609904297429307
PRPSAP2	-0.054743886079758	-0.0204015157312461
REPS2	-0.0286605843369584	-0.0447412315237521
RERGL	0.0277035023506142	-0.0385740289144167
RND1	-0.118485012506272	0.0225807129784897
ROGDI	-0.0662820392927874	-0.00433337589752912
S1PR1	-0.000338811679847974	-0.0328422716043416
SAR1A	0.0044085166199401	-0.024152565841033
SCHIP1	-0.0748097387336843	0.0757870011396179
SELENOP	-0.0597947133598917	0.118783940810857
SELENOW	0.0092944958761406	0.0596338170341287
SERPINI1	-0.0354816738349361	0.0692988761153364
SGK3	-0.0408386982699455	-0.0335592542467032
SH3GL2	-0.0351822868360813	-0.0407481687349194
SH3GL3	-0.0105795889336504	0.0108681928914174
SHTN1	-0.0823225614887822	-0.0808391067403453
SIRT5	-0.0211816251367856	0.0289251222139984
SLC16A7	-0.0266318453131064	-0.0637351890254346
SLC30A10	-0.0158778418117121	-0.0234210387370824
SLC31A2	-0.0510558972532889	-0.0258401319519041
SLCO1A2	-0.0412337885789086	-0.021303408428629
SNCG	-0.0323359702337473	-0.0456179300956116
SNX11	-0.128878334645527	-0.0463037085994985
SPAST	-0.0944785764863374	0.00236008213499919
TCEAL1	-0.00659426058795588	-0.00344409136771808
TCEAL2	-0.0269790523991688	-0.0598062865479665
THTPA	-0.0383569499346431	-0.0100292619892698
TMEM144	-0.00367872004934816	0.0239360497244276
TPM3	-0.0786471171599183	-0.0985257424343762
TSNAX	-0.0743466116466839	-0.015077359553814
TTC1	-0.0147547270968109	0.00980384901242138
TTPA	-0.0860255903063741	-0.0407238895468737
UGT8	-0.0539801569443569	0.00109068862607953
UROS	-0.00193917533214913	0.0170424009445984
USP33	-0.0602884523850613	-0.0108341788501427
VIP	0.00281964870935036	-0.0499278009025754
VSX1	-0.0277372186208325	-0.0736621939882226
YPEL5	-0.0109312226199215	0.124840016116948
ZSCAN31	-0.0342691418362128	-0.00554145041863755
ABAT	-0.0741298638032874	0.0109366306722264
ACTR1A	-0.0276608253106491	-0.0515218717663441
ADGRB3	-0.0428584661621197	-0.000959140984502909
ADGRL3	-0.089259835189849	0.0572185133689779
ALCAM	-0.0243142225081484	0.0552622898358048
AMOTL2	-0.0650861869380021	-0.027708036548797
ARHGAP33	-0.092433965021749	-0.0524266350840705
ARHGEF9	-0.0621424862327987	0.0624200480396428
ASCL1	-0.0506177043141688	-0.0372716403467387
ATAD5	-0.0905794341258444	-0.134166886122234
ATAT1	-0.0719087579303476	0.0136009039938595
ATP1A3	0.00727817603218445	-0.0495709318592804
BCAN	-0.0354434625700989	-0.00754792648673046
BCL7A	-0.0595377720660545	-0.065616320485623
BCOR	-0.080791967073837	-0.0396558987696767
BEX1	0.0322722270703017	-0.0143680426276631
C1QL1	-0.084124347049483	0.0469166263225495
CA10	-0.00175286225759844	-0.0211234400450871
CAMSAP2	-0.12175366204798	0.0123924443876312
CASK	-0.0570496686798774	0.0194831339618351
CBX1	-0.107154936922499	-0.0495487699369147
CDC25A	-0.0555076984364385	-0.165723716753726
CDC7	-0.0497043739722306	-0.129649224040682
CDK5R1	-0.0530198291659809	-0.0720251526636702
CDKN1B	-0.0424886076534477	0.00103671429571201
CELF3	-0.100642334168009	-0.00214505810111751
CHD7	-0.0674807618644272	-0.0182726919783223
CILK1	-0.0359355360937824	0.0947669350203344
CKB	-0.0761050790984883	0.00306784173817402
CLASP2	-0.093306735746748	-0.0372743252682522
CLGN	-0.0323647518529139	-0.0194982898388222
CNTN1	0.00763028283356203	-0.00416704987289272
CRB1	-0.0671438105707748	0.0261866634692691
CRMP1	-0.0567315376150324	0.0450799253443174
CSNK1E	-0.033796590945494	-0.0747354266293494
CSPG5	-0.114421884928866	0.0444347335088839
CXXC4	-0.0428415328331166	0.0247945733670233
DBN1	-0.0720834044601241	0.00831975518695356
DCAF7	-0.103498204530541	-0.0586198363035681
DCX	-0.0445856805119565	0.0328789701012345
DGKI	0.0119672154167327	-0.0168288047665426
DLL3	-0.00652267007987031	-0.0413503401107902
DNM3	-0.052834948906098	0.0697286005108494
DPF1	-0.083692858419712	-0.110203509552964
DPP6	-0.0642162475500903	0.0233751564975197
DPYSL4	-0.0448851948111936	0.0828841973197252
DUSP26	-0.0484339286440308	-0.0045551354720387
E2F3	-0.0966511637705187	-0.0418344642507191
EPB41	-0.0820917752820811	-0.0605481710673178
EPHB1	-0.00414672506001146	0.0188403684713855
ERBB3	-0.0114748124847229	0.000382108913718008
FAM110B	-0.069530862829162	0.0438659859096777
FBXO21	-0.119540313321576	-0.0104353274055997
FERMT1	0.0399846140850548	-0.0923938124385347
FGF9	-0.0220696236692007	-0.0399077535533
FHOD3	-0.0231811478149893	0.00293354094242625
FLRT1	-0.0511364504052784	0.0230848830787782
FXYD6	-0.00549327615281931	-0.00215081985322406
GABRA3	0.0197237562767134	-0.0369877176142949
GADD45G	-0.0670164941470229	0.0530356187390133
GNG4	-0.0647354647670192	0.000816828945543061
GPM6A	-0.0945542886930251	0.072631189849473
GPR17	-0.0271305974692015	0.0428124236729977
GRIA2	-0.0313657298854712	0.0467472215435267
GRID2	-0.0742925383126975	0.00845443177192112
GSK3B	-0.0320899965975522	-0.063710072476625
GSTA4	-0.0186593790458103	0.126328248026424
HDAC2	-0.0711376057685287	-0.119097867762746
HMGB3	-0.0552207768928815	-0.117255785166516
HOXD3	-0.0655503533773177	0.06143286480416
IL1RAPL1	-0.00470122222580864	-0.0819609544929879
INAVA	-0.0766888240781068	-0.0656701348309156
JADE3	-0.080121392259036	-0.0373843376052394
JPT1	-0.0104355819344053	-0.141777458719839
KAT7	-0.113747564146849	-0.0358373204843623
KDM1A	-0.00972212622083144	-0.109832638398709
KIF21B	-0.033664399497247	-0.0238027783967444
KLRC3	0.0117010668710925	0.0168053675054304
KLRC4	0.030343188055514	0.0104162645115462
KLRK1	0.0115240851564523	0.0028928867386852
LPAR4	-0.0573677694089874	0.0622840914096058
LRP6	-0.0931995379962409	0.0401678890767225
LRRTM4	-0.0423792678725692	0.0574415959121271
MAP2	-0.0760428111539773	0.0594058135074737
MAPT	-0.00381122997029984	0.0482778295623984
MARCKS	-0.0139902282788905	0.0583490636115374
MARCKSL1	-0.00772668855082405	0.0514017365188158
MAST1	-0.059482788915493	-0.102045223335211
MATR3	-0.0955956952401217	-0.0699659457623246
MCM10	-0.0630050633988118	-0.163389545257096
MLLT11	-0.0609191452064951	0.0276141747712113
MMP15	-0.0600083312892675	0.104715331283857
MMP16	-0.00159182829168155	0.0195029103525576
MPPED2	0.0186642964539951	0.00611903277007809
MTSS1	-0.0505693350520973	0.0525666450806759
MVB12B	-0.0736135656634999	0.0513072450051358
MYB	-0.0240617596014365	-0.0707762365082466
MYO10	-0.0667325952994073	-0.0372332847018093
MYT1	-0.0447642340581584	-0.0223273986624268
NCALD	-0.0807614178729926	0.0673572736686773
NCAM1	-0.0282348921495334	0.0114101126633701
NKAIN1	-0.0237861827271251	0.0697040860991276
NLGN3	-0.0500118886841656	0.0590084987601153
NOL4	-0.0997736978202965	0.048090673320469
NR0B1	-0.00344787454753411	0.00386349819522478
NRXN1	-0.0670266272021865	-0.0468982477884766
NRXN2	0.0162839892163144	0.0528090566104672
OLIG2	-0.00772085986820162	-0.00453334271165647
P2RX7	-0.0512591271167823	0.0148033679678339
PAFAH1B3	-0.017622800689151	-0.0816456834517108
PAK3	-0.00733006644188276	-0.0338814515026832
PAK5	0.000491783364477748	-0.00721527070497111
PCDH11X	-0.0427082644357544	0.0209309667231386
PCDH11Y	-0.0515273477219506	-0.011970303943612
PDE10A	0.00917812166989354	-0.0469759748757048
PELI1	-0.119559888312934	0.0341996821797365
PFN2	-0.000862192235385774	0.0878197330101268
PHLPP1	-0.115337131787207	-0.00602397789204119
PLAAT1	-0.0240237942746145	-0.00449931149043345
PLCB4	-0.0283790178561669	-0.0469840710060191
PODXL2	-0.071253294627352	0.0612777177252425
PPM1D	-0.120165093384778	-0.0223742652985912
PPM1E	-0.0808901838937778	-0.00865096446917152
PURG	-0.0971385293759899	0.0420137305136846
RAB33A	-0.0230685013669087	-0.0129099184793795
RAD21	-0.0715906873500544	-0.110727918304727
RALGPS1	-0.0688521936491459	0.0368217866958754
RALGPS2	-0.0321218382390359	0.0011985528833782
RAP2A	-0.0903433435445232	0.00284034640647118
RBPJ	-0.00755411093719652	-0.0289102059360278
REEP1	-0.0809429366136122	0.073017179367085
REXO5	-0.0416562552815583	-0.107955700564126
RNFT2	-0.00784215193459623	-0.0614939288841591
RUFY3	-0.0655802237521385	0.0260474934052618
SATB1	-0.026318429808669	0.0975280210172764
SCG3	-0.0941876028245674	0.0361699217052379
SCN3A	-0.036351304735928	-0.0379116429994929
SEC61A2	-0.0891331477003852	-0.0124139717569221
SEZ6L	0.025607052879794	0.01785284327365
SLC1A1	-0.0365790492107374	0.0233676911200225
SLCO5A1	-0.0581672944908384	0.0525778409190507
SORCS3	0.0101567159093862	-0.0234495447658701
SOX10	-0.0130407484588743	0.0279398497739681
SOX11	-0.0159208750789325	0.0160398586405777
SOX2	-0.0958293082631288	0.0771753596380184
SOX4	-0.0558734366882631	0.123254920606201
SPTBN2	-0.0598411465507608	-0.0818504154317207
SRGAP3	-0.112524866968319	0.0670823785637403
STMN1	0.00218685718435409	-0.131159848401655
STMN4	-0.0290129894309952	0.0228246749240214
TAF5	-0.0693100824686679	-0.147108315951128
TMCC1	-0.081422928260028	0.0449514848087401
TMEFF1	-0.0867413364002966	0.00839269580613688
TMEM35A	-0.0397570102271766	0.0105331755119398
TMSB15A	-0.015904292857506	0.00587049850934201
TOP2B	-0.0696308257167239	-0.00230618589950141
TOPBP1	-0.0931483575631884	-0.143463582068579
TOX3	-0.0354119308544108	-0.0392981476355135
TSPAN3	-0.104521678958532	0.0742061371933128
TTC3	-0.0549616059808641	0.0826897681348381
TTYH1	-0.0703469540075728	0.0820103327402209
VAX2	-0.0187823584357307	0.054894845708114
VEZF1	-0.117819455512617	-0.0363190254376213
WASF1	-0.0871708298277343	-0.0663189222764326
YPEL1	-0.115661634032017	0.044343428399507
ZC4H2	-0.0447701537233472	0.0437892944806606
ZEB2	-0.0430981736170773	0.0466975732934073
ZFP69B	-0.0518669978099216	-0.0191151559416154
ZNF184	-0.0602653691946067	0.00483441839848339
