	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	PD-L1	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	0.0	0.0005066190663052084	2.155031274835775e-05	0.17047066078705375	0.0005066190663052084	0.0015905004234978686	0.0015905004234978686	0.13922686754397814	0.0005066190663052084	0.0037047773275858133	0.005265691029161748	0.0024953982859902053	0.005265691029161748	0.0009430623223403293	2.155031274835775e-05	0.0009430623223403293
FAO	0.0005066190663052084	0.0	0.0005066190663052084	0.11163298761149111	0.0009430623223403293	1.9361963037459243e-06	0.0015905004234978686	0.17047066078705375	2.155031274835775e-05	0.00023589981215941676	0.0015905004234978686	0.0024953982859902053	0.0015905004234978686	0.029818035695845287	0.0005066190663052084	0.00023589981215941676
G2M	2.155031274835775e-05	0.0005066190663052084	0.0	0.12497678418833198	2.155031274835775e-05	0.0009430623223403293	0.00023589981215941676	0.18746985521554207	8.762523965086177e-05	0.0015905004234978686	0.00962792472537983	0.0009430623223403293	0.00962792472537983	0.005265691029161748	0.0	0.00023589981215941676
GLYC	0.17047066078705375	0.11163298761149111	0.12497678418833198	0.0	0.06708578689234565	0.05807305801714863	0.04986723056888511	0.11163298761149111	0.0876228290414024	0.029818035695845287	0.26458604674749614	0.03576957497026169	0.019942126131992522	0.4063970144863861	0.12497678418833198	0.05807305801714863
KEGG_CC	0.0005066190663052084	0.0009430623223403293	2.155031274835775e-05	0.06708578689234565	0.0	0.0015905004234978686	1.9361963037459243e-06	0.22421610749233659	2.155031274835775e-05	0.0015905004234978686	0.012519873019449882	0.0024953982859902053	0.005265691029161748	0.029818035695845287	2.155031274835775e-05	1.9361963037459243e-06
NefAC	0.0015905004234978686	1.9361963037459243e-06	0.0009430623223403293	0.05807305801714863	0.0015905004234978686	0.0	0.0024953982859902053	0.20538635110581185	8.762523965086177e-05	2.155031274835775e-05	0.00962792472537983	0.0009430623223403293	0.0009430623223403293	0.03576957497026169	0.0009430623223403293	0.0005066190663052084
NefMES	0.0015905004234978686	0.0015905004234978686	0.00023589981215941676	0.04986723056888511	1.9361963037459243e-06	0.0024953982859902053	0.0	0.26458604674749614	0.00023589981215941676	0.0024953982859902053	0.01594401657897401	0.0015905004234978686	0.0024953982859902053	0.05807305801714863	0.00023589981215941676	2.155031274835775e-05
NefNPC	0.13922686754397814	0.17047066078705375	0.18746985521554207	0.11163298761149111	0.22421610749233659	0.20538635110581185	0.26458604674749614	0.0	0.18746985521554207	0.26458604674749614	0.029818035695845287	0.30849527238037144	0.26458604674749614	0.2861051019083129	0.18746985521554207	0.20538635110581185
NefOPC	0.0005066190663052084	2.155031274835775e-05	8.762523965086177e-05	0.0876228290414024	2.155031274835775e-05	8.762523965086177e-05	0.00023589981215941676	0.18746985521554207	0.0	0.00023589981215941676	0.0037047773275858133	0.0037047773275858133	0.0037047773275858133	0.029818035695845287	8.762523965086177e-05	1.9361963037459243e-06
OXPHOS	0.0037047773275858133	0.00023589981215941676	0.0015905004234978686	0.029818035695845287	0.0015905004234978686	2.155031274835775e-05	0.0024953982859902053	0.26458604674749614	0.00023589981215941676	0.0	0.029818035695845287	0.00023589981215941676	0.0005066190663052084	0.029818035695845287	0.0015905004234978686	0.0009430623223403293
PD-L1	0.005265691029161748	0.0015905004234978686	0.00962792472537983	0.26458604674749614	0.012519873019449882	0.00962792472537983	0.01594401657897401	0.029818035695845287	0.0037047773275858133	0.029818035695845287	0.0	0.05807305801714863	0.03576957497026169	0.0876228290414024	0.00962792472537983	0.007224785246358786
VerCL	0.0024953982859902053	0.0024953982859902053	0.0009430623223403293	0.03576957497026169	0.0024953982859902053	0.0009430623223403293	0.0015905004234978686	0.30849527238037144	0.0037047773275858133	0.00023589981215941676	0.05807305801714863	0.0	0.0009430623223403293	0.01594401657897401	0.0009430623223403293	0.005265691029161748
VerMES	0.005265691029161748	0.0015905004234978686	0.00962792472537983	0.019942126131992522	0.005265691029161748	0.0009430623223403293	0.0024953982859902053	0.26458604674749614	0.0037047773275858133	0.0005066190663052084	0.03576957497026169	0.0009430623223403293	0.0	0.04986723056888511	0.00962792472537983	0.0024953982859902053
VerNL	0.0009430623223403293	0.029818035695845287	0.005265691029161748	0.4063970144863861	0.029818035695845287	0.03576957497026169	0.05807305801714863	0.2861051019083129	0.029818035695845287	0.029818035695845287	0.0876228290414024	0.01594401657897401	0.04986723056888511	0.0	0.005265691029161748	0.04986723056888511
VerPN	2.155031274835775e-05	0.0005066190663052084	0.0	0.12497678418833198	2.155031274835775e-05	0.0009430623223403293	0.00023589981215941676	0.18746985521554207	8.762523965086177e-05	0.0015905004234978686	0.00962792472537983	0.0009430623223403293	0.00962792472537983	0.005265691029161748	0.0	0.00023589981215941676
WP_CC	0.0009430623223403293	0.00023589981215941676	0.00023589981215941676	0.05807305801714863	1.9361963037459243e-06	0.0005066190663052084	2.155031274835775e-05	0.20538635110581185	1.9361963037459243e-06	0.0009430623223403293	0.007224785246358786	0.005265691029161748	0.0024953982859902053	0.04986723056888511	0.00023589981215941676	0.0
