""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
A1BG	0.0832078145474027	0.0530662004328552	0.00395126364909268	-0.00147880107330534	-0.029639465077424	0.0396798969284985	0.0515204329910653	0.0446003610550552
A1BG-AS1	0.0750860611702136	0.071383477420039	0.000194190390420373	-0.0168772295763292	-0.0354463785730187	-0.00365435753798705	0.0603391436060523	0.0437738409976394
A1CF	-0.016585762840654	0.00589471298578977	0.0141363698852721	0.0178079473213944	0.0158192137168626	-0.00744001786660311	0.0011512874463575	-0.0377970154106811
A2M	0.406525952280723	-0.0970615974838001	-0.350529261735742	-0.372953276450468	-0.411257383745198	-0.126076384890491	-0.10457995279836	0.493856005319439
A2M-AS1	0.0780887127431439	-0.0153398304997487	-0.0591266183623398	-0.0651775406381192	-0.0729014868239567	0.00170540959012261	-0.0348020119825753	0.098833109902337
A2ML1	0.024201254323718	0.0293329692045153	0.0103412635827701	-0.0104755586226458	-0.00538088712310964	0.00109265856069568	0.0130815287888698	0.0127382217908737
A2MP1	-0.034947364054757	-0.0181738086202516	0.027395008343441	0.0155379168479716	0.0264743410278921	0.046009109808017	-0.0210879058228877	-0.0118968151897917
A4GALT	0.0845607218446521	0.0172695959392568	-0.0280956685904074	-0.026873584222676	-0.0486541033915162	-0.00326220605025254	-0.00201970415373431	0.0641677167225052
A4GNT	0.0288739497915195	-0.0186488758776019	-0.0261994595512687	-0.0249639209507889	-0.0219136087229888	-0.0085610948423576	-0.0190326358447842	0.0234205354365499
AA06	0.0182666788035323	-0.0102285559005833	-0.0160051141327456	-0.0141458220901692	-0.0145333788337082	-0.0193999149631706	-0.00516333549727	0.0139692420357728
AAAS	-0.0228018400541333	0.094936215312502	0.0802158325499392	0.0720361704459086	0.0657443158092611	-0.0148594945458749	0.0501270065389942	-0.0898378612615986
AACS	-0.0217075170376257	0.0205835063982583	0.049424090962275	0.130538202259374	0.110020955399742	0.00948210452017853	-0.0167505226402102	-0.125479859992551
AACSP1	-0.0120531172236106	0.00535865657790038	0.0244368111821435	0.016346691973659	0.0246341307438335	0.0141235529958447	0.00520326495067591	-0.0202091216513768
AADAC	0.00619149951572576	0.0091276639880244	-0.00281720994810722	-0.0112410239992783	-0.0153458237366553	0.00154413199685284	0.000772992679562272	0.0121508386088848
AADACL2	0.019427255961908	0.0186997127581654	-9.53582074517795e-05	-0.000221685942591555	-0.00823638056925083	-0.00515413188048103	0.0163109407441935	0.0115416330764323
AADACL3	0.0102482847380925	0.00552306067622088	-0.014524556074618	-0.0194410932123785	-0.0139768507100828	-0.0102572534250109	0.000138075038467515	0.0179918640051103
AADACL4	-0.00588104318448105	0.00189010644687259	-0.00260013748474304	0.0165898261013363	0.0073899992786864	0.0101534762069457	0.00677548810081948	-0.0123367111503251
AADAT	-0.165458017454996	0.0331923979909714	0.179867924977512	0.20486177535823	0.22469008751532	0.0411517276280395	-0.0388009940226722	-0.200692550210227
AAED1	0.136402251718076	0.0439498780468801	-0.034772868604523	-0.115098123426845	-0.119789764124938	-0.00391850045521119	0.0201742105869496	0.120536487953232
AAGAB	0.0461723530245481	0.123294082410131	0.0558038931465443	0.0194172675829872	-0.00330170717892806	-0.0358388306328516	0.080808744922407	-0.0201313388286369
AAK1	-0.0881523655644355	-0.102884287825748	-0.0321649192437863	0.131687029041016	0.101363269593653	0.0523267801114414	-0.0568052274990283	-0.0836118809296742
AAMDC	0.102553517553391	0.164911267333916	0.0571458702890289	-0.0535986552080184	-0.0547992798487105	0.00441718624676965	0.130040840644521	0.0748345097309578
AAMP	-0.00687806247368916	0.119189676236778	0.10302358862601	0.0707730929464894	0.0740330529748221	0.0303620797310552	0.0818776725586149	-0.0923183339246468
AANAT	0.0982146657198167	-0.0882455196163533	-0.125311119662297	-0.131191576660277	-0.138731201405611	-0.0389859806826126	-0.0872956627961161	0.140990199135623
AAR2	0.0219090501722264	0.0906544065167816	0.0494644211768319	0.0383758618084926	0.033475662025609	-0.0194298217472256	0.0768614885626426	-0.0622823919850671
AARD	-0.0436959143387025	-0.0254545459433641	0.00529702491831753	0.0420397690747476	0.052118882905679	-0.0220383527778405	0.00175532417556597	-0.0532309296619288
AARS	0.0852103101916329	0.134324222947249	0.100929547425453	0.000785294840579423	0.00375905700286506	0.0136073836058663	0.0978008194256851	-0.0335832700820547
AARS2	-0.0839705894968327	0.00101683080340032	0.0331602470627785	0.111824781710403	0.0944255068747981	-0.0466946343052961	0.00653827872810033	-0.11024512189682
AARSD1	-0.0772662261891383	0.0445621843496896	0.12361210215804	0.145467394518892	0.14913872647554	0.0167320570187196	-0.00767167487752197	-0.160414254245488
AASDH	-0.041828341703771	0.0861965857735749	0.0610435351282285	0.107229041211432	0.0922897657521896	0.0268986127765941	0.0642730784093429	-0.0819203960334063
AASDHPPT	-0.149886160042286	0.127650632958566	0.238522120765604	0.215280849827478	0.230829930692148	0.0761420074576169	0.0561710456029219	-0.230102668488925
AASS	-0.0570852745363559	0.326208258343654	0.253668961933934	0.120432530428402	0.138304579567872	0.0107302850680712	0.289380371945743	-0.113527003154904
AATF	-0.0328851965686238	0.0341078039414177	0.0750957054505862	0.0927367910620939	0.0815028682901073	0.0105489612913881	-0.0350429574894331	-0.121759047379538
AATK	-0.125652002757836	-0.0372014535879691	0.228530077598423	0.0689275884506639	0.107166640287205	0.202969878518235	-0.0911239885546973	-0.106967138647063
AATK-AS1	-0.0148668311811316	-0.00504052487701574	0.0214309304072968	0.0289225626245418	0.0312066200184123	0.011458540506302	-0.0216972517347479	-0.0268222984860062
ABAT	-0.380650320270126	0.235740561538168	0.456743375453995	0.466267041208017	0.499123859362065	0.139814191456553	0.0566306246820304	-0.433645024536062
ABCA1	0.282341867173973	-0.0697447286241967	-0.236834996108961	-0.121171892296967	-0.160026776939945	0.0439228265006178	-0.0207868423843428	0.239704045886897
ABCA10	-0.00350084986374231	0.110037037454843	0.0748292082796779	0.0348833872474534	0.0324341430360617	-0.0249569077558705	0.0769184295470862	-0.0495774148163861
ABCA11P	0.0087817234377833	0.128312839102385	0.0905830957543161	0.0482028102566887	0.0532440580173194	-0.0277307170641324	0.0755898934644707	-0.068439751798519
