	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD-L1
NefMES	0.0	5.229990001051705e-231	2.4786270641775054e-74	0.0	0.0	2.5619955328243138e-70	3.029554829374712e-73	0.0	5.113355275885241e-256	0.0	0.0	8.571124607671441e-207	6.1531792059611045e-139	9.034423801535897e-137	1.7142828805537257e-90	4.596853804452822e-177
NefAC	5.229990001051705e-231	0.0	0.0	0.0	2.3045417426021414e-295	3.856260266472902e-05	0.0	7.152492150629016e-161	0.0	0.0	9.412738484537934e-302	4.482365171684658e-68	4.573070686847928e-140	7.501447943088982e-150	4.040021913081648e-10	0.0
NefOPC	2.4786270641775054e-74	0.0	0.0	0.0	0.0	4.629106727186292e-57	0.0	0.0	0.0	2.5228543807256524e-43	5.406629392940287e-38	6.06500780496484e-309	0.0	0.0	5.407312305920946e-27	0.0
NefNPC	0.0	0.0	0.0	0.0	0.0	2.9973052265352222e-192	0.0	0.0	0.0	0.7264323329588116	7.32127068040279e-11	0.0	0.0	0.0	7.46724358625957e-102	0.0
VerPN	0.0	2.3045417426021414e-295	0.0	0.0	0.0	5.1028659446236865e-110	0.0	0.0	1.4236380644115362e-141	6.7670010359358634e-40	8.789007785860376e-100	0.0	0.0	0.0	1.4497168719983546e-104	0.0
VerNL	2.5619955328243138e-70	3.856260266472902e-05	4.629106727186292e-57	2.9973052265352222e-192	5.1028659446236865e-110	0.0	5.457892961374429e-34	6.886036597633966e-84	2.92743699387932e-198	1.0168136182367555e-10	7.923899706922872e-130	2.489808115507231e-07	2.8757150906072856e-110	1.0083915781784844e-112	4.978289956737138e-08	1.680499879457689e-16
VerCL	3.029554829374712e-73	0.0	0.0	0.0	0.0	5.457892961374429e-34	0.0	4.8833716890173824e-256	0.0	7.56443890207654e-279	1.462021789087107e-97	6.785370143570442e-193	3.683761900355654e-192	4.908099995401547e-204	3.701523949056611e-07	0.0
VerMES	0.0	7.152492150629016e-161	0.0	0.0	0.0	6.886036597633966e-84	4.8833716890173824e-256	0.0	8.46912011032895e-23	2.5623709666326088e-241	1.649118316895645e-253	0.0	0.0	0.0	3.870045482371809e-49	0.0
OXPHOS	5.113355275885241e-256	0.0	0.0	0.0	1.4236380644115362e-141	2.92743699387932e-198	0.0	8.46912011032895e-23	0.0	0.0	0.0	1.7715044728889585e-207	0.0	0.0	1.0497093144038245e-13	0.0
GLYC	0.0	0.0	2.5228543807256524e-43	0.7264323329588116	6.7670010359358634e-40	1.0168136182367555e-10	7.56443890207654e-279	2.5623709666326088e-241	0.0	0.0	0.0	4.4582797232098455e-76	1.4129812044512198e-135	4.119623605363427e-141	0.25395824213745993	8.000924739049454e-15
FAO	0.0	9.412738484537934e-302	5.406629392940287e-38	7.32127068040279e-11	8.789007785860376e-100	7.923899706922872e-130	1.462021789087107e-97	1.649118316895645e-253	0.0	0.0	0.0	1.749929416389124e-07	1.4520127366050837e-15	1.8599490233083104e-17	4.554074931663923e-16	0.013879745549298203
G2M	8.571124607671441e-207	4.482365171684658e-68	6.06500780496484e-309	0.0	0.0	2.489808115507231e-07	6.785370143570442e-193	0.0	1.7715044728889585e-207	4.4582797232098455e-76	1.749929416389124e-07	0.0	0.0	0.0	0.0	0.0
KEGG_CC	6.1531792059611045e-139	4.573070686847928e-140	0.0	0.0	0.0	2.8757150906072856e-110	3.683761900355654e-192	0.0	0.0	1.4129812044512198e-135	1.4520127366050837e-15	0.0	0.0	0.0	0.0	0.0
WP_CC	9.034423801535897e-137	7.501447943088982e-150	0.0	0.0	0.0	1.0083915781784844e-112	4.908099995401547e-204	0.0	0.0	4.119623605363427e-141	1.8599490233083104e-17	0.0	0.0	0.0	0.0	0.0
BIOCARTA_CC	1.7142828805537257e-90	4.040021913081648e-10	5.407312305920946e-27	7.46724358625957e-102	1.4497168719983546e-104	4.978289956737138e-08	3.701523949056611e-07	3.870045482371809e-49	1.0497093144038245e-13	0.25395824213745993	4.554074931663923e-16	0.0	0.0	0.0	0.0	0.015205267600366655
PD-L1	4.596853804452822e-177	0.0	0.0	0.0	0.0	1.680499879457689e-16	0.0	0.0	0.0	8.000924739049454e-15	0.013879745549298203	0.0	0.0	0.0	0.015205267600366655	0.0
