""	PC1	PC2
HILPDA	0.00894922450860405	-0.0771655418549212
ADM	-0.00513747826091879	-0.102229059087957
DDIT3	0.0180933923313941	0.0271354755337867
NDRG1	-0.00493092653477611	-0.0345407302559141
HERPUD1	-0.110418858544908	0.018530011775083
DNAJB9	-0.0204922721517593	-0.0459254902156132
TRIB3	0.0057277172311293	-0.00377926961385802
ENO2	0.00104122125609327	-0.0263544810854405
AKAP12	0.0379788332400258	-0.0186344609879042
SQSTM1	0.0260835421669025	0.024251497908871
ATF3	-0.0465579207417876	0.0103680325676088
NRN1	0.0217768102285322	-0.0603656512503559
SLC2A1	0.0119022779451204	-0.0431715026768178
BNIP3	0.00681337817960258	-0.0542921296428154
INSIG2	-0.00591024503202183	-0.0247265038178961
IGFBP3	0.0604156323620378	-0.0340346371419349
PPP1R15A	-0.0887866221438251	0.0346507542109604
PLOD2	0.0555924067389194	-0.0284800808107726
GBE1	-0.000397981293083366	-0.0701594633435423
SLC2A3	-0.0492425407340061	-0.0347256210931299
FTL	-0.151585421485482	-0.048565774875342
WARS	0.0377566112974092	-0.00148052042124043
XPOT	0.0309539613541358	0.0412658458377403
HSPA5	-0.0213634929497556	-0.0526316321778224
GDF15	0.0161155861022099	0.00623215885956477
EPAS1	0.0333723418385985	-0.0514524270016851
LDHA	0.000234515229370969	-0.158676435740685
P4HA1	-0.0208579020246804	-0.0195406425290818
SERTAD1	-0.00430558456447747	-0.0579975837474517
PFKP	0.0107480166326915	-0.00697529284004213
PGK1	-0.0298076199366628	-0.105125986985624
EGLN3	0.00404643966689124	-0.0386932014602812
SLC6A6	-0.013189455608324	-0.0123953084506464
CA9	0.00821422891891558	-0.0536629753277933
BNIP3L	-0.0211083082608032	-0.0310901695939339
RPL21	-0.0508941572843394	0.00196980537121395
TRAM1	-0.00950507454798603	-0.00644906633154413
UFM1	-0.00031425646242404	0.00693107362021253
ASNS	0.00594476806083462	0.019376292774712
GOLT1B	-0.00474119449840986	-0.0227814716154046
ANGPTL4	-0.00775919709610091	-0.0809378346804133
SLC39A14	0.0364177565633964	-0.0697685495544759
CDKN1A	-0.0415569140241257	-0.00978976579095683
HSPA9	0.026935875181567	0.0016851569930882
CHI3L1	0.0990750136829672	-0.2861577053523
ANXA2	0.0419044483334037	-0.10600741466266
ANXA1	-0.00617590250445394	-0.123523628057828
CD44	0.0563890583060028	-0.135957018638383
VIM	0.144587111531104	0.0530479254619812
MT2A	0.0719125092302982	-0.223751096488781
C1S	0.0580855762886659	-0.125906700774119
NAMPT	0.0230913584450473	-0.173877520393347
EFEMP1	0.0591648791646239	-0.124145795040414
C1R	0.0688413534776451	-0.165179815441618
SOD2	0.0253179267216442	-0.157525033207206
IFITM3	0.0586901166878944	-0.105649540826468
TIMP1	0.0440402790924535	-0.16681363841842
SPP1	-0.131541276777925	-0.0190157440987746
A2M	0.00259206750598877	-0.0968327548756874
S100A11	-0.0954198195066818	-0.11723932176365
MT1X	0.03417632120507	-0.194693356525252
S100A10	0.0212059145087885	-0.155430863958937
FN1	0.00446882857840406	-0.0539012746835117
LGALS1	-0.00449542022616107	-0.0765106112986417
S100A16	0.0971235917819364	-0.0775963437122172
CLIC1	-0.0477468373520399	-0.0521885226032906
MGST1	0.0596864558459035	-0.163438000553111
RCAN1	0.061429164863141	-0.0748794570843171
TAGLN2	0.0617814167418973	-0.109003891159501
NPC2	-0.154646376517815	-0.0284265678620014
SERPING1	0.0631584944609164	-0.159549436987191
C8orf4	0.0597739392357573	-0.15618645421333
EMP1	0.0780047278317154	-0.0364578901743939
APOE	-0.0932906610089839	0.0662915411248576
CTSB	-0.127021772300413	-0.0416924847627862
C3	-0.0742558261567703	-0.0324322256746726
LGALS3	0.060618607086263	-0.196280476447509
MT1E	0.0527289275290977	-0.113258760316441
EMP3	0.0126486472590071	-0.0765593117841169
SERPINA3	0.0155049115029459	-0.04086409987892
ACTN1	0.0828567146517514	-0.0138213609693124
PRDX6	0.0881904439347628	-0.122038212320814
IGFBP7	0.140892217729881	0.0556368665342519
SERPINE1	0.0146532695033401	-0.0753068070162399
PLP2	0.00761670765312534	-0.0798487686128029
MGP	0.0381136263586158	-0.138980092122149
CLIC4	0.0857853776699429	-0.0221758531905111
GFPT2	0.0178021541068512	-0.0313475101037954
GSN	-0.0647000079149238	0.0156738505605047
NNMT	0.0494350876317012	-0.119993340101815
TUBA1C	0.0201195789658504	-0.0490785304860133
GJA1	0.11983815958132	0.0241690405634698
TNFRSF1A	0.039064253748229	0.0497027911547465
WWTR1	0.11979068511369	0.0508440269676971
CST3	0.125865252968864	0.102368263694987
S100B	0.109537152843111	0.0429188123052076
SLC1A3	0.0901104317128066	0.074028174474807
HEPN1	0.0554675646892047	0.00773271001145778
HOPX	0.164957207137083	0.0972370185550106
MT3	0.131930394159645	-0.0473308551722834
SPARCL1	0.183079568269605	-0.0118507371769413
MLC1	0.154730055004913	0.0868892885630315
GFAP	0.14694312133074	-0.0210132479813734
FABP7	0.187241526276698	0.125317250342709
BCAN	0.119590790656216	0.133723179251116
PON2	0.165995271079397	0.0279616204023031
METTL7B	0.0871704024418393	-0.0385661370885105
SPARC	0.179995381225926	-0.0212064243472982
GATM	0.126660173991223	0.115802798124688
RAMP1	0.13811029295401	-0.0869355663501241
PMP2	0.180908969441307	0.0474675863969463
AQP4	0.145993976426987	0.0243495386047268
DBI	0.137304821241874	-0.08256656297686
EDNRB	0.1533053125024	0.0941798338573859
PTPRZ1	0.166797537141987	0.148380983279598
CLU	0.186608289013892	-0.169923323791602
PMP22	0.076451337630652	0.00771225070951329
ATP1A2	0.126842632767828	0.0772883742403841
HEY1	0.121918619960979	0.10081130514749
PCDHGC3	0.025282217958456	0.0327351946785161
TTYH1	0.206577232445311	0.150305514678345
NDRG2	0.0988059457396026	0.0464286599018898
PRCP	0.0552470388477682	0.0296057106372967
ATP1B2	0.106958526361386	0.0342072535530991
AGT	0.126214351380013	-0.0157450755949149
PLTP	-0.0797224892392635	-0.0183697717547807
GPM6B	0.166571386753104	-0.0143109736972112
F3	0.163360399167933	0.0580853213626435
RAB31	0.0415831584098494	0.0765187032743402
ANXA5	0.0549068410181242	-0.0412313391856623
TSPAN7	0.0584069823676844	-0.00592628992561797
