""	PC1	PC2
ABCD2	0.0334701735925718	-0.00463438480068035
ACSBG1	0.0669667673272775	-0.0122524879458717
ACSL3	0.135872101429869	0.00736096999164218
ACSS3	0.0834775120997127	-0.0204093085348293
ADAM19	0.0930855318535004	-0.0134863234402637
AKT2	0.0564898137908683	0.00510719342223948
ANXA5	0.0143457923074426	-0.0218906043294928
APBA3	0.03432752430166	0.000943752421725251
ARAP2	0.0445190346074329	0.107981518134613
ARAP3	0.0651673720407239	-0.0104440751408086
B3GALT1	0.0396703257395966	-0.00524286343590156
BLM	0.0489755516610924	-0.0114607168964019
BTBD2	0.043172710761809	0.0169970271192843
CALM1	0.150359730935905	0.0463331353736029
CAMK2B	0.0787496705741698	-0.0110914544272635
CC2D1A	0.0736969737925912	0.00365450778336079
CD151	0.0251096931293203	-0.0317972081512639
CDH2	0.171995904054302	-0.0126311595363675
CDH4	0.0791326213727334	-0.00426256891799812
CDH6	0.0498513180803244	-0.00784221096894208
CDK6	0.0689708601457547	0.014852024593255
CLIP2	0.0417894068771435	0.0659570930602647
CREB5	0.0875147985380789	0.104104613571156
DAG1	0.106355937688985	0.00162751620527102
DENND2A	0.0619871399805262	0.0027258293517614
DLC1	0.0481898759863872	0.0388419750257335
DMWD	0.126369482058557	0.00993221961031023
DOCK6	0.0166797854402306	-0.00519727202244982
EGFR	0.166793584899702	-0.0274255332029175
ELOVL2	0.0898036129216522	-0.0128750053115451
EPHB4	0.0336363706582905	-0.00852441035701656
ERCC2	0.0164999591558799	0.00267842093852897
EXTL3	0.084797319766618	0.0243496182202354
EYA2	0.0707066431019347	-0.0168804992197644
FBXO17	0.0485458827830933	-0.00434487578950433
FGFR3	0.0701664163454436	0.00702339972838092
FZD3	0.0636078956607175	-0.0081707088208958
FZD7	0.0801834456723574	-0.0220443129506427
GALNT4	0.0099107308695136	-0.00279796967045765
GAS1	0.145370765778914	-0.0213429015919566
GJA1	0.0396944998331344	0.014762618827644
GLG1	0.0708419233032029	0.0206226207130316
GLI2	0.035841264435914	-0.000356347501959337
GNAS	0.174927732907036	-0.0181339060331529
GNG7	0.030750740928087	0.0736915558749608
GRIK1	0.0613790887353989	-0.00321511755077706
GRIK5	0.0317628794866468	-9.75443962375306e-05
GSTK1	-0.0132393787622011	-0.00980151341663619
HMG20B	0.122271346007495	-0.0113303530635002
HS3ST3B1	-0.012198079997006	-0.0104381846880419
HSPBP1	0.0802367360224562	-0.00309153452456341
ILK	0.000274151838971311	-0.00777727901716355
IRF3	0.0355567932583595	-0.00460753449252215
IRS2	0.0768729658191462	-0.00757187588475726
ITGA7	0.130363404932757	-0.0284778892696643
ITGB8	0.124065166855398	0.0573591179374886
JAG1	0.156834711142109	-0.0367135238767347
JUND	0.0330901678104806	0.124368060616634
KCNF1	0.178452765065476	-0.0416515213518716
KEAP1	0.088160151974884	0.00333733081886547
KLHDC8A	0.129538211187845	-0.01421653021471
KLHL25	0.0434289467878593	-0.00336418677402831
KLHL4	0.068050124519289	0.0125108726017789
LAMB2	0.0372514946287696	-0.0103121593716161
LFNG	0.0560774366409209	0.00370316557756245
LMO2	0.0981659209131338	-0.0291260951615823
LRFN3	0.0383885225821975	0.00395331205150474
LRP10	0.0169709761749915	0.000992992477223668
LRP5	0.0542415348931318	0.0189636369342928
MAB21L1	0.0130964700081651	-0.000102924805145094
MCC	0.0975655627734288	-0.0141556550568978
MEGF8	0.0198943806007549	0.00435143436005449
MEIS1	0.0828139362846175	0.0188271321950186
MEOX2	0.0488869469645144	-0.00495963818047406
MLC1	0.114791244678008	2.94359543639875e-05
MYO5C	0.0342357618602702	-0.00127877771785915
NDP	0.0174549801841146	0.0204424051958544
NES	0.217632503509744	-0.0404080910283605
NOS2	0.0542694453745111	-0.00982584065592087
NPAS3	0.160858845845785	0.00905156272753404
NPEPL1	0.0356780731987802	0.00209977259047064
NR2E1	0.0600593494236939	-0.00908713090138953
NR2F6	0.0875818418858281	-0.00540054961236767
OSBPL3	0.0116552763446778	-0.0099006035824123
PCSK5	0.0505667167733684	-0.0140683886157842
PDGFA	0.042201291513699	0.0124217385136129
PEPD	0.00598118041304895	0.0149633095653271
PIPOX	0.0795295592534983	-0.018112122143449
PLA2G5	0.00246137876940107	-0.0166028449478473
PLIN3	0.0279314253244753	0.025636362534113
PMP22	0.0597730764103714	0.103566459175251
POFUT1	0.0642701693340112	-0.0117007512333937
POMT2	0.0494138273099572	0.0289665259483599
PRKD2	0.0268980266983504	0.00486526634317335
PRPF31	0.0377494395092168	-0.00894215775463792
PTPN14	0.0324649742656709	-0.0114339670242192
PTPRA	0.166143363142745	0.0145943178271682
QTRT1	0.0148540354992772	-0.00194690991066144
