""	PC1	PC2
ACSL1	0.102483564948573	-0.0501981240197905
ADAM12	-0.0246092563415111	0.026871779064737
ALDH3B1	0.0178820528197904	0.0031443268923575
ALOX5	0.074498542403121	-0.0136583466793875
AMPD3	0.0213154611077045	-0.0600846579952176
ANXA1	0.0308058366566345	0.0435845392489168
ANXA2	0.00696171489147935	0.0819555609639264
ANXA4	0.0112807129139796	0.0080258379385343
ARHGAP29	-0.0197167913351761	0.0213182719240186
ARPC1B	0.127819069758617	0.000669491309277501
ARSJ	-0.0381582505034473	0.0508459628573519
ASL	0.00298117730830488	0.0020805339865576
BATF	0.0102871142235619	-0.000910655808018081
BDKRB2	-0.00816626349794069	0.0160322937005734
BLVRB	0.00985969988609236	0.0268481818569093
BNC2	0.0219263787842543	-0.00264928381518967
C1orf54	0.0519216613139811	0.00173880597689207
C5AR1	0.110239640987731	-0.0195522492233292
CASP1	0.0136362731711377	0.00402382279818376
CASP4	0.0295633608925381	0.0164829140778673
CASP5	0.0282095450045533	-0.00545119698387782
CASP8	0.0251590725702857	-0.00103159793690554
CAST	0.0195603362225077	0.00069575091057686
CCR5	0.042671280454944	-0.00772382510603902
CD14	0.165562935414562	-0.0181820007671812
CD2AP	0.00929335848736714	0.00213555748520113
CD4	0.0714525544427166	-0.014005817458148
CDCP1	0.0359157876512841	-0.00261346305614768
CEBPB	0.121900657210644	-0.00782290234142914
CHI3L1	-0.06241964075174	0.0994813310745
CLCF1	-0.012074270495272	0.0191979303261175
CLEC2B	0.0586403648682813	0.00109875846928263
CLIC1	0.0729112795451653	0.0449103151899163
CNN2	0.0191581826671266	-0.000631698724686289
COL1A1	-0.00463670195258281	0.00978132000301026
COL1A2	-0.00977723656480198	0.00429655335479276
COL5A1	-0.00576492878682597	0.0120995384427956
COL8A2	0.0328645411335611	-0.00533124157760152
COLGALT1	0.0440933763696529	-0.00321647834042038
COPZ2	-0.00401482084274829	0.0010429648252328
CPQ	0.0167093734228958	-0.0191273441924489
CSTA	0.0750562036303835	-0.0101140824976122
CTSB	0.151978279974925	0.0102227218796253
CTSC	0.108240684603372	-0.00404936644888828
CTSZ	0.110147392666838	-0.0186709682780673
CYBRD1	-0.00179733951995939	0.00738771070949917
CYTH4	0.0717539327176771	-0.0193166227245551
CYTIP	0.0559720169781663	-0.00169415132591621
DAB2	0.072799003427006	-0.0104287551611517
DCBLD2	-0.044963393688108	0.0540543218155225
DOK3	0.0506916168439787	-0.00857142179584388
DRAM1	0.0291865534991871	0.00521484067143257
DSC2	0.0441007208153337	-0.00880482821192245
DSE	0.0610424138914479	-0.0148131443055575
EFEMP2	-0.0595888303107111	0.0611183612319584
EHD2	-0.0321507523525156	0.0350164893583988
ELF4	0.0223259816963891	-0.000379571594721289
EMP3	0.0230758699499174	0.0389850480206001
ENG	0.0892357606394022	-0.0115829715780975
FCGR2A	0.0744516958939997	-0.00913272956836767
FCGR2B	0.0771059712574818	0.00484310263114693
FES	0.059024258031327	-0.00809353204802
FHL2	-0.0161123408547094	0.024887700849721
FHOD1	0.0240523232041385	-0.00156880723693103
FMNL1	0.0782625442633092	-0.0176064937222009
FNDC3B	0.0191737954559057	0.0213852088003425
FOLR2	0.0530689740865909	-0.00154386839264333
FPR3	0.0434623664180448	-0.0060780693087677
FURIN	0.0201971671055333	-0.00558848132259425
FXYD5	0.11582182889493	-0.00655504010937873
GCNT1	0.0120536829521016	0.00265140314468398
GNA15	0.0436640525053062	-0.00321604997304685
GRN	0.118007111986392	-0.0129310743472388
HEXA	0.0530414594799973	-0.000393706716756647
HEXB	0.081012775671449	0.00862721959293137
HFE	0.00911782624702983	-0.00494406126343161
HK3	0.0432501246969732	-0.00448410776630497
ICAM3	0.0135878607713969	0.0133517160985461
IFI30	0.0964588192901992	-0.0111991480817346
IGFBP6	-0.0175277821349189	0.0201050167050316
IL15RA	0.0219295717841662	0.00234313529393793
IL1R1	-0.00207017427036523	0.0135816312038227
IL4R	0.0654991550819992	-0.0168136581759988
IQGAP1	0.027962084100397	-0.0226220089518448
ITGA4	0.0456739766488036	-0.00444886018051814
ITGA5	0.0138434360142745	0.00828828080760944
ITGAM	0.069024395151558	-0.0112206229525496
ITGB2	0.173082102750216	-0.029905127436096
KYNU	0.0464071734850712	-0.00866522018212358
LAIR1	0.0903998716714743	-0.0171689615994643
LAMB1	-0.0195860343903414	0.0175306468235628
LAPTM5	0.203447229651976	-0.0289762729416489
LCP1	0.0695531169889764	-0.0115162883146132
LCP2	0.0608046767115829	-0.017345293672196
LGALS1	0.0371527979093847	0.0732940125843673
LGALS3	-0.0414614188955892	0.0825100339711567
LHFPL2	0.0744671389122187	-0.0137207357427309
LILRB2	0.0373729243012336	-0.00412164604175071
LILRB3	0.0186277102066674	-0.00337242347354472
LOX	-0.0132263404477827	0.0197995752855209
LRRFIP1	0.0546506064613161	0.000484265687121553
LTBP1	-0.0245488748743229	0.000122584349001583
LTBP2	0.00684755044336209	0.00978274891703208
LY75	0.0248416391809997	-0.0192911810758746
LY96	0.116784930035138	-0.0205995722237782
MAFB	0.0993263345602136	-0.0302329774157148
MAN1A1	0.0393160673238612	-0.014657600433425
MAN2A1	-0.00552930644518028	-0.171004592408071
MAN2B1	0.0257172360443089	-0.0223467543151408
MAPK13	0.0222890397983042	-0.000725406177133508
MFSD1	0.0920998561086618	-0.0180592905442626
MGAT1	0.10909801649614	-0.0177588031664185
MGST2	0.056870795263431	0.00247185799562572
MRC2	-0.0188670152329316	0.0434520942435327
MS4A4A	0.0963180701548758	-0.00664429194680627
MSR1	0.117405051771065	-0.0277749657025308
MVP	0.0204966693587142	-0.00828477658704189
MYH9	0.0372175596286559	-0.0158838586714168
MYO1F	0.0865821960130157	-0.0214624152608131
MYOF	0.0234162309864035	-0.000695585668890257
NCF2	0.0854941352245331	-0.0105685528671397
NCF4	0.07096985507754	-0.0044134306008381
NOD2	0.0211041910747825	0.00152203416634279
NPC2	0.15540476157264	-0.000832216578813225
NRP1	0.0183213091274476	0.0175654236485589
P4HA2	-0.00322327890068406	0.0153215572596702
PDPN	-0.0261525518484463	0.0589507926373474
PHF11	0.0453219346181004	-0.0132025709969058
PIGP	0.000917322577256912	-0.00200006664315656
PLA2G15	0.0372723215339523	-0.00428949231330847
PLAU	0.0578441659877577	0.0131345910457238
PLAUR	0.0780240946880464	-0.00366335466085307
PLBD1	0.0856347917317135	-0.0149504054627834
PLK3	0.0689051602929748	-0.0216027655061828
PLS3	-0.0606122983381978	0.0177953034336114
POLD4	0.0499328663189668	0.0145690466038273
PROCR	0.0149496789443327	0.00689870203412037
PTGER4	0.0910802598893671	-0.0249564737968328
PTPN22	0.0304371161188705	-0.00439730444241452
PTPN6	0.0983530055856111	-0.021967677518397
PTPRC	0.10621386057637	-0.0236762219978733
PYGL	0.0319252800220685	0.0125458011176057
RAB11FIP1	0.0390220182391439	-0.0090215741357761
RAB27A	0.016581301846181	0.00489911964938169
RAB32	0.0499695167189853	0.0128403920175934
RABGAP1L	0.0222594460029528	-0.0332254970721785
RAC2	0.0501412437047501	8.5146288023347e-05
RBKS	0.0102385036109576	0.00303054054243634
RBM47	0.0634511832685096	-0.00953097166907289
RBMS1	0.00136075946241116	0.0327974601526577
RELB	0.0206550736680573	0.0130226920310692
RHOG	0.058497772786738	-0.0816071782024327
RRAS	-0.0119379501924475	0.0289917130062779
RUNX2	0.0164745653876464	-0.000374359232944332
S100A11	0.115766991473093	0.043269308832777
S100A13	-0.0277074030214151	0.0126960474348326
S100A4	0.104619104690031	0.00810024812882867
SAT1	0.169236315467879	-0.00442782726803448
SCPEP1	0.085086785626525	-0.0184196430083247
SEC24D	0.00849207786195308	-0.00142330724789927
SERPINA1	0.130863534400146	-0.0148417657916812
SERPINE1	-0.00461480120029283	0.0271197087098946
SFT2D2	0.00991899947001584	-0.0256470132140062
SH2B3	0.0571735799474467	-0.0148658883545201
SHC1	-0.00985493899536755	0.0227803808275936
SIGLEC7	0.0651712695031321	-0.00846509040370644
SIGLEC9	0.0395638760904886	-0.00548601737450707
SLAMF8	0.0659562595792113	-0.0106090409104689
SLC10A3	0.0156532382266005	-0.00240060507329625
SLC11A1	0.140810905903307	-0.027019220863971
SLC16A3	0.154255249065089	-0.0149747227227354
SP100	0.0476101814215098	0.00929914303556384
SRPX2	-0.01229126121557	0.020245682788371
ST14	0.0737888066455559	-0.0113689094438575
STAB1	0.0697204941910635	-0.00802670617602701
STAT6	0.0453130772372249	-0.0103524676893494
STXBP2	0.087887773217509	-0.0131142949487529
SWAP70	0.0399572836498011	-0.0131361311358801
SYNGR2	0.0916593427919362	-0.0798787083663256
SYPL1	-0.0129215958578478	-0.00190839106577831
TCIRG1	0.109751595344044	-0.0246771155280739
TEC	0.0153524983511786	-0.00482605782584904
TES	0.0297358678505928	-0.00283530976206584
TGFBI	0.113475906627619	-0.00346257996474681
TGFBR2	0.0564611769858958	-0.0100141998146991
TGOLN2	0.0126228294482583	-0.0507982652187812
THBD	0.0944129034903559	-0.0150073491939276
THBS1	0.0566067939348854	-0.000858373609555035
THEMIS2	0.0849413212497092	-0.0247016820641761
TIMP1	-0.0265778383750042	0.0719952358774365
TLR2	0.0597011100922516	-0.0115088570072663
TLR4	0.0256056864467698	-0.00913623142438087
TMBIM1	0.0278843336075817	-0.0160776672011043
TNFAIP3	0.0690639675902061	-0.0123339812371526
TNFAIP8	0.0253462776263601	0.00237211169423863
TNFRSF11A	0.0426281954653338	-0.00595118841301179
TNFRSF1A	0.0425865068621916	0.0345253758524072
TNFRSF1B	0.12261160728393	-0.0277618718895989
TRADD	0.0259942861724198	-0.0135006942958194
TRIM22	0.0461355786394038	-0.00861564027111349
TRIM38	0.0442168294413711	-0.00251616965507955
TRPM2	0.0358141927853218	-0.00828544795404296
TYMP	0.181029129209506	-0.0355462139284233
UAP1	-0.0154800035009313	0.0200018682159417
UCP2	0.0376300865504482	-0.00406631375859981
VAMP5	-0.0160193108968589	0.0539455705176324
VDR	0.0156908737165421	0.000714604325737297
WIPF1	0.0409564529922208	-0.0407120541567952
WWTR1	-0.0582006064410891	0.0688337319433617
YAP1	-0.0261716815317688	0.0229038055365352
ZNF217	-0.00143530007602853	0.0239183231104143
ACSL4	0.0193572151481815	-0.00960012622622996
ACYP2	-0.0305682046137533	-0.0414315739480111
ADD3	-0.0353670421767379	-0.0907281449677859
AGTPBP1	-0.0101382379606101	-0.0863445073710266
AKR7A3	-0.00747834374040089	-0.00450102379964948
ANKRD46	-0.0487511979543063	-0.0317870661305413
ANKS1B	-0.0426296028619228	-0.151259358237464
ANXA3	0.0033679106138428	0.000182530960856329
ANXA7	0.0235202403562483	-0.0154807980497624
ARRB1	0.0212180486438893	-0.0168408625621127
ATRNL1	-0.0247987048450346	-0.00625322899126721
BASP1	-0.00704299581843311	-0.0214502977289836
BCAS1	-0.0365432560505524	-0.158637096729257
BEST1	0.027066122703904	-0.0463732854155484
CA4	-0.00578671697061386	0.00709594935517481
CALM2	-0.0535653203541712	-0.123277324883787
CAMK2G	-0.0140906019220686	0.000153609925248399
CASQ1	-0.0136570022760572	0.00175172532549874
CCDC121	-0.0214628366310557	-0.0158854629061167
CCK	-0.00341917515452659	0.000133640147608403
CDC42	0.0121697179780382	-0.0299041523130595
CDR1	0.00127145215785481	-0.0057397475516849
CHN1	-0.0639329025344277	0.022239525309836
CLCA4	-0.0157683336655252	-0.108757715032709
COX5B	-0.0513533361601368	-0.0371917685973154
CPNE6	-0.00492413177246175	0.00129411546466813
CRBN	-0.0206991117211021	-0.0275350962045409
CRYL1	-0.00854512048247924	-0.0258891328661383
CRYM	-0.00313171423977123	6.0072794681945e-05
CRYZL1	-0.0213958458350702	-0.015858602220543
CUTC	0.0049378910043073	-0.0234538207366152
CYTH1	0.0206802271323032	-0.0789916859558902
DHRS9	0.026135971019869	-0.0103573450272037
