	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD-L1
NefMES	1.0	-0.3688733497270781	-0.6761938131326259	-0.0012244556970242278	-0.506238863625705	0.3548806216562904	0.30653326483783355	0.9012429113680598	-0.42929516489661035	0.4800034913153531	0.030264829729371945	-0.3466601827952967	-0.41489045998079777	-0.41210738288507337	-0.5265504963381848	0.04962248717906827
NefAC	-0.3688733497270781	1.0	0.7926637214823858	0.028661312465186925	0.5684331541538135	-0.08934071168324634	0.21681924622125573	-0.4265211612172781	0.2900957247438934	-0.27901664364142087	0.32707843662936825	-0.10984703013046822	-0.017922961440875296	-0.009269465378563166	0.2411286151595914	0.028558812868393294
NefOPC	-0.6761938131326259	0.7926637214823858	1.0	0.030481752844182208	0.6322289111557778	-0.2512883625297625	0.0008653506852362189	-0.6659534381485176	0.3300947146341342	-0.36545139646582164	0.24289451436883655	0.141221388323391	0.2274170842744	0.2291577565280108	0.4905094769416985	0.021872233394306582
NefNPC	-0.0012244556970242278	0.028661312465186925	0.030481752844182208	1.0	0.4459966982049607	0.11941590075658888	0.22882914560977005	-0.027112658933395307	-0.174830546092959	0.12188945234919181	0.0847333993364115	0.13893457391571032	-0.053120429332613184	-0.06747224712563646	-0.11143215278448855	-0.11045799703933451
VerPN	-0.506238863625705	0.5684331541538135	0.6322289111557778	0.4459966982049607	1.0	-0.16514482154960486	0.028062799022948618	-0.5607921325412377	0.26775961735088305	-0.2731084840317888	0.10655422912652557	0.19635182028696455	0.18499256224226931	0.17513457167131866	0.29647651688602045	0.01276287945092145
VerNL	0.3548806216562904	-0.08934071168324634	-0.2512883625297625	0.11941590075658888	-0.16514482154960486	1.0	0.12381512894240049	0.31831478354983755	-0.06620805574160339	0.018723472171711664	0.03393829061643442	-0.42088659680824353	-0.447450585296932	-0.4381262562545732	-0.432321078099767	0.0460746444536511
VerCL	0.30653326483783355	0.21681924622125573	0.0008653506852362189	0.22882914560977005	0.028062799022948618	0.12381512894240049	1.0	0.3056661836989673	-0.29256833340214045	0.09389417298043631	0.07113599381540096	-0.25995650807823595	-0.33745891459827526	-0.3417657122062329	-0.26206254252217587	-0.11342163942286887
VerMES	0.9012429113680598	-0.4265211612172781	-0.6659534381485176	-0.027112658933395307	-0.5607921325412377	0.31831478354983755	0.3056661836989673	1.0	-0.47347899654270603	0.4380564297733787	-0.04252448611885074	-0.36490820311639327	-0.4338294338582147	-0.43416859105258776	-0.5599473282931515	0.055621712441029605
OXPHOS	-0.42929516489661035	0.2900957247438934	0.3300947146341342	-0.174830546092959	0.26775961735088305	-0.06620805574160339	-0.29256833340214045	-0.47347899654270603	1.0	-0.3917185896567711	0.25899953365850015	0.04037212480473568	0.133111551405422	0.1296825766937961	0.2517979075845292	-0.053317270056421506
GLYC	0.4800034913153531	-0.27901664364142087	-0.36545139646582164	0.12188945234919181	-0.2731084840317888	0.018723472171711664	0.09389417298043631	0.4380564297733787	-0.3917185896567711	1.0	0.1806463197047005	0.14785969899874063	0.09767952218855597	0.10351999401488797	-0.007943574477492249	0.09089002334396767
FAO	0.030264829729371945	0.32707843662936825	0.24289451436883655	0.0847333993364115	0.10655422912652557	0.03393829061643442	0.07113599381540096	-0.04252448611885074	0.25899953365850015	0.1806463197047005	1.0	0.000401502767504028	-0.05250459172068202	-0.04768905231664302	0.07826881844835276	0.06373731464903501
G2M	-0.3466601827952967	-0.10984703013046822	0.141221388323391	0.13893457391571032	0.19635182028696455	-0.42088659680824353	-0.25995650807823595	-0.36490820311639327	0.04037212480473568	0.14785969899874063	0.000401502767504028	1.0	0.7605356675270265	0.7485454930859488	0.5811703648019463	-0.11848324677042306
KEGG_CC	-0.41489045998079777	-0.017922961440875296	0.2274170842744	-0.053120429332613184	0.18499256224226931	-0.447450585296932	-0.33745891459827526	-0.4338294338582147	0.133111551405422	0.09767952218855597	-0.05250459172068202	0.7605356675270265	1.0	0.9963341188792878	0.7414584792507601	-0.023700253955446657
WP_CC	-0.41210738288507337	-0.009269465378563166	0.2291577565280108	-0.06747224712563646	0.17513457167131866	-0.4381262562545732	-0.3417657122062329	-0.43416859105258776	0.1296825766937961	0.10351999401488797	-0.04768905231664302	0.7485454930859488	0.9963341188792878	1.0	0.7426780735739921	-0.01917647924608003
BIOCARTA_CC	-0.5265504963381848	0.2411286151595914	0.4905094769416985	-0.11143215278448855	0.29647651688602045	-0.432321078099767	-0.26206254252217587	-0.5599473282931515	0.2517979075845292	-0.007943574477492249	0.07826881844835276	0.5811703648019463	0.7414584792507601	0.7426780735739921	1.0	0.06272148402754692
PD-L1	0.04962248717906827	0.028558812868393294	0.021872233394306582	-0.11045799703933451	0.01276287945092145	0.0460746444536511	-0.11342163942286887	0.055621712441029605	-0.053317270056421506	0.09089002334396767	0.06373731464903501	-0.11848324677042306	-0.023700253955446657	-0.01917647924608003	0.06272148402754692	1.0
