	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	1.0	-0.37675070028011204	0.8084033613445378	0.4142857142857143	0.8593837535014006	0.15714285714285714	0.21988795518207283	0.24593837535014004	0.23557422969187675	0.024369747899159664	0.20448179271708683	0.15742296918767507	-0.2913165266106443	0.27899159663865547	0.861624649859944
FAO	-0.37675070028011204	1.0	-0.36470588235294116	0.005322128851540616	-0.4162464985994398	0.41316526610644255	-0.01904761904761905	0.19747899159663865	0.19887955182072828	0.47759103641456585	0.19831932773109243	-0.04201680672268908	0.35014005602240894	0.08347338935574229	-0.4142857142857143
G2M	0.8084033613445378	-0.36470588235294116	1.0	0.5089635854341736	0.980672268907563	0.21792717086834734	0.3487394957983193	0.23809523809523808	0.24481792717086834	0.004201680672268907	0.28095238095238095	0.11064425770308123	-0.346218487394958	0.31176470588235294	0.9773109243697479
GLYC	0.4142857142857143	0.005322128851540616	0.5089635854341736	1.0	0.4677871148459384	0.23165266106442578	0.8635854341736695	-0.27787114845938377	-0.13137254901960785	0.1792717086834734	0.41092436974789914	0.6843137254901961	-0.6207282913165266	-0.27899159663865547	0.46330532212885156
KEGG_CC	0.8593837535014006	-0.4162464985994398	0.980672268907563	0.4677871148459384	1.0	0.17871148459383754	0.319047619047619	0.2495798319327731	0.2568627450980392	-0.0058823529411764705	0.24481792717086834	0.10812324929971989	-0.3296918767507003	0.3288515406162465	0.9991596638655462
NefAC	0.15714285714285714	0.41316526610644255	0.21792717086834734	0.23165266106442578	0.17871148459383754	1.0	0.28515406162464985	0.2518207282913165	0.292436974789916	0.20560224089635853	0.8128851540616246	0.0753501400560224	-0.0753501400560224	0.1969187675070028	0.1761904761904762
NefMES	0.21988795518207283	-0.01904761904761905	0.3487394957983193	0.8635854341736695	0.319047619047619	0.28515406162464985	1.0	-0.4	-0.3266106442577031	0.09327731092436975	0.5089635854341736	0.7389355742296919	-0.6638655462184874	-0.46442577030812326	0.31288515406162465
NefNPC	0.24593837535014004	0.19747899159663865	0.23809523809523808	-0.27787114845938377	0.2495798319327731	0.2518207282913165	-0.4	1.0	0.8058823529411765	0.37787114845938374	-0.07591036414565826	-0.6717086834733893	0.6929971988795518	0.9322128851540616	0.2619047619047619
NefOPC	0.23557422969187675	0.19887955182072828	0.24481792717086834	-0.13137254901960785	0.2568627450980392	0.292436974789916	-0.3266106442577031	0.8058823529411765	1.0	0.4341736694677871	-0.05042016806722689	-0.47198879551820727	0.5154061624649859	0.8787114845938375	0.26666666666666666
OXPHOS	0.024369747899159664	0.47759103641456585	0.004201680672268907	0.1792717086834734	-0.0058823529411764705	0.20560224089635853	0.09327731092436975	0.37787114845938374	0.4341736694677871	1.0	0.047619047619047616	-0.0753501400560224	0.29103641456582635	0.39327731092436974	-0.005042016806722689
VerCL	0.20448179271708683	0.19831932773109243	0.28095238095238095	0.41092436974789914	0.24481792717086834	0.8128851540616246	0.5089635854341736	-0.07591036414565826	-0.05042016806722689	0.047619047619047616	1.0	0.2848739495798319	-0.35938375350140056	-0.0896358543417367	0.2400560224089636
VerMES	0.15742296918767507	-0.04201680672268908	0.11064425770308123	0.6843137254901961	0.10812324929971989	0.0753501400560224	0.7389355742296919	-0.6717086834733893	-0.47198879551820727	-0.0753501400560224	0.2848739495798319	1.0	-0.7873949579831933	-0.6789915966386555	0.09971988795518208
VerNL	-0.2913165266106443	0.35014005602240894	-0.346218487394958	-0.6207282913165266	-0.3296918767507003	-0.0753501400560224	-0.6638655462184874	0.6929971988795518	0.5154061624649859	0.29103641456582635	-0.35938375350140056	-0.7873949579831933	1.0	0.6002801120448179	-0.31624649859943976
VerPN	0.27899159663865547	0.08347338935574229	0.31176470588235294	-0.27899159663865547	0.3288515406162465	0.1969187675070028	-0.46442577030812326	0.9322128851540616	0.8787114845938375	0.39327731092436974	-0.0896358543417367	-0.6789915966386555	0.6002801120448179	1.0	0.3378151260504202
WP_CC	0.861624649859944	-0.4142857142857143	0.9773109243697479	0.46330532212885156	0.9991596638655462	0.1761904761904762	0.31288515406162465	0.2619047619047619	0.26666666666666666	-0.005042016806722689	0.2400560224089636	0.09971988795518208	-0.31624649859943976	0.3378151260504202	1.0
