	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	PD-L1	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	1.0	0.5952380952380952	0.8095238095238095	0.6428571428571429	0.9285714285714286	0.30952380952380953	0.6190476190476191	0.42857142857142855	0.5	0.47619047619047616	0.4523809523809524	0.2857142857142857	0.5238095238095238	0.07142857142857142	0.42857142857142855	0.9285714285714286
FAO	0.5952380952380952	1.0	0.21428571428571427	0.23809523809523808	0.38095238095238093	-0.047619047619047616	0.21428571428571427	0.7142857142857143	0.3333333333333333	0.8809523809523809	0.30952380952380953	-0.35714285714285715	0.19047619047619047	0.5952380952380952	0.7142857142857143	0.38095238095238093
G2M	0.8095238095238095	0.21428571428571427	1.0	0.5	0.9285714285714286	0.21428571428571427	0.47619047619047616	0.23809523809523808	0.30952380952380953	0.21428571428571427	0.19047619047619047	0.42857142857142855	0.38095238095238093	-0.023809523809523808	0.23809523809523808	0.9285714285714286
GLYC	0.6428571428571429	0.23809523809523808	0.5	1.0	0.5238095238095238	-0.19047619047619047	0.9761904761904762	-0.09523809523809523	0.0	-0.07142857142857142	0.6904761904761905	0.023809523809523808	0.9047619047619048	-0.5476190476190477	-0.09523809523809523	0.5238095238095238
KEGG_CC	0.9285714285714286	0.38095238095238093	0.9285714285714286	0.5238095238095238	1.0	0.35714285714285715	0.5	0.42857142857142855	0.5714285714285714	0.3333333333333333	0.30952380952380953	0.42857142857142855	0.38095238095238093	0.09523809523809523	0.42857142857142855	1.0
NefAC	0.30952380952380953	-0.047619047619047616	0.21428571428571427	-0.19047619047619047	0.35714285714285715	1.0	-0.09523809523809523	0.07142857142857142	0.7142857142857143	0.16666666666666666	-0.07142857142857142	0.8333333333333334	-0.19047619047619047	0.19047619047619047	0.07142857142857142	0.35714285714285715
NefMES	0.6190476190476191	0.21428571428571427	0.47619047619047616	0.9761904761904762	0.5	-0.09523809523809523	1.0	-0.19047619047619047	0.07142857142857142	-0.023809523809523808	0.7857142857142857	0.07142857142857142	0.9523809523809523	-0.5238095238095238	-0.19047619047619047	0.5
NefNPC	0.42857142857142855	0.7142857142857143	0.23809523809523808	-0.09523809523809523	0.42857142857142855	0.07142857142857142	-0.19047619047619047	1.0	0.5238095238095238	0.5952380952380952	-0.19047619047619047	-0.11904761904761904	-0.3333333333333333	0.7380952380952381	1.0	0.42857142857142855
NefOPC	0.5	0.3333333333333333	0.30952380952380953	0.0	0.5714285714285714	0.7142857142857143	0.07142857142857142	0.5238095238095238	1.0	0.42857142857142855	0.23809523809523808	0.4523809523809524	-0.047619047619047616	0.5	0.5238095238095238	0.5714285714285714
OXPHOS	0.47619047619047616	0.8809523809523809	0.21428571428571427	-0.07142857142857142	0.3333333333333333	0.16666666666666666	-0.023809523809523808	0.5952380952380952	0.42857142857142855	1.0	0.23809523809523808	-0.23809523809523808	0.023809523809523808	0.7857142857142857	0.5952380952380952	0.3333333333333333
PD-L1	0.4523809523809524	0.30952380952380953	0.19047619047619047	0.6904761904761905	0.30952380952380953	-0.07142857142857142	0.7857142857142857	-0.19047619047619047	0.23809523809523808	0.23809523809523808	1.0	-0.21428571428571427	0.8809523809523809	-0.21428571428571427	-0.19047619047619047	0.30952380952380953
VerCL	0.2857142857142857	-0.35714285714285715	0.42857142857142855	0.023809523809523808	0.42857142857142855	0.8333333333333334	0.07142857142857142	-0.11904761904761904	0.4523809523809524	-0.23809523809523808	-0.21428571428571427	1.0	-0.09523809523809523	-0.19047619047619047	-0.11904761904761904	0.42857142857142855
VerMES	0.5238095238095238	0.19047619047619047	0.38095238095238093	0.9047619047619048	0.38095238095238093	-0.19047619047619047	0.9523809523809523	-0.3333333333333333	-0.047619047619047616	0.023809523809523808	0.8809523809523809	-0.09523809523809523	1.0	-0.5238095238095238	-0.3333333333333333	0.38095238095238093
VerNL	0.07142857142857142	0.5952380952380952	-0.023809523809523808	-0.5476190476190477	0.09523809523809523	0.19047619047619047	-0.5238095238095238	0.7380952380952381	0.5	0.7857142857142857	-0.21428571428571427	-0.19047619047619047	-0.5238095238095238	1.0	0.7380952380952381	0.09523809523809523
VerPN	0.42857142857142855	0.7142857142857143	0.23809523809523808	-0.09523809523809523	0.42857142857142855	0.07142857142857142	-0.19047619047619047	1.0	0.5238095238095238	0.5952380952380952	-0.19047619047619047	-0.11904761904761904	-0.3333333333333333	0.7380952380952381	1.0	0.42857142857142855
WP_CC	0.9285714285714286	0.38095238095238093	0.9285714285714286	0.5238095238095238	1.0	0.35714285714285715	0.5	0.42857142857142855	0.5714285714285714	0.3333333333333333	0.30952380952380953	0.42857142857142855	0.38095238095238093	0.09523809523809523	0.42857142857142855	1.0
