	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD-L1
NefMES	1.0	0.41383678898702375	-0.07779542652764178	-0.37130428605873805	-0.26372005041982605	0.03474521285654951	0.014531318181990228	0.8513460806808313	0.2731648814218888	0.3680092331204391	0.15620862801037633	-0.4124076167724372	-0.3573909879135519	-0.3566730471741679	-0.4256108372307145	-0.09974398243407083
NefAC	0.41383678898702375	1.0	0.6179240308664047	0.21317138749446388	0.3844606534195014	-0.05008261941134421	0.4653149374820943	0.479734961287285	0.4945158670776617	0.26358522554597735	0.06924216504995388	-0.30422227234984245	-0.09304582074770183	-0.0879934785909855	-0.15478315277632887	-0.4355707485119759
NefOPC	-0.07779542652764178	0.6179240308664047	1.0	0.542323927364172	0.6311037989417627	-0.13666478107857405	0.47301840840863413	-0.026800813022739636	0.22611984425126438	0.052809264881118305	-0.09293941771308	-0.06727034698935308	0.12275623684980087	0.12738428165015186	0.10932883862479552	-0.39907920255695833
NefNPC	-0.37130428605873805	0.21317138749446388	0.542323927364172	1.0	0.8152615408189879	-0.17456173934348126	0.3117466523055069	-0.2978421213874346	-0.08003361418734226	-0.019883369398938724	-0.20663277217940493	0.20598389626446928	0.3154784583607032	0.31854017965334397	0.27941162210395154	-0.24717533990263157
VerPN	-0.26372005041982605	0.3844606534195014	0.6311037989417627	0.8152615408189879	1.0	-0.24824645777577334	0.3594204614230119	-0.17422630462952834	0.06416633706568486	0.1165171777323397	-0.2524685968844922	0.2578204531607956	0.40595648818551544	0.4085602285509932	0.25754911542906794	-0.4405259325080006
VerNL	0.03474521285654951	-0.05008261941134421	-0.13666478107857405	-0.17456173934348126	-0.24824645777577334	1.0	-0.07973136281245478	0.03753168689916568	0.31683229528842355	0.07021736139927029	0.3224423041476579	-0.27168560954523263	-0.25364298080373804	-0.2532871146406758	-0.08345174547679919	0.17952665521283115
VerCL	0.014531318181990228	0.4653149374820943	0.47301840840863413	0.3117466523055069	0.3594204614230119	-0.07973136281245478	1.0	0.10720898452548186	0.10326369907597568	-0.007917399275733261	-0.0391274309906024	-0.2676847913368823	-0.0557765181656003	-0.05103726431039841	0.06282210796221828	-0.24446272748908987
VerMES	0.8513460806808313	0.479734961287285	-0.026800813022739636	-0.2978421213874346	-0.17422630462952834	0.03753168689916568	0.10720898452548186	1.0	0.349918634922456	0.3302871097485945	0.14048493948694335	-0.4439470785921366	-0.3635667470831782	-0.36231207840176705	-0.46889836810801333	-0.17285159611795703
OXPHOS	0.2731648814218888	0.4945158670776617	0.22611984425126438	-0.08003361418734226	0.06416633706568486	0.31683229528842355	0.10326369907597568	0.349918634922456	1.0	0.38411522141972143	0.31790286816977503	-0.2702460919468335	-0.14605110507132982	-0.1444220494286001	-0.21736490780494613	-0.35013505473717715
GLYC	0.3680092331204391	0.26358522554597735	0.052809264881118305	-0.019883369398938724	0.1165171777323397	0.07021736139927029	-0.007917399275733261	0.3302871097485945	0.38411522141972143	1.0	0.16080422052223756	0.08914339237775884	0.12956781177254767	0.12927155453956	-0.05042743416625292	-0.2605718427951922
FAO	0.15620862801037633	0.06924216504995388	-0.09293941771308	-0.20663277217940493	-0.2524685968844922	0.3224423041476579	-0.0391274309906024	0.14048493948694335	0.31790286816977503	0.16080422052223756	1.0	-0.24657626370030045	-0.27509534299108035	-0.27326104569465665	-0.21843039168917125	0.0998471479475962
G2M	-0.4124076167724372	-0.30422227234984245	-0.06727034698935308	0.20598389626446928	0.2578204531607956	-0.27168560954523263	-0.2676847913368823	-0.4439470785921366	-0.2702460919468335	0.08914339237775884	-0.24657626370030045	1.0	0.7608370421725231	0.7587055069776312	0.4742004222288583	-0.0679336847829197
KEGG_CC	-0.3573909879135519	-0.09304582074770183	0.12275623684980087	0.3154784583607032	0.40595648818551544	-0.25364298080373804	-0.0557765181656003	-0.3635667470831782	-0.14605110507132982	0.12956781177254767	-0.27509534299108035	0.7608370421725231	1.0	0.9989717551169254	0.6770395911017626	-0.21950223112041647
WP_CC	-0.3566730471741679	-0.0879934785909855	0.12738428165015186	0.31854017965334397	0.4085602285509932	-0.2532871146406758	-0.05103726431039841	-0.36231207840176705	-0.1444220494286001	0.12927155453956	-0.27326104569465665	0.7587055069776312	0.9989717551169254	1.0	0.6776856667802637	-0.22134130771805943
BIOCARTA_CC	-0.4256108372307145	-0.15478315277632887	0.10932883862479552	0.27941162210395154	0.25754911542906794	-0.08345174547679919	0.06282210796221828	-0.46889836810801333	-0.21736490780494613	-0.05042743416625292	-0.21843039168917125	0.4742004222288583	0.6770395911017626	0.6776856667802637	1.0	-0.013170544026316507
PD-L1	-0.09974398243407083	-0.4355707485119759	-0.39907920255695833	-0.24717533990263157	-0.4405259325080006	0.17952665521283115	-0.24446272748908987	-0.17285159611795703	-0.35013505473717715	-0.2605718427951922	0.0998471479475962	-0.0679336847829197	-0.21950223112041647	-0.22134130771805943	-0.013170544026316507	1.0
