""	NefMES	NefAC	NefOPC	NefNPC
S100A11	0.835926185940522	0.544098899181952	0.0161268029969177	-0.673346046125943
ISG15	0.750590316028099	0.359102399307605	-0.154435776039166	-0.698523387343611
CCDC85B	0.831477876776477	0.503213892329088	0.0153094474654133	-0.644552316930455
TSPO	0.798409958032756	0.466155742554106	0.00955874591001355	-0.661937125691463
ATP5G3	0.900336920583574	0.608348291432729	0.0782364785242338	-0.564655219105128
CCND2	0.841608760706243	0.490494276390088	-0.0335533009969646	-0.696301813918773
TIMP1	0.903238275770149	0.537778436835606	-0.00685101730365507	-0.653415222700807
RPL13	0.809984648983189	0.405780653357252	-0.123139323020031	-0.646863900007748
COX7B	0.768885406407851	0.408832159384802	-0.076390127210622	-0.648887382975986
NDUFS5	0.764839736364037	0.342298217245634	-0.178673179845128	-0.746007032122889
RPS14	0.788826326626355	0.338418899336879	-0.170103737965282	-0.679109594738118
S100A13	0.827034081718559	0.400294939739764	-0.156439568847485	-0.766613719566864
KIF9	0.773934364153215	0.424094564462198	-0.0745499616245853	-0.631097968934404
VAMP5	0.875952264218815	0.525783728840329	-0.00363167011514984	-0.543966511902579
MSRB2	0.803560840317929	0.46656059082739	-0.00677387980800208	-0.544228145948399
RPL31	0.798974037199677	0.47598225854822	0.0248640769210049	-0.545567355258338
ARPC1B	0.834469933831185	0.443824881180916	-0.108757160301884	-0.732492476410363
MRPL36	0.897920592477014	0.61357774670469	0.0730254669718332	-0.547601839979073
RHOC	0.835885654716831	0.598570296552401	0.100565953571367	-0.645340915774578
HIGD2A	0.811694015049776	0.487066346963926	-0.000306164059118738	-0.503319373798247
RPL29	0.888125814308823	0.53060458022085	-0.00116615692712246	-0.552557334171426
MUC12	0.782521998176281	0.388668827256628	-0.136602603270867	-0.768263709974942
C19orf70	0.850939499074128	0.601761688310335	0.080868800165868	-0.515402162619086
COX4I1	0.715002296284604	0.381065423656243	-0.059482876856731	-0.553654394467075
NOP16	0.769519745096072	0.35532996923716	-0.13277463940067	-0.708673755894589
GPX1	0.752051774455596	0.286879800255327	-0.24717699041903	-0.661932353847006
ANXA1	0.878041522140012	0.464561048173314	-0.0795510340014659	-0.635524922441551
RPL36	0.849121993287355	0.49738925994685	-0.0129424272610956	-0.558510269042443
SNHG19	0.683325377620219	0.335269806148925	-0.106128027255535	-0.621095395010341
S100A10	0.825407405534026	0.413302375944717	-0.137069198593021	-0.769675955015311
TMEM50B	0.80360023749212	0.485793383871851	-0.0231929289769947	-0.62613827728628
SNHG18	0.859278820440424	0.680615059500107	0.223000192015381	-0.452718801458213
SEPW1	0.8290526014612	0.640455218329468	0.20947945813771	-0.402100776538916
UPP1	0.759899455907778	0.382861595905181	-0.144669012947558	-0.769976051011124
ATOX1	0.89813025171933	0.499463495218492	-0.0843377193701418	-0.732698762951655
PRCP	0.875275590137244	0.560151523139204	0.0601830717623796	-0.601595827027952
SARAF	0.886628051569409	0.556856122850214	-0.00871096985397052	-0.633664992969265
RPL19	0.655575746014172	0.193242872667035	-0.265655121018525	-0.75035790858516
RAMP1	0.88681607550373	0.492052408723535	-0.0747526914818957	-0.755466101800117
MRPL41	0.73251503978846	0.235742154662803	-0.302010166317027	-0.83242113659935
GNB2L1	0.734847757518241	0.26267594583201	-0.293502139875248	-0.87889482933618
FOSL1	0.7590501264718	0.352840612971982	-0.152358343616858	-0.783512374582004
SHISA4	0.837703756984185	0.653621288899758	0.230851883305603	-0.45656449570845
FAM181B	0.809775321118974	0.464338259013121	0.0132629731368263	-0.630920858392705
COX7C	0.703027116489616	0.426268492985995	0.0741568733651145	-0.440489749713619
RPS25	0.623728020348785	0.150381718452021	-0.297112204127653	-0.773412625874843
RPS24	0.685400894396175	0.319036043573227	-0.0875388039343778	-0.584175538719736
S100A4	0.842648529454698	0.465540086278943	-0.0846128148761187	-0.636753650297201
USMG5	0.815186099566524	0.454274027117632	0.0104455435975091	-0.473903353374693
RPS19	0.747354835984596	0.386403394201048	-0.0336325666774619	-0.579888426765409
