""	PC1	PC2
CST3	0.0417516216380476	0.0948838574564643
S100B	0.174744972815335	0.0456856522381819
SLC1A3	-0.0597518597736767	-0.0076564337213534
HEPN1	0.0550188143478756	-0.0262410651077951
HOPX	-0.0787874223403967	0.0633764263183008
MT3	0.00791093126226503	-0.0597731796343338
SPARCL1	-0.0774314137263175	-0.0272061626413719
MLC1	0.0098037724297103	-0.0495158081808138
GFAP	0.05816189696156	0.0794737828144671
FABP7	0.0935392915780212	0.0275893113383002
BCAN	0.104001913079918	-0.0889400498138774
PON2	0.177062453835583	0.0722058493073035
METTL7B	0.038885991514177	0.116107807407847
SPARC	0.169065434528948	0.117504616618485
GATM	-0.10562964454557	-0.0763618800638774
RAMP1	0.203113754505371	0.0482452762874228
PMP2	0.0311934110555973	-0.0350332633664828
AQP4	0.0147721138891351	0.0149360533565516
DBI	0.15186730949049	-0.0863609013780784
EDNRB	0.0450633150580954	0.0143625665324166
PTPRZ1	0.173942027957649	-0.102932567611243
CLU	0.105126293310919	0.187029683838306
PMP22	-0.120789546824665	0.0513855827910706
ATP1A2	0.0267128739442658	-0.0168864165889311
S100A16	0.0011322875988404	0.0908516282887278
HEY1	-0.0788809700505134	0.0931312225724993
PCDHGC3	0.0104120587674837	-0.0112342826443791
TTYH1	0.16662238412994	0.0610684078103152
NDRG2	0.0815705628291793	-0.0885643946684078
PRCP	0.14507352304133	-0.0566100790193885
ATP1B2	0.135216958973588	0.110719822598062
AGT	0.0488998609619719	0.199914030673523
PLTP	0.111135262240331	0.120137781666798
GPM6B	0.139878679221628	0.0681122422825748
F3	0.0723564215515708	0.115445343858402
RAB31	-0.0235879183189559	0.0706046891919045
ANXA5	0.0006968851779643	0.0626778954853774
TSPAN7	-0.0879057773965532	0.00168515303341391
DLL3	0.0549242352143298	-0.13233907531521
DLL1	0.0514285645645124	-0.0981142329206343
HES6	0.00869937564143192	-0.222266124530032
NEU4	0.092696699707245	-0.1442377648902
MARCKSL1	0.166985310521673	-0.11250342723073
TCF12	0.104715604152093	-0.218175721423729
