""	PC1	PC2
HILPDA	-0.0272608281870124	0.0909580853769873
ADM	0.035140486826277	0.0623359976817683
DDIT3	0.0900295515775476	0.0842699741796853
NDRG1	-0.0639997904405751	0.111906098841307
HERPUD1	0.12881480238633	0.00736763153083797
DNAJB9	0.126753839513644	0.0464437854619456
TRIB3	0.055422203475832	0.0378815944908648
ENO2	-0.119349193049708	0.134358365249578
AKAP12	0.0109753357010831	0.0993379087763092
SQSTM1	0.0886083746670831	0.0961918193490702
ATF3	0.0223337327691056	0.125084976899496
NRN1	-0.0268660277204027	0.136725746453217
SLC2A1	-0.0289815759948141	0.10755391190184
BNIP3	0.0569826893059043	0.152827733651662
INSIG2	0.0378942033646335	0.0686529061454506
IGFBP3	-0.0110225428025122	0.0402055872637922
PPP1R15A	0.01778000333794	0.0775012912363448
PLOD2	-0.0193350974076056	0.124876572696171
GBE1	0.0769823255268665	0.0547249817187299
SLC2A3	-0.060037134611619	0.128924778152742
FTL	0.0266562621688265	0.0976353678750494
WARS	-0.0273383403490134	0.112378689212741
XPOT	0.024044443496016	-0.00771681366633772
HSPA5	0.113394719002751	0.062227461237167
GDF15	-0.0691215151354055	0.05561944207397
EPAS1	-0.00652021871106324	0.110859813462115
LDHA	0.0823091263557426	0.208596929656324
P4HA1	0.0476887446771114	0.103337488135487
SERTAD1	0.104823202240336	0.142611310498394
PFKP	-0.108665650567714	0.0671442920746904
PGK1	0.0562160462356991	0.116054960502968
EGLN3	-0.0629461334588843	0.0472326118800039
SLC6A6	0.0632163477699261	0.0681863038784562
CA9	0.0127618161818498	0.0291141974622172
BNIP3L	0.0504463235929787	0.1277986870533
RPL21	0.00392592085688121	-0.00778937899615778
TRAM1	0.0173312862432204	0.0687047403255587
UFM1	0.163781776461976	-0.025987016054257
ASNS	0.0624436375158286	-0.000475723585902331
GOLT1B	0.0525398418779337	0.0139856326214169
ANGPTL4	-0.0036018247843792	0.133424058141837
SLC39A14	0.0330942009428439	0.0485448066906674
CDKN1A	-0.0553614219261162	0.0441227266803651
HSPA9	0.039995833694857	0.0309305889165096
CHI3L1	-0.00199946539014308	0.0303774501659337
ANXA2	-0.203953063612102	0.15943344008685
ANXA1	-0.0731867453167315	0.0946448455397503
CD44	-0.0726908708728849	0.128832419982667
VIM	0.0719853581913629	0.121393222475673
MT2A	0.150835586384555	0.157365751473008
C1S	0.0136236147971277	0.0139290373105174
NAMPT	0.10438665106961	0.177156093164855
EFEMP1	-0.0535607433852592	0.045515618880194
C1R	-0.0132796021974276	0.0380159776888019
SOD2	0.113697382454688	0.0990821200613202
IFITM3	-0.120839039700857	0.120683764488843
TIMP1	0.10012427984774	0.139229230374702
SPP1	0.0251986388942617	0.0516056097731088
A2M	-0.101682656175442	0.107379665010335
S100A11	-0.0540018373563072	0.155115500618947
MT1X	0.109307079939674	0.146504008349167
S100A10	-0.146615089590384	0.152406420899563
FN1	-0.0512544785263537	-0.00234378173981786
LGALS1	-0.106824370055703	0.0324693221828965
S100A16	-0.011487067992323	0.123303007223433
CLIC1	-0.151964807625011	0.104563611235301
MGST1	0.0165246746289082	0.0263304130670586
RCAN1	-0.0181408688638888	0.096575238735861
TAGLN2	-0.166419296317252	0.0734956426263702
NPC2	0.00727152897508101	0.0753050665769252
SERPING1	0.0133779158299368	0.0386253582222681
EMP1	0.0803360764002798	0.0957818526890138
APOE	-0.0281316524157055	0.0396901419079239
CTSB	-0.130006442296642	0.189695198357316
C3	0.00470649880443867	-0.00472412999741788
LGALS3	-0.0822460190350506	0.148886756255556
MT1E	0.124231469332203	0.0811403127437634
EMP3	-0.223424116333433	0.0923134934777254
SERPINA3	-0.0066985317202312	0.00836261942489827
ACTN1	0.139980097427131	0.116627022467345
PRDX6	-0.131479684436068	0.0680069635194075
IGFBP7	0.167270897779589	-0.0166115367373249
SERPINE1	-0.0177788736080804	0.0931182879785879
PLP2	0.0558773935789307	0.0735096671337122
MGP	0.0312568633236961	-0.00746820808538087
CLIC4	-0.11137592631928	0.0393091327204439
GFPT2	0.0567236103690354	0.0749339759854064
GSN	0.0171917254748651	-0.00426932086675834
NNMT	0.107885149588479	0.123235067329226
TUBA1C	-0.171926569198975	0.0458647711320215
GJA1	-0.00756128368669942	0.0132713835244291
TNFRSF1A	-0.122378070630081	0.173068212685328
WWTR1	-0.204500790531741	0.103116365468118
BCAN	-0.092162490185077	-0.109857743862441
PLP1	-0.108910495436945	-0.0447052195324899
FIBIN	-0.100842363515087	0.0286988672844385
LHFPL3	-0.0544099590149268	-0.0127561560479476
OLIG1	-0.0907592996245439	-0.115870846931823
PSAT1	0.0186641866786393	-0.0680605746869847
SCRG1	-0.134065452401686	0.0274252747635274
OMG	0.0150370121281924	-0.00572459864607164
APOD	0.0075684047458499	0.00209437961045892
SIRT2	-0.042473059448955	0.02380841662022
TNR	0.0419774957308715	-0.013086366915975
THY1	-0.154795595085072	-0.0309782149560125
PHYHIPL	0.0193560798093895	-0.0571726588663021
NKAIN4	-0.0344120337416102	-0.000481541201109553
PTPRZ1	-0.152522340894724	-0.10539762334611
VCAN	-0.033109498924376	-0.0613835870460464
DBI	-0.143335588267347	-0.115093881456917
PMP2	-0.0248808910080819	-0.0076887218785063
CNP	-0.0865073021766476	0.000196644631227546
TNS3	-0.0260862223621255	-0.0298042035552955
LIMA1	0.0410823209636648	0.00305012276472122
CA10	0.00530344969648674	0.00581298911280619
PCDHGC3	-0.00329341718039452	-0.0152474398428564
CNTN1	0.0206626079775154	-0.035400754325918
SCD5	-0.0873765918087085	-0.0295458321130187
P2RX7	-0.00705848913065445	-0.051666043921601
CADM2	0.0242442299550946	-0.0893556723280264
TTYH1	-0.17747238751748	0.00109605520359859
FGF12	-0.00488184972948152	-0.0395288331133143
TMEM206	-0.110801925286846	-0.0111482066601776
NEU4	-0.0661208544653599	-0.0827658089014245
FXYD6	-0.0643292748173355	-0.0995102187693299
RNF13	0.0739811988887576	0.0546600320621594
RTKN	-0.071355295474238	0.010514666235288
GPM6B	-0.151035210693671	0.0381609799083901
LMF1	-0.0794703032872649	-0.0019806042827993
ALCAM	-0.00411942672772878	-0.0796131379799354
PGRMC1	-0.0707237651244457	-0.00682762623211324
HRASLS	-0.0547295771426214	0.00647580840191017
BCAS1	-0.00257514121625325	-0.00752707768057197
RAB31	0.0147492291873134	0.0849574758079524
PLLP	0.0229127357545387	-0.0698752354503931
FABP5	-0.00571920296933048	0.00619047796371216
NLGN3	-0.0991710293081187	-0.0894429381601681
SERINC5	0.128020302725906	-0.0295639450992157
EPB41L2	0.0231634079085678	-0.0562371346428352
GPR37L1	0.0136050763572798	-0.0650172223906204
