""	PC1	PC2
ACSL1	0.0225706956937496	-0.00685305645487729
ADAM12	-0.101672835275911	0.057941415511017
ALDH3B1	0.0393946636403958	0.0308192835853841
ALOX5	-0.00932945306187094	0.00226576531775297
AMPD3	-0.000532650502165059	0.000795746558477251
ANXA1	0.0392930821192587	0.0494740643166092
ANXA2	0.123187088096821	0.0684377597327395
ANXA4	-0.0173340396529546	0.0299612693460946
ARHGAP29	-0.0776135453347428	0.00948865316540968
ARPC1B	0.0262686586191304	0.049806390488353
ARSJ	0.034663269654458	0.0256943496528764
ASL	0.0372740541493821	0.00476466771836366
BDKRB2	0.00108646949694816	-0.00280922383168941
BLVRB	0.0363761723269826	0.0754027437528329
BNC2	-0.00449495266075712	0.0125681709659427
C1orf54	0.0732277499319259	0.0434624439009267
C5AR1	-0.0261336954107793	0.0402772811925642
CASP1	-0.0174490507110613	0.015219968308092
CASP4	0.0054609057810201	0.0153852449059728
CASP5	-0.00398743719744813	0.00229053721464943
CASP8	-0.0232824930344962	0.0167415454124515
CAST	-0.00209175449157016	0.0990596395297557
CAVIN1	0.0953097650820541	-0.00589593626285141
CD14	-0.0133863344040395	0.0200406813919853
CD2AP	-0.0587962884898987	0.00139185437036965
CD4	0.00861217590323304	-0.00371498142674506
CDCP1	-0.00786686547231948	-0.000619927870331594
CEBPB	-0.067601488749371	0.063696466667702
CHI3L1	-0.00365368359143438	0.02514407572256
CLCF1	-0.0232540772371135	0.0569470795122896
CLEC2B	0.0232197245033932	0.0541443925290357
CLIC1	0.0851960814691033	0.0485741664053177
CNN2	0.0371235644166884	0.0107830779456311
COL1A1	-0.00260540477100288	-0.00657953418655746
COL5A1	0.0553137106011338	0.0300485643592322
COL8A2	0.0026402089628447	0.00978958363658699
COLGALT1	0.015934313628674	-0.0187800115105641
COPZ2	-0.0365392600279449	0.0110477617863691
CPQ	0.0637347151793825	0.0180302774535279
CRYBG1	-0.0720617074655005	-0.0167609040541617
CSTA	0.0104490616976233	0.00393352372378882
CTSB	0.0887875656836189	0.104610320305253
CTSC	-0.0625731444149028	0.0781023789038484
CTSZ	-0.00945589522582024	0.00342373123124142
CYBRD1	0.0141822851863287	-0.0204505728356938
CYTH4	-0.003179910316852	-0.000675592710515556
CYTIP	-0.00405140896889645	-0.00635721479248813
DAB2	-0.0237256937596059	0.031033557083035
DCBLD2	0.0358462684750099	0.00588169462009843
DOK3	-0.00916413782854462	0.0103175916723859
DRAM1	0.012253305453061	-0.0059253324336249
DSC2	-0.011941138681282	0.0123987708405653
DSE	0.0123954314686009	-0.0141705747402284
EFEMP2	0.114314701310037	0.0432068712798404
EHD2	0.00587057712078891	0.0411099636891252
ELF4	-0.00573146101425876	0.00166219401274926
EMP3	0.132838254494801	0.0469735167091463
ENG	0.0861323578202553	0.0451078865004022
FCGR2A	-0.0403014909936107	-0.0241950066235794
FCGR2B	0.00212660266512688	0.00849216951487228
FES	0.000663351984969501	-0.00428128969344155
FHL2	-0.0306405775969405	0.0337273140949766
FHOD1	-0.00842538891863358	-0.0179654318602864
FMNL1	0.00173763470111938	-0.00132065661762874
FNDC3B	0.0141549468779161	0.0110219428354827
FPR3	-0.00161991354176292	-0.01476169255375
FURIN	0.0175220986023686	0.0368339744614374
FXYD5	0.0726745022312776	0.0220656941437942
GCNT1	0.00581736680026639	0.00464739270170674
GNA15	0.00160186596966791	-0.00500699833614885
GRN	0.0381571023218869	0.0426163096016082
HEXA	0.0502615641231013	0.020716316346277
