""	PC1	PC2
ACSL4	-0.00550885150091279	0.0220901342214231
ACYP2	-0.0411381639972531	-0.0206503088073529
ADD3	-0.0613660059341818	0.0656858391064836
AGTPBP1	0.0333437736068442	0.0155158825544018
AKR7A3	-0.00199443665101684	0.00128128396655991
ANKRD46	-0.00575563020341519	0.0318968646471917
ANKS1B	0.0647858241943023	-0.0537621789139044
ANXA3	0.00527027302924734	-0.000336550003731208
ANXA7	-0.0335720810530229	-0.0466468343580037
ARRB1	-0.0212470815788322	0.000692934445342851
ATP5MG	0.0450792478407924	-0.0278523069151502
ATP5PB	-0.0281673386981537	-0.0562454752906735
ATRNL1	-0.0441340114863358	-0.00632808855370485
BASP1	0.0420523430423817	-0.00751768610309425
BCAS1	0.00690771600827473	-0.00417035636328432
BEST1	-0.0197118050566578	-0.013146261676185
CA4	-0.00581004684946398	-0.0181838222140148
CALM2	-0.00211221264519663	0.0926803308230379
CAMK2G	-0.00020830860478581	0.00550172404087507
CASQ1	0.02207543063672	0.00160285374080868
CCDC121	-0.0278986813873765	0.0576823216557458
CCK	-0.0158621306724313	-0.0158317490514048
CDC42	-0.0168284328133459	-0.0168146697154795
CDR1	-0.0215631774101356	0.0133024406074269
CHN1	-0.00879541929165148	0.00684830834133042
COX5B	0.0194638448665471	-0.113129901236117
CPNE6	-0.00625522664671176	-0.00532056672328673
CRBN	-0.0350799946710446	0.010636318813474
CRYL1	0.0408915632991472	-0.0385341752880155
CRYM	-0.0126968284818067	0.00836732885246501
CRYZL1	0.101159205273973	-0.0228532806580038
CUTC	-0.00154262917750993	-0.00429674378523366
CYTH1	-0.0563063613456538	0.104923534479123
DHRS9	0.00551796994050829	-0.00619486872646348
DYNC1I1	0.0987644310812693	-0.0289680362872237
EDIL3	-0.0325652160262514	-0.0120415556096184
ENPP2	0.0213821155828984	-0.00783558007380958
ENPP4	-0.0462919829000191	0.0130949853799819
EPB41L3	0.0438018573428764	-0.0153929855614818
ETNPPL	0.00550598650524311	0.00783024598776393
EVI2A	-0.00322108949983634	0.00800916581185275
FBXO3	-0.0497834582619795	0.0271150367949053
FEZF2	-0.00386720418871865	-0.00132173467117332
FHIT	-0.026139657088018	-0.00661782255205051
FUT9	-0.0550352311753465	0.0833590629802952
FXYD1	0.0123868609520218	-0.0116480303271753
GABARAPL2	-0.100744380170665	-0.0052832127030959
GABRB2	0.00780934618877587	0.00708717835267633
GNAI1	-0.0742856278427873	0.0292279827239318
GPR22	-0.00400572270866322	0.0166063079041931
GRM1	-0.00743646133119237	-0.00215885319023866
GRM3	-0.0109779478665751	0.0212822366478614
GUK1	0.143765499114356	-0.10088082047597
HPCA	-0.0365731763070302	-0.00672110431839502
HPCAL4	0.00846288470673144	0.00756024701022956
HPRT1	-0.091482186984887	-0.0191558877439948
IMPA1	0.0240414082236672	0.00992184195454745
KCNJ3	0.0070537282123431	0.0129051234253056
KCNK1	-0.00185655084610724	0.0119943300882112
LYRM1	-0.0514619402345409	-0.0278673714973456
LYRM9	-0.00470370224034601	-0.0108482126637144
MAGEH1	0.13035565833714	-0.00031608302093076
MAT2B	-0.0301514344241701	0.0304156006523986
MBP	-0.00892174562476897	0.00571566140118128
MDH1	0.0147315158356075	-0.00549903886307803
MGST3	-0.0348133476020828	0.0561726563886304
MMD	0.0136239004629925	0.0640079181674989
MORF4L2	0.0235113337895969	0.0151055075906391
MRPL49	-0.0280408966663101	-0.0212654916493112
MSRB2	0.0327141794765298	-0.0963077230336182
MYBPC1	0.00973592060693281	-0.0193642254283923
NANOS1	-0.00707974978036471	0.00188137115207712
NDRG2	0.063005130416531	0.0608596456044533
NDUFS3	-0.0234650661411897	-0.0444326141390746
NSL1	-0.0447304085924205	0.0662370681697988
NTSR2	0.0091448032390553	-0.00344487076303529
ORC4	-0.0260387589515027	0.00854190603141117
PARP8	-0.00596081191454401	-0.00540845319931097
PDE6D	-0.0286205040773758	0.0269757595334464
PEX11B	-0.0356443351604527	-0.000789158449525739
PEX19	0.0237806112254294	0.00804434565088427
PGBD5	0.00161098524869787	-0.0278584997475595
PLCL1	-0.0268522195568313	0.00535818982685859
POPDC3	-0.0371837428699857	-0.0211106369576356
