""	PC1	PC2
ACSL1	0.0138981243297721	0.0229316876459305
ADAM12	0.114763829434102	0.0731329593000397
ALDH3B1	-0.00510454833902563	0.0156561865499525
ALOX5	0.00127216618451764	0.00630709047788891
AMPD3	0.00395074365096118	-0.000327693466860457
ANXA1	-0.0248069374079624	0.0834265971537697
ANXA2	-0.171336606826661	0.0150450244047215
ANXA4	0.00722444082299787	0.0392211166144883
ARHGAP29	0.0520286769791317	0.0709774127634192
ARPC1B	-0.194267888733935	0.0626192218616537
ARSJ	0.0310650568849382	0.012097057496479
ASL	-0.0623539196978653	-0.0371377001595008
BATF	-0.00547648485344222	0.00865685331597324
BDKRB2	-0.0658033894200362	0.0509413955956588
BLVRB	-0.133594888580974	-0.0675584513215815
BNC2	-0.00502134549339231	0.0424957448700752
C1orf54	-0.0161849242098982	-0.157129266133428
C5AR1	-2.28054964492742e-06	0.0113283643570447
CASP1	-0.0940373657108378	0.0421839594154051
CASP4	-0.111549876530867	0.08767398599959
CASP5	-0.00999787902443896	0.00520565182153653
CASP8	0.0216278263645118	0.034796739354997
CAST	0.0575014272533669	0.0745746586692986
CAVIN1	0.072155068660652	0.0461553438060515
CD14	0.000384515882917328	-0.0137456840814881
CD2AP	0.0427028943675057	0.0866469651218121
CD4	0.000154966138540796	-0.0110387731932285
CDCP1	-0.00545958615298593	-0.00131003250421258
CEBPB	0.0820606777299493	0.0664644342420452
CHI3L1	-0.123141580829752	0.103383075103018
CLCF1	-0.0171299935495888	0.0083963761230209
CLEC2B	-0.0115546029473928	-0.0943222433386004
CLIC1	-0.15428932415041	0.0859898555088086
CNN2	-0.113786862656169	0.091334076546392
COL1A1	-0.050798601125125	0.042122767731349
COL1A2	-0.111330796137427	0.0990309171844583
COL5A1	-0.0150538770188575	0.00772372187073688
COL8A2	-0.00054628416957963	0.00442974178530377
COLGALT1	0.0435719687061716	0.0299597502099752
COPZ2	-0.0351101621600185	0.0615377470772265
CPQ	-0.0469956131897908	0.0131768078110188
CRYBG1	0.0109747600322994	0.00540975761699009
CSTA	-0.135290108986442	0.107349188822845
CTSB	-0.00014715595932945	-0.0963342226182732
CTSC	-0.114304947376792	0.126411510347366
CTSZ	0.0241863669825145	0.0275662362599144
CYBRD1	0.0231245495582753	0.0390154444420216
CYTH4	0.00647848502733616	0.00823288982237767
DAB2	-0.0151196853219288	0.0198299679166198
DCBLD2	0.0795057054288263	0.066886521448248
DOK3	-0.000370705853629549	-0.00859037508398017
DRAM1	0.0274950333455432	0.0455193168356959
DSC2	-0.0622968832125143	0.0637554495891407
DSE	-0.0251169059368937	0.0569680372840508
EFEMP2	-0.00766368762970209	-0.112160248347114
EHD2	-0.00502630866621062	0.0344781544869147
ELF4	0.0100496035872286	0.033362766462071
EMP3	-0.186623590216338	-0.0920558100216864
ENG	0.0207453443951943	-0.0302679580216726
FCGR2A	0.0309253499456845	0.0379278183549037
FCGR2B	0.00674610436286898	-0.0110669445872705
FES	-0.0121030901275508	0.0174364508199067
FHL2	-0.0528806850649269	0.0665599354933512
FHOD1	0.0160491024911345	0.0348795282857117
FMNL1	0.00763191318603746	0.00860521742102704
FNDC3B	0.0859810268350269	0.0672779334408936
FOLR2	-0.0139260901316436	0.012976631576423
FPR3	0.00912655489379606	0.0121635182486027
FURIN	-0.0172961557514093	0.0129345754254568
FXYD5	-0.155519722276789	0.10593945365484
GCNT1	-0.0199561452997058	0.0371949536778405
GNA15	-0.0377920132043211	0.0366946267991663
GRN	-0.0242361282910441	0.0364297156689278
HEXA	-0.0161408220450815	-0.0523459847545933
HEXB	-0.0127673829271296	-0.00997347047043102
HFE	-0.00343147282815581	0.0107033880853877
ICAM3	0.0597814270820669	0.0296399705878755
IFI30	-0.0310945580959649	0.0257438568693225
IGFBP6	-0.144983888974194	0.109699433785438
IL15RA	-0.0133281349654458	-0.00446518577260486
IL1R1	-0.02329949355456	0.0239642698826765
IL4R	-0.0285592389719166	0.0333690927953016
IQGAP1	0.10579452563133	0.11491260938625
ITGA4	0.0315177687633437	0.049973099435455
ITGA5	-0.0173914380853838	0.00203066406936165
ITGB2	-0.0475751291964082	0.0408045450366305
KYNU	-0.0848419630231727	0.0740859434797848
LAIR1	-0.0367049891072351	0.0339472672113181
LAMB1	0.0311354215030844	0.0693036444027574
LAPTM5	-0.0860101639395224	0.0841091599325382
LCP1	0.0294175585508041	0.0210731825417818
LCP2	0.00492523042072639	0.00375089781496389
LGALS1	-0.119741695879157	-0.161919941348904
LGALS3	-0.0705929220930188	-0.00550962645149501
LHFPL2	0.046688915716184	0.0425442433800207
LILRB3	0.00153503973186871	0.000270275035410773
LOX	-0.0214866959885384	0.0427900575993629
LRRFIP1	-0.00334631246646166	0.0744920273910687
LTBP1	0.0514240548193112	0.0236600653604445
LTBP2	-0.0313281628766072	0.0311270005372292
LY75	-0.004388635186407	0.0187649574954178
LY96	-0.109541743768421	0.110599569816107
MAFB	-0.0768740614011499	0.0689983822914494
MAN1A1	0.0097985775271816	0.00776573831685814
MAN2A1	-0.00738026157433756	0.0440187753642432
MAN2B1	0.00897196285698553	-0.0213506924190777
MAPK13	0.0137220593807577	0.00776395850453309
MCUB	0.0537385462644201	0.0298095914043955
MFSD1	0.025380549030198	-0.00203013958614035
MGAT1	-0.00129255118366622	0.0265178451630352
