""	PC1	PC2
ACSL1	0.00564037167137939	0.0153549259647041
ADAM12	0.0646707386721831	-0.037255815941578
ALDH3B1	0.0076674319398623	-0.00589811738562507
AMPD3	0.00502258349778773	0.008954661649294
ANXA1	0.0926410844252369	-0.0683310563780057
ANXA2	0.0335330698560394	-0.155598770576944
ANXA4	0.0316749033872416	-0.0284236409796152
ARHGAP29	0.0135041458893552	-0.0426913418494294
ARPC1B	0.112508020135636	-0.0200798028797638
ARSJ	0.0321697164243965	-0.0498049613847019
ASL	0.0119604963739014	0.0164268740863353
BDKRB2	0.0161219379468645	-0.00979127330038436
BLVRB	0.0742990156952942	-0.0403571181602623
BNC2	0.0038313407833754	0.00434327402648764
C1orf54	0.0421987035282159	-0.137190934606945
C5AR1	-0.0308707759912644	-0.0747633126415008
CASP1	0.0315409695450307	-0.0193306662518308
CASP4	0.00884611973549045	-0.00651497528969544
CASP8	0.00731251376106664	0.0100033610632546
CAST	0.0235761367553961	0.00476937721362756
CD14	0.00576708309015407	-0.00074922749152364
CD2AP	0.0107574199658509	-0.00552632273543947
CD4	0.0133268554644463	-0.00405276701100941
CDCP1	0.00656094165560355	-0.00161491791667594
CEBPB	0.00513049987170588	-0.0302933968050338
CHI3L1	0.0241988962652412	-0.00874985522691237
CLCF1	0.0112239790913118	0.00829199138561659
CLEC2B	-0.023351724048149	0.0175417507333752
CLIC1	0.101289086361868	0.0409143899361157
CNN2	-0.019138370553999	-0.00506153063129499
COL1A1	0.011647084869525	-0.00961165367847193
COL1A2	0.0323739013054948	-0.0089778791918059
COL5A1	0.0235740163713694	-0.0575982951239566
COL8A2	0.00533954134512465	-0.00937562819837896
COLGALT1	0.00517688552536085	0.0462345301964313
COPZ2	0.0110215139810294	-0.0406773305755894
CPQ	0.0150692265735411	0.021789133081713
CSTA	-0.00244463361011851	0.0027509278463518
CTSB	0.0276753058675432	-0.0298864118512784
CTSC	0.0295674247630594	0.01660245818243
CYBRD1	0.049900193860682	-0.0294811823373172
DAB2	0.0161219379468644	-0.00979127330038433
DCBLD2	0.00558222929050907	0.0207817811505306
DOK3	0.00157678811776307	0.0100813243442306
DRAM1	0.0206145065308226	-0.00864209973024889
DSC2	0.0180723906959774	-0.0269941763375999
DSE	0.0162456638423219	-0.0133110316138776
EFEMP2	0.0336821049503573	-0.079888786162083
EHD2	0.0419386402185044	-0.075437631345317
ELF4	7.99957562928044e-06	0.00450064165710648
EMP3	0.146456333012757	-0.0622135975110924
ENG	0.0173563459865586	-0.0180843281692543
FCGR2A	0.0194362195334363	-0.0285143260481385
FCGR2B	0.0180656417862677	0.0106189808064836
FES	0.0118377642898961	0.0103972124510485
FHL2	0.00840110029704507	-0.00361233034238335
FHOD1	-0.00811403834626018	0.0102821308864637
FMNL1	-0.00725348494266791	0.000862010873445136
FNDC3B	-0.00113655613533947	-0.050819847879167
FURIN	0.0318097372115931	-0.0491139730737273
FXYD5	0.0475054156917554	0.0433101464891897
GCNT1	0.00480375400118773	-0.0193048877936166
GRN	0.00798144449881222	-0.0448644193467726
HEXA	-0.00876454112072674	-0.0807967690248094
HEXB	0.0104501729427281	0.056458509218053
HFE	0.00104619797206215	0.0304892581023935
ICAM3	0.0188448655243724	0.013381329486112
IFI30	-0.0114337968896942	-0.0246803884917443
IGFBP6	0.0116676933801969	0.00153985214722062
IL15RA	0.0234450866575748	-0.0385344059728273
IL1R1	0.00104138828535709	0.0129382422360709
IL4R	0.00316273015724143	0.0041627092957255
IQGAP1	0.0164494988246579	0.0228986123353089
ITGA4	0.0120306744554174	0.0111008356494846
ITGA5	0.0200386191038584	-0.0436051249269166
ITGB2	0.00296545550994831	-0.0112708048954424
KYNU	0.011474501207268	0.00407362919000722
LAIR1	0.0158864224525203	0.0119478739037355
LAMB1	-0.0144407305339321	-0.0577991649000567
LAPTM5	0.0134484855314501	-0.00639480306289439
LCP1	0.0068666008760189	0.0228162614384957
LGALS1	0.0945529862150871	0.116800745280793
LGALS3	0.104049866940669	-0.116638270024622
LHFPL2	0.0153916705254681	-0.0258956537227291
LILRB3	0.0103550082967009	0.01054414929197
LOX	0.00856575220132942	-0.00859533193354456
