""	PC1	PC2
HILPDA	-0.0732065197651977	0.0159305462656825
CST3	0.0862770815781512	0.0522454772133966
BCAN	0.117512674578882	-0.0150019506910422
DLL3	-0.0396118526374642	-0.0413316586239862
ADM	-0.0409815063740473	0.00497944672643857
S100B	0.113718318061357	0.0440104696203398
PLP1	0.00249095166088074	0.138296612300142
DLL1	0.0295660844226515	0.00719256642957064
DDIT3	-0.101435683898868	-0.0435043023749666
SLC1A3	-0.0151218533608125	0.0211172932683448
HES6	-0.0956839292408017	-0.059376880555878
NDRG1	-0.00668002604761722	0.0748141086715886
HEPN1	-0.0167794766487312	0.124921009800766
FIBIN	-0.0616748418341385	0.087860938976032
NEU4	0.0566937828495327	-0.0412298732683508
HERPUD1	-0.116159450048366	-0.00716765116042049
HOPX	0.0108222050382402	0.000618565104509175
LHFPL3	0.0767783197100884	0.00864170796546506
MARCKSL1	0.0698460856068273	0.0511282568850188
DNAJB9	-0.0744749236161574	-0.0121538869136045
MT3	0.0547507959431198	0.0669154383577166
OLIG1	-0.0188479199006779	0.101602189284748
TCF12	-0.0956821792200928	-0.073033196111202
TRIB3	0.00672736239552864	-0.023179244343602
SPARCL1	0.0664362164327418	0.0288974825513014
PSAT1	0.0331151093210284	-0.0745262964547888
BEX1	0.0135942589338379	0.0876011573111129
ENO2	-0.00637951232565393	0.0108546775320488
MLC1	0.0466730312041453	-0.0108298646343994
SCRG1	-0.0139016591278941	0.133930457470956
AKAP12	-0.0653724043721578	0.0645112754015867
GFAP	-0.0105778366788142	0.0943124946244712
OMG	-0.0827109242256246	-0.0158834682709286
MAP2	0.0870372891589804	-0.0432469462528337
SQSTM1	0.0928556450122111	-0.0286300854247581
FABP7	0.102272762221638	0.0264529012202469
APOD	-0.00158555973405029	0.127128960961548
FXYD6	-0.0881486124048179	0.00272695124475803
ATF3	-0.068344983782297	-0.0152847020096656
SIRT2	0.0920022093261169	0.00729190288944517
PTPRS	0.0842915096148274	-0.0122363246555755
NRN1	0.0378608406100822	0.00663968183809124
PON2	0.044576301732697	0.117162072509771
TNR	0.0719690001587401	-0.006504314090118
NPPA	-0.0122762233705916	-0.0171407750027003
SLC2A1	-0.0357984384207297	0.0538635283915709
METTL7B	0.0700748803576155	0.0443226553854053
THY1	0.00645755079861657	0.112221425492707
BNIP3	-0.0124360788224858	0.0278555450947977
SPARC	0.0225721980345736	0.14305280289688
PHYHIPL	0.000408989747463355	0.0442922901830808
MEST	0.0602427550927613	0.0120023327868733
INSIG2	-0.0241939409039237	-0.0110123108823199
GATM	0.0882698866434581	-0.0208880655392708
ASCL1	-0.0780655330394562	-0.0752132094024101
IGFBP3	-0.043019041933326	0.0853923537967331
RAMP1	0.00585960107422648	0.129846169758089
NKAIN4	0.0877849218007711	-0.0140595968235138
BTG2	0.0914862698038303	-0.0462072218921526
PPP1R15A	-0.0482354383339269	-0.0133998350876197
PMP2	-0.0219175132109626	0.128670991523941
NXPH1	-0.0834415612849851	0.0128005196729044
PLOD2	-0.00302680549813468	-0.00656666549825744
AQP4	-0.0272906880280818	0.104748028243783
PTPRZ1	0.104259302022271	0.00746315583200687
PFN2	-0.0377771471997854	0.0526319427935306
GBE1	-0.0360825290355472	0.0520763869320668
DBI	0.0314764704690518	0.0476517882158476
VCAN	0.0247459276826333	-0.0799269641094021
SCG3	0.116064385251766	-0.0302811459452855
SLC2A3	-0.0138524317742372	0.131448842133207
EDNRB	-0.0236578503181645	0.144846368938518
MYT1	0.0564513204631032	-0.0487967231330966
FTL	0.0890452384952397	0.0359949079125715
CHD7	-0.0345821832138225	-0.0766225497715006
