""	PC1	PC2
DLL3	-0.0397000218730775	0.0386958289779997
DLL1	0.0331423741146694	-0.0145074523648457
HES6	-0.102272856338014	0.0685783570664908
NEU4	0.0643431113781334	0.0349295085748028
MARCKSL1	0.0752045444283596	-0.0617518785464947
TCF12	-0.101477027209841	0.0810638001762889
BEX1	0.00663934223113498	-0.0808542292215624
OLIG1	-0.0297397405916293	-0.0876106622362732
MAP2	0.0972085166315245	0.0299945961234144
FXYD6	-0.0988989597000755	0.00972470998968961
PTPRS	0.0902289477964384	0.010456823814656
NPPA	-0.0132264395888383	0.0134676643636418
BCAN	0.130305641670063	0.000928305010269871
MEST	0.0595902044776268	-0.0127344976099142
ASCL1	-0.0815024142162223	0.0847444238702718
BTG2	0.103023462316045	0.0350615841223311
NXPH1	-0.0964303005031289	0.00329187434184175
PFN2	-0.0446268678232965	-0.0510345465176193
SCG3	0.129394165834165	0.0167923643034161
MYT1	0.0673121090552644	0.0319929941791488
CHD7	-0.032016103189057	0.0749101028407683
GPR56	0.124871974250419	-0.0109019492646523
TUBA1A	-0.102490213689868	0.0232031439424109
PCBP4	0.0408593132256134	-0.0599963613780257
ETV1	-0.0120417848805039	0.0534296044046801
SHD	-0.0216550888810221	-0.00772391761523817
TNR	0.0796705730607861	-0.00276544089680354
AMOTL2	0.0511383370003041	-0.0128898771972937
DBN1	0.0906080257814328	0.00658461499733001
HIP1	-0.10035850262455	0.0490329248157431
ABAT	0.120635936947483	0.0222122168370257
LMF1	0.0777520781250381	-0.015152826368359
GRIK2	-0.0300938475164611	-0.0506167982295461
SERINC5	0.0905645951318139	-0.00738025196777227
TSPAN13	-0.06114579628273	-0.0212461354870531
ELMO1	0.0295816743645278	-0.0103360507574492
GLCCI1	0.034991830756099	0.0857690153152448
SEZ6L	0.108013719793623	-0.0140941391495699
LRRN1	0.079946800778948	0.0277383774707723
SEZ6	-0.00795158215713922	-0.0715564223996899
STMN2	-0.029658374931599	-0.0424185068242803
RND3	0.0211342748428677	-0.00666805386993501
MIAT	0.0618914743226781	0.0281404077384663
DCX	-0.0280179740195022	-0.0676057932485749
NSG1	-0.0269489238888804	-0.0115504805244961
ELAVL4	0.0298847748447836	-0.0258846371948664
MLLT11	-0.0772962937461801	-0.0540274232186751
DLX6-AS1	0.00247156421011144	-0.137520937480506
SOX11	0.0972351488939827	0.0204013242687152
NREP	-0.105640891503505	-0.0296631891375834
FNBP1L	0.00354833689412344	-0.0501062248209048
TAGLN3	0.055761718299594	-0.00707062220073437
STMN4	-0.0115152807997277	0.00238947370795702
DLX5	-0.0249929881656359	-0.141837604597449
SOX4	0.0462649149629427	0.0211507967278258
MAP1B	-0.0914420034655502	0.0838154838504319
RBFOX2	0.0466468307399124	-0.00716807992643408
IGFBPL1	-0.104011270313171	0.0325624697067083
STMN1	-0.127284924664764	0.051794185303642
HN1	-0.10470230490292	0.068098357490886
TMEM161B-AS1	0.052824197547291	-0.0154569780499697
DPYSL3	-0.058459840797022	0.0260849236649546
SEPT3	0.036009755262543	-0.0384840925404303
PKIA	0.0512731513679212	-0.0575237620756502
ATP1B1	-0.0296031484845206	-0.0763770468168015
DYNC1I1	-0.0185037098554062	-0.0515156232772666
CD200	0.0511108072448875	-0.0349925297176093
SNAP25	0.0271937342064025	-0.0199042486938717
PAK3	-0.0277163687215175	0.100408553948792
NDRG4	0.125156442183391	-0.0227149168432385
KIF5A	0.11892314985062	0.0163520213385142
UCHL1	0.0651684313133508	0.047667439622275
ENO2	-0.00517504777153899	-0.0106180635354352
KIF5C	0.0766735398197246	-0.0167633045766873
DDAH2	-0.111228145746035	0.0632261957835142
TUBB2A	-0.0496778025701754	0.0543644266715863
LBH	-0.0497488365838586	-0.120285332727894
TCF4	-0.0164230000409675	0.10080871785337
GNG3	0.000389933312640022	-0.0600107346187662
NFIB	-0.0960679258947526	0.0824395156657502
DPYSL5	-0.0498877695356458	-0.0401569876666456
CRABP1	-0.0576668700361352	-0.00879036825238736
NFIX	-0.0782719893744881	0.0508600631795343
CEP170	-0.11060144695011	0.0722467168036985
BLCAP	0.0603899755545661	-0.0213812103311574
ACSL1	-0.0468318335018539	0.00983495266260781
ADAM12	0.0386690087131883	0.0652139742360128
ALDH3B1	-0.0148390104235352	-0.0804591548121229
ALOX5	0.0510982482710854	0.0160452266008916
AMPD3	-0.018522798580885	0.0279684871630411
ANXA1	-0.0333269021091592	-0.137867015236211
ANXA2	-0.054306587324976	-0.140401943305574
ANXA4	0.0600389242706297	-0.0622933584359077
ARHGAP29	-0.0463293713144938	-0.0570810872978403
ARPC1B	-0.0898382299131708	-0.116342926960103
ARSJ	-0.0547831124926403	-0.0326957297719197
ASL	-0.00198794523959597	0.0142290898143101
BLVRB	0.112756506343188	-0.0423444970978124
BNC2	-0.0339643117035423	0.0684298765466287
C1orf54	-0.0328110780522849	0.00528463531138042
C5AR1	-0.0408725705830814	0.0122305294203666
CASP1	-0.0463582551579038	0.0591661705073873
CASP4	0.0119696691163819	-0.115442224664198
CASP8	-0.0200324293919701	-0.0149097537446827
CAST	-0.0318814506119015	-0.0756332978870472
CD14	-0.00821967209480558	-0.0642847937986579
CD2AP	-0.0783209587059625	-0.0398673856833931
CD4	-0.0508888917595608	0.00206986249945485
CEBPB	-0.101153460630989	0.0107709167987428
CHI3L1	-0.024452754687983	-0.108118030856441
CLEC2B	-0.0680899511536844	0.0575195576961743
CLIC1	-0.058855599783315	-0.131538065427451
CNN2	-0.0645770741024211	-0.0864769938311796
COL1A1	-0.0720144130217311	0.0124448950167159
COL1A2	-0.0153580118257969	-0.149550885824194
COL5A1	0.000379363387316005	-0.138961227956703
COL8A2	-0.054888202964707	0.0214589368565852
COLGALT1	-0.0958301795881149	-0.0169568209412702
COPZ2	0.0318928979059113	-0.103091796098817
CPQ	-0.0545550350127611	-0.00476675999250619
CSTA	-0.0590806740708238	0.0111168412672508
CTSB	0.0463180597077081	-0.116448146492835
CTSC	-0.0938345405040462	-0.0444976083189646
