""	PC1	PC2
ACSL1	-0.0311277843258373	-0.00692439749569666
ADAM12	0.0241254580612323	-0.0621823817012488
ALDH3B1	-0.00708039669913541	0.0526938353476687
ALOX5	0.0338843718793858	-0.00560642340910525
AMPD3	-0.00992689824405113	-0.0228238956170532
ANXA1	-0.0154725700554099	0.0756474180788699
ANXA2	-0.0292905951427295	0.0896110684686148
ANXA4	0.0401723318852638	0.0550835981504096
ARHGAP29	-0.0308334682621634	0.0515866011189711
ARPC1B	-0.0552444121482554	0.0745346725504513
ARSJ	-0.034676095771594	0.0182169991360362
ASL	-0.00218390362877491	-0.00496425977160658
BLVRB	0.070907929143191	0.029598403842379
BNC2	-0.0211152226515878	-0.0530915697613661
C1orf54	-0.0198230795241731	-0.0136066234341368
C5AR1	-0.020382964288181	-0.0227427189584886
CASP1	-0.0272636874621315	-0.0534497223520854
CASP4	0.0140427605179077	0.0597526355186279
CASP8	-0.01356415947959	0.0095818676861438
CAST	-0.0218328653935618	0.0694645183388987
CD14	-0.00576851681534933	0.0417801109264554
CD2AP	-0.0537146775996198	0.0412047814793452
CD4	-0.0296303018661466	-0.00156857773730677
CEBPB	-0.0630238981677154	-0.0147525073135672
CHI3L1	-0.0156449808246808	0.0757092566306079
CLEC2B	-0.0395261499616832	-0.055068006087133
CLIC1	-0.0325778433568058	0.0850741475509966
CNN2	-0.0369417685521203	0.0599690052003843
COL1A1	-0.0446079185216708	-0.0118232455592471
COL1A2	-0.0047154570635175	0.0894210520613815
COL5A1	0.00501896499421653	0.0753243726876728
COL8A2	-0.0317450347082362	-0.0303803856403338
COLGALT1	-0.0613492161530287	0.0155475124279935
COPZ2	0.0230678314940593	0.060727533326441
CPQ	-0.0311080411835	-0.00937752465233
CSTA	-0.0378855500765179	-0.00918854431947203
CTSB	0.032334038706487	0.0851032727323597
CTSC	-0.0595667568986488	0.035362877942152
CTSZ	0.024769742001385	0.0421448820990357
CYBRD1	0.0386124299568399	-0.0240002492106511
CYTH4	0.0238796364287007	-0.0145959260305142
DAB2	-0.0221473058627774	0.0197250038087622
DCBLD2	-0.00836837852541803	0.0420893705618645
DOK3	-0.0375000525704059	-0.0421175658214142
DRAM1	-0.038587110607088	-0.0388283773852953
DSC2	-0.0209068437517951	0.0558095208525828
DSE	0.00191674537000051	0.0101487679260448
EFEMP2	-0.0193719784223156	0.071370162446631
EHD2	-6.50985893171784e-05	0.090636052376319
ELF4	-0.0093622862902383	0.00705954299135448
EMP3	-0.0304602950172566	0.0347055456766895
ENG	-0.00181442135976021	0.0761155196005117
FCGR2A	0.0624180292772615	0.00319206961638501
FES	-0.0239760184081308	0.0464209480710078
FHL2	-0.0364997474848362	0.0803164091145063
FHOD1	0.00919760679884699	0.0488303488861913
FMNL1	0.0494563181942945	-0.0457950117086517
FNDC3B	-0.0425283740929783	-0.0352578872218122
FPR3	0.0390217853334406	-0.0417508675983817
FURIN	0.0546617663879405	-0.0300615202232156
FXYD5	-0.00200222434482995	0.083030395177982
GCNT1	-0.0374251790172359	0.0595047047820011
GNA15	-0.0119667531874655	0.0632065645473953
GRN	0.0782304747874114	0.0187488309723898
HEXA	0.0580926269937364	0.0196725356473996
HEXB	-0.048643420601271	0.0217862869747762
HFE	0.0240919476203339	-0.00708815630811087
ICAM3	-0.0288641942873635	-0.0552294761895863
IFI30	-0.0254661097206349	-0.0169828904640109
IGFBP6	-0.0427073394017405	0.0536330334715435
IL15RA	-0.00996111192795853	-0.0281087278111642
IL1R1	0.0451693885596516	0.0316011871594384
IL4R	0.0315937564022114	0.0204497584348021
IQGAP1	-0.0452798302870418	-0.0343005203165215
ITGA4	-0.0767703544986208	-0.0253651430141032
ITGA5	0.0361087515178009	0.0172580011178916
LAIR1	-0.0336346263159591	-0.00264000720720821
LAMB1	-0.0235420952682294	0.0690241983339778
LAPTM5	-0.0311904109960093	0.0256247612321628
LCP1	-0.0372200792970749	0.0199872851389314
LCP2	0.0285585873912397	-0.0358743853030825
LGALS1	-0.0634898210994172	0.00753921808466782
LGALS3	0.0621825433695919	0.0407616565659409
LHFPL2	0.0309825738595701	-0.0323551059157486
LILRB3	-0.00458299268091837	-0.010846761176918
LOX	0.000185960550702697	-0.0215284081847183
LRRFIP1	0.00487003815201603	0.0117127443654842
LTBP1	-0.0658289864236844	0.0128437974709579
LTBP2	-0.0166424444558086	0.00649859875449518
LY75	-0.0186496027903604	0.0646301973731783
LY96	0.00751172268481642	0.0374365433271655
MAFB	-0.0403738097386897	-0.00164583547967228
MAN1A1	-0.00301770851724785	-0.00946726637054696
MAN2A1	-0.0305687902822784	0.0778545859226709
MAN2B1	-0.0104950199635063	-0.0181588789066148
MAPK13	0.0100658567127377	0.0154920344686253
MFSD1	0.0405098544589482	-0.034471697523011
MGAT1	-0.012771173306626	-0.0149936562099277
MGST2	-0.0326486875393235	0.0650141765450882
MRC2	-0.017424778750435	0.0630489160344596
MVP	0.0412944778553104	0.0601692751960957
MYH9	-0.0530449112745677	-0.0213099348972055
MYO1F	0.0526108144716512	-0.0124607686204936
MYOF	-0.00437930171658305	0.082805768080232
NCF2	0.00987183130730544	0.0499088768780679
NPC2	0.0610651028923138	0.0468724833976937
NRP1	-0.0237100397519195	0.00767033043388531
P4HA2	-0.0102281989390661	0.0491665012389212
PDPN	-0.0155699398103334	0.0328876149721914
PHF11	0.0114849132223213	-0.0378507960878522
PIGP	0.037922206476475	0.080946971525835
PLA2G15	0.00248397097484225	0.0532265977806939
PLAU	-0.0378177615902131	-0.0618512312453379
PLAUR	-0.0403229703878829	0.0665360124608644
PLBD1	-0.0111108563588308	0.0294541057102197
PLK3	-0.00707902547531325	-0.0235349829374922
PLS3	-0.0295825212776463	0.0283583651501642
POLD4	0.0626079148124025	-0.0431519674149133
PROCR	0.00195485692240908	0.0428514362668278
PTGER4	-0.00534230175406554	0.00483885115254764
PTPN22	0.0234650664434457	-0.0313825144287389
PTPN6	-0.02616040216095	0.0154842422162871
PTPRC	0.0308915065912055	-0.0374663477878063
PYGL	0.0155483673195708	-0.0276218891073153
RAB11FIP1	0.0147692269148931	0.00341252189589176
RAB27A	-0.0343638756608395	0.00047742428294017
RAB32	-0.0507314870002448	0.0129564191852436
RABGAP1L	0.0103898442376616	-0.0270759578997568
RAC2	0.0357633601981393	-0.0403021452819269
RBKS	0.00907218472609475	0.00689729896481202
RBM47	0.0315195228153418	0.0476846919431221
RBMS1	-0.0465711177026695	-0.00673747168391037
RELB	0.0433041256381644	0.0492739202330087
RHOG	0.00562685042860213	0.0370337115488941
RRAS	-0.0364268341991706	0.0267433997689548
RUNX2	0.0178816616815839	0.0677014035009201
S100A11	-0.0711174219399288	0.0408906512161382
S100A13	0.0427907031806898	0.0292678375855422
S100A4	-0.0261256718167875	0.0940740041166451
SAT1	0.0536181774728892	0.0435005828600974
SCPEP1	0.0335427380283989	0.0341563379885349
SEC24D	-0.0589668542755603	-0.0531733957155092
SERPINE1	0.00469400473532426	0.079691152102293
SFT2D2	-0.0336237656377879	-0.0142095167201321
SH2B3	-0.0534368232185775	0.013583468887962
SHC1	0.0528227009711135	-0.00695260505510384
SLAMF8	-0.0288472014067995	-0.0182444847773883
SLC10A3	-0.0179095535582668	-0.0153619450298424
SLC11A1	0.0610284245341407	-0.0301155827333878
SLC16A3	-0.0407891700116553	-0.0403556013515587
SP100	-0.0272800507115198	0.0691671243524311
SRPX2	0.00230167795651988	0.0651098119923968
