""	PC1	PC2
HILPDA	0.0270620409218107	-0.0688860743616257
ADM	0.00106067902144213	-0.12806572161057
DDIT3	-0.013031602246928	-0.035388707435104
NDRG1	-0.0225938531274634	-0.0946429164923953
HERPUD1	0.0548127946433774	-0.0817096397627162
DNAJB9	0.00960557337766677	-0.0529209567360212
TRIB3	0.000975020795511814	-0.0701845889870017
ENO2	0.0201230978399043	-0.0567319874759893
AKAP12	0.0536931351447981	-0.0969819703544662
SQSTM1	0.00468730142153659	-0.191190049064019
ATF3	-0.0167075197032175	-0.0831055892114144
NRN1	0.0548915618613593	-0.101053968136169
SLC2A1	-0.0174162341532642	-0.181442781430752
BNIP3	-0.00381936418440647	-0.176336354965761
INSIG2	0.0141535960992045	-0.0201553000531996
IGFBP3	-0.0593566124380197	-0.0843393500660007
PPP1R15A	0.00213698348515912	-0.069742969197418
PLOD2	-0.0260498698207518	-0.09268122657074
GBE1	-0.0082815004808585	-0.0520863670340192
SLC2A3	0.0185119169360786	-0.123574406269706
WARS	-0.00148609102800356	0.0121110154600897
ERO1L	-0.019513058813949	-0.139922692036554
XPOT	0.0493116940185419	-0.0684036705955599
HSPA5	0.0183026324543927	-0.162090880577795
GDF15	-0.00716828563527412	-0.0527911415125855
EPAS1	-0.000586999271917897	-0.0784280720373251
LDHA	-0.0130789308751384	-0.191118529720286
P4HA1	-0.0236092112764715	-0.149050960173214
SERTAD1	0.00212328199566705	-0.0661806959647812
PFKP	0.00897000127345393	-0.186225889449042
PGK1	-0.0494414705942663	-0.155778118239379
EGLN3	-0.0149970163251013	-0.120459271579905
SLC6A6	-0.00464714883734905	0.0221040491600028
BNIP3L	0.0261127718911735	-0.0607500523589799
RPL21	-0.0588305730633445	-0.00295552775475959
TRAM1	0.0286687988063382	-0.076827489695326
UFM1	0.00467507830729244	-0.00288490412424475
ASNS	-0.00862616352554215	-0.00795299069538992
GOLT1B	0.0514185014853848	-0.0911573505337986
ANGPTL4	-0.0298797801538664	-0.0933169893019914
SLC39A14	0.053699104526351	-0.0334651717707616
CDKN1A	0.0465355985381549	-0.0643637666745299
HSPA9	-0.00858272439186439	0.00101596830217823
ANXA2	-0.108930822677301	-0.137990255921776
ANXA1	-0.0764205272550474	-0.0617900185066642
CD44	-0.0336754631048916	-0.19152783286195
VIM	-0.0606734701449028	-0.0449525907861531
NAMPT	0.0210170003000587	-0.116803843329638
EFEMP1	-0.00989589418718005	-0.0274530090442685
SOD2	0.0312823817887168	-0.0399812591748594
IFITM3	-0.016506832169124	-0.0966556783693905
TIMP1	-0.0680052300518625	-0.0340628485615256
SPP1	-0.0526843182845172	-0.0160951628996266
A2M	0.0295252456873147	-0.0578279350941792
S100A11	-0.0989396163568012	-0.0475485150388812
S100A10	-0.0514711152342397	-0.0367738387978675
FN1	-0.0444759980164737	-0.096502764105633
LGALS1	-0.117774839894028	-0.0439309880903519
S100A16	0.111869664310728	-0.046806669344053
CLIC1	-0.0454568397383522	-0.154996186986554
MGST1	-0.0253417105311243	-0.113738403506454
RCAN1	0.015123990829144	-0.0734240997784698
TAGLN2	-0.0055872686337549	0.00438010959825921
NPC2	-0.0651774253513956	-0.0816758320181165
SERPING1	-0.0191380667456406	-0.0424011528582583
