""	PC1	PC2
BCAN	0.158270509129679	0.123396464231316
PLP1	0.0263600263169153	0.0375883837107171
GPR17	0.0948110837578558	0.222180825347924
FIBIN	-0.0146638762777861	-0.0438059997092253
LHFPL3	0.190476024416462	0.095527851926852
OLIG1	0.199160543936037	0.0651189727092739
PSAT1	0.0280295638286771	0.0111002717092769
SCRG1	0.0566346691154633	0.0749057744395508
OMG	0.152672795926965	0.0186818898611413
APOD	-0.0139174373895274	-0.0165875343220861
SIRT2	0.0663474659764767	0.114836769965596
TNR	0.130552645598459	0.182254134630716
THY1	-0.0166721749756756	-0.0222215230682328
PHYHIPL	0.127523135301155	0.0543680064842364
NKAIN4	0.10796354392445	0.0568793821002851
PTPRZ1	0.18275575945427	0.0395536638103722
VCAN	0.0965457993549423	0.0898636602297571
DBI	-0.00466145270622501	0.0251594004513928
PMP2	-0.00677959537315629	0.000869180524448924
CNP	0.13864718917508	0.0622106443211944
TNS3	0.0163150898480839	0.0448563263613521
LIMA1	0.134978621233185	-0.0552571234254532
PCDHGC3	0.0857567856845979	0.0986470179531177
CNTN1	0.198421405207585	0.097165910797528
P2RX7	0.0314188363595784	-0.023693245265162
CADM2	0.126225353668864	0.0389456028324086
TTYH1	0.0214594853993598	-0.0135110522811382
FGF12	0.105961484476143	0.0874258164902721
TMEM206	0.0210222447073411	-0.041857141030102
NEU4	0.0802727857746225	0.227406521150865
FXYD6	0.123487894668818	0.0514894908234453
RNF13	0.0797688246916445	-0.0257191152752474
RTKN	0.0735269299714068	-0.156671999191243
GPM6B	0.0165094311486451	0.0252976927780129
LMF1	0.0840138107821935	-0.0297539767566427
ALCAM	-0.0133865804924338	0.00455261348444072
PGRMC1	0.0681377594131095	-0.0776613528251627
HRASLS	0.0308760465834372	0.0293543131167882
BCAS1	0.178578107541064	0.0705823645711355
RAB31	0.168988594536315	-0.0878268251374293
PLLP	0.165604651160378	0.166527339744442
FABP5	-0.002850723707282	0.0114606161428219
NLGN3	0.189580587303251	0.048092736100024
SERINC5	-0.000144379879338073	0.0242254206684435
GPR37L1	0.140245849194166	0.046293236533317
DLL3	0.101080719557227	0.0151516663028156
DLL1	0.0516577577430424	-0.00396898850221918
HES6	0.0328551796108273	-0.0287795032168807
MARCKSL1	0.135519835961014	-0.0384933277160525
TCF12	0.0378430140391588	-0.102899812241202
BEX1	0.0554616310045995	0.00105964499710419
MAP2	0.137678580759493	-0.0889873246307209
PTPRS	0.0685633918747696	-0.085954096382462
NPPA	0.00371096960776729	-0.00222188432130508
MEST	0.0312670627901525	-0.096485478119879
ASCL1	0.0960595096410955	0.0311257810986378
BTG2	0.0027473983095697	-0.0967035801974795
NXPH1	0.13342368218936	0.0139848976201587
PFN2	0.10869067450247	-0.00766763477580081
SCG3	0.121213557951236	-0.0263672062425604
MYT1	0.136724793925399	0.0756172373874365
CHD7	-0.00576818333079961	0.0171852141060484
TUBA1A	0.114995010575743	-0.0959270571106238
PCBP4	0.127410574593641	-0.0578568705557547
ETV1	0.121770276842739	-0.128617462204023
SHD	0.0849379897460157	-0.0389523766407225
AMOTL2	0.0522063562552745	0.049345951501704
DBN1	0.0542580306585345	-0.185885100791724
HIP1	0.149853199318935	-0.0240856700493294
ABAT	0.0326415372071819	0.0107080612991418
GRIK2	0.114180140581092	0.103611881441579
TSPAN13	0.148229371692441	-0.10583053227493
ELMO1	0.120708806029207	-0.000800296242850841
GLCCI1	0.055693800442845	0.0326806884511604
SEZ6L	0.0647280954641551	0.130725985030084
LRRN1	0.138082298254073	0.147612569006235
SEZ6	0.0398646857333168	0.0984807137766855
STMN2	-0.052551456768153	-0.00601506533371449
RND3	0.0158440330053714	-0.167475473428964
TUBB3	0.0869658340439206	-0.173962243617805
MIAT	0.0338334849112673	-0.0362294875666373
DCX	0.0998135411022525	-0.0475403550023002
NSG1	0.091453394165868	-0.0916554454375452
ELAVL4	0.00984671021373044	-0.00745975179231253
MLLT11	0.032083212893558	-0.210014990055071
SOX11	0.111745771481162	-0.237921887823214
NREP	0.0530307058095509	-0.107678028735423
FNBP1L	0.0569385761453737	-0.150388500663084
TAGLN3	0.11761567942803	-0.117062358385646
STMN4	0.072767189000076	-0.176165103875127
SOX4	0.0257497856052714	-0.0868874135299093
MAP1B	0.00148767305077426	-0.101864905191113
RBFOX2	-0.00116343420289772	-0.0263042681041459
IGFBPL1	0.0300932494302126	0.021457468187056
STMN1	0.0170471060211811	0.00610421950406023
HN1	0.0412648174960426	-0.103890397424947
DPYSL3	0.131411783342356	0.044276501859293
PKIA	0.12019078305669	0.0483448680361348
ATP1B1	0.0716486288454797	-0.111497514700623
DYNC1I1	-0.00694636503546762	0.0111190981751606
CD200	0.00988332271770422	0.00322214400773575
SNAP25	-0.012542744171459	0.0218674252520992
PAK3	0.0859979829704843	-0.208709652801597
NDRG4	0.0913334957056788	-0.0654898884368344
KIF5A	-0.0144129388535284	0.0265970358751275
UCHL1	0.0940139073683751	-0.127497860315457
ENO2	0.0223909599930231	-0.131654219933988
KIF5C	0.0367055063179931	-0.0699735620409845
DDAH2	0.0898623373737438	-0.17460324300831
TUBB2A	0.0169877614227622	-0.0129137256181873
LBH	0.0311534638787206	0.0697998421506884
TCF4	0.0501726295200775	-0.14600468373007
GNG3	0.0589843335267727	-0.0264044679942249
NFIB	0.0252782889614538	-0.0828208941382732
DPYSL5	0.0394861763949775	0.0316920556011102
CRABP1	-0.0549814448176906	0.03219214089295
NFIX	0.0939509768414588	-0.0132712315726907
CEP170	0.0898738918764249	-0.172452501217016
BLCAP	-0.00359362203615463	0.00239365227569054
