	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD-L1
NefMES	0.0	1.613968897291647e-05	5.046952834780437e-31	0.007855900816720789	5.6476559683529584e-52	1.337194059618712e-16	1.5202555814775568e-09	1.366132903886963e-240	5.742692758718518e-138	2.0619903802728377e-181	5.287157720031224e-104	2.442372273265606e-09	7.866695647146983e-39	2.562536823707545e-40	3.0905400995775073e-53	3.330413350264295e-162
NefAC	1.613968897291647e-05	0.0	2.0707157121668143e-214	2.9931200702838647e-50	1.468602938468587e-95	1.3554710747677883e-22	2.6957531675704894e-54	0.7487972192717117	7.187141048696394e-16	2.9478531945705685e-20	2.1097467002079176e-07	1.3057058532523758e-60	3.362102074736837e-52	1.5390677436606665e-52	3.2764768086673004e-23	0.0037555500273567647
NefOPC	5.046952834780437e-31	2.0707157121668143e-214	0.0	1.1494968747393035e-157	9.4352144569187e-302	9.162879411096662e-66	0.5711883214888112	4.930354778157191e-23	1.5799189436607057e-27	0.0019161290349385698	1.1433417993126493e-08	4.471774129282753e-18	2.1179165338893922e-18	4.654856687827746e-18	4.129197629977333e-25	6.601604651606137e-19
NefNPC	0.007855900816720789	2.9931200702838647e-50	1.1494968747393035e-157	0.0	3.18152183239553e-310	3.0016117152256994e-25	0.09392194322863	0.00027833164233925144	0.4086135436773449	1.7154082693038535e-08	6.878476638618815e-22	0.8077192226193783	0.00044003997926961476	0.00020506985063156727	8.874372592193942e-05	0.002528852932987574
VerPN	5.6476559683529584e-52	1.468602938468587e-95	9.4352144569187e-302	3.18152183239553e-310	0.0	1.2077901760709683e-11	0.9732640689087717	1.0787951509663464e-55	1.7215154089734632e-47	3.671956210315395e-06	0.07863597980707393	0.1536498560107016	0.7041535273360663	0.6678807325689939	0.07889658897692964	4.762041175130858e-39
VerNL	1.337194059618712e-16	1.3554710747677883e-22	9.162879411096662e-66	3.0016117152256994e-25	1.2077901760709683e-11	0.0	0.1886635112136708	0.08764183576180376	2.298248601527919e-47	2.230353134348025e-20	3.121605134669531e-66	3.644065677641204e-06	0.9011676729924616	0.9771862763309278	0.047907727939647704	0.0027124320965651416
VerCL	1.5202555814775568e-09	2.6957531675704894e-54	0.5711883214888112	0.09392194322863	0.9732640689087717	0.1886635112136708	0.0	9.588465101491588e-29	0.016437859167536203	0.012832712246574925	0.803548228294481	1.1033422874665343e-30	1.0171722029940786e-23	1.3979520712464232e-23	1.8131150427828467e-06	0.015888875067253165
VerMES	1.366132903886963e-240	0.7487972192717117	4.930354778157191e-23	0.00027833164233925144	1.0787951509663464e-55	0.08764183576180376	9.588465101491588e-29	0.0	4.42308134442835e-14	1.0171162521033877e-05	6.0303277877447476e-06	7.521039983502561e-56	3.7351178812457867e-25	1.1629858463118955e-24	9.210259925965054e-10	8.200483465073796e-97
OXPHOS	5.742692758718518e-138	7.187141048696394e-16	1.5799189436607057e-27	0.4086135436773449	1.7215154089734632e-47	2.298248601527919e-47	0.016437859167536203	4.42308134442835e-14	0.0	3.9722376527785084e-154	8.658650879841012e-211	3.083705731038382e-23	6.023565521173908e-43	5.859296916615454e-44	2.8910420160516627e-39	3.4519945159000024e-06
GLYC	2.0619903802728377e-181	2.9478531945705685e-20	0.0019161290349385698	1.7154082693038535e-08	3.671956210315395e-06	2.230353134348025e-20	0.012832712246574925	1.0171162521033877e-05	3.9722376527785084e-154	0.0	6.654973931215238e-193	2.147538981240126e-145	8.569498605584125e-186	1.588346369331561e-188	2.0657826477729343e-135	7.191470803116072e-11
FAO	5.287157720031224e-104	2.1097467002079176e-07	1.1433417993126493e-08	6.878476638618815e-22	0.07863597980707393	3.121605134669531e-66	0.803548228294481	6.0303277877447476e-06	8.658650879841012e-211	6.654973931215238e-193	0.0	3.9472104616932755e-21	1.5963196408636978e-49	3.2644390816826426e-51	2.235924438040873e-29	1.980748860497977e-10
G2M	2.442372273265606e-09	1.3057058532523758e-60	4.471774129282753e-18	0.8077192226193783	0.1536498560107016	3.644065677641204e-06	1.1033422874665343e-30	7.521039983502561e-56	3.083705731038382e-23	2.147538981240126e-145	3.9472104616932755e-21	0.0	0.0	0.0	0.0	2.310900160423758e-06
KEGG_CC	7.866695647146983e-39	3.362102074736837e-52	2.1179165338893922e-18	0.00044003997926961476	0.7041535273360663	0.9011676729924616	1.0171722029940786e-23	3.7351178812457867e-25	6.023565521173908e-43	8.569498605584125e-186	1.5963196408636978e-49	0.0	0.0	0.0	0.0	0.8086927318322403
WP_CC	2.562536823707545e-40	1.5390677436606665e-52	4.654856687827746e-18	0.00020506985063156727	0.6678807325689939	0.9771862763309278	1.3979520712464232e-23	1.1629858463118955e-24	5.859296916615454e-44	1.588346369331561e-188	3.2644390816826426e-51	0.0	0.0	0.0	0.0	0.6459314019833451
BIOCARTA_CC	3.0905400995775073e-53	3.2764768086673004e-23	4.129197629977333e-25	8.874372592193942e-05	0.07889658897692964	0.047907727939647704	1.8131150427828467e-06	9.210259925965054e-10	2.8910420160516627e-39	2.0657826477729343e-135	2.235924438040873e-29	0.0	0.0	0.0	0.0	0.13261042143798044
PD-L1	3.330413350264295e-162	0.0037555500273567647	6.601604651606137e-19	0.002528852932987574	4.762041175130858e-39	0.0027124320965651416	0.015888875067253165	8.200483465073796e-97	3.4519945159000024e-06	7.191470803116072e-11	1.980748860497977e-10	2.310900160423758e-06	0.8086927318322403	0.6459314019833451	0.13261042143798044	0.0
