""	PTPRZ1	EGFR	BMPR1B	NLGN1	NRXN1	SDC4	NCL	APLP1	NEO1	LRP1	THY1	NOTCH2	ITGA7	NCAM2	PILRB	ROBO1	APLP2	SDC2	ITGAV	SDC3	AQP1	RAMP1	CALCRL	TFR2	NRXN2	PLSCR4	SLC16A1	NRP2	PTPRA	SORL1	TRPM3	LIFR	RPSA	TSPAN12	INSR	SORT1	PLXNB2	ROBO3	LRP6	DDR1	GPC1	VLDLR	LRP10	MYLK	BMPR2	NRCAM	FGFR1	LGR4	CHL1	RAMP2	PTPRD	NCSTN	ITGA2	TNFRSF21	ROBO2	CD44	PTPRF	NLGN3	CD47	NOTCH3	CADM1	PLXNA3	ADORA1	F3	MCFD2	ITGB1	LAMP1	DAG1	CD63	NOTCH1	TLR4	ITGA3	TYRO3	CD46	DIP2A	CD99L2	TMEM67	FZD3	SLC40A1	AMFR	TSPAN5	SMAD3	DPP4	ERAP1	ABCA1	TRAF2	PDGFRA	ADCY1	DCBLD2	LRP4	HMMR	NRP1	AR	CDH11	CXCR4	CD81	STX3	CCR10	ITGB5	ITGB4	GPR37	ITGA6	ANTXR1	STX4	ITGB8	LRP8	CLEC2D	NECTIN2	SIRPA	GPR37L1	TSPAN10	ACTR2	MERTK	EDNRB	RYK	TFRC	CD74	PLAUR	IL17RC	NT5E	TSPAN17	JMJD6	TNFRSF12A	VSIR	ENG	TNFRSF1A	SCARB1	ITGB2	RACK1	CD93	TNFRSF14	TRADD	CANX	MRC2	STAB1	RHBDF2	RXRA	C1QBP	GPNMB	ADORA3	TSPAN14	PLXDC2	LPP	SMAP1	FPR3	TREM1	C5AR1	TREM2	IGF2R	ITGA4	CD163	SLC1A5	SIGIRR	HLA.DPB1	CD4	CD68	PTPRC
PTPRZ1	1	0.941607557262347	0.87641548259934	0.948160262548121	0.929296968187172	0.764317885412046	0.589130517099055	0.838448122222561	0.930915065978559	0.715149180595576	0.829428847056176	0.880533679252199	0.81310250976067	0.914834030263937	0.888134038768269	0.925307979489635	0.643520533472721	0.531064316208292	0.91457853695461	0.588141611144566	0.660388367460499	0.951128226784747	0.912902952221176	0.879743464289256	0.808451321107251	0.869705904218131	0.672505700965677	0.652942553613738	0.949845840217253	0.696655508406785	0.849617009020868	0.96119326542758	0.58213674691521	0.914839094340786	0.726324584859297	0.901998617646975	0.238052722332438	0.867341430771021	0.809708087394599	0.898211699338992	0.776541959000008	0.806612309480646	0.66073199120701	0.809164598119385	0.87986053663837	0.944869364570457	0.720579668335853	0.875345942772978	0.952111248476331	0.509695796143741	0.889068059057957	0.582534226815193	0.828454262184477	0.750209688189529	0.914106226365804	0.614250956476972	0.91810126878052	0.880533108452053	0.861336693368418	0.69148309002616	0.843802444339565	0.458278183276823	0.905462329229721	0.89799987607075	0.694513458344162	0.553750016213427	0.38603536623241	0.871742708829887	0.832422246008138	0.745456605024129	0.691444063435319	0.851936105932766	0.794241082694792	0.597022949312331	0.815516194559086	0.592316403693657	0.824963656042422	0.926772786160859	0.932331147765104	0.556520128886394	0.934741485191378	0.847313854793817	0.802957852988957	0.67067063607865	0.641672847525515	0.75490201914342	0.589664107261786	0.851709002414535	0.873861561396769	0.671932616633127	0.624470850114006	0.150730080337722	0.853654931334001	0.83227887209288	0.0270332940246729	0.42403980110881	0.693633486127649	0.846767052815891	0.211397450370558	0.927024159972374	0.903854803645737	0.618903548676156	0.684286258646656	0.57662307071263	0.978970995901414	0.717575753137133	0.476251251325941	0.347033979772413	0.0490799908380581	0.922665812551053	0.720455322106018	0.197899594748323	0.134890458455363	0.802479297008891	0.652713284319967	0.462587114799093	0.106069293868582	0.108330794868613	0.810277153686457	0.726355310312518	0.637611913232237	0.622192344630015	0.669176569397935	0.0399039150400472	0.0164304389092626	0.692140852924494	0.589755868143743	-0.0339254987811959	0.574108485639556	-0.0163388836976503	0.449873631887412	0.296324619693825	0.824790823766289	0.85654274523262	0.0307232618341323	0.296813708351794	0.241859017538501	0.511122544993753	0.0729196145627945	0.0658517037594033	0.28072609064763	0.0170198331548746	0.847006085094619	0.498597417808987	-0.00175621330178985	-0.0765673090046433	0.102751326818364	0.0174295481325812	0.202096612286496	0.0324542924014212	-0.0381317847269431	0.612769018563148	0.306145081221347	0.125197482505825	0.00113113200630049	0.033778100952285	-0.0848279344033613
EGFR	0.941607557262347	1	0.901241797470104	0.900688834740907	0.900945279823294	0.612950437143504	0.546822459610997	0.71920215062563	0.888435197398795	0.652131014424627	0.738673300602541	0.803880125304927	0.656971942345965	0.8875354361721	0.88295693977589	0.906074517694534	0.545104200866579	0.410928313831278	0.857680816438317	0.496024973042045	0.51196107859146	0.902224135309895	0.925067742286597	0.899847529789435	0.809517222978526	0.866374137633936	0.715446544942038	0.563356309702211	0.926222114966808	0.604681309050585	0.828444150970883	0.883584625111849	0.519080194805508	0.872430433424673	0.764110826751938	0.862963439053178	0.178716195006287	0.841077169760754	0.764951418915681	0.876079658006608	0.708081826679159	0.823196104133936	0.614917907420994	0.780408735102221	0.803030905293593	0.877246185082289	0.662949538942753	0.793170236419122	0.899400405272257	0.431137992770339	0.929804440382901	0.462788767401113	0.778096333020241	0.72322039231999	0.858141957079854	0.548160315621658	0.879620068767004	0.919660605040516	0.787681029331694	0.71542036283819	0.727218974839459	0.372243800426143	0.875897865939134	0.806990462461641	0.605958912683008	0.457326872423439	0.31702229518303	0.840025343226457	0.711845818046155	0.687330663715776	0.59661172710081	0.761539162762335	0.766831317892221	0.55506405247404	0.805825214120373	0.528256408009676	0.781784179354428	0.916117916408678	0.855902017426453	0.49930593913428	0.932721261509442	0.799704742253137	0.758435484360221	0.624079452770647	0.590777568504552	0.700410196745563	0.49856330594409	0.824002945030288	0.846873274126307	0.796135081108592	0.600363497009712	0.0480458526946093	0.771677985357791	0.765093987309436	0.0167344161422043	0.350944026728789	0.710470233242391	0.903835650500747	0.122472616091312	0.832714508601346	0.850439125818415	0.543293703005175	0.582069557452608	0.550495066496467	0.900805224217209	0.702877033771601	0.458724425399148	0.268613834258668	-0.0278797794715224	0.833414814341988	0.816321776972088	0.135072878763338	0.0641989470604997	0.731696297229995	0.57843726715609	0.559418423405175	0.0594405555722632	0.0595328874894708	0.795160128028046	0.770911619233822	0.556213177826132	0.597177964849038	0.544163185185973	-0.0109620240300675	-0.0491882845840152	0.619424477622198	0.630777006427205	-0.0704474260035564	0.550356333542516	-0.066934373176964	0.408926931015149	0.281939279468852	0.773559866680046	0.850642360886614	-0.0393757804629811	0.284336135973029	0.189053689793768	0.423415756200909	0.0483502779902964	0.0087498020556852	0.237079423211218	-0.0475694295480135	0.767151950511757	0.444482611645801	-0.055340713115639	-0.123004305873493	0.0642636337158729	-0.0320010204734792	0.126475097153015	-0.00372205463351533	-0.0950511154050619	0.599751653180704	0.247389052419016	0.0877092995817031	-0.0487398836821093	-0.00418347817913944	-0.118889622678171
BMPR1B	0.87641548259934	0.901241797470104	1	0.819532828758504	0.901451965302647	0.635745947993383	0.488248441142011	0.659631118864402	0.842008735972535	0.55608632900084	0.715795906701948	0.748620802487174	0.546496070128271	0.893213286656112	0.824456528915452	0.849495111323064	0.473074204472182	0.331339980988223	0.784028308679316	0.435163195984893	0.499025394337422	0.896685373848819	0.952158918404799	0.829639043231814	0.820562691158169	0.830868772684404	0.49750989772336	0.459329048552352	0.814877036648125	0.562178456038473	0.846228716667879	0.852664151667774	0.399035556354774	0.84061012998055	0.679078623742135	0.836041158221965	0.0636476183254056	0.757087716373098	0.64504749739755	0.90247933963341	0.726335315716185	0.644278515594148	0.532299497236131	0.75604125082875	0.669417896798174	0.852164033999496	0.456688501726614	0.781790504131616	0.909956826584621	0.303363453995937	0.800004589938333	0.358610039348204	0.84560200587359	0.653675427839887	0.912421082621517	0.451284553858319	0.842107608626271	0.925677379249841	0.718957523224225	0.557384450098249	0.682145103517125	0.423669775935259	0.824869983619215	0.714723315610096	0.518760973620681	0.369339186366457	0.264455527595665	0.811202667447662	0.62219655984322	0.617385603060999	0.594426142638307	0.77784579324326	0.694299564370719	0.409716862559811	0.814361571811157	0.411404021737766	0.803001357434294	0.808917412840189	0.842303315444022	0.468515466454523	0.86413765420561	0.739707506720099	0.750416576304919	0.662044094557554	0.492821935278698	0.637144898221264	0.464612053821411	0.857649998094052	0.796617080535325	0.632956812719748	0.490094606270119	-0.0364094324440687	0.709836081562323	0.745903229487581	-0.0429090320428556	0.262599909408771	0.674609173925504	0.769159333456554	0.0761359571871181	0.802549213349576	0.784389276903585	0.453547636222916	0.50093697200156	0.411313967536758	0.858459462276595	0.634679592822834	0.375758065302551	0.169799858408275	-0.0771333698736475	0.851736373109747	0.764173580010341	0.0582390276589302	-0.0147526918059924	0.664127861826226	0.456872714253305	0.37787974855794	-0.0195774613507654	-0.0220387966244695	0.660876689236214	0.648790489945587	0.487900757362231	0.46253064868117	0.475746167364193	-0.089341221038594	-0.118630356792215	0.506346986098285	0.519965413434532	-0.135872503395238	0.373373934334769	-0.128649762173421	0.354064953360173	0.174160523629762	0.68416589399182	0.805422092621616	-0.0950644870989401	0.22080256415302	0.105961654654889	0.288958649546877	-0.0028431584981628	-0.0493688943112369	0.133890314868421	-0.0936178281322052	0.707959808057231	0.346594836931624	-0.125682500704549	-0.190785787461012	0.0207032838628583	-0.0992673981894415	0.0935011192437092	-0.0780713224524897	-0.155257632212175	0.503524184848052	0.135768200473346	0.00777821885940939	-0.102081528558993	-0.0709376797755871	-0.185277512304998
NLGN1	0.948160262548121	0.900688834740907	0.819532828758504	1	0.853587351965905	0.76936828792681	0.632980190621967	0.869727969309141	0.924251246083583	0.72385235344562	0.912661961094047	0.926000884179548	0.809228409848632	0.90380419593202	0.913960584284387	0.936696221514129	0.665320095173952	0.567718983162361	0.933085728568252	0.640169118332366	0.725940611551045	0.91164942929639	0.875816959570838	0.888819327998864	0.883290149673234	0.809591146780824	0.643640826230859	0.727601281952604	0.927006537221315	0.677749011943343	0.879204816537588	0.908092512637972	0.605495617778522	0.835744792364176	0.594732850989883	0.945218974812988	0.277028505803493	0.91305408381052	0.868062178948928	0.866132496156984	0.844900189655358	0.761489982298053	0.695721738872354	0.800253833810148	0.867708069565815	0.959770888468008	0.687451787228863	0.885916218851519	0.891617043721248	0.489860042110641	0.825075240073569	0.605235330755821	0.796888223702411	0.722372092204859	0.867836108129122	0.652665570464305	0.910765732904678	0.815339405001017	0.908446856555883	0.680687032415977	0.868601498549332	0.454323558049055	0.872978151071482	0.895836022009177	0.729463793826965	0.599363875652334	0.435907776691272	0.90077699252102	0.856157390754263	0.823247174484488	0.709677844490087	0.785076424454624	0.82562535810661	0.691793274906552	0.840776559421481	0.699376747868523	0.770337584915418	0.91919030160566	0.860492103899256	0.591223771696581	0.958627145132366	0.863473300535015	0.756878416028958	0.626640462308888	0.65209227590297	0.831670900659966	0.705639854646611	0.728993542362197	0.890545756700411	0.652347955553723	0.759075339814341	0.178333224162169	0.913794066244518	0.783160251498198	0.0604007093636046	0.462845560323746	0.717476194121938	0.814240130905752	0.225256143032421	0.904713769748603	0.92779758220742	0.591891770687565	0.721920140025391	0.608855135412998	0.959959379631602	0.82435338262835	0.530757905615215	0.344764655602463	0.0750273761040069	0.876762054708556	0.761366360809196	0.240093369492244	0.155347680725983	0.790551601275329	0.724196692647902	0.508946297437291	0.136322006899141	0.146769339217981	0.828346255187185	0.71735172629461	0.715435985468112	0.754102370024693	0.764930145835943	0.0764291111662158	0.0349655140024311	0.725713425554839	0.605190051382991	-0.00091423455168508	0.610338394065583	0.0183042058617795	0.467660562398034	0.394532171601589	0.859464250509991	0.890679101320808	0.0613298260022198	0.345949931865126	0.254203565871852	0.525022545635562	0.0891575596030987	0.0974624906412987	0.316516302408526	0.0400918647505868	0.854118093337486	0.572472730136847	0.0354852241557384	-0.0455832443273917	0.127789203692263	0.0429334792792299	0.239983877152768	0.0706566969511798	-0.00142276626717913	0.720237159440387	0.371916560906767	0.156664386177909	0.0303560765201837	0.0545896920691613	-0.0578615866505987
NRXN1	0.929296968187172	0.900945279823294	0.901451965302647	0.853587351965905	1	0.694637716066011	0.527118757844525	0.696893315772724	0.887974791918773	0.642619337180083	0.726614847512233	0.783296018294251	0.713648567938633	0.900002995184362	0.815936651137438	0.858575913313715	0.566885704052555	0.452920068434223	0.837585187410503	0.489121761447605	0.561067359335409	0.933884837709944	0.912903675258879	0.816481019648294	0.70106175383483	0.818667913648651	0.53480998253543	0.509484605877069	0.857912117463762	0.666575740855361	0.732019378235829	0.923882525974983	0.498082089229982	0.867621886635534	0.780625755769279	0.819062960056124	0.166655474440405	0.764215553336665	0.668506711614891	0.84217773625756	0.706511057553139	0.714105358115438	0.607046801699108	0.754177946252721	0.797173536732849	0.861898758552209	0.646934522863396	0.823209835647644	0.935162034581711	0.484361671419513	0.872240973592363	0.496178148529021	0.803349803022093	0.759256547654844	0.888865700592793	0.51986801901435	0.874609348775316	0.885535458684153	0.757169001144469	0.605518713354786	0.742825813990992	0.488834410668275	0.852360930599242	0.827368525429839	0.602776468141445	0.469158617216473	0.318723181141356	0.822891811738579	0.712125248183437	0.613407290396785	0.653604937047095	0.816941295696956	0.672205852884822	0.492512536497743	0.802906102804598	0.420082310649757	0.84005805422186	0.859083846697326	0.930988260431872	0.48196796138986	0.863255166435502	0.745463004571639	0.862813539321295	0.720380792003605	0.556502500209396	0.620342759913563	0.46584474076949	0.883932509418938	0.812401641573295	0.652907666408954	0.474747391982654	0.0735089847754016	0.74444353120276	0.837544161992929	0.00240261437888489	0.363454671697275	0.635416490252261	0.805757236117613	0.193446835450493	0.864675665352886	0.829392512378231	0.541197019160193	0.633082982467519	0.50310158506078	0.904975231921107	0.628083542957834	0.390782027046625	0.321171222533966	0.0377265927203463	0.884617080634739	0.633298305091231	0.158598240956603	0.109273302772839	0.710796970864463	0.57833766100638	0.405330215294395	0.0674332740002679	0.0688439091538223	0.71840360156699	0.695912441155349	0.55125584575595	0.47365396626145	0.482579470263447	0.0137543810657062	-0.00349286336373462	0.611116735654571	0.552044387115445	-0.0542815894838707	0.462987061093432	-0.0343499597750468	0.394814769211146	0.218003797289488	0.727505624226039	0.805636707696104	0.00709120374904266	0.25459543614617	0.206337241801164	0.408670113728347	0.0580682519908721	0.0413892989840528	0.256649296044303	-3.63457030991326e-05	0.793736763209313	0.419713949400684	-0.0218136291769495	-0.102463910590662	0.0793062497220017	-0.00940261613336904	0.156648254419083	0.0122153592800355	-0.063245270839007	0.498053834414147	0.239255200566868	0.0861597602873405	-0.0152807997289476	0.0064180850591371	-0.0947442508795722
SDC4	0.764317885412046	0.612950437143504	0.635745947993383	0.76936828792681	0.694637716066011	1	0.76190281420358	0.738511523028023	0.818887312452927	0.787141533097981	0.790640151393204	0.880903994166453	0.728316649797427	0.707469188375421	0.770795963493791	0.764865260786022	0.817350832359102	0.767078970341683	0.864066793980804	0.76670032062713	0.747104548316985	0.818354153640306	0.68246887385863	0.607846199503074	0.683399246295046	0.585464736729225	0.436263183427197	0.809220931529137	0.794296765505993	0.845171496727946	0.688596403649579	0.773253033395255	0.741825832845277	0.645178030130139	0.3880111783133	0.8168149907518	0.498515943743917	0.775822197905603	0.724222624937223	0.687796960890361	0.779082320918527	0.57895945183471	0.782391968137133	0.71552871669978	0.819388594312966	0.832000556290122	0.572187518147691	0.763534567213178	0.804291658805491	0.309031467311307	0.529114036899168	0.766008255340423	0.725859818445017	0.752067479339832	0.775082123985381	0.80418092134859	0.732632239193836	0.58611829509954	0.852771000416735	0.431499498740929	0.873350500406108	0.449257915598935	0.771066896481499	0.719803601747914	0.863359373103564	0.78677007661143	0.650969557838841	0.800773387900521	0.895311125458718	0.807894527619907	0.847448771892977	0.749352787666279	0.50907234267455	0.671237577993048	0.80016260084268	0.728212481293822	0.663976452436498	0.646679194631473	0.795435899281341	0.737728272954971	0.75252419485337	0.732156485938922	0.670967973447097	0.717372295200167	0.747485504500567	0.771478784045524	0.634197000206181	0.675090112132908	0.795524138234254	0.362353856564775	0.658506776317145	0.481486572963997	0.806112027867749	0.816513784402118	0.338615791421712	0.662084423062839	0.759016990237471	0.564208276556055	0.533848442111938	0.847948093651635	0.777083148970199	0.602125670480527	0.775840195965786	0.6307393738059	0.799037929353227	0.680014095831982	0.654012804450249	0.575146895816512	0.396908868391454	0.844849638936751	0.544844065841473	0.519082661382455	0.424600915388639	0.830398155703271	0.786304086491942	0.397316915286471	0.402693507699618	0.444352935069818	0.751719016593607	0.632641133079986	0.706329044297663	0.677404185414119	0.742548278646951	0.363890775543152	0.361436543686907	0.829611143499103	0.637665787458874	0.310649123062867	0.683400435835578	0.319891776911113	0.620813818569745	0.541971793623518	0.855436177662429	0.743684396297672	0.374243022251288	0.516103705891313	0.518881609650522	0.670235170415706	0.37026225108656	0.403022326247498	0.522642713598735	0.356188257066876	0.881937010458751	0.68527156302549	0.342956420172664	0.276847309937989	0.401653870352754	0.343831247543229	0.535801953343205	0.342218252024281	0.311187160723196	0.707751876432051	0.581301329906942	0.40694485213489	0.332421412263271	0.35307547713503	0.257941597150517
NCL	0.589130517099055	0.546822459610997	0.488248441142011	0.632980190621967	0.527118757844525	0.76190281420358	1	0.471550890030278	0.671100450870619	0.894695841063363	0.590655172817536	0.788787640990155	0.53274844548819	0.520771400697358	0.722421179775645	0.620821151593644	0.919932022633682	0.793782842581963	0.799421820781851	0.866944733472138	0.58412991785089	0.622270941750281	0.530589672386773	0.503830187011436	0.594716576489227	0.393569509770906	0.368598526759312	0.800106159087385	0.704210427586142	0.909221292372085	0.528779667913837	0.535315158609212	0.956349668911314	0.46345863723026	0.283599564042612	0.730536861451775	0.819961467388132	0.718564057667252	0.581281046135925	0.447119670360279	0.598453264156236	0.49042994284087	0.931522623425403	0.488278552585598	0.77683709396138	0.653225023272138	0.376182438595951	0.539095502980801	0.570125490378328	0.131105469928299	0.480686419997025	0.850108176702348	0.471495972956734	0.847061476022007	0.533480396710408	0.948730170243554	0.544994320781681	0.52073603532433	0.791307067998258	0.445257561217569	0.783770929001979	0.324645761469998	0.635410023350937	0.516506722907557	0.89622949574508	0.928963584422913	0.879624017656036	0.67708772789971	0.858939063823552	0.865927422205824	0.865513315547003	0.542555770297194	0.353475618806774	0.856138967645596	0.798516370637082	0.833857592894253	0.522048896377968	0.484749318716352	0.556030728662713	0.857519485615044	0.611074095264659	0.566314477985647	0.441939356902811	0.713853348925275	0.834867124635782	0.765969171520082	0.50738842808726	0.443459800529732	0.694511838259574	0.408636814242941	0.760461346917789	0.701900544861302	0.679699698250118	0.665130519975353	0.7171098671938	0.904830626003214	0.86072912156194	0.515062522101517	0.739331401181579	0.608995711896661	0.643306624934182	0.696763556555561	0.810035131272795	0.866785283693301	0.607432513009217	0.678441198113812	0.864246209895893	0.831939445156006	0.703852187386702	0.600681279513377	0.519192506398044	0.844642639266323	0.691024653594711	0.743331145556352	0.812033300115015	0.664912216481479	0.755956371496851	0.769300707477055	0.756596499379204	0.589889193164516	0.819607651934063	0.737374511977405	0.595891847602417	0.728671323807983	0.692132494866026	0.911344161357947	0.825363978189698	0.693471428130977	0.907782861359115	0.688877342951216	0.827105737317954	0.831501399724658	0.884447587189426	0.784963633871538	0.677330321209262	0.839427525256123	0.812215989670703	0.888427898067262	0.629254144545437	0.698637353925668	0.80288518702479	0.695414800730312	0.865517664681674	0.916413262009503	0.689238908306292	0.617362358027376	0.696283646218517	0.70156522350151	0.740521813608421	0.750475141085051	0.655285931950277	0.862723714032494	0.858173084201577	0.766206946711209	0.683789070769942	0.673171340859269	0.654849373931875
APLP1	0.838448122222561	0.71920215062563	0.659631118864402	0.869727969309141	0.696893315772724	0.738511523028023	0.471550890030278	1	0.781745698073187	0.567856423624887	0.840859452925353	0.810825683853904	0.784833351164731	0.803069708151745	0.739328242650559	0.786386378885455	0.563809072853526	0.513215515354266	0.780197944384562	0.502427129290159	0.744000847852071	0.762290605606466	0.720955654472203	0.73417992310016	0.727169156748734	0.786343927257033	0.632940644110333	0.710601761446297	0.819035196551039	0.54274011393793	0.799808549513188	0.841332783988083	0.496992922584733	0.773363581036897	0.504807330257166	0.81818941727886	0.15542495769908	0.800111071068359	0.823398531681031	0.819663776540719	0.720931397510642	0.717107404056099	0.514526177364265	0.783898783107231	0.77145923026758	0.873445761273933	0.713538429560096	0.834471235839527	0.787567693473401	0.546639960328795	0.679464906373847	0.559599054638926	0.772120723318934	0.534198745602069	0.822495276789784	0.520811350312774	0.830368062010002	0.624341390672539	0.837401958487941	0.524075533489949	0.808191548347474	0.496596901125227	0.763448970021067	0.821198173857918	0.645401931030451	0.498866821049596	0.330355805726922	0.756539023681285	0.790468054744477	0.713837434698345	0.591819817857502	0.784967271949391	0.842534192643304	0.587836350292213	0.64682343949533	0.607487633032801	0.681653087399846	0.818759712473363	0.769892253765521	0.526217167509366	0.826809189532553	0.814379677358203	0.617239480561798	0.474018809714936	0.533007060640664	0.738657202330887	0.758061865328445	0.654064935297431	0.735945347537498	0.465555850166477	0.66188865531455	0.146916498414873	0.812690623804426	0.645938273496822	-0.0737874159314658	0.324381990649607	0.5137340097136	0.653855357264036	0.123838678672232	0.840897739076292	0.869087368341704	0.55412416559509	0.636768110941973	0.466591480812442	0.8763912062677	0.691569591943554	0.357484084075035	0.244113950616322	-0.00308843851112916	0.793214894395969	0.577995047468949	0.121899315179146	0.0563768409228236	0.708799322215891	0.628587632816922	0.295279115963566	0.0143433755585357	0.022945547232411	0.696764243334518	0.560716036207858	0.609053848264281	0.655964465725456	0.836004221807223	-0.0228332805552391	-0.0598808673529711	0.601464043140142	0.392721728751713	-0.106808130662519	0.488880777096042	-0.0963803969053961	0.290878003174778	0.285967344632813	0.746449101314264	0.674834090284932	-0.0480911511785938	0.153344875310272	0.122824458425908	0.501661160395619	-0.0338770722480059	-0.0187320878520784	0.148920584201182	-0.0508773271604269	0.705415259279375	0.430468918225188	-0.0761414526569125	-0.140089296816569	-0.00428806505640702	-0.0653239505867746	0.180780914047632	-0.0383158578309694	-0.101018517744028	0.562618447079522	0.28137947260827	0.0190893630513529	-0.0946692024333361	-0.0629409702325867	-0.151904145833841
NEO1	0.930915065978559	0.888435197398795	0.842008735972535	0.924251246083583	0.887974791918773	0.818887312452927	0.671100450870619	0.781745698073187	1	0.761557942812252	0.828493052366876	0.899159427670984	0.76641970982378	0.860410558382564	0.904353863393669	0.922352915487631	0.689770902799601	0.586944523318575	0.938700420701746	0.659124080115895	0.672271161381559	0.935439729281691	0.884522903603658	0.832802812758618	0.823089730114442	0.782977608579677	0.630317831249773	0.727804038937037	0.928144120091926	0.771587535641866	0.796699001342653	0.900340681732706	0.64421946519708	0.806854900430654	0.62895897261654	0.916600324171521	0.331717754324224	0.86956464329932	0.826007820752547	0.865105078124763	0.84530028268173	0.758881864047853	0.746380257884616	0.810777216122782	0.878171487799471	0.930107295244933	0.653044462830253	0.84942013837983	0.920826906683569	0.400926576424934	0.815418203954481	0.618081731308508	0.768222166348819	0.780865057109266	0.859387746917892	0.705975191635488	0.898608775888341	0.829089317511756	0.863554647718498	0.677317523762356	0.841934878408966	0.445888687864259	0.912566265031756	0.845249588542161	0.760975402640912	0.6251660839278	0.468322280767966	0.886903390594473	0.843773223206881	0.77526623507095	0.762496584258768	0.776414929932513	0.701665317003883	0.651333657972537	0.872376839938712	0.648964770977799	0.790775861172954	0.878600545323679	0.904200192287301	0.628667063665709	0.921054420642023	0.833782355510991	0.790972249273691	0.731249228806662	0.69583391740775	0.781488027533046	0.589291710126313	0.782943230106315	0.893021292050388	0.656281513830765	0.647754653283814	0.229309403444127	0.863102534845493	0.872494832706488	0.168303539145916	0.512264897183637	0.778415607249713	0.843780936632837	0.296567344884878	0.905809571758791	0.899006681412969	0.585531221689311	0.728366545584613	0.625961493663061	0.924351358572622	0.757077497344105	0.584953182570265	0.423969860426251	0.16024749265024	0.90613929233794	0.745305484691074	0.30960830793297	0.223625597565103	0.820075411459759	0.709111052315836	0.536207898108502	0.215182279076127	0.220589213717165	0.823305941613634	0.75232849186118	0.682652655823646	0.686704647391399	0.679468580636681	0.14886271582684	0.119683100055537	0.75832489257966	0.671410085733782	0.0848533594591102	0.643917114684368	0.0960705718221505	0.545439258567044	0.414672985251784	0.851644578477898	0.890764711788634	0.138736508510395	0.418864338561866	0.353210875687897	0.533574758947722	0.176655041126341	0.171969824068206	0.385335489750052	0.129881307410866	0.899898473642759	0.594331922124233	0.117232468326333	0.0319028604288006	0.222140548065616	0.123485639153376	0.30419285077269	0.146351817845929	0.0758741752128439	0.69035990737981	0.420198190906891	0.238581809475777	0.118900029949098	0.138020850051155	0.0351547083366014
LRP1	0.715149180595576	0.652131014424627	0.55608632900084	0.72385235344562	0.642619337180083	0.787141533097981	0.894695841063363	0.567856423624887	0.761557942812252	1	0.631103726818374	0.833097897428324	0.648524573743748	0.597176064722808	0.757827821851603	0.685209307713011	0.961481151834202	0.886468041480336	0.867321117103324	0.910369816548644	0.62004222314232	0.724236047519426	0.61582011004152	0.590745796948234	0.613372390321323	0.523077346781659	0.480590074289848	0.829605135643566	0.795761590991972	0.932388731756031	0.586796353576925	0.640571448743992	0.889807012466354	0.59316498298385	0.453664850124058	0.777012912676746	0.805264073256609	0.737362227069104	0.626982888391464	0.56222602628109	0.6288769673761	0.602804683409854	0.944254084738816	0.536997000618726	0.89323873190832	0.714158085906926	0.538522498808058	0.600645121042715	0.662424784402683	0.297960972288445	0.63617719008547	0.908359722444909	0.55205481463393	0.854026932829238	0.640167476025614	0.935337665784887	0.653927006237607	0.622792251110883	0.790103172409757	0.606224669474043	0.884802750652657	0.489201221962917	0.688541475146819	0.611779408986496	0.90346335146626	0.931002868938636	0.888140016861749	0.716492941661477	0.903416961491438	0.860860636920899	0.932052854753374	0.671471744009888	0.436165714148954	0.840144779223836	0.863625510451726	0.825688576725644	0.631511152035875	0.614545606425056	0.678178773875882	0.886314996972403	0.677337667498467	0.624950317941155	0.532245914235956	0.795290096014088	0.916515355869114	0.741847304767074	0.519994858964115	0.568695778475585	0.717934577343847	0.475881455114848	0.686074970275863	0.740978555794805	0.704571817503314	0.754172319274132	0.627194144640772	0.904033606840659	0.841400771478025	0.636880506102564	0.767101090378664	0.687010456190248	0.70365470453338	0.800866715986238	0.845736582110801	0.915158370234973	0.718619687188892	0.654807650905911	0.852959334570311	0.829229381565959	0.686496213441649	0.686992705037721	0.534270733786491	0.790863691948136	0.740926428577965	0.813656917118486	0.842843369275636	0.694027732775327	0.727630146995927	0.737679012311006	0.785894129312455	0.634125200796245	0.814869184712932	0.710217831693209	0.577985268606338	0.673815692822678	0.660628633151774	0.93899310174823	0.815800818374841	0.634864431088839	0.888780820788828	0.643271346244501	0.872308623642101	0.772685835690324	0.921184893117956	0.822856790228973	0.682172967397983	0.834394805540819	0.802248403769552	0.792028906026938	0.670638943615118	0.706244977199883	0.827756303647119	0.671276149243025	0.933276790951071	0.887492656130836	0.663129449387322	0.590902094382407	0.725456716284236	0.671453103003646	0.770749744909274	0.661925621915114	0.638105121812293	0.777329793300744	0.818009532371519	0.733593911541282	0.660944141325187	0.677580382740001	0.575873173918049
