""	CD69	NCL	CXCR4	ITGA1	CD2	TIGIT	PTGER2	PLXNB2	RPSA	CD3D	CD3G	CD247	SORL1	CLEC2D	GPR171	KLRC1	LRP10	ADCY7	LAMP1	FAS	ITGB1	CD44	KLRB1	PTPRA	SIRPG	LRP1	ENG	APLP2	SLC16A7	SELL	CD46	CD96	KLRD1	DIP2A	ACTR2	PILRB	MCFD2	PTPRC	TRADD	CD47	NCR3	TSPAN14	CD81	HMMR	CD74	HAVCR2	NRP1	ITGAM	ITGA4	RACK1	TREM1	TGFBR2	CD63	VSIR	ITGB2	CD8A	CXCR3	CD8B	PLAUR	CD6	S1PR4	CD93	KLRK1	NRP2	IFITM1	STX4	TNFRSF1B	RXRA	ABCA1	TNFRSF14	PTGER4	FPR3	RHBDF2	STAB1	TFRC	PLXDC2	GPNMB	ADORA3	SIGIRR	CD163	ITGAX	JMJD6	SMAP1	TSPAN5	HLA.DPB1	TREM2	SLC1A5	CD4	C3AR1	C1QBP	ST14	TNFRSF1A	CANX	CD68	LPP
CD69	1	0.501822215685216	0.892421190635406	0.753069137075135	0.786901866645686	0.815099296579344	0.820047026727465	-0.535809761527541	0.552632902952486	0.803910027804057	0.746573374808695	0.875542553737871	-0.334031941520721	0.586045548341021	0.958176131193384	0.681865293882584	-0.313447640692229	-0.0754931282351067	-0.390436946744951	0.732862745330716	0.031350000255337	-0.352300334200618	0.8516188300471	0.217295011766198	0.944662673860269	-0.664021929541134	-0.508197746890419	-0.585361601090811	0.806859610563629	0.72192543008613	-0.157080528685447	0.975169244098745	0.497703424085802	-0.185188820359037	-0.109324569380488	0.432457083598956	-0.381417839775856	0.850189545437753	0.758164795655065	0.516994574271104	0.932635859618054	0.621503642997269	-0.351689751105045	0.368253033478634	-0.287753732145996	-0.121850512147775	-0.613005182000329	-0.537226639883858	-0.0553011210920465	0.297943254265251	-0.621213831090022	-0.471117570800398	-0.113865047901465	-0.0174899937200435	-0.429786235122953	0.691965108571678	0.72991645499732	0.779178680054765	-0.553824472089652	0.768932629678925	0.792080068879321	-0.487624183737539	0.847230422607176	-0.659091527500758	0.913208222378984	-0.336521882414745	0.615976247916673	-0.202336309488089	-0.742902927786228	0.0568712872708231	0.562533764250446	-0.611497128251647	-0.489404003310826	-0.477637160382686	-0.262057366042153	-0.475710108460792	-0.681090254141276	-0.402663444115298	0.678084559522831	-0.606244491270548	-0.660819572931662	-0.12473530449663	0.352585969358078	0.617017567712172	-0.229604855894729	-0.424778029120976	0.558080901871382	-0.51767820769226	-0.504678539809425	0.172773311079482	-0.529875190277252	-0.426073108785512	-0.404430965842004	-0.621644293715815	0.0073814173897762
NCL	0.501822215685216	1	0.491777785913132	0.260825478878461	0.150737408187281	0.393022989432728	0.243260559557716	0.331387187871804	0.880447709862214	0.163817533415645	0.131857166928132	0.417897054729941	0.483176948803735	0.224980573459003	0.341783039382365	0.258053150313578	0.358642889440859	0.471799783662337	0.25086046986192	0.303290080343128	0.624784792594761	0.287805809482879	0.38716192163957	0.694395105045508	0.472068466240139	0.139712929818081	0.380415444136248	0.28857152982339	0.50570011527993	0.116755130578288	0.500708298463437	0.449669873113965	0.0831333471633269	0.276499604517365	0.721381778978819	0.443748147440861	0.441266455117642	0.662102213433743	0.442554072187564	0.790139694625539	0.468927911673446	0.795576150549343	0.509592212608661	0.583275306692944	0.525830659587974	0.60517338670435	0.192011647014911	0.325329203586191	0.684770062078338	0.789361671209481	0.162452511515361	0.389765631058434	0.681840359621863	0.703187479884383	0.419991748345314	0.0599790531169681	0.0772989703015779	0.0615559069602608	0.292229161498788	0.360429387421237	0.354065713799861	0.361523699502411	0.327860423598147	0.0496499791920521	0.294401246997141	0.420107655508266	0.679604752813813	0.58159830914729	-0.186188682146236	0.254698622898005	0.461786984763469	0.252328066069551	0.247507621128795	0.319411056571903	0.398272602993693	0.398512538546611	-0.143958450990711	0.394831332104659	0.616099728211609	0.249589291533603	-0.066984095118498	0.135569549455293	0.73598394453854	0.393016578390257	0.513390748430095	0.427119079047528	0.842567228314204	0.302731123054182	0.350012262375461	0.874099251854153	0.37143193565474	0.466995493419321	0.464291213312763	0.0214321332613068	0.610531877011081
CXCR4	0.892421190635406	0.491777785913132	1	0.565828066440131	0.881847120239378	0.825701740289953	0.593872077824818	-0.397682323692628	0.54069019731597	0.89765198059376	0.87220711173253	0.639733602086803	-0.16237329947601	0.809609754114019	0.810487052590047	0.41820160729604	-0.109221167761036	0.0573695831936267	-0.243052744273339	0.86928110453816	0.208954570929301	-0.103075412366456	0.56878628117559	0.320497054288725	0.765288039590164	-0.530536430858441	-0.369165718820283	-0.422956355846204	0.581530509012612	0.707265349988894	-0.0467962472720711	0.828033512560239	0.395182282196898	0.0257756013355778	0.00601631563946693	0.406190019514647	-0.215896688135906	0.909530942932938	0.895230835767197	0.677922676090503	0.778143765804202	0.577238414841154	-0.220378926985857	0.578596138239447	-0.0978657044177399	-0.0104152769900613	-0.503287895692255	-0.374236732312451	0.129696262294251	0.364948192654045	-0.456910890045198	-0.30653112344516	-0.010015037699965	0.0806287903190966	-0.22132761203136	0.788620303811498	0.773918162940399	0.801537976975573	-0.388325294895477	0.894080165131557	0.916702078288792	-0.370669419684956	0.6570746416118	-0.483216412471303	0.854824538472604	-0.0933676703741497	0.742351572074445	-0.152867154785139	-0.614946254231993	0.233744955510172	0.681086374835352	-0.483617431225603	-0.316326014871733	-0.383253812229328	-0.0635798824349873	-0.323362121258645	-0.546865463509914	-0.266941103412557	0.847227092728225	-0.476079244074508	-0.577409832806377	0.0660782677461474	0.478888827959613	0.481836896004828	-0.0322776242943381	-0.263696790991497	0.619315869341923	-0.314129307332618	-0.338259658736801	0.203183426303373	-0.39477875942039	-0.283831927820578	-0.245812522029826	-0.475791353280597	0.12777826327904
ITGA1	0.753069137075135	0.260825478878461	0.565828066440131	1	0.592817316925313	0.67009860657732	0.728615208703865	-0.527689035377715	0.263236431069461	0.571890839065696	0.538139240556015	0.89253396870423	-0.45115643441209	0.332901519023189	0.756008466654493	0.924505772447591	-0.315679200094716	-0.0868416296906774	-0.416786254676466	0.398052025030772	-0.0749000445537017	-0.483446759041314	0.8118556656184	0.149221724126061	0.757329939999173	-0.630757765995115	-0.515734381990982	-0.5956617763187	0.771357114065355	0.379707817489335	-0.241766447622825	0.822475704805306	0.792000366319716	-0.200534835335451	-0.216240657590014	0.443293779215172	-0.538279485543315	0.593177961696162	0.37339739151094	0.178073020542781	0.76657116208887	0.344356788868279	-0.396400527451925	0.174277541309712	-0.377143257652364	-0.146315300772827	-0.606136216455053	-0.530929373954378	-0.230952913573834	0.0356557745279589	-0.622766585946556	-0.498377655410056	-0.186342370968623	-0.192972116784515	-0.508052846035017	0.554025554789509	0.637833530983549	0.64492042954086	-0.578160068458897	0.426325168751331	0.568171047195581	-0.49592688055376	0.930839128608223	-0.607276171972825	0.784108293965088	-0.463644560032542	0.256096596910774	-0.262295604124689	-0.671050268019436	-0.109303577794134	0.302460415145091	-0.595588464542376	-0.56826105005275	-0.467830361427815	-0.428422356360683	-0.495543491053458	-0.632696517917342	-0.448808132284945	0.425720681216309	-0.592411097671753	-0.521349042536027	0.0163110196685877	0.196932347982738	0.439407007045732	-0.344524495125674	-0.45704330606224	0.401534637099604	-0.578604841872279	-0.529220744226185	0.0295043273898012	-0.575865412402827	-0.465465213794114	-0.497172257674896	-0.61668630335821	-0.128551951101762
CD2	0.786901866645686	0.150737408187281	0.881847120239378	0.592817316925313	1	0.854534510171359	0.569686387725486	-0.610937656155631	0.191801414988349	0.987242444380352	0.979244971111971	0.54317243863334	-0.38752234777936	0.883212431067918	0.743046267053567	0.420047257014842	-0.328364953016747	-0.0581845240636748	-0.411210114009242	0.874958448231667	-0.00234728215593953	-0.299735067440585	0.468629105642213	0.0733058705636746	0.656031936530039	-0.681543734211611	-0.544578260501504	-0.616600842076491	0.461817649306158	0.734400859116828	-0.331511961626959	0.757494022847866	0.522210366414045	-0.0669652033794357	-0.251815793702593	0.306982835588559	-0.456126823564917	0.770014746990174	0.832077524985497	0.451531054271002	0.69206585799672	0.282453330789227	-0.439430607478335	0.455613621127508	-0.347616517227399	-0.275789378137901	-0.652517894915163	-0.573792905666936	-0.130119599373663	-0.0106838565280168	-0.651797093433575	-0.526380508696392	-0.318499045583842	-0.246071683755511	-0.441926173661127	0.926316566511745	0.88922458213089	0.891899973118169	-0.600312930174768	0.859954048955705	0.932339396805648	-0.53925669613565	0.654507039601718	-0.626639790369491	0.901807535218783	-0.286147010061224	0.499573153762429	-0.425714249538021	-0.720693722476788	0.0849875791085576	0.592238092337738	-0.645325829517397	-0.517460296030298	-0.514862314629272	-0.299036087576526	-0.534356120514243	-0.666607853040925	-0.440644678106174	0.70717777211812	-0.62844572254529	-0.703994887325104	0.028857131744205	0.143315715650687	0.330263893506457	-0.291783796538127	-0.468395181518975	0.395890908959637	-0.47697941577218	-0.556419199742585	-0.113221463690593	-0.600438723800523	-0.522370285403341	-0.511560497260561	-0.63557185851368	-0.116301599582927
TIGIT	0.815099296579344	0.393022989432728	0.825701740289953	0.67009860657732	0.854534510171359	1	0.540011381597716	-0.526983413817902	0.33022552890279	0.81799925655744	0.80080244301989	0.692059285857247	-0.312038748025356	0.788136296728888	0.71227206883955	0.560277055630277	-0.255620809489976	-0.0391866480673813	-0.335348651265345	0.789674261298362	0.09037155628123	-0.307816738411106	0.590629714422506	0.268051386500817	0.770540110133263	-0.586741373372878	-0.443979713485209	-0.519282076178283	0.512370565698332	0.518758728371536	-0.208995741767936	0.830105816214951	0.558321693142407	-0.0705486761178982	-0.0939697184162939	0.348784632749538	-0.30713912670688	0.809050666052217	0.707387094731103	0.510097573314295	0.825450195350016	0.472915335982087	-0.320469912176093	0.489292656621156	-0.243309026800934	-0.171345213121764	-0.565230809024917	-0.462649463055462	-0.0478588995678162	0.11652965231559	-0.583221854003154	-0.400549251296246	-0.132121080463464	-0.0902234260503992	-0.360527358640198	0.696759046553702	0.762453686471353	0.663313361021973	-0.515787451752057	0.760713848527459	0.859087720478415	-0.444447981922919	0.73376081289921	-0.567661438947077	0.845502407389424	-0.223850994389978	0.621678825302631	-0.288694471528132	-0.690440895921663	0.0852185141064301	0.499747295417929	-0.563394338741282	-0.470674218515564	-0.420813986524991	-0.225494407201432	-0.423454666564032	-0.637419423874427	-0.354015843992519	0.678832517655034	-0.544289458213777	-0.619576818769458	-0.0156723234793973	0.287895331444498	0.463186198431792	-0.211385603232483	-0.373978302407002	0.543402726201205	-0.428376019346613	-0.45925773616256	0.0687530145774833	-0.513008678581531	-0.403753899549817	-0.397031164403819	-0.592313009095624	0.0107504992401724
PTGER2	0.820047026727465	0.243260559557716	0.593872077824818	0.728615208703865	0.569686387725486	0.540011381597716	1	-0.564583878635799	0.407284087123924	0.568216386013869	0.488986749058879	0.791943414152041	-0.428393439956582	0.264071623740983	0.86404544661394	0.803396167312776	-0.399139464838736	-0.112976183665618	-0.471181617248986	0.432336317625958	-0.124620004355536	-0.3799250316609	0.918229391836311	-0.0188623877321036	0.816465173906421	-0.649112069262641	-0.564195042321546	-0.641851206751897	0.861516664540661	0.706260507382665	-0.181347054062523	0.843820369958719	0.634685395060132	-0.288181212873467	-0.296791773349464	0.405425650192522	-0.488935312465032	0.571044279681622	0.525962403542085	0.199896142825154	0.810533187466949	0.44917929793508	-0.452472879949965	-0.0415933186072213	-0.413729865569595	-0.147856243980326	-0.614722513194096	-0.567533137676141	-0.260227557637818	0.177324718962759	-0.62355696185959	-0.552450567632535	-0.259387516554054	-0.147121331921003	-0.534123683539439	0.499948882588859	0.683405466590186	0.647646560104434	-0.577271902364387	0.499320022934427	0.490118613184887	-0.530459355539705	0.857915940203123	-0.641804394270838	0.806496380257324	-0.47281220990241	0.311420066171346	-0.178015974618887	-0.658176352859756	0.000730322509849167	0.379517787368934	-0.61897028029213	-0.488921904884914	-0.523291489284147	-0.356290116152348	-0.540868498582193	-0.611495632649521	-0.486432572776415	0.355797910308925	-0.624152042482857	-0.527527275951548	-0.277993991184627	0.0909728432718451	0.611321264294794	-0.347682942021724	-0.492987632494059	0.282288508961642	-0.590656348622477	-0.567382825254539	0.0274822205138607	-0.571233154847301	-0.496775394985845	-0.492151784937389	-0.586206713658942	-0.0230736757877658
PLXNB2	-0.535809761527541	0.331387187871804	-0.397682323692628	-0.527689035377715	-0.610937656155631	-0.526983413817902	-0.564583878635799	1	0.263170622742263	-0.589957122377361	-0.563337853508558	-0.527313988942064	0.835951989822636	-0.347418389704221	-0.600196588075552	-0.493718034367861	0.776029525952326	0.61831747594791	0.735768065437878	-0.391553253328047	0.684524961886435	0.75986683069223	-0.522387732309523	0.394294343758192	-0.558967826315453	0.893430751362489	0.926037989015938	0.944361996925823	-0.335821608808081	-0.510958292642649	0.679241949268301	-0.597860744432584	-0.479233638784867	0.52431593046668	0.808620408436054	0.0159466647601074	0.816231531303356	-0.182853648372648	-0.237762187439967	0.209426042524255	-0.55588723697093	0.198106792403591	0.899909509388352	0.161969802834223	0.845995779347517	0.812791703317294	0.891981250553855	0.924014479383737	0.75017421516443	0.485477827618127	0.865621367763374	0.905451277172869	0.804779052818962	0.755072052844529	0.925893684578337	-0.548750400500564	-0.622955136585689	-0.618530596582128	0.935981745379015	-0.422670177427734	-0.440512661338429	0.903509413163458	-0.582362142977875	0.799406507203603	-0.617246556819012	0.803291275074627	0.0538368060290772	0.812556946026559	0.679395387725796	0.380037472425974	0.0432255604675945	0.925483944960695	0.863635899849741	0.86784883164574	0.682734989143473	0.915082320929196	0.674661126214226	0.869163503926773	-0.0358283392546959	0.921279982107511	0.70989352441122	0.315353336243961	0.410171683424552	-0.339699012867502	0.772949422103175	0.912686183597536	0.183658154016375	0.916827100949022	0.894898242738458	0.585707578806118	0.943715024045415	0.9210956561965	0.907855616292946	0.776442416639917	0.624320952399643
RPSA	0.552632902952486	0.880447709862214	0.54069019731597	0.263236431069461	0.191801414988349	0.33022552890279	0.407284087123924	0.263170622742263	1	0.217676510324174	0.168596068830934	0.451287647383625	0.395260266701432	0.189287275997867	0.462156354387557	0.288584176094671	0.319389863460349	0.368366509905904	0.161189324719699	0.295169059492806	0.517216189313181	0.386660132765148	0.472816705945504	0.552205774997093	0.516385093222184	0.0293239712274489	0.232405464754047	0.162659570007941	0.589180285358608	0.303959102350597	0.467206480052227	0.480765270710933	0.0564005828229481	0.184445579265788	0.551845430121945	0.335951164430582	0.383042045340043	0.687086459333811	0.502667821460396	0.696396447142101	0.482088293218131	0.774538439458778	0.353496815147139	0.398873536076347	0.417620896660421	0.567326159721912	0.0314000711540607	0.231424608358154	0.562129472522796	0.930391244615416	0.173773616667124	0.271483862786663	0.575294171599528	0.696341525886035	0.329973284172798	0.114170619239958	0.176611460920776	0.160795507413092	0.244776854421693	0.34923694953767	0.363214601737816	0.225942928883868	0.361513534353477	0.00296463293737219	0.34929852059232	0.306145138240393	0.632399924276222	0.553374906199241	-0.176477398797563	0.351333873755082	0.559467494726436	0.140001970756299	0.161040473575902	0.129364336964138	0.394733523373676	0.261677745934268	-0.113359891131004	0.238585088171341	0.573741351337995	0.0988283553833745	-0.0782102055327451	0.0877235348336658	0.751949904298705	0.411179745834676	0.469530522548853	0.298639404934913	0.781369974904415	0.187901604693186	0.238174372517643	0.820126699287396	0.285798630674895	0.346956784447444	0.402919612776388	0.0343491641621442	0.549341004670444
CD3D	0.803910027804057	0.163817533415645	0.89765198059376	0.571890839065696	0.987242444380352	0.81799925655744	0.568216386013869	-0.589957122377361	0.217676510324174	1	0.988698609809223	0.546630252216768	-0.359861451327663	0.869808378416208	0.771489554430236	0.381186415317468	-0.305631241450494	-0.0501899368149788	-0.405798294168513	0.896973379332279	0.00240696876943421	-0.283995507160494	0.466460852499153	0.0756636358585091	0.66144944646761	-0.671811441234389	-0.532286863363813	-0.599584792258842	0.478916242972621	0.769256067846799	-0.319864595023643	0.752380961489146	0.446635492855495	-0.0565061922683974	-0.237777426943793	0.313073651861047	-0.454533547046611	0.782725195019455	0.856356466321368	0.466527554486351	0.683640731990949	0.300988801174479	-0.420147189621373	0.470923108888335	-0.329411374574255	-0.263974004216385	-0.640450352196109	-0.567750024346018	-0.097740231966639	0.0186428701417047	-0.637107936723947	-0.515968723682728	-0.300889464452436	-0.219528636353273	-0.426238909090797	0.943249909832692	0.856271717289931	0.922974398670424	-0.584589181303365	0.884129076735324	0.933727719262592	-0.524342238382242	0.624575294363682	-0.613563283876714	0.892508553301432	-0.275187568992413	0.505429211838331	-0.414032065741773	-0.711046089131761	0.0849720703052653	0.615299894858739	-0.631249443424221	-0.49346903020647	-0.500647871186733	-0.282779989949983	-0.517279056873619	-0.659913303135831	-0.422941361645161	0.725866383215804	-0.616823456413187	-0.70735192438148	0.0496738924454924	0.174168887196737	0.330855111610047	-0.272342579021198	-0.453591431205951	0.395544049942664	-0.463682683941206	-0.537841060212506	-0.0915524248391351	-0.58229055937743	-0.502905706735957	-0.488522950438145	-0.625612341697632	-0.131024560076383
