""	EGFR	SDC4	ITGB8	CD9	TNFRSF1A	SLC16A1	INSR	PTPRA	LRP6	AQP1	CANX	LPP	NRCAM	ITGAV	MYLK	PILRB	CD47	AR	SORT1	CADM1	RAMP1	CALCRL	TLR4	THY1	CHL1	DPP4	HMMR	ADORA1	TFRC	APLP2	TSPAN5	SMAP1	PODXL	NECTIN2	RAMP2	CD44	IGF2R	NOTCH2	SDC2	JMJD6	TRAF2	TSPAN12	SMAD3	ADCY1	LIFR	TNFRSF12A	NOTCH1	LTBR	AMFR	CELSR2	CD99L2	TNFRSF14	GPR37	SCARB1	LRP4	GPR37L1	ITGA2	VLDLR	TSPAN10	IL17RC	NT5E	ITGA3	EDNRB	TNFRSF21	LRP8	MRC2	TYRO3	GPC1	ITGB1	LRP1	PLXNB2	ITGA6	ADGRE5	ERAP1	ABCA1	TSPAN17	SORL1	SDC3	RACK1	ITGB5	APLP1	MCFD2	CD63	C1QBP	CD81	TRADD	RXRA	SLC1A5	CD4	NRP2	CD46	C5AR1	RHBDF2	VSIR	ENG	ADORA3	GPNMB	CXCR4	ITGB2	LAMP1	NRP1	TSPAN14	SIRPA	CD163	CD74	CD68	PLAUR	TREM2	ITGA4	NCSTN	TREM1	HLA.DPB1	STAB1	LRP10	RPSA	SIGIRR	CD93	FPR3	CLEC2D	PTPRC
EGFR	1	0.612950437143504	0.900805224217209	0.784986846577998	0.619424477622198	0.715446544942038	0.764110826751938	0.926222114966808	0.764951418915681	0.51196107859146	0.773559866680046	0.767151950511757	0.877246185082289	0.857680816438317	0.780408735102221	0.88295693977589	0.787681029331694	0.771677985357791	0.862963439053178	0.727218974839459	0.902224135309895	0.925067742286597	0.59661172710081	0.738673300602541	0.899400405272257	0.758435484360221	0.600363497009712	0.875897865939134	0.559418423405175	0.545104200866579	0.932721261509442	0.444482611645801	0.754403321664877	0.268613834258668	0.431137992770339	0.548160315621658	0.126475097153015	0.803880125304927	0.410928313831278	0.597177964849038	0.700410196745563	0.872430433424673	0.799704742253137	0.824002945030288	0.883584625111849	0.544163185185973	0.687330663715776	0.588253467517731	0.49930593913428	0.772156152416447	0.528256408009676	0.408926931015149	0.850439125818415	0.630777006427205	0.796135081108592	0.833414814341988	0.778096333020241	0.823196104133936	0.816321776972088	0.795160128028046	0.770911619233822	0.761539162762335	0.731696297229995	0.72322039231999	0.702877033771601	0.850642360886614	0.766831317892221	0.708081826679159	0.457326872423439	0.652131014424627	0.178716195006287	0.543293703005175	0.154984126187323	0.624079452770647	0.590777568504552	0.556213177826132	0.604681309050585	0.496024973042045	0.550356333542516	0.122472616091312	0.71920215062563	0.605958912683008	0.711845818046155	0.423415756200909	0.350944026728789	0.281939279468852	0.189053689793768	0.599751653180704	-0.0487398836821093	0.563356309702211	0.55506405247404	0.0642636337158729	0.284336135973029	-0.0109620240300675	-0.0491882845840152	0.0087498020556852	0.0483502779902964	0.0167344161422043	-0.0704474260035564	0.31702229518303	0.0480458526946093	0.237079423211218	-0.0278797794715224	-0.0950511154050619	0.0594405555722632	-0.00418347817913944	0.0595328874894708	-0.0320010204734792	-0.00372205463351533	0.462788767401113	-0.123004305873493	0.0877092995817031	-0.0393757804629811	0.614917907420994	0.519080194805508	0.247389052419016	-0.066934373176964	-0.055340713115639	0.458724425399148	-0.118889622678171
SDC4	0.612950437143504	1	0.799037929353227	0.524571997059208	0.829611143499103	0.436263183427197	0.3880111783133	0.794296765505993	0.724222624937223	0.747104548316985	0.855436177662429	0.881937010458751	0.832000556290122	0.864066793980804	0.71552871669978	0.770795963493791	0.852771000416735	0.806112027867749	0.8168149907518	0.873350500406108	0.818354153640306	0.68246887385863	0.847448771892977	0.790640151393204	0.804291658805491	0.670967973447097	0.658506776317145	0.771066896481499	0.397316915286471	0.817350832359102	0.75252419485337	0.68527156302549	0.827619391624548	0.575146895816512	0.309031467311307	0.80418092134859	0.535801953343205	0.880903994166453	0.767078970341683	0.677404185414119	0.771478784045524	0.645178030130139	0.732156485938922	0.675090112132908	0.773253033395255	0.742548278646951	0.807894527619907	0.721203368334168	0.737728272954971	0.644731463775951	0.728212481293822	0.620813818569745	0.777083148970199	0.637665787458874	0.362353856564775	0.844849638936751	0.725859818445017	0.57895945183471	0.544844065841473	0.751719016593607	0.632641133079986	0.749352787666279	0.830398155703271	0.752067479339832	0.680014095831982	0.743684396297672	0.50907234267455	0.779082320918527	0.78677007661143	0.787141533097981	0.498515943743917	0.602125670480527	0.469281260225425	0.717372295200167	0.747485504500567	0.706329044297663	0.845171496727946	0.76670032062713	0.683400435835578	0.533848442111938	0.738511523028023	0.863359373103564	0.895311125458718	0.670235170415706	0.662084423062839	0.541971793623518	0.518881609650522	0.707751876432051	0.332421412263271	0.809220931529137	0.671237577993048	0.401653870352754	0.516103705891313	0.363890775543152	0.361436543686907	0.403022326247498	0.37026225108656	0.338615791421712	0.310649123062867	0.650969557838841	0.481486572963997	0.522642713598735	0.396908868391454	0.311187160723196	0.402693507699618	0.35307547713503	0.444352935069818	0.343831247543229	0.342218252024281	0.766008255340423	0.276847309937989	0.40694485213489	0.374243022251288	0.782391968137133	0.741825832845277	0.581301329906942	0.319891776911113	0.342956420172664	0.654012804450249	0.257941597150517
ITGB8	0.900805224217209	0.799037929353227	1	0.703470373359128	0.715712194032431	0.616778211897567	0.673192472669613	0.932238037758241	0.837120608656371	0.731386785681134	0.831918909958351	0.856486601625018	0.966210341134373	0.925381561342773	0.817969831757016	0.896386382192723	0.887246186161062	0.894938655638156	0.91772112109157	0.872606260737218	0.937311786810028	0.885781506042354	0.731878355247905	0.874199343830657	0.937444119312112	0.786425296242936	0.670935843611223	0.899226954762877	0.445937063042295	0.662696085740201	0.933067572895306	0.530549922680973	0.892792913442995	0.343788859804379	0.510240559002198	0.630651149611763	0.233222586653924	0.904218111046541	0.556560907029662	0.669073027657737	0.796264529942368	0.877884795017085	0.875137166696259	0.830173152414486	0.963702697596652	0.73516595919898	0.789745398236824	0.641123172753122	0.57408579194572	0.830510446459917	0.625608237293062	0.445006069443454	0.931293015708592	0.595819633692363	0.660559035378628	0.933053275203446	0.841696736089386	0.791174825572006	0.694335880678174	0.805364140802005	0.710506347959748	0.872389027432475	0.795230555963355	0.755328620250354	0.766922892756702	0.870673524719898	0.812118505467512	0.801186541061813	0.587653360922259	0.718619687188892	0.255903497327391	0.615904473645005	0.211016817227553	0.674995905938675	0.663309472084486	0.664244356102671	0.70932711730654	0.63111236686315	0.568848860065641	0.244415947194229	0.8763912062677	0.723499427500117	0.852405304317016	0.52554262888048	0.446261742723577	0.336994515638951	0.250200429528507	0.655750696320719	0.0175558143212359	0.699148845396783	0.648983894259846	0.111699973947751	0.308409809237775	0.0572345664530931	0.029847682812119	0.0860769747844108	0.0869026375276953	0.0328441006104786	-0.0157207365456838	0.41570183061241	0.171673681994467	0.293000522369478	0.0689553008231827	-0.011636951091895	0.116994943412872	0.0459001050711288	0.132465280614169	0.0313817966609334	0.0488871967622124	0.615157056954909	-0.0652104950380338	0.129791921630963	0.0555179325466612	0.672810135023611	0.58976886191014	0.339143667481985	0.00518021247925865	0.0233125199129577	0.498731949475065	-0.0711796418783971
CD9	0.784986846577998	0.524571997059208	0.703470373359128	1	0.680542791324854	0.90791322684297	0.664315685961939	0.843552520523219	0.685374799948815	0.44093223031372	0.773643952237251	0.665328610532351	0.678420307768361	0.703825486825944	0.611184189951636	0.647543247151617	0.70890680478113	0.55244749257149	0.672459642002498	0.681135126822916	0.648872866386711	0.676259453658896	0.542796439713607	0.523663584650421	0.675930713513359	0.494761853822673	0.485479185604405	0.680573611885419	0.581640070442253	0.602067284326173	0.721311597565994	0.489816206345986	0.529193651629074	0.450450025963564	0.464554161727597	0.601621109265432	0.26552533103957	0.666006529589806	0.538961459342669	0.556646158646749	0.537833318020326	0.734469589880869	0.692253369305456	0.584024577754136	0.716780110600384	0.560221704490996	0.583862350795123	0.54241250352978	0.581591586612811	0.601431085191208	0.520326004446877	0.452390959185701	0.687587373470339	0.562589390059249	0.640648193909181	0.602322370552572	0.550618585150643	0.82973777806192	0.643808059645226	0.742019492587063	0.745178388754744	0.642078363268029	0.699600030655524	0.571348803054146	0.515477365810079	0.618503280218203	0.602221823601924	0.508430771372804	0.528938896783283	0.6634463259839	0.333684017834214	0.635296185188746	0.325451796168789	0.514868865912387	0.577944738375016	0.579080644795586	0.560896650076535	0.425251741378628	0.713398616936906	0.234611408961753	0.678074214498554	0.633590845103465	0.711630581304192	0.607876123774307	0.444973763293303	0.414671647345542	0.319436492967427	0.494923517216131	0.115105815939082	0.660043954536529	0.559165331830898	0.198695282380063	0.315117534503142	0.192361946588757	0.147680291772529	0.173980033029296	0.180284733370044	0.170989646735321	0.124948694476371	0.409751982881609	0.301117302121386	0.326913389670358	0.167489020926921	0.0845695455949691	0.228771453364416	0.174448461772112	0.210397746552061	0.160461552046201	0.169583636219643	0.554683613232558	0.0943596965212417	0.242495295470244	0.117992351360108	0.568918332770391	0.623716666554606	0.398548029078244	0.103147661518134	0.124583747012098	0.420445262984267	0.0837228093115285
TNFRSF1A	0.619424477622198	0.829611143499103	0.715712194032431	0.680542791324854	1	0.529593639758848	0.413411309756384	0.808870896799062	0.722605437989543	0.674054706387013	0.936071141342031	0.915920017673864	0.744656659020498	0.872216366057228	0.600069957017074	0.770112657083507	0.850203979498589	0.75311066938244	0.778221860317669	0.856470105107409	0.70947047986872	0.592601449751185	0.911498151258055	0.689365962534057	0.654206266200854	0.537066708424044	0.720845154829435	0.701062250552707	0.730350351941493	0.937606154003457	0.695412097996882	0.891145041501918	0.769315705611799	0.795044832336983	0.306275775565423	0.954903143844451	0.718211894150479	0.851014517256027	0.873320552641935	0.790228944651035	0.77017022064283	0.519406833863078	0.705270191715127	0.512166962320443	0.670263559428954	0.697427284705874	0.858701061180272	0.910404723208352	0.883197606185788	0.529912464279898	0.833098525174685	0.782020384023589	0.740051909893543	0.839664541903801	0.513433731487099	0.69935501873422	0.522963632677847	0.643818147828507	0.540341922126197	0.8435154382965	0.727468034222089	0.65244948913157	0.830092768512847	0.840621059207656	0.733208038831696	0.81124960938799	0.46028239755947	0.674256524399	0.934903227495008	0.93899310174823	0.768035706856195	0.721097729511215	0.720241027283236	0.769595528244737	0.871746050432134	0.793400551709703	0.925804736257082	0.875155741971256	0.91232847365772	0.706574402043314	0.601464043140142	0.947627663331429	0.922054230810935	0.855104517128839	0.881229101211409	0.808912503261129	0.763509242411564	0.835000066624521	0.598678208675391	0.886778963842788	0.868645117722462	0.634207402597981	0.759164066171256	0.643884252378188	0.617249425441325	0.658292986733459	0.591600917823949	0.600643861859855	0.592874404840796	0.843919339863128	0.701649611591847	0.788419720877837	0.64913752596219	0.581128782584545	0.671428845821445	0.605089636803384	0.706872500856128	0.617942047673297	0.630815625632528	0.897303937905324	0.54129038650874	0.672935862269439	0.622780017648708	0.919350443642708	0.911912739090599	0.840684017860204	0.602581200207533	0.617842265714734	0.811862894589531	0.540113626346171
SLC16A1	0.715446544942038	0.436263183427197	0.616778211897567	0.90791322684297	0.529593639758848	1	0.564067681538131	0.757859898428021	0.690471503799889	0.34127071747024	0.650608868890638	0.523066217255564	0.615223049259969	0.592018903657419	0.554824085173658	0.572269018356164	0.604993259143559	0.481712914145405	0.602353682430358	0.539459012813547	0.542511161861133	0.597591099309702	0.372969029969234	0.449369898301905	0.600463555790094	0.384674654139344	0.419334168785953	0.621928600430749	0.489472665267828	0.411071309923038	0.667520162248749	0.320228236134493	0.452196333492007	0.247349350897297	0.389347885292432	0.466238058058353	0.0754625767097258	0.571376571048624	0.376359023492522	0.527750458159323	0.456437028188787	0.643366054164315	0.653807454877804	0.482119120233825	0.634956308436098	0.54655126258101	0.476843771933783	0.380578690513816	0.424041126571115	0.511859264669148	0.452303123773111	0.29815001842568	0.62618597875519	0.456213865352613	0.600860760200818	0.524292639596685	0.461430823474457	0.753402019040905	0.641015019890367	0.655288796081723	0.709894900701267	0.558809468534619	0.575973412662679	0.393639404095815	0.449030746587744	0.494827056640912	0.512141379307953	0.483239298582701	0.358555378718459	0.480590074289848	0.141429613094747	0.415050854821483	0.162482023524099	0.340074332590501	0.415079357472956	0.497488290562837	0.394798336159504	0.237733996373083	0.602488435544893	0.0106152081925272	0.632940644110333	0.513048424828432	0.577770002170842	0.456712258143008	0.233078329334712	0.257294864360776	0.12401551090393	0.386259723975346	-0.0760227621335878	0.587695596926039	0.407405418671863	0.0132025792175328	0.132465534295873	-0.00771564053954254	-0.0466222875759066	-0.0236209444831729	-0.00829719992210497	0.0171382192868734	-0.0729964991099709	0.211451618839508	0.120913113402978	0.123958618889272	-0.0487835895755883	-0.110352114295937	0.0297420257176007	-0.0217011417398417	0.0109793901883642	-0.0462002286410495	-0.0256613495941309	0.375654112305496	-0.0932177795737542	0.0518389138927348	-0.0830115207229563	0.402433808003266	0.478592443801103	0.232550602108515	-0.0958825192426581	-0.0794654546879896	0.28431066137465	-0.0912403884872885
INSR	0.764110826751938	0.3880111783133	0.673192472669613	0.664315685961939	0.413411309756384	0.564067681538131	1	0.688753601743566	0.460462550872173	0.291213191103398	0.511669490537206	0.539803207871214	0.562487374157593	0.562209411714546	0.561136416825361	0.533723034620056	0.492389934561909	0.450300343271492	0.495363425895534	0.506568435292436	0.688878178188157	0.708652827360822	0.424861921381424	0.406176521697387	0.675685268486412	0.68625832745163	0.162217380941018	0.558965747243921	0.355073220491419	0.367555687859093	0.631545482303218	0.229640856154118	0.46162982362239	0.245442149850654	0.609117992525535	0.318693205525824	0.0710634909647508	0.467135196555392	0.299359532145254	0.221403207739241	0.309039790988525	0.717585520440434	0.533671501698627	0.75530307935675	0.708484450942875	0.201975912636764	0.348432350206132	0.339473754271238	0.345499856848527	0.674987121595287	0.148229424126729	0.254897700859908	0.572716505262169	0.379802698945762	0.656589093378005	0.648503408051468	0.617874848996257	0.679612831585532	0.409544346975931	0.503868857734908	0.569006604732004	0.686118696330196	0.53436335569396	0.570775879632675	0.31152479237593	0.518180401166993	0.57414050486917	0.362843455097624	0.271459214101497	0.453664850124058	0.0817075089645794	0.474400277969372	0.0562348063017106	0.555071503420797	0.414150560536523	0.257001616966256	0.444602415192735	0.257553408591271	0.339355364178152	0.102282282129753	0.504807330257166	0.369983408944538	0.451716481208759	0.299219144979302	0.216835571619062	0.0968488122480004	0.128416274542199	0.200693041311604	-0.0586838095508826	0.29722143198834	0.303122888236374	0.0220541820617206	0.116728715437616	-0.0256954671160018	-0.0294779879263213	-0.0325808152328078	0.0477162676920155	-0.0160790835838135	-0.0912538221096387	0.155805212041482	0.00215880624128273	0.168264317839167	-0.00554022628407822	-0.101507580398317	0.0153732504637954	-0.0216340388940556	-0.00859384217523989	-0.047103984540223	-0.0476445815803242	0.346547426850654	-0.119548604608975	0.0267993110561282	-0.0671674844776445	0.405172037276497	0.332877792523652	0.170668657740331	-0.0833265521000988	-0.082217552310699	0.279684532571847	-0.0788278567749108
PTPRA	0.926222114966808	0.794296765505993	0.932238037758241	0.843552520523219	0.808870896799062	0.757859898428021	0.688753601743566	1	0.85204394385751	0.680600648504735	0.911320069368353	0.888516864049503	0.929909808035764	0.943015439108478	0.853092486795569	0.908861061156213	0.902112089772597	0.848971076505437	0.917406417976944	0.869676412602896	0.924571567879496	0.889863037684031	0.755975102717673	0.826560050507637	0.915937371674956	0.765309357086319	0.696011712969306	0.899735508651192	0.617113944554552	0.737741990930384	0.949115514311634	0.616991931726207	0.824875224190869	0.45676187180258	0.46059867206685	0.741896391029215	0.340775170715021	0.916395124951934	0.623733709127402	0.720012566025835	0.805324659927083	0.849210668340547	0.87749179831595	0.803589845620945	0.907452402804394	0.727283305986251	0.801441408244921	0.714747593904148	0.68461779241745	0.785757198569286	0.692520014676757	0.542812682949813	0.896733480812372	0.717443531164965	0.712266161325404	0.88081988590433	0.805141441362949	0.849849937802771	0.779608402262721	0.877530147849748	0.82962619654944	0.821943916650609	0.85007095211013	0.795245452762398	0.770753879490545	0.88161957220629	0.76397913182476	0.793835245343622	0.665368224652733	0.795761590991972	0.37228730805652	0.678467658960884	0.338199372878887	0.715729679483207	0.720280289653924	0.681444064890166	0.764563112034059	0.657575429842244	0.724929919132348	0.315373298237825	0.819035196551039	0.79957788402188	0.878792576673668	0.635081506691073	0.545480264170403	0.486367063100805	0.380045413523144	0.721784767292866	0.130473329507366	0.767006564161072	0.707132801736834	0.222707719986286	0.420348484798439	0.188403410447595	0.149741650943723	0.205348882419425	0.203083893131908	0.191705051266519	0.117214570574611	0.507989204009419	0.275259665195026	0.409373568202966	0.184802228078158	0.0952327250101286	0.243491653394051	0.168557835869308	0.256273428666078	0.157832592480615	0.183326636192117	0.668190686501246	0.0629973255660603	0.2609696878824	0.153992164404398	0.753500206144908	0.70758897675672	0.461917512828449	0.120950171946469	0.141352211326474	0.596906366170958	0.0674670167868197
LRP6	0.764951418915681	0.724222624937223	0.837120608656371	0.685374799948815	0.722605437989543	0.690471503799889	0.460462550872173	0.85204394385751	1	0.728454005558178	0.780056805240244	0.746779604719203	0.891128321400737	0.858688688379415	0.771333347943469	0.878185754695009	0.873940106308277	0.884878524446249	0.86559140739015	0.734038212264957	0.757233489710987	0.711135510341617	0.624123174383011	0.849105771564055	0.760182920662299	0.610435116627891	0.783739315111702	0.822352673422432	0.613042473071193	0.576651443222031	0.862992871358748	0.563656774593396	0.828643794782289	0.276106975900235	0.372335890501999	0.64885137262307	0.203352909540149	0.856156247212348	0.506413654088448	0.837070148618477	0.823263021762724	0.605519867737123	0.89221781227406	0.533159697433232	0.820972208612161	0.869241846684575	0.789381182671272	0.655374605271327	0.537280439473643	0.592906267912835	0.723059781190913	0.349733033346176	0.908115696767967	0.63695171236904	0.672118275804399	0.750392336354439	0.593288815280102	0.75250072260356	0.675539700182356	0.857600426063627	0.768756635111028	0.692490090723188	0.773268079847174	0.653932640427239	0.866687128556797	0.807067335582983	0.743165139917644	0.788210935847821	0.571992554294521	0.626982888391464	0.243913290331304	0.395879771254498	0.258247644010004	0.499160534586815	0.599045079165167	0.630516300526012	0.625498363411665	0.598990637118274	0.624934199521142	0.174862319958466	0.823398531681031	0.72755545964904	0.795186145017313	0.528849397263119	0.407602642210406	0.418610750187268	0.230648248581641	0.749110108755046	-0.00424363572896688	0.810462647801287	0.702817868666333	0.0611661649858533	0.268655241421434	0.0456138991706438	0.00468735578042892	0.0612559100445912	0.0423709300500646	0.0852291772123268	-0.0133976054811102	0.375730158869915	0.175567267116099	0.263532164697643	0.0454165938166336	-0.0220942079991817	0.101685971697633	0.0179774512499017	0.139480099378357	0.0181954800839161	0.0512729757119674	0.547341900352321	-0.0611913807343155	0.114402631391737	0.0252000006292094	0.597898628898909	0.571269388749875	0.399416557909121	0.0015957706734103	0.0304163241461663	0.467222928353006	-0.0610602114106635
AQP1	0.51196107859146	0.747104548316985	0.731386785681134	0.44093223031372	0.674054706387013	0.34127071747024	0.291213191103398	0.680600648504735	0.728454005558178	1	0.705346029432122	0.688772185856446	0.771051025349128	0.75541737208543	0.681316646050852	0.700842682847119	0.806527733246414	0.777022381012683	0.747082046769242	0.777713750110433	0.672123998908954	0.581710479096104	0.656876276656866	0.831078149785384	0.669220493545462	0.598894943587681	0.69835675915605	0.644179924571649	0.359478336580644	0.63976205204643	0.713996800184389	0.581920046306139	0.725405840097542	0.375501128533632	0.39349343755626	0.606819070213719	0.302859492025148	0.781923230366627	0.579304240022186	0.653526133248306	0.718478004961003	0.520055163159269	0.726842986058121	0.476833291488392	0.722413382899777	0.785208427812069	0.700761948907222	0.571402352673717	0.545026963255271	0.585948657659958	0.666352702303914	0.357092229060996	0.738395637508593	0.476096154056035	0.345885642166895	0.687063072615748	0.593284558580509	0.493072106086007	0.471599683749233	0.696741197237644	0.49592018416677	0.6137050710032	0.728707148785971	0.575008611824478	0.74332259224654	0.675938718444272	0.623279275199645	0.769507027798447	0.616787370475589	0.62004222314232	0.324515167482902	0.510409829209633	0.353961725369648	0.517727120511493	0.516436801679851	0.642250535252344	0.633893008727912	0.639215616612857	0.50631189304745	0.394174624719449	0.744000847852071	0.731107249761823	0.783877610359194	0.542837960217248	0.50143057036033	0.464880965887167	0.322996582624047	0.678091598198373	0.150217466241471	0.741080874542078	0.669986124641329	0.163233331911808	0.318292623145421	0.181592000418503	0.174742101029446	0.203839078825952	0.152760351665383	0.167286244572116	0.139879305243603	0.480412090235024	0.295280819932493	0.327146625402668	0.231136131573152	0.153291369462064	0.23695575371675	0.15623886217792	0.272661777674791	0.189511417763955	0.214131420733723	0.657750261575697	0.0857886699704856	0.214402097049132	0.196537556916509	0.568781256902594	0.568918775228923	0.435402401919624	0.173085766002221	0.205710172999166	0.415438820904929	0.0885907796173418
