""	SIGLEC10	CD40	CCRL2	TNFRSF1A	CCR1	LILRB2	LILRB1	IGF2R	ITGB2	HAVCR2	C5AR1	THBD	TREM1	CD163	KCNQ3	TLR2	KCNN4	KCNQ1	APLP2	PILRA	ADGRE2	SIRPA	ITGAM	ADRB2	PLXNB2	TLR4	ITGB1	CANX	SMAP1	PECAM1	TFRC	CD81	ITGB5	ITGAL	NECTIN2	CD4	VSIR	TNFRSF1B	ABCA1	TNFRSF14	ITGA4	ENG	SIGLEC1	CD44	CADM1	CD74	ITGA5	CXCR4	ACKR3	CSF2RA	TREM2	LTBR	SDC2	ADORA3	TMIGD3	RACK1	CXADR	ADCY7	FPR1	CSF3R	ADGRE5	LPP	SCARB1	CD86	GPNMB	NRP1	GPR84	RXRA	LRP1	TLR1	PTPRC	MERTK	AMFR	STX4	ERAP1	SDC3	TSPAN15	TLR7	CD47	LAIR1	AXL	RHBDF2	CD9	STAB1	ATP5F1B	TRPM2	UNC5B	TNFRSF21	TRADD	PLAUR	COLEC12	CD180	NCSTN	IL6R	CD93	ASGR1	EPHB2	TNFRSF12A	JMJD6	CD33	CD68	STX3	CD28	PTGER4	SORL1	ITGA6	ITGAV	HLA.DPB1	C3AR1	LAMP1	MCFD2	CD63	C5AR2	TSPAN14	MRC2	PTPRA	NRP2	NOTCH2	SLC1A5	ITGAX	CD69	C1QBP	PILRB	CD46	SORT1	CLEC2D	SIGIRR	LRP10	RPSA
SIGLEC10	1	0.809728107401708	0.800509021707817	0.8050209354667	0.492290736055678	0.640254024159866	0.854232257056214	0.3470244108056	0.735550909290399	0.819469117496506	0.732529319833293	0.39621753041555	0.237057846668068	0.645099631947311	0.711152121969367	0.731464297455764	0.423645767618268	0.645389628875662	0.636439675093956	0.786116077352557	0.828513468986771	0.684762099380512	0.583448558400612	0.841762998780172	0.520376335332239	0.657729473380135	0.695021041481345	0.664094586740018	0.633149029111433	0.718660366814227	0.781201628213808	0.69880405958986	0.465200774998522	0.728290862820077	0.646767138129045	0.631294713794042	0.902927556015333	0.829983369149442	0.260985930376066	0.518038288943895	0.633593624091887	0.612531497216134	0.36294231703095	0.407108476335981	0.613998266622314	0.927689110016902	0.312909646309183	0.833305862368367	0.267793887194103	0.868753244850226	0.853746051285671	0.673259815525145	0.181191884241174	0.846088179896052	0.61720195324285	0.698192044417832	0.799211185578319	0.753863737526338	0.861085152493651	0.813890071821892	0.626308890842936	0.669523145541722	0.601926965607501	0.824021693297976	0.152374695406858	0.544170135524251	0.777509556720766	0.402427478358167	0.548091302702034	0.825654398370195	0.799531156113845	0.655508929049743	0.578822363495764	0.776527008925897	0.629911930377312	0.426880061099422	0.653800171217624	0.800322665193546	0.650344675092402	0.787540943029217	0.897682878963718	0.802045629058723	0.699289597969195	0.536667371153791	0.565384494896908	0.731857621160734	0.855972248997134	0.40324662684042	0.737505186925857	0.733171010061969	0.246483553613494	0.363432987448362	0.554229128339436	0.490112912403694	0.509527700698194	0.351396542456918	0.575993533381007	0.396020148236623	0.707966673278616	0.743596899108364	0.599919277292473	0.372504546753103	0.56622005429925	0.859037925077343	0.876271381559922	0.76657785215401	0.725915353398149	0.906050485073243	0.878028554548308	0.657075479199124	0.654454272359735	0.66115939240217	0.334525612836002	0.729650087365074	0.645108010135449	0.646523004544297	0.402333362314217	0.539851275384482	0.677524399397826	0.461348518409316	0.880772925755091	0.484860571899144	0.550859040088329	0.721277708951984	0.601866597622863	0.654057942143937	0.668592496323139	0.770156981371687	0.545817587674693
CD40	0.809728107401708	1	0.839780589622882	0.810650723618877	0.634078521816664	0.636513331736819	0.846234568420888	0.480918370589443	0.813446152528348	0.858905580614016	0.755086335098105	0.47753342266701	0.446594171082046	0.70729888841836	0.761618147501333	0.8006243284312	0.525904315004694	0.716579968042389	0.735625024964822	0.738069664754298	0.832368811260958	0.755011698869872	0.700812218847115	0.806185538747492	0.615729814090939	0.697610585988311	0.783903893790726	0.741480575076465	0.727938920275751	0.699173628537294	0.720543181545916	0.764490131679631	0.590916292177497	0.759212193586355	0.75273130432189	0.697417110769784	0.867009218251331	0.850002830756795	0.4056216358142	0.575292516422787	0.6810868557429	0.695653083196068	0.418166305259007	0.545138654958299	0.668501370670958	0.851532317295253	0.463513593226272	0.821055896566175	0.463842739715362	0.847670590468489	0.855166295792789	0.704454404215724	0.346241243028731	0.817052247725755	0.694871007858669	0.746889750506065	0.791435518594944	0.785827506559015	0.841845013612456	0.782486055304597	0.71669779603796	0.713662117430295	0.661190528494645	0.863980278069811	0.327882718705394	0.646275082663155	0.783206401425392	0.500053048968008	0.624066912650482	0.808600450047107	0.813039085012981	0.676050192626369	0.673796592019633	0.82031356140764	0.645607122118966	0.471534764284907	0.72581239721295	0.795010602533528	0.701250491461228	0.824219346147734	0.793047469245073	0.807247067139068	0.753908101703692	0.606277166499709	0.614584681723081	0.720665744799608	0.799078367099961	0.481420280558503	0.79472842420085	0.808502761250948	0.41345791736444	0.513633161896365	0.672354842528761	0.565588282246563	0.588000946093452	0.462517671151705	0.639757177373301	0.506412896452891	0.754459827420046	0.793870052101125	0.676990055681332	0.487790939403449	0.598151230968805	0.831969384336055	0.856526751052772	0.784102584812222	0.753519167607655	0.802049910342653	0.863117327264121	0.734235571537747	0.729141057385759	0.738689183999065	0.473913917863842	0.794520777960112	0.67713887966341	0.700246479996151	0.549837416995094	0.620486073205491	0.680292488089282	0.546769543997738	0.780341217992056	0.514931788487305	0.592957181927728	0.74869887421141	0.611458762312964	0.675372813369446	0.713757536971898	0.809723536022325	0.59647491785346
CCRL2	0.800509021707817	0.839780589622882	1	0.865930407604662	0.763272416224603	0.684408862000342	0.872219129584081	0.624528049774301	0.86184664744381	0.909503260069607	0.832684573204142	0.534936411080935	0.550020758008253	0.814941892058701	0.786174894475938	0.807135865167058	0.558914548695701	0.804150161481348	0.838743965408666	0.74705258384004	0.880720141295119	0.856083891403914	0.807238269633938	0.850068586961115	0.730425365589019	0.817861327528843	0.882969196888025	0.843249977082448	0.814815483860252	0.731969254803778	0.770025468397148	0.852006840611494	0.70664988125321	0.789595381867927	0.77102908018092	0.808269823386661	0.816988195270568	0.891776173499062	0.569070486734729	0.707818003920332	0.732993937579035	0.783933759505316	0.546349056524218	0.651947008338771	0.727706155007933	0.812199470652893	0.579990354378428	0.794445975711616	0.566090813841714	0.873840864025599	0.866237280036782	0.795605174525714	0.494625330214373	0.825664742822288	0.785778046590074	0.803718123239197	0.841033203400107	0.87655649176956	0.812849625281994	0.831820685503832	0.80630760992229	0.797586691555714	0.758217833613477	0.856729419442923	0.490037391104516	0.765929451113357	0.815338063721611	0.579760048758242	0.753774373995189	0.842567905386651	0.865629640336488	0.783554452248405	0.777957076201818	0.894940478127139	0.718378024235261	0.610401167485184	0.79424805766019	0.79967137864164	0.774395419436339	0.886652061203303	0.769146279265974	0.84823646343184	0.799031037490404	0.722236433025955	0.664420952427391	0.833829968749885	0.834304560843002	0.645481518961283	0.850825819702883	0.889486889732581	0.494603794962788	0.57139047450052	0.757509834635391	0.721668927830966	0.659045710720092	0.526493766853098	0.708744614303321	0.558157948124253	0.815520221537545	0.817037219380225	0.801844418844709	0.643466456080182	0.638584529489821	0.88086168805181	0.872651186583314	0.845648492725805	0.835738252158647	0.743230914749725	0.861545637252566	0.855445244221976	0.799300210910135	0.828322658320016	0.581532281481068	0.865829004691873	0.75210289170773	0.794180660626628	0.695092938979712	0.727500831703503	0.736492623592102	0.679073592087384	0.774878302518211	0.546358007326156	0.644998851504815	0.848826451216013	0.701234746886797	0.764326406968339	0.780549511877085	0.907322800846261	0.656603207918149
TNFRSF1A	0.8050209354667	0.810650723618877	0.865930407604662	1	0.791392921009742	0.819462949787994	0.891703034448272	0.674795248850951	0.931989471360191	0.927138107865968	0.745038608465103	0.702971372364237	0.628488877591388	0.867541323942168	0.80561052970211	0.88159198222018	0.714912743690892	0.846810319692067	0.914855938225093	0.627272025787874	0.87042383217261	0.899688006835837	0.854584958795698	0.798243085661415	0.832122127080015	0.831275181000806	0.923777081049076	0.926961166561356	0.899809490260362	0.711394080994079	0.701860940898111	0.907987872346864	0.733247358807668	0.809564980760474	0.898436183382879	0.877696670723095	0.853423720584193	0.867347557330178	0.498817362745277	0.698793296471174	0.872769369607441	0.887312360999169	0.556006412740505	0.766012460176237	0.77832695042001	0.821288849728736	0.672766572543441	0.795246350166508	0.641552899663227	0.844581321007621	0.873009084815442	0.892462603219785	0.431186180545608	0.834554304134603	0.763855465139119	0.894103010083768	0.786171843953524	0.901949121769954	0.870131259508051	0.819036494229911	0.861237624120243	0.868973439448867	0.802533699223398	0.877220306612064	0.409327355489595	0.823786639037036	0.87875851764123	0.699656109002534	0.757653254533545	0.869688304932006	0.926262935727846	0.804795039578207	0.80179892286945	0.88790655274268	0.813351949621894	0.608150925217696	0.898011550784077	0.827677951551376	0.917025831792589	0.952716327786789	0.707556996183827	0.842064249083203	0.797188331544381	0.787516376711031	0.819198115058514	0.862136984948192	0.861211717812093	0.708886201655127	0.912523097216237	0.92733412399805	0.547610653928269	0.710987699355874	0.858431432889038	0.764654345354659	0.778739631901916	0.680060436085937	0.779990571019506	0.714179871866724	0.84168772741436	0.884557381659447	0.742279415011725	0.640054902433807	0.546906403206276	0.900757201728461	0.868752836594151	0.924213193209376	0.865281858992828	0.730494065767535	0.902802586258085	0.843448398293338	0.899346840165452	0.909950113614824	0.59608279574694	0.854309910047696	0.866273477080074	0.890943389238946	0.760390734302801	0.768466024489336	0.844593020244468	0.588189499130383	0.815813900216316	0.706365854311113	0.747843413404163	0.869718148447056	0.788484404509434	0.796036811553809	0.872662072699412	0.885197092654438	0.793023201505574
CCR1	0.492290736055678	0.634078521816664	0.763272416224603	0.791392921009742	1	0.649836350473919	0.692089537302044	0.808895416170708	0.806005177715625	0.789190540600234	0.711028091317786	0.648152441570459	0.773553341320718	0.834329614011038	0.687079849674167	0.764768073770763	0.63291794314386	0.74171188836069	0.898762038947033	0.491414129077495	0.709186344703024	0.831461515667618	0.851095274974411	0.605091359850765	0.819771503831712	0.797242458169052	0.877175753280777	0.87636085556935	0.857390919992976	0.570092903480274	0.511531087514245	0.837794320782182	0.837632555560296	0.694003426994261	0.78621276722575	0.832398452752606	0.550775831746784	0.718759913017523	0.761537776730467	0.81367918520145	0.705385097831441	0.820573081815983	0.665572145613916	0.795516258388398	0.704451632836614	0.532649755985232	0.728857098870539	0.57147610185273	0.768669918127635	0.636888562612709	0.672844763771879	0.787437500668823	0.683426785263951	0.614306624999034	0.729658508880081	0.757523291253283	0.66524705328869	0.775472490748543	0.610216629717879	0.640276393137423	0.811560947936832	0.75491363299015	0.772601038321744	0.718671872299721	0.724114441064368	0.835175356777452	0.671720736289465	0.679640368255035	0.779141840721119	0.691971944485086	0.730531315567171	0.768138783755863	0.81683569020023	0.773886788391928	0.644986961108869	0.66875083989421	0.799151706889201	0.627232872887778	0.790391284408327	0.81638004107904	0.425757662703864	0.688178298464518	0.726777103704789	0.734912199074767	0.681872427574225	0.721698315918096	0.605293100289019	0.823107952468711	0.803509014191065	0.854234337851068	0.699907098561079	0.748183919974041	0.832181992033866	0.809384423329538	0.685944850021589	0.623910498299988	0.698682265449592	0.620339882948949	0.724988565849575	0.735389885496007	0.816826148152206	0.756717788535004	0.451102104747363	0.712827625553573	0.642017945942373	0.756423050810686	0.748376891160298	0.41886595308005	0.682407545583405	0.873546383757589	0.801220431933082	0.859625824855139	0.71605389746968	0.787135950664836	0.722000934665251	0.755378413843267	0.829186173456932	0.790017547051268	0.671841408083199	0.689615672441137	0.515529999932209	0.555557732912089	0.646057572417045	0.793393368011057	0.67215263849363	0.681061074914793	0.745856237832838	0.802966051892159	0.663755085281817
LILRB2	0.640254024159866	0.636513331736819	0.684408862000342	0.819462949787994	0.649836350473919	1	0.697807450411462	0.545683719375955	0.797851750164961	0.754679553789782	0.460618276157077	0.793828944684304	0.575900636552058	0.716765437238712	0.564466820382709	0.716725692996372	0.785738159793515	0.755610392141761	0.760178529062249	0.32895090008237	0.657613098150436	0.770324608259688	0.709931944342919	0.591430592248007	0.718885158940511	0.670110973261782	0.750288377324631	0.808457988396554	0.792556550652153	0.476411538229232	0.435570625620196	0.731179105474704	0.559733370664192	0.603183252651319	0.831116429448475	0.75123790923198	0.713599354664201	0.605305273545077	0.293334666266144	0.536215541351592	0.864211228294285	0.829763437603298	0.417084648945174	0.775226314368787	0.5270650221549	0.62284127978439	0.67148647396008	0.594691872924569	0.559520206997856	0.631890568985158	0.639820790590904	0.765324638539918	0.250516796865334	0.588265960509844	0.521844395805562	0.860812472108042	0.46470253939674	0.751400769742182	0.697594391001662	0.616916441373964	0.722795933526446	0.678313198139437	0.614451189645513	0.683019946070394	0.232882403811317	0.685372918850922	0.796019256093251	0.792500788635236	0.530126589861259	0.675170621005126	0.822613367744999	0.618384254879232	0.631583583588208	0.685674171054174	0.760439635574639	0.415511716968645	0.874912351900395	0.636380353759434	0.844153970675509	0.797810171330333	0.457170907632856	0.569517501741967	0.542273191410701	0.649804795448498	0.863090927915412	0.712926461748508	0.662348982146373	0.647368359537926	0.77028837979763	0.756312656120719	0.537162347375277	0.698950479699907	0.718749439199267	0.716647174704008	0.729585253046434	0.795340096078774	0.752701591714341	0.728746358739953	0.694380367331544	0.816882416346904	0.542344646133136	0.520441711971369	0.295379579390812	0.730288371614072	0.615658673819458	0.780112387574025	0.608110320308396	0.536174977227449	0.717906662363474	0.666969162483616	0.831893559914159	0.755158351505682	0.542090218069321	0.615701405038851	0.724896185835025	0.731745916846502	0.639388891338049	0.638583784372355	0.84366182760797	0.346051785838464	0.635213295101972	0.829773094303931	0.574274798959254	0.715626640394047	0.565950252244271	0.621762869176286	0.784195838401288	0.718727694551518	0.855033546604188
LILRB1	0.854232257056214	0.846234568420888	0.872219129584081	0.891703034448272	0.692089537302044	0.697807450411462	1	0.567739042660941	0.849783509389434	0.901501785571341	0.837354726354203	0.497891373674158	0.445466353723791	0.841260099719318	0.844255362902326	0.864780654978313	0.510012589753536	0.787772077470123	0.830666885796488	0.770962853802674	0.91757169712602	0.857535306451595	0.782445304500282	0.866037016203454	0.735765996133274	0.824984202890565	0.874802296530424	0.804039348030965	0.775711236453878	0.845159862442125	0.81647357322013	0.890548732999643	0.711875858244357	0.818887997592146	0.789606996328376	0.816808937096247	0.861150741325339	0.917723034447888	0.483364721784157	0.62757972793156	0.745069225623355	0.778278624850588	0.5890610812084	0.562088415295608	0.799208716142629	0.910373519844216	0.490933214257569	0.850798834927723	0.51617876290115	0.925193274462496	0.919714523896604	0.795409467640028	0.378900085189659	0.907962501102458	0.78154992214823	0.74518691666826	0.866424756501982	0.858869134950235	0.882291173453817	0.913549833423309	0.769261723740615	0.832903441173188	0.818476359374828	0.853356655390968	0.353852130450528	0.766540685867761	0.800340535138896	0.499206076985555	0.774254404208115	0.879091804713158	0.860094975613379	0.840804009845662	0.73318330361427	0.90270469969654	0.751125366645307	0.661366459359747	0.782715742857945	0.888598496474006	0.766564703825836	0.918590805103276	0.836295300919042	0.911435205620524	0.83244742511879	0.777695636570911	0.623721486002259	0.87155964304044	0.89766992728603	0.585839627293305	0.847580902617391	0.880696955729788	0.442563155524811	0.488289416244962	0.766226111910276	0.624870497145074	0.707192387300482	0.462565227061262	0.711043260521698	0.510588830525388	0.762398134572137	0.811170130124013	0.752118412529959	0.546963108754703	0.71850572391656	0.916184203347114	0.935576951209379	0.904098640350954	0.870798818092572	0.846068456273918	0.926898878603054	0.793140083278899	0.770059882349495	0.810458914073084	0.524842551628689	0.875152606127342	0.818470416042632	0.808219549987905	0.6129462168807	0.694259600596667	0.693537852377277	0.653245406249996	0.841691463365035	0.506929301598041	0.672494606563702	0.851171865351872	0.708319282662665	0.804064820163243	0.775066804089216	0.875307352326484	0.586744783852699
IGF2R	0.3470244108056	0.480918370589443	0.624528049774301	0.674795248850951	0.808895416170708	0.545683719375955	0.567739042660941	1	0.690210801088829	0.681625571028159	0.641912096567557	0.561097820713039	0.747603309848509	0.818520620567076	0.603144191672751	0.687015463857491	0.574515086475433	0.689404125053412	0.822340240115836	0.39519924096881	0.627072745599389	0.800309228494432	0.800481921522089	0.463538558140231	0.801301364812676	0.76182200250576	0.792872153188935	0.790342537088588	0.761443377916466	0.539109057146415	0.468036672792691	0.785100013920883	0.839428127795282	0.624736901341148	0.645746568408411	0.774557248792661	0.361746649026251	0.623970005774075	0.810737175748206	0.764289177969134	0.602698830432344	0.764875671277292	0.685795086812505	0.752841278191192	0.698002196592071	0.383953604369967	0.710687660554238	0.444437874198129	0.7607561192791	0.531731717386889	0.544618515073459	0.703410242139582	0.712782707515796	0.514024036145852	0.653795252000075	0.640517298584098	0.55018041059138	0.666592920218581	0.42158538799551	0.565737516186639	0.740656447890632	0.747580735924503	0.765962537785702	0.568619709143065	0.764646140311977	0.791070878723665	0.561511103340189	0.629198201031559	0.834450908702596	0.571235820775132	0.59916411398545	0.765262436831786	0.800171970329065	0.701692212179473	0.546425977314005	0.745170619096444	0.70993291059043	0.548096700886827	0.684274407180334	0.708093295236732	0.29601551098897	0.606427337164237	0.684855679142164	0.742719453023921	0.574963357457734	0.647260681909176	0.494702180644911	0.82041088748093	0.660970538274881	0.771185615043926	0.702512192350994	0.637146138948596	0.794701330550737	0.747964510637754	0.63236744131377	0.563851633729495	0.61665621049003	0.586114766158659	0.651024192009646	0.609750472806894	0.751622726683642	0.784138143679587	0.485210602821091	0.598235810041322	0.527941922585854	0.638672607970109	0.695915821786798	0.283516989728765	0.560761025282061	0.799528580601868	0.707756188215831	0.758071856286509	0.642250031137431	0.756343271693772	0.69225120711047	0.70081050025813	0.811515552878768	0.756861054595422	0.556863658551094	0.743054491551678	0.305670364251938	0.447619444079097	0.61656924716305	0.731128007647753	0.622599405063556	0.665847488621641	0.669451038557987	0.694330808019129	0.554461394251031
ITGB2	0.735550909290399	0.813446152528348	0.86184664744381	0.931989471360191	0.806005177715625	0.797851750164961	0.849783509389434	0.690210801088829	1	0.932362994966229	0.706761313054403	0.735845751434461	0.766540713074328	0.867393696070331	0.78927950062467	0.866405911872391	0.778176705738963	0.882194270916484	0.926935070898588	0.587134815691786	0.832301263727564	0.90874050428306	0.889326163460032	0.743610803433868	0.859907110419073	0.770884693302946	0.937687945020222	0.936288751704816	0.911518607293627	0.609769989310381	0.637480617817761	0.897669186103976	0.746875888942373	0.793702740414434	0.917419829225437	0.892499852963681	0.830420655030359	0.846994799675193	0.527276362326766	0.680746518604719	0.895051146293703	0.904733909973046	0.528246679254257	0.793201063256124	0.745767661154505	0.757179729139045	0.733592009771039	0.772838121147501	0.700812165216629	0.79377801984389	0.87870191244693	0.873367680359184	0.517396977962202	0.797010583066398	0.775685355949861	0.899545917903876	0.764895133132093	0.889334177538514	0.870356519852762	0.758875133120612	0.867728566892211	0.819672556150909	0.750251385599933	0.916322273271185	0.488738006494826	0.851802899799734	0.88676923208748	0.756849669609008	0.731408645611222	0.841652456053862	0.93159213921523	0.759185312662377	0.80209763564603	0.884022520763254	0.822847312541627	0.556679541183762	0.907849115326176	0.763945870827264	0.910401320871257	0.926434770967532	0.623331692523944	0.80368184737819	0.800246769133883	0.779691700678964	0.838547074138242	0.821829231550598	0.827269940463032	0.713007718953153	0.907768986600817	0.941975892725303	0.629330419970882	0.766506014023666	0.862905813491438	0.761639538661311	0.764489422669089	0.739431210211497	0.765542254619409	0.784261491373906	0.832620918479622	0.94296113956158	0.748178521960111	0.645612932509648	0.555922437192888	0.858704588866468	0.825846179337555	0.88536754307247	0.793370354640745	0.639584671154969	0.879846223294224	0.870787837954997	0.919157161154703	0.922544293138109	0.660944967716776	0.839536155160588	0.821043772645773	0.861051056844767	0.758837522858428	0.725909760138736	0.848869372451621	0.60974530366751	0.771284371640896	0.73211129798484	0.704517955512743	0.856626010417453	0.719294920828284	0.751019570817901	0.891273819658324	0.851051367489914	0.821677544103097
HAVCR2	0.819469117496506	0.858905580614016	0.909503260069607	0.927138107865968	0.789190540600234	0.754679553789782	0.901501785571341	0.681625571028159	0.932362994966229	1	0.816426252639399	0.619507686592414	0.63960460384954	0.872638715745485	0.820397946256025	0.884455183454241	0.652006987090406	0.852615423094279	0.894265791400507	0.722848285954574	0.885965984195663	0.897717150126926	0.86005094776221	0.834917919718494	0.796473747166396	0.835329521772943	0.92709868552781	0.904313775904801	0.880900128553958	0.72578487226443	0.748452861982045	0.900931889089398	0.745965370724495	0.826923145055734	0.842139401331988	0.869534534011803	0.859276060480886	0.909880510637285	0.562652918788154	0.754924284988291	0.809589075985759	0.853802904809758	0.565037607031046	0.724394646644496	0.772127416533792	0.850203536871393	0.65570122398894	0.853170559360839	0.632709631986769	0.885321037694811	0.90412223356137	0.853584613093768	0.473882800894382	0.855992653402966	0.779921285937013	0.872268408147933	0.836202509971004	0.890263918586164	0.858971337810706	0.853611690021404	0.851126790407207	0.836130850534918	0.798918592093149	0.917010322392487	0.501018926946775	0.800465014872902	0.852205624744194	0.673607782627016	0.778344724765812	0.883006089030245	0.926440157260448	0.809722439729942	0.828204907947437	0.924552826066797	0.787447744088175	0.616314044194585	0.865743562603751	0.837139978274443	0.851135526570455	0.933369150411489	0.766384543854162	0.866342931355377	0.849038247909696	0.762264320083602	0.748486852409054	0.849338085920591	0.84563259670172	0.69624783307926	0.891619689924824	0.932614195966813	0.53925235073168	0.666260500722187	0.821211279299012	0.751446642130748	0.711682465777345	0.616106050355035	0.734813466525842	0.640153450773065	0.865412653019322	0.886284771196479	0.808439527827142	0.667568248911407	0.618699683208608	0.915548389762105	0.882546056737194	0.88895121708357	0.84500586060737	0.7706168038379	0.921211159433433	0.883433614894917	0.865294269578359	0.888447981802106	0.619651797584386	0.88153386498317	0.822909409480093	0.837189369700849	0.738994058906171	0.765855793711074	0.802364133593241	0.67657070744824	0.796388453218337	0.629100552489515	0.683500876708399	0.888653495027553	0.725620847376248	0.787557893794851	0.86021767759219	0.902460561887306	0.739642532250204
