""	LILRB1	FPR1	SIGLEC10	APLP2	C5AR1	P2RY12	ADCY7	CANX	LILRA4	HAVCR2	TLR2	RXRA	CXCR4	TREM2	AXL	TMIGD3	CD4	ADORA3	GPNMB	LRP1	TLR7	LPP	SORL1	CD9	TLR4	TSPAN14	ENG	PILRA	ITGAM	LAIR1	ITGAV	SIRPA	IL6R	CD81	ITGB1	KCNQ3	CD33	ADRB2	TLR1	INSR	PLXDC2	PTPRA	CD47	SORT1	C3AR1	ITGB2	ITGAX	TNFRSF1B	ABCA1	PLAUR	C1QBP	TNFRSF1A	SMAP1	CD46
LILRB1	1	0.332787561220053	0.658533497665821	0.709018471337877	0.170620965731141	0.708100416008206	0.654760030001072	0.811733692081844	0.696235285653305	0.721904951485351	0.778578852666853	0.519864235818751	0.316276423897281	0.608389104779905	0.79602132409394	0.558608431273359	0.688318984790566	0.572035070339966	0.661708481122543	0.511946728546679	0.592050669406633	0.746851146251591	0.853079631539103	0.418755239022031	0.387822180940026	0.702655316669939	0.638369369963572	0.646961706096787	0.44402039420369	0.799214896702487	0.438735012305645	0.851404693279073	0.733807045528177	0.694824117381662	0.745103721953064	0.630089944630463	0.680652163070999	0.47494114694646	0.601662395480911	0.765472057343764	0.754698820450021	0.733088434299982	0.69556983675196	0.712163750907689	0.802764427722955	0.732758600852209	0.420457936591552	0.585736912797381	0.49622314902553	0.19927204891741	0.643620106335449	0.567960244893176	0.343114225771042	0.736721348082741
FPR1	0.332787561220053	1	0.443590863293859	0.682506844094395	0.822931227913353	0.0996870760617271	0.69115299520746	0.344706924907111	0.376011435006514	0.733506017793586	0.396189446199586	0.674779656370578	0.921612172953415	0.233092099154223	0.693033266799295	0.687127313092943	0.614683268291879	0.808274055118939	0.439675708323079	0.803543026842818	0.741027872655881	0.513960844207282	0.483794404223604	0.453094750537866	0.862397973481933	0.608155642503222	0.474347625014338	0.603250324697881	0.635716324884208	0.625606485663701	0.695845880391766	0.0359279913862959	0.663938653252262	0.625522425785313	0.627622219945663	0.244561158731936	0.308844109579604	0.491501210778826	-0.218638972468513	0.610495105802486	0.578623630145518	0.582055898152607	0.703706332748691	0.423824325248731	0.392605906231977	0.507894507236686	0.799318670016582	0.803189765783172	0.798219553790469	0.778594500247321	0.211588432270653	0.552461187113691	0.748038820433786	-0.148412879225937
SIGLEC10	0.658533497665821	0.443590863293859	1	0.702849617559941	0.298191056905116	0.640058274407722	0.825184413828601	0.63280717004847	0.688445374247122	0.69497718370746	0.71883137838975	0.536975810727381	0.332721092038858	0.563440612960163	0.722421920795532	0.584291233917077	0.626277051449463	0.60122219211368	0.608526787930155	0.536589011491234	0.636031146470324	0.752075543309607	0.716856000106484	0.483455595897715	0.574735131046595	0.820883809355395	0.523915510380133	0.735043244086981	0.524280678554533	0.783338245323421	0.402224539096801	0.581777057619331	0.707870524479191	0.657356005692416	0.795899089118589	0.664203835646448	0.576696851841033	0.528746438712703	0.422531194560686	0.635332175331681	0.779944135176863	0.61562828907471	0.584534242608766	0.838380358042112	0.707686039960943	0.61334231139393	0.526748883110003	0.575987931613107	0.420349867385998	0.304608324804354	0.591477814262285	0.629374139144181	0.582632728658829	0.520143863133439
APLP2	0.709018471337877	0.682506844094395	0.702849617559941	1	0.639028661033757	0.586856645563822	0.848158569991834	0.752621253510332	0.756258244768369	0.892331830929076	0.70877074979405	0.814263807781927	0.69391997842812	0.703702324463895	0.93656758911382	0.822673744019327	0.898491294049276	0.870822601542754	0.800709607101711	0.882750224330457	0.846543341088185	0.842153670918459	0.890798046195709	0.718932889701012	0.809109888403134	0.855751063564143	0.762710397493014	0.839657237445781	0.761341559069506	0.939154332363082	0.757580404315111	0.454772549598144	0.848221470536966	0.918002790158005	0.897488426762428	0.618567590438451	0.737376808340196	0.636653732003902	0.306568023256176	0.74521785404124	0.901459801283715	0.689299781179914	0.723276794842333	0.745571619084864	0.695311310241744	0.841479087023909	0.814071850396158	0.877349540289316	0.749101222920588	0.703091310480446	0.657071950342354	0.623690391957938	0.730922096812989	0.421422431286087
C5AR1	0.170620965731141	0.822931227913353	0.298191056905116	0.639028661033757	1	-0.148076646658151	0.565490205085923	0.165416793451237	0.148871448012328	0.585854352366853	0.254282687421463	0.672100014904914	0.925978640222063	0.0454252230199627	0.582197488772725	0.649894052676125	0.491064133725304	0.642564294724061	0.265828915969813	0.762468820710777	0.517774065025552	0.525402600586316	0.342000600569242	0.333178828504694	0.856748854756553	0.496780572846566	0.348556828870637	0.466548017672571	0.629646102385485	0.544705054814155	0.766671225341933	-0.212874503717276	0.455910126877669	0.511989969460256	0.484650857175976	0.0612921124312273	0.295054325712412	0.537749421788895	-0.31854605256696	0.493872566874836	0.483689305729497	0.321280478840764	0.576044003046757	0.290417615635211	0.247532915671429	0.289278988407658	0.844902288606128	0.684375057331891	0.838667548345582	0.863546027989879	0.0863759116455577	0.242815578934199	0.603994366878128	-0.274518910491154
P2RY12	0.708100416008206	0.0996870760617271	0.640058274407722	0.586856645563822	-0.148076646658151	1	0.454233696197916	0.773203499321588	0.72518023902565	0.474106918037865	0.587306103696584	0.290777826831833	-0.0099102674514363	0.818558426740467	0.629692923264826	0.449663175498569	0.623590145446974	0.500568279582895	0.732954506307476	0.394429302300209	0.570355559936207	0.460437077955578	0.719855970294862	0.620131067225531	0.157858842701496	0.607087403720183	0.52707037500402	0.554084837029642	0.46058024369	0.659029359588995	0.250698761656526	0.750458798222981	0.620220758347438	0.633284058148706	0.589746003118473	0.743685357481887	0.68533718779204	0.230938350801518	0.717851459437962	0.517901390670054	0.581284261413614	0.63703245217494	0.316878901762661	0.637584444697573	0.683084487769152	0.758767658790127	0.193141129380656	0.400724682518	0.108337161285673	0.0673766698172172	0.681918585550628	0.502327127172855	0.316198295403453	0.742478558408191
ADCY7	0.654760030001072	0.69115299520746	0.825184413828601	0.848158569991834	0.565490205085923	0.454233696197916	1	0.641285502878159	0.690720460794339	0.898118516889421	0.706868500521753	0.804802671125631	0.624359246541352	0.57141194454132	0.818782437500848	0.750045360742249	0.724212459374836	0.790640474855116	0.624342586637363	0.744906883318716	0.840918987916977	0.886597239748747	0.780815903908937	0.620124324371175	0.763699239384724	0.833548592603338	0.756437432818504	0.851551966170958	0.56846974314948	0.865463593666368	0.58283696956141	0.439075784975272	0.79445027647888	0.782238777516904	0.946208559460412	0.495187625164074	0.504219436914868	0.592157839155729	0.255949924096693	0.628936183624328	0.895671089294387	0.652207616243691	0.757066648903795	0.77970886174239	0.612781854849519	0.724068096371851	0.755421712131865	0.758814306997417	0.66524445943627	0.543097366152433	0.636427446683747	0.756642440113914	0.800870970005206	0.39317348393773
CANX	0.811733692081844	0.344706924907111	0.63280717004847	0.752621253510332	0.165416793451237	0.773203499321588	0.641285502878159	1	0.810574968973607	0.707785373959848	0.856196349171117	0.627444351742336	0.319642937610303	0.838325845726573	0.798065507571381	0.589300561063704	0.807613239049468	0.669193905060106	0.837372956633798	0.582986674024882	0.657765862466034	0.651527516844447	0.90894850484368	0.685110765981291	0.419791304620638	0.720991197721037	0.774270971583426	0.686900174276096	0.674282545345721	0.779208384709794	0.431051877890889	0.77005886996812	0.814993020165533	0.835856673240372	0.703346614759964	0.719612016593087	0.782417317828045	0.416442545331595	0.540621979471992	0.628060368592119	0.807806357516486	0.68344411212805	0.480310091633679	0.788696060241548	0.690059507794445	0.916664944451534	0.475255459385085	0.649674842803593	0.47546072753353	0.259571112731302	0.787768522378113	0.550711051099766	0.427814055467817	0.67903956615297
LILRA4	0.696235285653305	0.376011435006514	0.688445374247122	0.756258244768369	0.148871448012328	0.72518023902565	0.690720460794339	0.810574968973607	1	0.731992610827648	0.752520989931247	0.561916246472108	0.315279066261546	0.865699277820263	0.72279969799284	0.645710271589848	0.814839237602045	0.640173148626805	0.833848411621927	0.63052672227846	0.656922907784036	0.666596871836238	0.884826206089424	0.751828510261198	0.485141953124606	0.647185705036198	0.734942985975976	0.830281238134833	0.555888807230969	0.711411059281796	0.335456348483602	0.674442821298922	0.698488565280373	0.871597613158986	0.754579892426268	0.670296927595576	0.570815141411948	0.311218881551836	0.370052332635769	0.455617296764773	0.805527428178731	0.497584121008493	0.459668661769197	0.776108092842335	0.528439963463181	0.857329507006983	0.461778118376513	0.683442082583963	0.48112993558282	0.272459137147295	0.848264176723569	0.741843166073721	0.562908786838808	0.507315221599562
HAVCR2	0.721904951485351	0.733506017793586	0.69497718370746	0.892331830929076	0.585854352366853	0.474106918037865	0.898118516889421	0.707785373959848	0.731992610827648	1	0.711241067436041	0.836808680233747	0.705601122749749	0.630019088380313	0.890367417446037	0.832710563617726	0.840829132801168	0.854131634036724	0.708816899788394	0.816153710810645	0.859131712166052	0.87554357188626	0.867028270378615	0.660358228682762	0.800838684931516	0.828254555602164	0.813348081936789	0.882802449244137	0.645075141093866	0.847505435454654	0.595583160225027	0.457741863017068	0.841501631204037	0.875412747690171	0.89752093926273	0.602685196915984	0.571857920987617	0.653280926774579	0.299518639015613	0.686526775017581	0.924088231638827	0.675937855851117	0.832434747433154	0.763479474965894	0.624191304101001	0.820353565546344	0.757820005887531	0.832471301126928	0.745196058515941	0.564391716684609	0.646881482582	0.793525240268214	0.751760389056793	0.415977081738594
