""	CD3D	CD44	CD2	CD3G	CD8A	CD8B	ADGRE5	CD69	KLRD1	CD247	KLRB1	F2R	CXCR4	PTPRC	ITGAL	ITGB1	PILRB	EPOR	S1PR4	KLRK1	PTPRA	ITGA4	ICOS	ACTR2	ADCY7	IFITM1	ADRB2	APLP2	IL6R	TNFRSF1B	LPP	SORL1	ITGB2	C1QBP	CD4	ITGAX	PTGER4	CD46	VSIR
CD3D	1	0.864594328176386	0.764983063856019	0.774879242210869	0.494317379616371	0.635093971787426	0.964090963774634	0.800555065242621	0.966020665286172	0.883942732914138	0.760413163201441	0.93929291283413	0.942649353405817	0.851169342828419	0.943908504993701	0.878785658498324	0.801030677225301	0.859781103712341	0.913027363546086	0.815143525551058	0.79992420267286	0.299562181140571	0.475595489023683	0.26198245614589	0.873104805424058	0.922692868064857	0.630193193254629	0.86745542685497	0.383429136109117	0.764083763460566	0.663523938047302	0.731617428180996	0.758132483639253	0.601315150549537	0.583790572731198	0.226958447592714	0.87119358047998	0.835242684274058	0.536516218921808
CD44	0.864594328176386	1	0.820669249877361	0.909430790407286	0.300687037296639	0.874642756504912	0.905352075994664	0.976605411157007	0.91983544043012	0.843048218731059	0.939649676263098	0.789904653434441	0.946907051120649	0.866470315005963	0.817061890971497	0.988781636086128	0.616615626209628	0.855830755251503	0.937617385892424	0.819360110970514	0.561950362966494	0.471510591022464	0.820076801696287	0.590411102420147	0.812499615354942	0.922822551627697	0.833148207275047	0.944248913539969	0.634371401173423	0.852913458498318	0.48193086212241	0.872668857935054	0.954890920816851	0.869119383553296	0.797026881036717	0.419582391668503	0.93842899669294	0.929037156881927	0.747426802374138
CD2	0.764983063856019	0.820669249877361	1	0.594140085137506	0.633703310371998	0.572203068192048	0.720821995109134	0.885533294153022	0.830156837430751	0.722884721283768	0.701974551714391	0.620843387849103	0.89066239588187	0.859563197311718	0.784728915336031	0.857053397582337	0.658798621935832	0.698498138125573	0.710820548900755	0.530815926760893	0.568838956575456	0.820735012152506	0.769520237749926	0.698666757447322	0.865741051982783	0.915570168985303	0.678450635541235	0.849592887158966	0.625219478881028	0.896594155662578	0.668008813330666	0.828459996181065	0.86040594181145	0.590218629345699	0.753576076798552	0.588137359270691	0.950474191957459	0.896525190686918	0.719133652245223
CD3G	0.774879242210869	0.909430790407286	0.594140085137506	1	0.249816277697179	0.970894808612671	0.887306890798534	0.867122745585954	0.81956941413569	0.849253277469259	0.981994513497824	0.782647403593821	0.824524036637101	0.726440983903054	0.709101811846311	0.897660292363365	0.487929897270659	0.847625922669748	0.831296904865685	0.926765418635275	0.381191049316677	0.153047754124154	0.711615260929091	0.506674185246645	0.584734459103094	0.759554669219496	0.887203900393878	0.792023066601729	0.662109357425848	0.752478770762123	0.434367052484613	0.824966551349448	0.820578600384266	0.944390835035599	0.737584976280738	0.396061268170215	0.7549385374938	0.859645960271993	0.742358122803012
CD8A	0.494317379616371	0.300687037296639	0.633703310371998	0.249816277697179	1	0.168376865280935	0.470455986673699	0.362557527887345	0.519229582529563	0.602459389531282	0.315072364339426	0.507495076410412	0.51378206654694	0.585315240787644	0.596079710030432	0.376320654625195	0.651352714671227	0.531815188472268	0.180940917779705	0.399779814609102	0.464843198977161	0.412292531492253	0.162593187976413	0.334665249995799	0.543027952351242	0.541156508188218	0.448248233409477	0.4137099070894	0.457073732580289	0.634692109093456	0.896878493559436	0.543383694033526	0.332684606593603	0.149435815781996	0.501652024756524	0.618696423605948	0.491447800131711	0.563814217907603	0.562512810935677
CD8B	0.635093971787426	0.874642756504912	0.572203068192048	0.970894808612671	0.168376865280935	1	0.767070715268174	0.868703767221587	0.710588320427218	0.74563180023077	0.977333802675704	0.623415823660246	0.746801199840199	0.652234170836674	0.568912175232292	0.861227992226553	0.334830462328714	0.76113515303401	0.748079881223643	0.843273879707688	0.206064559078366	0.224055919703971	0.813288993014627	0.628798230610827	0.478140338656987	0.677593251567808	0.910085619339904	0.733999019714152	0.733013933804079	0.732858006381978	0.329052119496304	0.815467807106947	0.824467504931504	0.990923240582494	0.752104192786154	0.467285017471708	0.710307108888466	0.83225933890615	0.771930914382549
ADGRE5	0.964090963774634	0.905352075994664	0.720821995109134	0.887306890798534	0.470455986673699	0.767070715268174	1	0.835502482761322	0.970859805954177	0.950403799609875	0.867357848298424	0.966573695914739	0.930698204004995	0.848774417132237	0.931342504204183	0.91210816578742	0.757867058972169	0.905883812815068	0.902452052429078	0.901133040455329	0.696287240492082	0.233531941232481	0.533880452030424	0.347434283934048	0.820552356810424	0.912913570712783	0.744407199457858	0.871496052133394	0.49661002691319	0.786270256984067	0.636080545158902	0.804583603197903	0.801117166102866	0.727858100985257	0.692104794778897	0.306467744513339	0.854288964282407	0.878389991277299	0.661445009205958
CD69	0.800555065242621	0.976605411157007	0.885533294153022	0.867122745585954	0.362557527887345	0.868703767221587	0.835502482761322	1	0.877026544996178	0.800097907693921	0.929652858120113	0.696484223692682	0.932500676510029	0.856182997111477	0.767920389526322	0.982850851996313	0.560259410998361	0.809235082561888	0.868795735205473	0.7443142009921	0.473283268024653	0.60674329906161	0.901426038676311	0.727092757423558	0.790401013199032	0.912715199257391	0.856124801839526	0.918871093372069	0.717147326080262	0.899157552039726	0.502274955991566	0.906373856965041	0.969879536057592	0.879692843215657	0.828275127882708	0.531869154769825	0.954862759062769	0.957655807860337	0.798112483318972
KLRD1	0.966020665286172	0.91983544043012	0.830156837430751	0.81956941413569	0.519229582529563	0.710588320427218	0.970859805954177	0.877026544996178	1	0.946639322628578	0.834826540565802	0.941067984158475	0.96525662905878	0.911666397827303	0.96353696205881	0.939840135165849	0.81290931157823	0.898277144982215	0.906794368743134	0.823180824650754	0.754590095869333	0.416699354500019	0.593217008267342	0.437428355909545	0.921152710053208	0.978782344437045	0.725910050394445	0.928448306105615	0.520094784354717	0.848316409517109	0.673322145353172	0.839834648420676	0.86254450983533	0.680898953123365	0.745071785138249	0.378362903802333	0.934619923687984	0.916304707598148	0.697485058627134
CD247	0.883942732914138	0.843048218731059	0.722884721283768	0.849253277469259	0.602459389531282	0.74563180023077	0.950403799609875	0.800097907693921	0.946639322628578	1	0.854279747326386	0.947737844646764	0.882584860498454	0.866790097517207	0.92105198118968	0.872646496145642	0.793933085188947	0.924464113487095	0.781501644044163	0.886085068580079	0.6576728039151	0.275260563399728	0.517172177488527	0.443763372345947	0.817108173573677	0.897791361711502	0.793954097425314	0.850053316373301	0.597994749257251	0.831877201160368	0.730710820359391	0.85693677299635	0.795534305967273	0.698914919148968	0.797606919665152	0.482768642914122	0.828966098407599	0.900935938492317	0.791034821380213
KLRB1	0.760413163201441	0.939649676263098	0.701974551714391	0.981994513497824	0.315072364339426	0.977333802675704	0.867357848298424	0.929652858120113	0.834826540565802	0.854279747326386	1	0.745010852445197	0.857750695847362	0.776184777815148	0.719022749538245	0.935809368339114	0.498075598490717	0.844697875562093	0.819702933165551	0.882165151637811	0.365791269064984	0.322009621579222	0.815232286131281	0.643463754034945	0.636681906492027	0.809673328014317	0.925068424895471	0.834421126211154	0.744475559837056	0.828055159041382	0.47019230788416	0.889495933416946	0.889898317283987	0.961411111463702	0.818814664091101	0.509150627739841	0.824796512563242	0.920148674193453	0.820926207313552
F2R	0.93929291283413	0.789904653434441	0.620843387849103	0.782647403593821	0.507495076410412	0.623415823660246	0.966573695914739	0.696484223692682	0.941067984158475	0.947737844646764	0.745010852445197	1	0.858045952466907	0.818162454725525	0.948685846758374	0.804982880806191	0.836491877539601	0.877723815455024	0.817949756819509	0.857605841778322	0.776862108342558	0.115798400721888	0.335547910739131	0.204488688673924	0.818807230261294	0.86069854209109	0.631253688421023	0.802346966739937	0.397726954398069	0.709878292827323	0.680495178464613	0.725020452318089	0.677402675759832	0.565649268347364	0.628332160767323	0.254479523447084	0.767243790393933	0.785309818022079	0.586434323516236
CXCR4	0.942649353405817	0.946907051120649	0.89066239588187	0.824524036637101	0.51378206654694	0.746801199840199	0.930698204004995	0.932500676510029	0.96525662905878	0.882584860498454	0.857750695847362	0.858045952466907	1	0.945314864389743	0.928262326988433	0.960845274074503	0.787827709659585	0.88675141784955	0.896227152649435	0.797925634431158	0.725606896608933	0.495993826764536	0.702401595395163	0.542842675532058	0.90918870803324	0.968802683770438	0.785930738553221	0.945562149941295	0.630865059481899	0.919369934515487	0.697657248551074	0.893964424821087	0.884791505335384	0.73603026026038	0.775348193663972	0.479832030987996	0.971224675550443	0.948524162162859	0.72083379775495
PTPRC	0.851169342828419	0.866470315005963	0.859563197311718	0.726440983903054	0.585315240787644	0.652234170836674	0.848774417132237	0.856182997111477	0.911666397827303	0.866790097517207	0.776184777815148	0.818162454725525	0.945314864389743	1	0.909903712910264	0.877228536458464	0.894869495027939	0.907657590859272	0.776768973967726	0.759200902551911	0.796323198026123	0.498939615960321	0.631481338179837	0.553027299749312	0.936005535698286	0.924354394594418	0.79921678513012	0.94850744069749	0.707791776466796	0.949610602302277	0.800030040278719	0.911953084429166	0.842742697590448	0.636373381267024	0.870274462107732	0.646109940992858	0.929366859441122	0.903035693960758	0.797655712239113
ITGAL	0.943908504993701	0.817061890971497	0.784728915336031	0.709101811846311	0.596079710030432	0.568912175232292	0.931342504204183	0.767920389526322	0.96353696205881	0.92105198118968	0.719022749538245	0.948685846758374	0.928262326988433	0.909903712910264	1	0.846630481056736	0.900082627374259	0.850443783071267	0.800068812096327	0.74377864310156	0.823886168101684	0.356525235972003	0.442751032347428	0.376501523212159	0.929042792132475	0.937944854390546	0.62988988346438	0.855596326366082	0.496100078852203	0.826793788625548	0.764199362278393	0.813056083860034	0.733906008375891	0.533187359986846	0.703166763506238	0.39359448976167	0.879604545728501	0.856836578763192	0.633687462482973
ITGB1	0.878785658498324	0.988781636086128	0.857053397582337	0.897660292363365	0.376320654625195	0.861227992226553	0.91210816578742	0.982850851996313	0.939840135165849	0.872646496145642	0.935809368339114	0.804982880806191	0.960845274074503	0.877228536458464	0.846630481056736	1	0.635286458670036	0.863998564563117	0.920920674661645	0.805896374494424	0.56411301415131	0.513749016894056	0.814704855201694	0.631385315107003	0.837286825563465	0.949162770916914	0.835671667917875	0.940328824925392	0.651448230072473	0.885307445699519	0.538253674826956	0.89920758542048	0.958768814730675	0.859535947918013	0.806356058442925	0.456261928706294	0.957774608581833	0.963123989446465	0.774454793355906
PILRB	0.801030677225301	0.616615626209628	0.658798621935832	0.487929897270659	0.651352714671227	0.334830462328714	0.757867058972169	0.560259410998361	0.81290931157823	0.793933085188947	0.498075598490717	0.836491877539601	0.787827709659585	0.894869495027939	0.900082627374259	0.635286458670036	1	0.809670240072745	0.606976768768848	0.646381020686481	0.936307806848384	0.262657107997117	0.225721876280222	0.211029529282717	0.888435577174198	0.784950806112139	0.534135605671875	0.776986781000868	0.450927266707873	0.757517671112344	0.864921526499416	0.694591516761007	0.558709162738569	0.289707132268887	0.657923968440711	0.476648114715471	0.729850662598435	0.67846993244218	0.568531424214421
