""	PTPRZ1	EGFR	NRCAM	SDC3	LIFR	PDGFRA	NLGN1	LRP1	NRXN1	GRM7	CDH2	RXRA	PTPRA	FGFR1	NOTCH2	PTPRD	PLXNB2	NLGN3	NLGN2	GPC1	APLP1	ADCYAP1R1	NCAM2	APLP2	FGFR2	NCL	ROBO3	CHL1	LAMP1	RPSA	LGR6	ADCY1	NRXN2	CD63	AMFR	ADAM22	BMPR1B	APP	DDR1	CNTN1	GPC2	TMEM67	NOTCH1	ITGB1	MCAM	LRRC4C	S1PR2	ITGAV	TNFRSF19	GPR37L1	PLXNA2	ROBO2	CD81	EPHA4	ZNRF3	ACVR1B	DSCAM	THY1	BMPR2	ITGA6	CD47	GPR37	MTTP	ABCA1	ACTR2	MCFD2	PILRB	C1QBP	SORL1	TFRC	CD74	SCARB1	PTPRC	PLXDC2	CD46	TREM2	RHBDF2	CANX
PTPRZ1	1	0.995415258588696	0.996923435076021	0.993225006879312	0.946280197276874	-0.261528608373298	0.984300705220934	0.973687088706156	0.994168371644047	0.797250337009238	0.992396545679991	0.903815909271538	0.997271742935001	-0.0292993570336814	0.997587214253533	0.993141430635734	0.341684287504483	0.95473603721452	0.953976781199162	0.701576525402723	0.730595399374566	0.965690919126628	0.991825273575755	0.991237386741331	0.979575664420775	0.994897598401923	0.987391220271566	0.987269969327331	0.972460964606477	0.972594897036567	0.813983945732998	0.929104930486809	0.995191463086959	0.99556881043422	0.9575642678389	0.993963353691411	0.970071258667309	0.990310330006804	0.998151412601228	0.863058813310854	0.919509047852451	0.988312478808514	0.992078613951957	0.972279505123072	0.956514576314469	0.254735015793377	0.941017105478875	0.985446408860916	0.992964224645981	0.999825561364712	0.974571166243901	0.993001752885468	0.915787769215547	0.984452018582132	0.989157104015369	0.991698993490279	0.586554172153929	0.0837836459853396	0.983573452564552	0.922201838070407	0.991883636016583	0.988721843243198	0.989833170377889	0.625024017183144	0.911297899658505	0.990407712291651	0.994170641808815	0.984605611000966	0.561786154275946	0.940522946156565	0.339267693879185	0.275836070677339	0.318682474791046	0.403004293856698	0.973175158811464	0.322117314549175	0.597019100748583	0.996683600304717
EGFR	0.995415258588696	1	0.996460622175808	0.983609724981562	0.930878401925434	-0.32672424629564	0.977310529917378	0.952001668866537	0.980082829754707	0.73934047969883	0.99852154355014	0.875746034057932	0.990919865468119	-0.10866199901044	0.9941417503847	0.980045432754596	0.270280409329316	0.927806735429968	0.970676035363127	0.63356042128281	0.669345859276671	0.976127186901954	0.980129042448291	0.978421317099092	0.960359793979354	0.989373034551764	0.994267905289156	0.969214316699253	0.956422184049043	0.97603136793105	0.783096474088355	0.90923317047251	0.992727770484958	0.998199289244784	0.938729624290984	0.983521582630422	0.960090646073914	0.978149260032886	0.993861793438612	0.813893572520781	0.881475764049726	0.976163405269471	0.990763171322541	0.95365298279352	0.925650239642079	0.192835476924661	0.961391249229567	0.969039108573691	0.994164361712867	0.995370279754658	0.95407704296956	0.993291797013518	0.891708462605175	0.993991741621157	0.976089206593317	0.982504352238582	0.512556267229752	0.0162379157540421	0.971175769432874	0.912953821888597	0.980724217984734	0.983365324502529	0.981124130621102	0.57260480737228	0.880994750340033	0.989636472801728	0.983140479940831	0.995826557410682	0.503749120199454	0.919639560081814	0.27696105855343	0.20041129170903	0.258951588061696	0.3390850257562	0.966266828892336	0.267141346733418	0.541390137660843	0.996570759916768
NRCAM	0.996923435076021	0.996460622175808	1	0.990713091903212	0.95234700959139	-0.304142635371566	0.97125442637096	0.968397420276892	0.984722907481705	0.780130857245921	0.991794092953437	0.908118865582775	0.994463664245733	-0.0763484869247715	0.996118763215613	0.98698216066284	0.319457769493322	0.932315048430157	0.952074763431085	0.67194652549016	0.715229207643404	0.980802604223681	0.990955447002747	0.988155404796184	0.972164751290235	0.98884608503376	0.98731977891463	0.976528727832588	0.972369305576964	0.981672645847822	0.821429498738285	0.934173196147669	0.997520440380719	0.992753073165978	0.958562284854762	0.986108730268172	0.975276640586664	0.989721585328522	0.997916911690756	0.845767880988687	0.90661913817256	0.984605448369028	0.996866400690789	0.965757360111181	0.940410447673355	0.199968717376416	0.940679138557116	0.977707870358864	0.990766265883257	0.996779323885812	0.956732941072887	0.985890475490218	0.916593867824304	0.990409681282221	0.979648496492401	0.980911358223411	0.564320479204618	0.0260403108278288	0.985684228841003	0.93727919845264	0.98003611613187	0.993145065865686	0.986797007779293	0.625444779616275	0.907265085266108	0.981800734542144	0.987427579258375	0.988638636532519	0.556276009857794	0.942249841746187	0.331797239072591	0.262225930398506	0.317419726248931	0.396357073467591	0.958269048733275	0.313426149292149	0.587192891552041	0.996321332628671
SDC3	0.993225006879312	0.983609724981562	0.990713091903212	1	0.972668195193046	-0.281930363665734	0.965939431157504	0.979669130541582	0.991056676708838	0.834337936288558	0.975089830982274	0.936351571244155	0.99856506497703	-0.0330944739005822	0.994344586400325	0.990293126511638	0.40161009445834	0.946971796092339	0.917236709678561	0.737578333926201	0.76899518198386	0.959630405260551	0.996116898080542	0.993676737108646	0.987830801307905	0.985433231829386	0.965442720962362	0.982226558176254	0.988146492887983	0.977331936030451	0.868617569913505	0.960855967496244	0.986931991587888	0.982064780798132	0.977411857600207	0.995716693809641	0.986304985970471	0.996948299097273	0.995474378268375	0.895755887968553	0.934348923931615	0.998273595377648	0.988367342899405	0.984600048211461	0.969114762909144	0.220277753831989	0.90189440349592	0.987739630195637	0.987138202939286	0.993756872346914	0.969884800125596	0.980707189095562	0.947336046283478	0.971973306268481	0.992458634857679	0.9812942239574	0.632398448741182	0.0617241470827009	0.993382456783506	0.950121457841215	0.989085496517538	0.991289671671074	0.998946433560782	0.687880867025321	0.940414011597785	0.97691384781135	0.997027811263371	0.964147429707847	0.620319712474675	0.964968706420538	0.407837990125063	0.330916397485469	0.382725650991019	0.464601107654826	0.951726008696786	0.396545114978224	0.647534680675001	0.99177802002636
LIFR	0.946280197276874	0.930878401925434	0.95234700959139	0.972668195193046	1	-0.337705291611459	0.883023786815882	0.966638683594666	0.943957517847883	0.85724243103905	0.911945398072768	0.983589984898863	0.962224838849191	-0.0735896202297796	0.956394362815173	0.951024189345057	0.516280584174581	0.879281033267112	0.816951756749321	0.749793606698676	0.816354850808014	0.933894297591472	0.970520848608198	0.97066884138491	0.960693705971385	0.937914399281151	0.898370755789894	0.932440172328962	0.992340625045072	0.969294069144509	0.955819085915567	0.997945564409973	0.948091373580949	0.922841148206634	0.994483375720385	0.949146729422976	0.994879771944239	0.977922690823832	0.95538783265982	0.912483015926155	0.92914109015316	0.978707871060938	0.962979739573777	0.976502042754243	0.94121624829719	0.102747217673851	0.797157185366352	0.954043233556105	0.942155369386677	0.945872726880924	0.905302775530447	0.915808794777512	0.987081273191723	0.916488197263978	0.956604262324252	0.915736367170165	0.705780773453591	-0.0324124264720796	0.983960105028488	0.981592543875483	0.937015404262681	0.975421536615589	0.970972991954987	0.810592322224793	0.969269985540187	0.911799686723991	0.961366219441198	0.903613750725727	0.732314000165059	0.990165797340744	0.554332380942144	0.454784365333194	0.529304516908291	0.601018105883408	0.86651304090637	0.549517513048321	0.74360513520505	0.949369249623788
PDGFRA	-0.261528608373298	-0.32672424629564	-0.304142635371566	-0.281930363665734	-0.337705291611459	1	-0.149796363701667	-0.158273989888421	-0.177353667609266	0.15889325931378	-0.313828799268513	-0.21582645527851	-0.287439643286445	0.954022813988914	-0.304936041585711	-0.183606594482335	0.186735857772263	0.00851997869193464	-0.290691692554683	0.299125810681932	0.170604660897389	-0.386849378596677	-0.239826521169678	-0.238507009200625	-0.185067019782208	-0.257591019370804	-0.297846608307081	-0.112186355677377	-0.286016885138934	-0.422280967484378	-0.305605588984965	-0.313710513374145	-0.268838886962543	-0.305793483489167	-0.281373095899645	-0.238083160872709	-0.349204747599159	-0.252539293205457	-0.279710899218054	0.0364941196243466	-0.00883348751007999	-0.285109758521679	-0.319987028600445	-0.248011685335895	-0.071397242253418	0.839267810525336	-0.305732635498785	-0.189950366692381	-0.332758934483313	-0.26313417140861	-0.0832309559016484	-0.288278608082201	-0.291185280534258	-0.358702639225746	-0.243531311875569	-0.186990273083601	0.275343127025005	0.877697057833624	-0.270985451932103	-0.381281024083496	-0.224002271091305	-0.311898888396052	-0.304193552947577	-0.0976799062003782	-0.195839797853419	-0.279970892444116	-0.25736117055564	-0.34421150062682	0.00331438020775735	-0.278799584626681	0.0229219091735636	0.318811179278536	0.042375750294567	0.0758944800676682	-0.148829498083313	-0.103817472493753	-0.00436872601608479	-0.328885201205553
NLGN1	0.984300705220934	0.977310529917378	0.97125442637096	0.965939431157504	0.883023786815882	-0.149796363701667	1	0.947128691580899	0.986616866193306	0.779000158391838	0.981600336845275	0.837785988980921	0.974508652225903	0.0682303598038561	0.974237297992353	0.978837731186703	0.290853581080487	0.976083267371716	0.966330132104007	0.705089989337951	0.700669022445783	0.922340714228057	0.96460925544269	0.964149909747096	0.96098356967366	0.981588293374151	0.979659048863021	0.985376556824235	0.926992904651593	0.921251024286813	0.722882452862606	0.862587848069591	0.971346353088601	0.984335795905224	0.905158894975262	0.982449875750557	0.916454371654791	0.958696843716621	0.976381802207396	0.839610563143284	0.902803490787939	0.957366997019738	0.957271965035736	0.939356427505074	0.948595826106413	0.38364744487545	0.95445010540547	0.97017379673549	0.97201019293865	0.98464375431231	0.986897045691137	0.988197468591138	0.852561601322648	0.96486202449503	0.972183527603854	0.995001695163842	0.555947880747241	0.207771655919039	0.945436724376895	0.852110595737019	0.986088135537282	0.949381667058661	0.962216489891865	0.536097819805461	0.862173360233309	0.987088274299636	0.975010084797654	0.968239706331246	0.4900534075151	0.884822981879643	0.257308289467188	0.226003272213086	0.235423897795739	0.326615125542517	0.992071898882447	0.229284249718369	0.534779766944148	0.97420805206457
LRP1	0.973687088706156	0.952001668866537	0.968397420276892	0.979669130541582	0.966638683594666	-0.158273989888421	0.947128691580899	1	0.983363768737475	0.883710478393551	0.942700874719146	0.96023247637786	0.975605418008336	0.0943692955717009	0.974724772761128	0.986088173818012	0.531167313216031	0.959357162745381	0.872300014630403	0.808966085146699	0.844212102461221	0.922153119011541	0.98161258540382	0.993421205339424	0.985787619282015	0.975197392547147	0.937574538508937	0.983695557397525	0.987187235569081	0.946653833266112	0.883767221513578	0.960111424504708	0.969027057645617	0.952335363409314	0.984767992173235	0.971938121686279	0.976515656039286	0.986505456822766	0.971780089002205	0.937295125030468	0.974096107951686	0.982215824379933	0.971715725735807	0.987768606746249	0.980439132275225	0.315334114524307	0.850522221735269	0.990555962348399	0.95666956870768	0.971644199431432	0.968145712425747	0.949734240537405	0.963437323854288	0.932584051610381	0.982281839577245	0.964667703004869	0.746888088263548	0.171543793384872	0.989298860552415	0.941172217037952	0.972056242259969	0.97540379411656	0.971223172143031	0.769550122357666	0.972020023619123	0.950485001070287	0.982005711160079	0.928868101166065	0.725018271828878	0.979316335370344	0.525552820404306	0.484738008535681	0.512770537824824	0.589765298275813	0.941288876073139	0.479976813565906	0.752648036086092	0.964891154349338
NRXN1	0.994168371644047	0.980082829754707	0.984722907481705	0.991056676708838	0.943957517847883	-0.177353667609266	0.986616866193306	0.983363768737475	1	0.846029727592867	0.976759061158919	0.913441399289747	0.992565858254338	0.0659848872630873	0.990035554827168	0.997135378288714	0.401945981644591	0.978388312719206	0.931138861809271	0.762999403966454	0.782319991185481	0.937960777665518	0.990362238266053	0.992106694343412	0.989415498633256	0.991468811227448	0.971059626461159	0.997414462614536	0.973528334526424	0.953305415081132	0.824021602466699	0.930990466872883	0.984350000980104	0.983787965271403	0.96046997828499	0.995476005553691	0.963871511405079	0.988977258242679	0.990320444080289	0.901581130747252	0.949511907431102	0.98866730456285	0.978678227731579	0.979698595382609	0.978635581448502	0.335788501622592	0.914071068701248	0.993035080249828	0.98227839443706	0.994018223907178	0.990071297867673	0.985531388345975	0.923954116505322	0.963414318151403	0.992279287915161	0.994493935304488	0.651812568885009	0.168692504531297	0.981853848480525	0.912392863066991	0.995992926666442	0.978935587573991	0.987034738663569	0.659136017431628	0.927998752146727	0.984439395763858	0.995302311619405	0.962383610319625	0.605110023130228	0.945992839344086	0.389133414117855	0.342559837133659	0.362500123472473	0.453288475465941	0.977440001728896	0.364806350774897	0.639767964092978	0.985751953662963
GRM7	0.797250337009238	0.73934047969883	0.780130857245921	0.834337936288558	0.85724243103905	0.15889325931378	0.779000158391838	0.883710478393551	0.846029727592867	1	0.719773052245961	0.908676849349318	0.812530838835062	0.428688595579305	0.788987558285655	0.848758653780378	0.676561504140453	0.872657043058179	0.610124122335994	0.956679241325162	0.964946291845993	0.715527890959674	0.851257094360605	0.84395035495427	0.877645155912212	0.785279561016874	0.707303439705922	0.865115287205368	0.861264776642308	0.751675989870785	0.870903056130058	0.875724631590433	0.790870543652276	0.741620861537584	0.869642812892198	0.829224859830164	0.830506041287683	0.852666914691307	0.803332752601437	0.97659936139448	0.944481398795917	0.843856644966025	0.783168754066749	0.862501169948477	0.921692750063565	0.499470261875151	0.57870216138577	0.854650617639388	0.75721026276253	0.797983358739857	0.85528498292433	0.747492081369082	0.87370638018685	0.707059144767541	0.830322117942884	0.805044515711585	0.90794194576077	0.392092630117097	0.850954795754289	0.814418328343157	0.817018267029516	0.81259760788773	0.826706652251676	0.835954715780303	0.899012117162162	0.745708176841167	0.830341789422072	0.688807942695345	0.800081019816764	0.871338154251637	0.649668532509906	0.679828689298894	0.616945994125316	0.711278062957038	0.757507905693667	0.598245659777462	0.793546859800692	0.76815037791705
