""	NCL	CD3D	CXCR4	RPSA	GPR171	CD44	CD3G	CLEC2D	CD69	CD2	ITGA4	PTGER2	ITGB1	CD8A	SELL	CD8B	PTPRC	KLRB1	PDCD1	SORL1	FAS	ACTR2	CRTAM	LRP10	CD96	S1PR4	CXCR3	IL2RG	RACK1	TNFRSF14	JAML	TIGIT	KLRD1	CD47	PTPRA	TRADD	CD226	DIP2A	TGFBR2	KLRC1	CD247	CD6	CD46	CD74	PTGER4	JMJD6	PILRB	SPN	TSPAN14	LAMP1	STX4	PLAUR	IFITM1	CD63	TNFRSF1B	SIGIRR	HAVCR2	APLP2	SMAP1	CD81	ITGB2	C1QBP	GPNMB	RHBDF2	CANX	TFRC	TREM2	LPP	TMIGD3	CD68
NCL	1	0.121606526520066	0.252460304335387	0.762870786786594	0.185558204438881	0.352508352568004	0.319994336612129	0.235293756349222	0.0892383212507229	0.169400104601286	0.515949445146337	0.166730527365059	0.863738548702037	-0.188727644969475	0.143386422516322	0.0294384928019985	0.377496509413632	0.321637708389066	0.00836290526000455	0.414051482162749	0.401887629049361	0.845401374153218	-0.250749294546152	0.749023413406718	0.16679709227935	0.543069899071586	0.268762184150374	0.458069283750234	0.87084889099687	0.650409991231144	0.389371258745157	0.203783501593595	-0.210003723234972	0.660398334406233	0.728653022621961	0.572744566357076	0.0752436663590695	0.598678658062296	0.710182481784932	-0.178389222415931	0.0100428498313778	0.301872218528877	0.629947454788502	0.708576662272254	0.330782161522766	0.296078577919429	0.249317112117625	0.586815646889048	0.659682066147883	0.720232815471395	0.545116491864793	0.42767292525505	0.749824473851458	0.801044628888205	0.554006662311331	0.628040482782798	0.397177064818526	0.769398913736969	0.882406822701729	0.625545081968855	0.461600910258842	0.863977383599825	0.344828007705996	0.434763857557688	0.881978270569382	0.365105164258458	0.272150699272732	0.732571585028531	0.362838741781802	0.438912973960935
CD3D	0.121606526520066	1	0.382336479113025	0.1190507714813	0.0293031206472594	0.581245668985856	0.803016176519201	0.296308222151613	0.245119752653583	0.885400946212515	0.569012608037401	0.59263111147986	-0.00447938692489927	0.540194766714071	0.0210112806909633	0.604461027991937	0.722970379178208	0.13798399919403	0.707499464428056	-0.324226433796969	0.161494361617886	0.100206310406773	0.300497329953526	0.135428878048534	0.759089797066572	0.432091707904847	0.335693647799984	0.627494682598736	0.0453391353521555	0.0973544489628172	0.311026172433517	0.51433257508968	0.141833883730121	0.165202215133856	-0.078040571739073	0.0959693895090012	-0.0297872325739717	0.200282551049718	-0.14543434731613	0.303453871854161	0.259092179752122	0.472424329794136	0.0233443402722244	-0.14031005074505	-0.0652226959184544	0.0546527415214495	0.0890362899478903	0.465989495397635	-0.0138913908011451	-0.232747268471508	-0.288255046017263	-0.324074381566292	0.192031570027458	-0.171451119396769	0.0633475851638683	0.17897906370325	-0.162866484391649	-0.265034065075306	0.00699595180091672	-0.278670504313687	0.00599811208586608	-0.00840144640247954	-0.343442740130259	-0.259474049289709	-0.11933835415618	-0.383592880158898	-0.378302016647362	-0.190919031382602	-0.326499595473507	-0.298098805104513
CXCR4	0.252460304335387	0.382336479113025	1	0.197535831358225	0.267506900715866	0.704275293240489	0.60424429223466	0.692334670266302	0.731800988935134	0.429033356404717	0.608473885654464	0.237436765605454	0.184441344463917	0.35459002385695	-0.183058948930672	0.436759313509591	0.695182342752978	0.320948458701424	0.133694188821141	0.012254299492911	-0.178015856152822	0.229788193856828	0.39852908693172	0.248024104219132	0.388583939471932	0.356019760715882	0.301990464297243	0.360175992157182	0.251572496990946	0.30646597085689	0.255254275928219	-0.0132365985837641	0.209570614829749	0.120496140418642	0.0417797501801724	-0.0224260499238383	0.225186986556283	0.565230031540933	0.184754584461472	0.204693520175895	0.337419075033639	0.343103689304651	0.275850314604074	0.222945233785231	0.593578311163881	0.520183112735107	0.237775960957575	0.530585390337262	0.145964669486397	-0.0474009522369086	0.143076873173287	0.0590413108056406	0.248045826806632	-0.0921781010310339	0.443269742248492	0.36532411747521	0.058752925762613	-0.0897309096829547	0.20754097228161	0.00284221826139156	0.198402814793045	0.00847907843399337	-0.0428059457043972	0.0526133524406467	0.0859196524055508	-0.0127037470255045	-0.125763691536756	0.113096800610824	0.00922636790786113	-0.0338876132447155
RPSA	0.762870786786594	0.1190507714813	0.197535831358225	1	0.590116501812083	0.306551526775586	0.30187895338265	0.199789107036566	0.149415957353461	0.135783898159389	0.351670109998978	0.333017722300399	0.597025874236571	-0.316563441840162	0.462194789557882	-0.209794469251554	0.237384554557962	0.665764799470991	-0.219149258264588	0.261051717366153	0.536161295218503	0.670590231043059	-0.380901739696602	0.50940644491512	0.300936337343093	0.633138913189436	0.210873040235731	0.542615197726444	0.934029245717031	0.710503048447896	0.505639481916144	0.309710242257484	-0.238670791146267	0.83642212869393	0.284430439282747	0.731079118739752	0.197890334638986	0.195580003743482	0.588791902574886	-0.21905211400664	0.17603302592532	0.497324435749364	0.353214865544248	0.587862978641828	0.318905535424706	-0.033089529364584	-0.0376997164827871	0.499718267618509	0.442178106746036	0.449044733609465	0.272923581539934	0.220453414824113	0.691112889336512	0.4630747118003	0.183013912216552	0.344767618792046	0.111086298463727	0.412430441967958	0.625514792786748	0.281139214774466	0.272713294368345	0.893439371093245	0.105547167277518	0.153473440942731	0.584873327186927	0.0938970652571198	0.0477761705822931	0.460214232515145	0.0726071161035175	0.208882073527677
GPR171	0.185558204438881	0.0293031206472594	0.267506900715866	0.590116501812083	1	0.0536717101624035	0.190722625834172	0.41602466570966	0.600540354617235	0.0153150114522418	0.0133554135976844	0.219984880895303	-0.0824395257870427	-0.391087592410696	0.438450990103785	-0.480239308530116	0.0870482784889756	0.757920195251332	-0.299154228560149	-0.0911538744031262	0.0723749867521376	-0.00315620129009918	-0.427599586715844	0.0313834906790069	0.192780256946065	0.413677968746621	-0.22675388011037	0.0912364472472009	0.394818182976967	0.173340370701785	0.111444707106817	-0.130558444599908	-0.384292133701373	0.431116756241468	-0.258022406021367	0.24769925433324	0.560356148679595	-0.20553573271259	0.0717124270892539	-0.303841733400872	0.0975772238946424	0.610056583327281	-0.136077643149661	-0.00724826927708717	0.255015551741319	-0.28144954359377	-0.393996120893903	-0.0248952387980926	-0.162407666950282	-0.19560779248059	-0.174219968913968	-0.171128750662072	0.0684860343196976	-0.176359507400952	-0.314407898085204	-0.27635081381144	-0.325205061237588	-0.16942470914463	0.0743720911504477	-0.286305877678426	-0.292630113265792	0.282602011876962	-0.235609807610836	-0.306713687973338	-0.0127179880979334	-0.2305025988017	-0.278509470266685	-0.000964182439547528	-0.284520230028122	-0.240921758851247
CD44	0.352508352568004	0.581245668985856	0.704275293240489	0.306551526775586	0.0536717101624035	1	0.726383495190467	0.426979949470987	0.297303886825074	0.591425870299905	0.70724799419844	0.570374713697461	0.335985443400988	0.632975796409419	-0.209381151964373	0.581627401541834	0.732179132445038	0.108879216103038	0.404651212940482	-0.0207040170165998	0.249919498069166	0.435458327958526	0.451333818318943	0.433391902753393	0.603732640552601	0.444123970336242	0.453896475178358	0.611039638294403	0.373345411118163	0.432894536474606	0.478074205285716	0.327457651882117	0.282693799023373	0.254242573177883	0.157725290393574	0.346675198447148	-0.128592467478686	0.516386001190621	0.290708496329523	0.19955971760661	0.507139843213755	0.335164946033153	0.357164552644562	0.307941965161545	0.343756037129331	0.588350385511537	0.485720783731144	0.70356975209054	0.29842394930046	0.203546516988561	0.183223810152516	0.136597660967086	0.484936528049178	0.12721200765292	0.449235966619562	0.490519553589004	0.147430462106102	0.0691155202343687	0.278468831581344	0.149144314785831	0.46086357678487	0.208106845085529	-0.0360626418773413	0.112316564415289	0.208020965808746	0.0291907420521275	-0.102127919681656	0.230541801054346	0.0133026323074913	0.0771589243711379
CD3G	0.319994336612129	0.803016176519201	0.60424429223466	0.30187895338265	0.190722625834172	0.726383495190467	1	0.609386748577333	0.386845240365591	0.867566949717176	0.634219889481454	0.576706448536391	0.260458339809637	0.461310426971453	0.0759899630840424	0.540177204041236	0.859647517700554	0.258320020672662	0.444790053305911	-0.100810267612386	0.225878026977274	0.293002369598772	0.224983315032068	0.347468420467226	0.70431970613391	0.621209557187087	0.43060322306647	0.707301579103388	0.285927776053038	0.353174646851444	0.313666356952183	0.338001689106517	-0.031158389970148	0.301776558071739	0.0808234296105093	0.258831569106412	-0.0489112118973362	0.370967537449043	0.155015518140713	0.0291136039263774	0.310996262068685	0.652526243442578	0.329327363653259	0.0973912566576725	0.19570636023398	0.263409477463216	0.318703995680073	0.677757838892094	0.138506066665525	-0.0373059362765064	-0.0422577936173917	-0.152512815934126	0.425585003019041	-0.0189142424923045	0.307594759295751	0.43223560665959	-0.0291531121117354	-0.0862424722233764	0.205685107021486	-0.072236791801714	0.165391576060031	0.124514390830276	-0.220586937523704	-0.119739106170785	0.0941837348885747	-0.209926938380786	-0.282579649072756	0.0555034474247513	-0.149776464154062	-0.167619246939203
CLEC2D	0.235293756349222	0.296308222151613	0.692334670266302	0.199789107036566	0.41602466570966	0.426979949470987	0.609386748577333	1	0.70003253893112	0.429608736335355	0.236617966368782	0.202928455382778	0.178204840029568	0.0288227891678702	0.0973771517015689	0.0636634868092642	0.510051695731777	0.394239364888376	0.0476511887809869	0.0593126962979902	-0.118445215369117	0.143452739643547	0.00873392917730588	0.350888536996743	0.229155883583607	0.405863588672663	0.121547283800626	0.195829332517181	0.226260336183229	0.241820243372252	-0.0729086387905795	-0.205955000399635	-0.258519792187468	0.103226189797854	0.105360970639901	0.00558722391105636	0.371918452899429	0.336651885776113	0.242993468270376	-0.345621539614539	0.0444425875610168	0.504553223834915	0.323723413416644	0.064786764822949	0.487658374069172	0.20463952422882	0.175301590248886	0.336027890860966	0.072675635515381	-0.0191181314283533	0.0631363854968031	-0.0322008050160578	0.223649972881467	-0.0505343573153627	0.290550342418338	0.237425042933908	-0.0414310218520109	-0.0198635986197321	0.22725281180154	-0.00395875023730416	-0.0486255631910021	-0.025555481874224	-0.102503566063039	-0.0436302458609817	0.132519180399557	-0.00541037027514843	-0.169778824245474	0.177796560202351	0.0224789507161891	-0.118466740842917
CD69	0.0892383212507229	0.245119752653583	0.731800988935134	0.149415957353461	0.600540354617235	0.297303886825074	0.386845240365591	0.70003253893112	1	0.211998263694665	0.275402928311151	0.0172094484017355	-0.120174156424349	-0.0635521639888449	0.105642992831166	-0.047066605324797	0.398732956115818	0.511461827083577	0.0587337616228954	-0.119806918822496	-0.370770022248835	-0.0679086807094058	-0.0118629525388577	0.062404788035551	0.245021946844852	0.224784350986464	-0.0975694411950244	-0.00864733287077563	0.0898855800676605	0.0107953449338271	-0.0158041384076942	-0.159295325987402	-0.122742132826802	0.00933791680198827	-0.153524715978602	-0.183546441394137	0.512265471050738	0.254570019090771	-0.0760950654738024	-0.0397635570399836	0.0279630237303894	0.396664152304236	-0.0409487607936352	-0.107750107439576	0.51843819784008	0.0500480123676917	-0.153446479078833	0.110841876773058	-0.13395289712996	-0.311675685843987	-0.105475807399931	-0.152007709248737	-0.087964881530429	-0.312527022712022	0.0282473907047213	-0.0653120094279369	-0.252609555969483	-0.279532299973684	0.0569824412490099	-0.286135573940333	-0.258980134399663	-0.102778963726995	-0.232649021990643	-0.21168013827341	-0.0995967305294818	-0.161172152458936	-0.294932406938388	-0.0719837905036427	-0.196254935227113	-0.266177936927443
CD2	0.169400104601286	0.885400946212515	0.429033356404717	0.135783898159389	0.0153150114522418	0.591425870299905	0.867566949717176	0.429608736335355	0.211998263694665	1	0.533173451527401	0.556773883671221	0.147725445642274	0.439270988827118	0.0604576683407336	0.649743557834234	0.800755947647188	0.198664693604355	0.503963669591695	-0.207394341517195	0.170104720525667	0.195094031758872	0.285709461254262	0.248099257767577	0.702776817369918	0.430222096632633	0.444840011442708	0.706098871537724	0.117904875657196	0.260447508078393	0.27080614401335	0.358850730291683	0.0699042572506313	0.222626078766632	0.0477181665255495	0.168992791875539	-0.0755371883177781	0.327287575943083	0.0376323147035092	0.162092792272736	0.327246954684934	0.567373383784671	0.246519552884389	-0.032877623330579	0.00149989243040321	0.123775669524329	0.240839140002067	0.552895490186869	0.0547978288534696	-0.132055624850848	-0.141645214831916	-0.246868676880987	0.321616749196866	-0.106382535108561	0.214480011683465	0.404879578542618	-0.069323633319557	-0.17928797650094	0.137375936540979	-0.157610127877629	0.0701828752225962	-0.0114228498068954	-0.284275723885666	-0.170913130810436	0.000347651425174501	-0.280339095675091	-0.331088454156195	-0.0697975038044121	-0.220644047782072	-0.25919161447695
