""	SIGLEC10	LILRB1	CCR1	LILRB2	C5AR1	HLA.DPA1	CCRL2	APLP2	FPR1	LILRA1	PILRA	KCNQ3	SIRPA	CANX	TNFRSF1A	CD163	CD9	AXL	TREM2	VSIR	CD4	ADGRE2	CD86	CD81	TFRC	TLR2	ITGB2	ITGAM	PLXNB2	ITGB5	ENG	CCR5	SDC4	HAVCR2	PECAM1	CD40	THBD	ITGB1	SORL1	CADM1	TREM1	PDE1B	TNFRSF1B	TLR4	GPNMB	NECTIN2	KCNQ1	TRPM2	CD53	TMIGD3	CD74	ADORA3	ITGAL	CXCR4	CD99L2	IL6R	NRP1	SDC2	LPP	INSR	PILRB	IGF2R	LRP1	ITGAV	CD47	TNFRSF21	NOTCH2	CLEC12A	CD44	PTPRA	RXRA	CD72	SIGLEC1	LTBR	PLD1	TRAF3	TLR7	TLR6	CR1	ITGA5	TNFRSF10B	CD300LF	TNFRSF14	SCARF1	SEMA4C	PLD2	TLR1	RIPK1	UNC5B	ERAP1	ASGR1	SCARB1	TRADD	ADCY7	ITGA4	ADRB2	CXADR	TSPAN15	NOTCH1	ADGRE5	SELL	CD226	SMAP1	RACK1	TSPAN14	TSPAN17	ABCA1	RHBDF2	MCFD2	SORT1	AMFR	SLC16A1	CD33	PTGER4	JMJD6	TNFRSF12A	CD93	CD2	PTPRC	EDNRB	CD63	S1PR4	CD3D	SLC16A7	CD3G	C1QBP	CD69
SIGLEC10	1	0.766832858238217	0.147162414423631	0.44248169508551	0.302530795924146	0.789772610173592	0.119046880922043	0.235770471692789	0.751644575010953	-0.230023829325037	0.312258349831373	0.762659337563749	0.515925099593956	0.723053104031709	0.76937441530078	0.650613014948344	0.525815997410789	0.948047623943619	0.796339847634885	0.737554887099238	0.848027700435423	0.707906668545475	0.850692363794397	0.781982719013563	0.280944168201755	0.799232811404862	0.757383948907769	0.758274254295774	0.890254385914412	0.761457252460875	0.814072548591175	0.533702822035862	-0.163923809364302	0.771269472987926	0.641980375081133	0.697478935997699	-0.147246676802837	0.674989616930791	0.868686323719706	0.859347478108038	-0.0956578952828991	0.564301388854791	0.682103736590667	0.379929508977431	0.0929296220035208	0.821003511497681	0.885469779792289	0.833532401793596	0.817362625991306	0.300910821594625	0.936573412908848	0.799593785074589	0.711127376872948	0.592732228302375	0.460600552543563	0.697409112378827	0.614853410814797	-0.184328471499577	0.693829020276302	0.0674172105648836	0.688282960277999	0.112028159661971	0.459181219878658	0.849975100647444	0.611636581241697	0.0968080689652006	0.3737616596246	0.492855057857108	0.209185392640703	0.720054076730887	0.235839719078362	0.563606637035397	0.266680402295601	0.846148728954773	0.279166561918036	0.626018266856513	0.874722280759918	0.661513027075199	-0.127827092808936	0.258693797607064	0.807912606021521	-0.00367302309805474	0.341315468093313	0.732396213618328	0.846888739156934	0.805094276405543	0.886778020597377	0.767618595071411	0.845123322540699	0.672744396102863	-0.0616207877362208	0.51418674429693	0.759343025553365	0.939180387200001	0.78515390637408	0.846762666540644	0.76582746321105	0.816187201936284	0.758148095496352	0.560817437284112	-0.1014194640603	0.413568694125457	0.675401808973671	0.637627541370067	0.594208861719012	0.701758694719088	0.372521256746945	0.868768545267176	0.398810758004096	0.438793269831544	0.580011739981424	0.76576510470931	0.767475698209238	0.842851992989268	0.738896899539909	0.451697672493336	0.000349707464963037	0.150403641891953	0.792428596864736	0.00736242786639528	0.403820385300712	0.105554528115712	0.188844805349435	0.0956458448043424	0.107462407413209	0.806983009259153	0.364994640495019
LILRB1	0.766832858238217	1	0.28743702133022	0.794147573532702	0.633309175229502	0.386296349719721	0.427687903588806	0.276968096559568	0.890588721106806	0.226904961807457	0.346087934829105	0.684292675770515	0.505418371270826	0.658469898755341	0.751897884852273	0.745066974557453	0.417575626005132	0.681463515851442	0.651895782229166	0.734514504358422	0.693182086338004	0.884867891753135	0.654425663623386	0.607153305798488	0.391892540734439	0.931687912782078	0.595515743509476	0.852238819919684	0.834551394956078	0.639332814132672	0.771785662504745	0.561285353873138	0.0976992350581152	0.655329621861598	0.703225153402169	0.378582593248651	0.264708367987199	0.631124724622003	0.782284896419113	0.654865481227149	0.258797112763838	0.467352233043898	0.860878806304327	0.537302967684571	0.0274939524798745	0.664310001859623	0.731606488200292	0.692354064426242	0.732093321775058	0.268311390522562	0.583206876364689	0.647059310133656	0.693763655953925	0.473064069457913	0.34123491682808	0.789246310414029	0.520958434290243	-0.138985021538551	0.613655709770851	0.02665810843378	0.605642748365988	0.123863749336589	0.408667982865379	0.781480371101424	0.502637280375613	0.109488743990695	0.328023752198367	0.534726694800595	0.530812305537593	0.710655078545126	0.648153028108701	0.349108624490458	0.150338347929256	0.70672354369797	0.370493163217511	0.703055899424128	0.729093287447709	0.719932776823517	-0.110605382573179	0.469127357135203	0.740512264880338	0.123827167232625	0.292385721993166	0.467420701373094	0.6723539590255	0.738650402069412	0.79396567877452	0.684823280844647	0.720081309226868	0.599008433502153	0.283470956044033	0.362114586697322	0.547849367047365	0.75710366486599	0.77759854024114	0.809478904844422	0.699419445420023	0.610695957530734	0.735696995371101	0.757785871961985	0.0224581101594943	0.114135894288554	0.594762342708116	0.535722187695326	0.650763377628763	0.681798496031925	0.347366913240094	0.791509338168112	0.332788109453136	0.393852954221356	0.447100333620169	0.720272892592341	0.720367245847331	0.618530253511782	0.714462066649556	0.43489863186127	0.432692670735934	0.184555689961649	0.742926447985641	0.194330197041689	0.326189702439988	0.178351472100929	0.221650253392439	0.468823918784581	0.17509717196913	0.634815384698371	0.277082260373614
CCR1	0.147162414423631	0.28743702133022	1	0.340420994456488	0.768937782690607	-0.0611609561473578	0.768620831544176	0.906036090491742	0.248751484172147	0.0675073708501127	0.858041355903173	-0.0441605933119135	0.83605774522089	0.715827363620189	0.621576118524335	0.727215363287071	0.758344530842017	0.13115511229608	0.430039764441565	-0.0674543143317268	0.493767842455111	0.119687864090503	0.477487970629555	0.562271416173387	0.878087006916266	0.2443646759677	0.653048190681828	0.4532243531759	0.289941528834276	0.448384469774073	0.480744583363571	0.569535956229588	0.709221308617395	0.671661966155931	0.647171689576807	0.302817932604681	0.439710618681	0.709710371028477	0.276082315141462	0.33601782456951	0.554300818998853	0.778715876496872	0.46822191948296	0.822115891475743	0.838142448051998	0.447245032781583	0.0862317904895006	0.38051043397397	0.598943593707255	0.859164271478393	0.0390264210436015	0.509664068592412	0.283533394319236	0.0254764859748824	0.769634142935623	0.636150722445542	0.687873013644562	0.809724870112145	0.631938763506393	0.100931416202041	0.363430906928927	0.886209607652025	0.804155676953345	0.233054101848307	0.648461858894785	0.861802459883616	0.825437762893026	-0.0469020923162844	0.739651019396571	0.562553410558344	0.675111454542846	0.698238527284719	0.758627150107119	0.484277945211107	0.884870200974354	0.615677892290159	0.17023518459522	0.592893980403697	0.856464306901859	0.770347413193615	0.158321429449642	0.784621854108207	0.860149311417137	0.0828357011531948	0.143692178716609	0.320437364928602	0.36510470070214	0.507719381342569	0.00069992219297163	0.600931050764535	0.709274271189423	0.744246558228652	0.482575205034575	0.321029567858918	0.107086523681487	0.251822510356541	0.0975103739115226	0.307027246180051	0.158055729190977	0.219328367683751	-0.0383428667018361	0.190769089263783	0.638162707274652	0.423966486584808	0.779397894145734	0.612490634819948	0.877076966061817	0.248522543031429	0.834553579244963	0.73583743914569	0.693392218978586	0.413623213853296	0.612981106259011	0.101887819950663	0.297336575152923	0.327226521778458	0.00358199659151896	0.0637098625516353	0.25494832227228	0.709483334443871	0.830834424973772	0.0425555069850661	0.0577383833786609	0.188610394820766	0.0916090824468866	0.340391267781471	-0.0490501068936892
LILRB2	0.44248169508551	0.794147573532702	0.340420994456488	1	0.693368140680935	0.192223868439505	0.597967692011046	0.279409818673688	0.785189993537564	0.582231317204443	0.375957478296504	0.269668028021009	0.3735381461566	0.4429008503294	0.563322574898663	0.585301864433324	0.242236789390759	0.3026832544623	0.286438399827936	0.635965259703848	0.392654286365489	0.746038762283119	0.457337980532134	0.310868985398774	0.359445012001123	0.7338417761532	0.371129779907408	0.661084906537426	0.534991365470392	0.28169279200008	0.486390039995647	0.42698303874416	0.420840095741075	0.407752593805836	0.555581242310529	0.18024994389103	0.579119408398053	0.409269643873354	0.408061358406475	0.26297543728436	0.556415765613816	0.266569323249687	0.730810531668016	0.531920102851538	0.0428069816519675	0.465680010905319	0.364679301315889	0.3640338147424	0.525456669481779	0.182096380799327	0.286758831331293	0.332775071581982	0.413286597180498	0.407859863179975	0.196275837651632	0.618888103179034	0.236105076266101	0.00169286802215875	0.373814363625238	0.210937294415415	0.336633287135605	0.158566961987962	0.267731080220857	0.385600962177533	0.369399580882733	0.190781246700229	0.319476063285412	0.580817100166074	0.64684891319856	0.489680130127503	0.74447180762514	0.189563168917618	0.0523832106888812	0.44453878134546	0.330281654112774	0.587745416123203	0.36965287702827	0.656304097582758	0.021811355044842	0.556731010836689	0.535171357676169	0.344886696743884	0.289014344941686	0.309017099048068	0.39102266716027	0.384977439330199	0.499028253493161	0.389611746574814	0.309109790455859	0.440204402685988	0.568319110539492	0.172914843030773	0.335195572682897	0.445185130527729	0.538643876658674	0.45154279322509	0.27252426812958	0.27435963454664	0.511659547274572	0.693469920272824	0.218392271758654	0.0360722559090634	0.412841481634795	0.503532865990861	0.533148504218269	0.499324350077907	0.236362007357636	0.435572936005448	0.2648860328932	0.272182739602249	0.219604141896833	0.387811236098506	0.535055015072245	0.33851025478663	0.519574951393265	0.20143782354693	0.697268946593625	0.0800342599481301	0.539569293299034	0.325691022301796	0.213913684288439	0.329935103426034	0.0709747800526784	0.571946216838397	0.0721677959628335	0.463781608149513	0.125800372132217
C5AR1	0.302530795924146	0.633309175229502	0.768937782690607	0.693368140680935	1	-0.00756859849511368	0.855793357166026	0.731833729298925	0.560979931768293	0.328721161275905	0.733502466134937	0.205362658274652	0.725192976229326	0.683860225334997	0.678012975973619	0.795618298832249	0.613427100337385	0.226894927651234	0.43006073472398	0.257130476841894	0.485638775913407	0.514673852448644	0.493270627345737	0.514629952050528	0.773244892841285	0.597709014678792	0.591177944664448	0.68547528982273	0.485014160467898	0.470672532335283	0.553737218260957	0.606884094732272	0.65208711196281	0.613890922815881	0.757777864672405	0.227482101893614	0.598992442553666	0.697139440948048	0.423945634646343	0.377792763249494	0.69067312928927	0.63240938435673	0.728474261350108	0.798982675881595	0.539885980701773	0.472371275452991	0.253461159689449	0.426646372433989	0.630853327763262	0.638030398786047	0.128827662989423	0.488017283471181	0.402616652881023	0.192474644048707	0.542636101132757	0.752397242231088	0.534489448583285	0.524699640292388	0.615591012648143	0.0488775265198517	0.445651650909203	0.645430527754021	0.651356237890072	0.406034237819636	0.571581369856004	0.63122509975672	0.665911169280755	0.232073406927356	0.849993586288661	0.629104101593685	0.878294597556269	0.499275273912422	0.465354043952517	0.492367758793391	0.782729836452856	0.680262223966609	0.312341712783371	0.693661905868334	0.521907603688257	0.787614378662448	0.396147304308401	0.628196167640516	0.654392691441526	0.190011411376515	0.303853828155023	0.436414632337696	0.52322983603442	0.576523788806881	0.228913614595006	0.565837411737014	0.783349540911234	0.544029617450524	0.456472786546709	0.433811692151452	0.318889980922377	0.455181448959762	0.251975437398672	0.309353132318381	0.390601943925541	0.532457668090141	-0.00612576641496664	0.0735760850314208	0.60086912009006	0.465865285872984	0.785978463571269	0.641079448478228	0.70549023433052	0.435379449457779	0.658459347055626	0.605997225353986	0.558797521536213	0.502649725798988	0.621707827496601	0.241976749950999	0.467128417650714	0.353710408684324	0.376767834614499	0.108892214582246	0.442263976401363	0.67583817520496	0.634675935113481	0.132317954173342	0.121047957469838	0.409197124151388	0.146517918317743	0.386775824097538	0.0372054391303403
HLA-DPA1	0.789772610173592	0.386296349719721	-0.0611609561473578	0.192223868439505	-0.00756859849511368	1	-0.0648143259605414	0.0392798273920029	0.509557920705427	-0.165823077814266	0.139028694776149	0.416650753342068	0.202890489783508	0.437286431260829	0.440684640140158	0.242466727307092	0.277805374836824	0.719512707401983	0.403498117446991	0.684200372138441	0.537020375278441	0.476808344744468	0.72073739688521	0.457453773341012	0.0882938019114655	0.429087247043769	0.532156613217454	0.369859076441006	0.55287676895644	0.374896101911722	0.441210134407836	0.382109128516011	-0.155362869031783	0.52843056362699	0.298382285967612	0.781977810743459	-0.092899493287983	0.407878665837552	0.468712159714547	0.537141538011409	-0.0703050294367636	0.313554021416112	0.400811373180272	0.0648285900404267	-0.0268310146576992	0.633347454032972	0.595542685740288	0.441586809629575	0.547913554004739	0.0674556341770968	0.919185081222062	0.436750857083504	0.511460801633176	0.737477908449618	0.293103502791201	0.433841327508684	0.257810517143388	-0.180198669507647	0.471563396257256	0.384923055102609	0.507328179966335	-0.0319047607381327	0.144304932900298	0.432427011522082	0.533131307747244	0.00468771339088106	0.287244089944712	0.545764802222062	0.0407028118975753	0.45395411590902	-0.0657128495813023	0.475376048638231	0.0378202908436978	0.535491068809022	0.0266312359058807	0.395128558235732	0.498018291716527	0.455338969868774	-0.169002175775417	0.106005645078578	0.732662975068139	-0.0375312200516567	0.225058014654187	0.820652971744369	0.663622668433697	0.494999455537516	0.588248363619417	0.518615859006515	0.500527420644428	0.477154822137173	-0.170401191685049	0.262101154929984	0.696968636101648	0.705951859243381	0.631972115038366	0.512713601680661	0.398182270820054	0.539898432031879	0.580452866765787	0.425483347007877	0.14152350721773	0.715359156563454	0.501000820981309	0.720322183566284	0.286720405143849	0.411882294295196	0.114120439308177	0.523897039458302	0.240303620078047	0.225156037904594	0.34795125067116	0.423870225368115	0.513939544079654	0.841318450481091	0.622677073785447	0.248621106858807	0.00534585881091854	0.157002859277338	0.695323970486177	-0.162325506358439	0.18030730700273	0.375672884500852	0.164414177079472	-0.0171028845770727	0.100074132577211	0.808549462204328	0.476373244877656
CCRL2	0.119046880922043	0.427687903588806	0.768620831544176	0.597967692011046	0.855793357166026	-0.0648143259605414	1	0.729354645131704	0.41245935954467	0.420237321326567	0.773164635451184	-0.107072969532202	0.648231691147637	0.548758920883248	0.509878419538885	0.625627427739513	0.567150864589143	0.0508811743466809	0.256513874166674	0.104263890779483	0.290148057823857	0.322383961391833	0.381191612144553	0.385763822399564	0.723889943926267	0.347234419014112	0.467210856728544	0.442145095133578	0.228507444207112	0.229660284078453	0.3602938741795	0.476077120342545	0.804911740466746	0.51017595725809	0.604783841788356	0.205596059678804	0.653007125426575	0.542745213897757	0.171723780938832	0.152792104886879	0.773393206125401	0.539921824963122	0.534125565230911	0.735666947345559	0.613130603294915	0.357429550799007	0.0112319066244604	0.215403557268688	0.493342869811661	0.623645506625756	-0.0308241604577814	0.331676452440991	0.234268848982402	0.163738835639336	0.454038820625572	0.593257694446642	0.359674001633024	0.590207707707837	0.459147196369608	0.175650066824948	0.233192239257831	0.685256997221653	0.57443106465498	0.132451315358987	0.500436414417593	0.668213665095735	0.684850380681597	0.17001125161916	0.817254956560725	0.469496510702035	0.784575859322759	0.489991736531795	0.44805554999457	0.330473691899183	0.731733704056325	0.565800127005262	0.0676456953593244	0.581564848276599	0.612439699344349	0.73017545251037	0.227285036075937	0.772012980343084	0.680039674260489	0.113536928134254	0.0855568922675236	0.217908682645193	0.288149577490979	0.397542292954387	-0.0678254005507191	0.461258255824564	0.809850520453781	0.487681797722912	0.351221501399662	0.224163028826813	0.130104631733859	0.202254024582184	-0.00934577850152231	0.123039048781288	0.181712684657654	0.379004170252509	0.0851738787873974	0.0833959215832148	0.515467159876161	0.459063305440477	0.683750758141257	0.529478894962266	0.634576259262776	0.1635727205096	0.63846085746293	0.578211940922689	0.414382456694207	0.238572915218651	0.493966839265078	0.108998632433705	0.342037820731228	0.227817264752634	0.370310950542032	0.0190017002446739	0.277568143515968	0.682343565685399	0.625296133626981	0.213089938512935	0.00403110280700692	0.373863793275017	0.0631062691352655	0.31995195210342	-0.0353886053628006
APLP2	0.235770471692789	0.276968096559568	0.906036090491742	0.279409818673688	0.731833729298925	0.0392798273920029	0.729354645131704	1	0.247618603445602	-0.0681264388034296	0.908865233749529	0.0427067729283852	0.90944337091215	0.80294887354107	0.708346913571356	0.768239294015492	0.888403913073847	0.229333354217723	0.522511299034024	-0.0341457005286628	0.590504963923298	0.144670314323729	0.592618889609751	0.694077595231273	0.83278936248326	0.272620690621303	0.784437670576263	0.464456316604727	0.375385031616066	0.570097565955996	0.540997351311994	0.587992480297501	0.653791356118576	0.744513848637436	0.722065908549094	0.416927491788317	0.306140435141591	0.80479552804687	0.349636937244653	0.451633012711794	0.475604696102549	0.824388719760712	0.496427996521705	0.800012378195685	0.93824101039138	0.562627187960348	0.159279712504405	0.480104310382259	0.708140154962355	0.914121386534599	0.157791165929659	0.604909423453891	0.330803047674988	0.094749982950219	0.839912489173825	0.65834857859908	0.717258496014908	0.832368928868949	0.730564799217714	0.113864493337036	0.479718825653889	0.974933746841444	0.892031483013918	0.326388883077113	0.750357825529599	0.897680218837001	0.925775043661024	-0.0606264678999429	0.695115339077167	0.659455090359041	0.597929709834826	0.811021865752534	0.803604451935276	0.5496389088443	0.915382447845046	0.653875588828771	0.278538750731362	0.610581245779668	0.865323907920605	0.770386632726396	0.214954656106132	0.82791791098547	0.932032999640526	0.182303468699524	0.254231932141551	0.385352442674403	0.466229908003041	0.618060404587796	0.0887081692419219	0.717212947442415	0.646975855582104	0.851337518139643	0.59928797460029	0.415853038633797	0.169376469966489	0.321347848390245	0.158433766593458	0.44754998811987	0.253627425755298	0.222529694935358	-0.0811679013740352	0.196296854864477	0.743093716455621	0.498261509180926	0.830974731128304	0.666045896087396	0.920765877928148	0.34374129348827	0.955061141668116	0.896438751276292	0.789772405926768	0.496680524598585	0.688850996438295	0.194980483870415	0.347494217267298	0.463734528671658	-0.11083746428626	0.120013343336492	0.336296809593508	0.683789220185028	0.951018270955114	0.0366603408838347	0.112882156090005	0.146312009194836	0.143152911209797	0.426263709974264	0.0208841406504996
FPR1	0.751644575010953	0.890588721106806	0.248751484172147	0.785189993537564	0.560979931768293	0.509557920705427	0.41245935954467	0.247618603445602	1	0.300190167142661	0.329720419197711	0.610452112891141	0.439785041217958	0.614807620773662	0.697648617501224	0.643761240704916	0.374481144490516	0.637365641550822	0.554148673990727	0.829093776714645	0.618383732472479	0.920657795856941	0.704768720494467	0.530146396478417	0.342516506436578	0.863191853545752	0.589725035124106	0.792540521543287	0.764989098692607	0.532911728943814	0.691302713044885	0.57170719706377	0.122054552890242	0.626237414326297	0.586792437483868	0.419816327197527	0.318149539348952	0.573668554647741	0.689857819183923	0.530212992799543	0.391039118237638	0.383119674740612	0.812074495118496	0.427601357140983	-0.00772366810077552	0.70203952755402	0.679236381239199	0.594381789306587	0.725140975543612	0.247682291568635	0.628626831989041	0.551671473343709	0.628632580451642	0.623263733519488	0.269881636505791	0.768832451163992	0.390150076129002	-0.103553809127207	0.551351620540025	0.24520080065591	0.571009562993262	0.088538688955216	0.30974762775929	0.656618845452291	0.515839165127038	0.0794133111291537	0.33997366953245	0.607131304757637	0.517218872202876	0.651515472249497	0.563608152120129	0.350922895873588	0.0188820816228996	0.668459750452723	0.296021491488998	0.667804419074713	0.644389196669265	0.707742050415148	-0.116676499364668	0.502572086231379	0.814979101928755	0.17693666126136	0.280332230027452	0.522222819151152	0.704503160258437	0.6743469612772	0.752317991145301	0.608011384534689	0.642793009657709	0.574344715972657	0.307218867417323	0.266673761259444	0.591214692148386	0.718557099792418	0.791812555307033	0.751918877717871	0.591649646518497	0.506273386061464	0.72098538550833	0.7569930206173	0.159093965898866	0.180001519406775	0.591430508610536	0.644513773564508	0.582451964945201	0.619702799945071	0.247394203077539	0.755338276481567	0.320762477457717	0.381885559147982	0.375761747183635	0.606483704781505	0.699589414495502	0.706240186389157	0.719546694459409	0.380353573127415	0.512858063023963	0.133351207182687	0.775914081174274	0.104011795651393	0.300054946855646	0.333395893134269	0.137073659150206	0.408111244867274	0.113817787751379	0.71416611452413	0.319282148900501
LILRA1	-0.230023829325037	0.226904961807457	0.0675073708501127	0.582231317204443	0.328721161275905	-0.165823077814266	0.420237321326567	-0.0681264388034296	0.300190167142661	1	-0.0198598636086721	-0.368438169234708	-0.205857233223314	-0.201087110069907	-0.137273190258007	-0.0846268013499065	-0.301145780936789	-0.420322811033136	-0.457301469502114	0.295089242810151	-0.340914464169811	0.325037807340724	-0.174989691399497	-0.411820645539319	0.00588523119401854	0.0878109334357348	-0.273639367377473	-0.0507443953455548	-0.198849657992744	-0.445655238289963	-0.254359826424256	-0.0096178012070147	0.488972285191775	-0.215412964275455	-0.035883969882436	-0.231407900190418	0.778866174120586	-0.198352408117427	-0.361595881315264	-0.473403409796627	0.62770797874454	-0.279942799571148	0.234630086570239	0.0849293107765471	-0.203661996057069	-0.210399654009814	-0.327205656748434	-0.419963641570442	-0.149871454202362	-0.23841838383603	-0.313005855282879	-0.402907576079703	-0.0541370301938458	0.204880395214669	-0.282428612670918	0.0870505440112343	-0.429827857621354	-0.00689932007528031	-0.218831448483884	0.438599190949546	-0.204221793738675	-0.106809262512091	-0.317648692618786	-0.3679839383114	-0.0903101415755122	-0.0660189033300756	-0.0358151974236174	0.464117655088308	0.453926361744928	-0.0972391220175523	0.489391557650239	-0.273528333478464	-0.377723497443331	-0.298980344461857	-0.0572540984254846	0.0806858203474357	-0.403196426972967	0.165151202577347	-0.0509748319981574	0.336521400683471	0.0678780596037972	0.290805121671326	-0.0544854220677082	-0.0412253393540615	-0.269598604300488	-0.301177500416297	-0.208996435298663	-0.208282874657841	-0.390065825954417	-0.125455107110803	0.514755943565453	-0.381573272212643	-0.177204843431456	-0.2665602139847	0.0723318548877306	-0.220887461829897	-0.374671080605828	-0.445616555855203	-0.00128486616023602	0.414299648566721	0.621981701957749	-0.0503389649468039	-0.0970256732014449	0.201514660112985	-0.0466776167686376	-0.126898593594771	-0.254907478858666	-0.288099055472195	-0.154883139116689	-0.165501751834795	-0.355263969192687	-0.291321543748272	-0.0914844954323851	-0.0951498900411532	0.0881287824767683	-0.191763746247853	0.881831824799728	0.0316978649802833	0.0903604598179011	0.0778628703708962	-0.257919297263749	0.525709483267298	-0.0232906457088765	0.61570549832792	0.0556252150076313	0.0227129248247252	0.031254823886172
