""	CD69	ITGB2	LAG3	SIGIRR	RPSA	CD4	IL2RA	SPN	ITGB1	ITGA4	ITGAL	CD2	PTPRC	CD47	CXCR6	CCR4	CCR5	PTGER4	SELL	TNFRSF1B	CTLA4	CD3D	TIGIT	LDLR	CD3G	IL2RG	CD82	CD44	TSPAN5	CD96	RIPK1	CD7	CXCR3	ITGA6	CD28	RACK1	NOTCH1	CCR6	CD6	MCAM	ITGA2	TFRC	ADGRE5	CD46	DPP4	C1QBP	TSPAN14	ICOS	LRP10	HAVCR2	S1PR4	CCR1	CD247	SLC16A7	PTPRJ	SORL1	CD226	CD74	CD8A	SMAD3	SLC1A5	CD63	CD8B	SDC4	KLRD1	F2R	NOTCH2	TNFRSF14	SLC16A1	TSPAN17	CXCR4	FZD6	IFNAR1	PDCD1	AMFR	IGF2R	ADCY7	CLEC2D	ACTR2	NCR3	RHBDF2	RYK	PTGER2	TRADD	CAP1	FAS	HLA.DPB1	TRAF2	SIRPG	CD151	NCSTN	JMJD6	PLSCR1	SMAP1	PTPRA	KCNA3	LPP	STX4	IL6R	TNFRSF1A	CANX	MCFD2	KCNN4	ERAP1	APLP2	LAMP1	VSIR	PILRB	ITGAM	ABCA1	CD81
CD69	1	0.335213486376654	0.077792079133561	0.635650011345743	0.83471996435621	0.425368218942889	0.191757450495978	0.369194538453895	0.679246107042587	0.665133213415623	0.342461217292131	0.376524260127185	0.639476602621425	0.774471978982978	0.193200970230599	0.572724156645904	0.203044578328438	0.869689113062158	0.61339589029491	0.411178093941984	0.390140860573263	0.608540471131417	0.362984684032513	0.761573265146482	0.649491476200658	0.334126101601464	0.389816159261461	0.675726473996639	0.620657740326849	0.338784125641328	0.57878957552412	0.424698081076965	0.170963208817003	0.550734737827934	0.547173056839132	0.818192479029643	0.69880022720652	0.509267682747404	0.502201759223724	0.272729532734277	0.115273065209172	0.363500982769698	0.269938315682859	0.505891519834063	0.46267663650177	0.75536475166115	0.632374650076071	0.671583775534518	0.698080609108026	0.054460580463066	0.765927029181711	0.0588648590724032	0.545641774999986	0.755571216962893	0.260763368234241	0.574490203624441	0.306865905533758	0.218736227458972	-0.289625057100452	0.712725512761595	0.623051198224291	0.349006471674174	-0.190839642590022	0.197932669560765	0.105810327164365	-0.258213326943586	0.389658797561764	0.845341841940292	0.432552278060105	0.462635430266791	0.769386510045098	0.343011659407358	0.639314834543945	0.392678600191832	0.274238764737807	0.23044530734852	0.56394982896138	0.696505797137095	0.546687758061	0.461327513301985	0.269274831601124	0.668299329212803	0.354133089199984	0.534696443014537	0.491038359381799	0.681282837628224	0.166912333477581	0.483206433027178	0.435914073894498	0.321158607026081	0.313754975616192	0.609140436383641	0.271979688979707	0.628582503510851	0.630147829031052	0.41817209383292	0.588035219381375	0.576056942521396	0.538790670998028	0.244581411955649	0.509268510957204	0.490061212411732	0.374340564229426	0.495632384339899	0.180100655071554	0.429377905717909	0.793742022082167	0.461721666136071	0.0512647344325306	0.33244746112015	0.610065042011874
ITGB2	0.335213486376654	1	0.792212460702259	0.658361571861628	0.281281979656911	0.93031118698124	0.87596202836818	0.973395998294736	0.793487955451157	0.565980680127077	0.750127054403987	0.943284725372855	0.711083864716477	0.546183191677909	0.870068513361529	0.0716285776996915	0.845091296727087	0.232693565144173	-0.224711278766175	0.742080117803611	0.867935429955423	0.861657211184273	0.265207240221129	0.174229292764572	0.830645106158577	0.963954054016125	0.955636915466101	0.466983821755637	0.846737572254067	0.895743375230259	0.620354968318887	0.908259524276281	0.851833619922228	-0.324160697567729	0.850002836572885	0.265070952383217	0.598047663159915	0.328851835612194	0.869957043625323	0.835868995868368	0.788816713725587	0.947406754343153	0.95242734055809	0.851985756394486	0.783499092464938	0.555696306487328	0.80432024701367	0.48811466124873	0.786713926988916	0.819876210493418	0.497021436090153	0.835828346149529	0.906473018334738	0.668419295635703	0.789659432587064	0.278529930218375	0.956633679009735	0.46762411212835	-0.390854678315598	0.518223915092995	0.713486229517465	0.948349842275168	-0.407931295874851	0.810372392788326	0.789227507801044	-0.0377591573495883	0.924196127583532	0.55082018699568	0.724869981310187	0.892639031798062	-0.105833914371045	0.901122740331426	0.467398046068149	0.898531966527156	0.813257675191103	0.892477412461149	0.313766795234191	0.333638920015595	0.832247422028056	0.830943266207076	0.677231117574455	0.60394586095476	-0.321008504793928	0.833798525958718	0.939740535434664	0.405796278307164	0.386813251621286	0.757079419332176	0.853165823730408	0.926563134886341	0.719438413383274	0.819675056433569	0.889484256618651	0.847131613971062	0.878194980942604	0.59106510487602	0.529838721937985	0.706070344043978	0.570802553895867	0.706481391153548	0.877263746606728	0.760677261976002	0.844415409670247	0.489256250602203	0.652141176653924	0.945412792895045	0.286708568154448	0.315659462839841	0.775048359791612	0.395138060322088	0.785115192882647
LAG3	0.077792079133561	0.792212460702259	1	0.536383917137383	-0.0389194420423536	0.796964418508146	0.91500960868261	0.820415396909202	0.551788186550125	0.36328000133858	0.697509267208713	0.827271866413504	0.488241803940174	0.220575763881025	0.913233428198824	-0.144141948139521	0.747621083698981	-0.0950311586720774	-0.470058548697045	0.540441118289189	0.718667074878448	0.72194126141134	0.110857650540138	-0.01649435109753	0.708725763286284	0.845902653769421	0.765219714796577	0.153886006944975	0.720392759804194	0.84653901541755	0.62234781313182	0.757769911713372	0.895356703918847	-0.464377477909635	0.712452718754212	-0.0630530983990813	0.363704732854901	-0.0140523695812041	0.777502188098175	0.775647674164048	0.85603831388926	0.807824805082198	0.838595301492609	0.667513830460585	0.772996197247058	0.20242565720957	0.549385764900863	0.220494261070361	0.621281939304966	0.944933046983408	0.258515839930586	0.79790692700248	0.787528985086953	0.461052839764809	0.545605946032415	0.373233953847106	0.821158176213532	0.0465951740649585	-0.170202937865189	0.310868382496716	0.278008577291181	0.807803835678405	-0.201474902470964	0.533781171001845	0.782734831962265	0.18897112518255	0.679094818865993	0.305770865620408	0.537487242709245	0.666458539476643	-0.270083341476059	0.851601203106539	0.0801639968630706	0.78277250358668	0.660348640310168	0.832225891645342	-0.0990045259448014	0.167353560278344	0.48025981087782	0.745563070937085	0.37105007208299	0.332606947434757	-0.295971735254075	0.717537605662827	0.648352899222469	0.208264175819844	-0.0323957616385105	0.434372333366679	0.709091271325072	0.701497786215213	0.416194916508297	0.519119223099031	0.660461958512412	0.599195374982939	0.693241727863579	0.597744904971155	0.211279264226219	0.276928252373396	0.339085850432011	0.495048898583005	0.652570173883703	0.489204401881014	0.529806358560805	0.15765458372683	0.450580242245339	0.767778637838948	-0.00911811788218031	0.0461327488337668	0.439784483238229	0.0399373620536804	0.601517438114632
SIGIRR	0.635650011345743	0.658361571861628	0.536383917137383	1	0.573210385085333	0.717454937828338	0.582738414787791	0.692440231632994	0.776139371161282	0.651832149124738	0.599597106331011	0.752325775133038	0.742268370177672	0.648242413454765	0.656442529025127	0.456845496160619	0.654016446441526	0.535403441764883	0.218802538599931	0.633461218346096	0.699950767405548	0.878970257862649	0.368851514692881	0.438938692528311	0.894009301553896	0.715484634583165	0.699492880792463	0.615974401390474	0.82533909290083	0.71422259757352	0.7221393595889	0.745051699895377	0.60176326570882	0.101132184577852	0.80129934945271	0.566384520100212	0.762687442213175	0.388279753820065	0.793363641138847	0.601782311636579	0.544335488075699	0.711203024008236	0.64186225111386	0.681722738302869	0.713471802742212	0.663328801472897	0.776350563891089	0.590309705000246	0.814424179591837	0.487031719941106	0.754459693136151	0.419982641562141	0.815911023098643	0.654773406776819	0.577266928381394	0.527975580704968	0.658140796799839	0.149773120555215	-0.266670993768516	0.647380359548019	0.586902805642645	0.637855621814792	-0.1984286967376	0.394704727382572	0.530729489225626	0.0323120278414276	0.659868151487817	0.75668741810718	0.605977302257986	0.728369925137522	0.420612138446634	0.671133729144335	0.452322308522831	0.733938488196432	0.554402184976473	0.598104380267622	0.456416671709769	0.614422216900877	0.671393566668634	0.689085966417455	0.511037223933796	0.705240901056229	0.166489776591003	0.790057636139293	0.692482786223762	0.609875797283879	0.0592774798260247	0.510759973860287	0.75210536543859	0.565677833652114	0.48925833003637	0.693486121183396	0.433036236574981	0.734981368319402	0.72424139116283	0.67100448400339	0.483417721062564	0.570862732049479	0.495266982998928	0.452811918544928	0.659975778263226	0.595723853643085	0.551831210667154	0.367859371983861	0.361331399162588	0.735885183792264	0.580581335681097	0.478277910081261	0.285143939225379	0.202842506100283	0.814239902754458
RPSA	0.83471996435621	0.281281979656911	-0.0389194420423536	0.573210385085333	1	0.398710410808597	0.104209529100087	0.295379337704432	0.703987175830079	0.604951185346796	0.185406478920639	0.267138657628349	0.561773729203637	0.874769986092281	0.0769996329607369	0.677653320337037	0.12480881424214	0.958722625222068	0.840493650268364	0.393935444367749	0.325172812556281	0.490710086942648	0.324123342061936	0.766577880643296	0.528409964022958	0.264103642982328	0.337734584853521	0.727970913137274	0.471401102790801	0.196179184220367	0.576804058566326	0.367857266533266	0.0549748974449165	0.62805708360394	0.487966985472083	0.9908230335537	0.612719765528922	0.68196658654397	0.321486302232986	0.226856273390336	0.028530162012866	0.237471072373742	0.169000491455611	0.434985973933278	0.436400839143763	0.914456252576204	0.627966502948934	0.645358879252448	0.614380997256345	0.00622056697357275	0.750473133073484	0.0399652342016936	0.447850540747891	0.532487944971142	0.321332899320141	0.528957872827062	0.26414517978672	0.466965786207375	-0.424283132699626	0.571411844242945	0.674045094948517	0.291615280978941	-0.343096504971395	0.172047867957196	-0.0647821336116101	-0.384185047789538	0.422591320743071	0.789717182363888	0.373836667921443	0.336406505976823	0.798491415804359	0.248662019367761	0.738948824242389	0.227359774035522	0.381282116566652	0.10961950138745	0.767521833967436	0.724897790232672	0.615341596422098	0.415637168335891	0.385804704978611	0.716791273505553	0.568235941187708	0.584518364890954	0.499461345792803	0.668946531450167	0.431955265368016	0.572677076665011	0.371728487551228	0.326589769815315	0.309692061895912	0.632248764751796	0.329480881600703	0.600887024952568	0.498769458000464	0.188772474014422	0.680136411539256	0.704132733932233	0.656987762341058	0.276136708006472	0.584769236843157	0.449642656668764	0.42265969386114	0.527066810258329	0.215536221992921	0.38710475124783	0.937894622097623	0.48729871673593	0.158299168615547	0.45699603714419	0.576238312973144
CD4	0.425368218942889	0.93031118698124	0.796964418508146	0.717454937828338	0.398710410808597	1	0.885082509769658	0.938560854669349	0.892837540391505	0.665678560907362	0.727072487339565	0.933905808180352	0.801192597377023	0.640244375653562	0.830241903034088	0.266722482861129	0.844960458250311	0.364210629308223	-0.0820097149999406	0.858181876392094	0.948662518925297	0.910217486983731	0.421898577539717	0.394523262682689	0.895456762987503	0.953320329970525	0.950347888960097	0.552677253089509	0.888807835013553	0.868836333747392	0.741807667530305	0.948964493354845	0.776641904584319	-0.208117272044471	0.957185220170046	0.382052185098052	0.657434845139698	0.485359829530596	0.884910652231475	0.823145306404118	0.760256801994697	0.924061292424573	0.891300003244269	0.916832232274865	0.88020446690885	0.644946332671474	0.874644455108056	0.660870929734279	0.856900604953915	0.832168936993311	0.621988996862704	0.834622830074999	0.95431186907168	0.69384143512998	0.826008258366217	0.38430797772266	0.962158832545784	0.432250763867225	-0.524874224709869	0.659625271072535	0.711842261095895	0.908963983301983	-0.52509271778742	0.709851016007452	0.681790142624876	-0.139659136462361	0.902764352440604	0.609665279175049	0.807345742338249	0.898013031458604	0.0450849924492147	0.892421689963209	0.532986510280197	0.841168980115471	0.84445248661293	0.853832095728304	0.306161926475722	0.503356892815113	0.879337713367631	0.86660164230124	0.673356330641632	0.622438961804376	-0.229408958886894	0.887520641211163	0.935568860708239	0.555652097199019	0.333350329844936	0.774040105985653	0.93202478168384	0.925473141535945	0.641929274566839	0.80078048659136	0.853635883653492	0.933295592914783	0.916263431942467	0.545009259315297	0.663442211126067	0.740711028184262	0.733265043838672	0.617701745412643	0.907241249374079	0.851192194480145	0.865353661024588	0.514010873384013	0.705022971986463	0.930721328287434	0.447863401213616	0.383553271600495	0.664174781853964	0.487750094079583	0.765059481455733
IL2RA	0.191757450495978	0.87596202836818	0.91500960868261	0.582738414787791	0.104209529100087	0.885082509769658	1	0.885474646651907	0.678876854600228	0.414612690038076	0.651222197726834	0.902950034859628	0.55839098206533	0.341565305562058	0.919981580404143	-0.0628786641769794	0.750419606282162	0.0474050482461393	-0.365330804332205	0.637358966989741	0.817869064750976	0.777558367147603	0.141964252890569	0.085256221067302	0.787752110753392	0.928026564233292	0.889950133654842	0.253854687914257	0.788660185098958	0.902222520202789	0.646188901759262	0.81684764974018	0.889318905962265	-0.419849459380569	0.803038715736262	0.0623262365116937	0.428654728290141	0.118639782563366	0.861791767810521	0.864653324861368	0.869639196081501	0.923880066457684	0.930685226916184	0.735005922157574	0.873613956084236	0.350342962012074	0.647668961445544	0.361940241952725	0.689948264627972	0.94329728704833	0.30743223689802	0.889976772742087	0.866104857907024	0.598098462675945	0.603260786361552	0.289709507823038	0.914660018581919	0.134153765912371	-0.407867649596917	0.36303060409746	0.453662134873336	0.869485858580511	-0.43800818501378	0.718626588136768	0.85762994190595	-0.0164600415032024	0.751933877586199	0.342451574839303	0.616191837202108	0.772805585224248	-0.242447133870594	0.90599901259194	0.19065053364317	0.863450216277741	0.728255474983608	0.869701814042517	-0.0111773196711455	0.206746730663435	0.606418301145937	0.803178536315343	0.469845034071069	0.428765481742641	-0.297196829057923	0.820600352308801	0.769754782272563	0.251722542642284	0.0550098182195827	0.552605365992718	0.800233756296848	0.820198511254379	0.511878583770746	0.620350038200276	0.770968346246453	0.744038132376253	0.795427992535416	0.592386143274103	0.350833361710875	0.431549806436054	0.434668529673614	0.604625817890503	0.769988987917276	0.61975805373855	0.636820611474691	0.297953338321877	0.54326047297915	0.866821980539021	0.146255048782439	0.0983594333092233	0.582275216823053	0.139542029494806	0.610669826185862
SPN	0.369194538453895	0.973395998294736	0.820415396909202	0.692440231632994	0.295379337704432	0.938560854669349	0.885474646651907	1	0.815712868309097	0.583600911071863	0.726526867076903	0.941822980547783	0.687239266167556	0.538912821486394	0.900295520424409	0.0644912138005064	0.810854226774147	0.259343634561028	-0.210569488212657	0.708117379532884	0.860065686038922	0.874464679855384	0.212735216534913	0.197420363349491	0.861866241732446	0.964699901037052	0.94420983904676	0.424500314709435	0.879135948842063	0.928202629609581	0.656118687046828	0.906535941250348	0.878641960459133	-0.322705537190795	0.869701812152884	0.272505788205487	0.604978749625341	0.296040670869275	0.903340868096023	0.884632423942333	0.847073267401878	0.94188783661794	0.950186114803114	0.845567655329615	0.836533535207733	0.53927694800957	0.783913098378989	0.46702241288659	0.814184324799663	0.849451152798197	0.480147237550684	0.836769033410497	0.920428958698465	0.67591571681389	0.751601556180131	0.314470891880605	0.959640561069991	0.393107132436764	-0.456791550119525	0.522891317081645	0.680015825237359	0.958163146616494	-0.472616085284166	0.732569823682375	0.806283657167241	-0.0830357025343802	0.932609600999847	0.585065347747683	0.674552810910341	0.877989009504166	-0.0897950895064991	0.934410431807091	0.44306239070922	0.908481500060528	0.782616017582531	0.91240000260176	0.263774064022494	0.3512200477429	0.813152442738091	0.885438018112758	0.641746067044045	0.611329986781379	-0.272724909189434	0.866696184185993	0.929657190251709	0.392130280318749	0.311011268984625	0.742632973367531	0.85280696712628	0.913000545114179	0.668638776833333	0.776952754314732	0.86476523920487	0.848025986825526	0.904869523939074	0.648105002614407	0.494590308449026	0.67111799046911	0.563038807071793	0.740561517384193	0.882308680428258	0.738042934978906	0.793671069546285	0.439056270519304	0.64001382970337	0.940031099738044	0.316892259160815	0.255777204805888	0.695867818226391	0.340315256368374	0.74429399613978
ITGB1	0.679246107042587	0.793487955451157	0.551788186550125	0.776139371161282	0.703987175830079	0.892837540391505	0.678876854600228	0.815712868309097	1	0.73777791837264	0.611286224643706	0.807177266926166	0.836885914541472	0.842381583653745	0.635052148477702	0.531704045877948	0.698170390646619	0.680262087210667	0.296773679842044	0.82719563502961	0.853389146533865	0.893078572968648	0.495668803726979	0.617263884003819	0.892509975536118	0.816087478370504	0.84803075925325	0.755263349414906	0.862352356598189	0.719274083241125	0.806849536623908	0.87917071869539	0.584427375895174	0.105714430956764	0.923923744415429	0.68824120325569	0.75825797119137	0.687138261178002	0.778919126459282	0.685432010804001	0.562616287588981	0.780780240526869	0.723598323759231	0.885577578458859	0.830181051453584	0.832918169839156	0.924584381228879	0.766325684162235	0.875293473636247	0.603718859702579	0.785134530028706	0.624596912807823	0.890676771162191	0.752096732344367	0.781063424277492	0.48533180755173	0.819507203484185	0.50524841300011	-0.569723589895343	0.72648163164918	0.847851631484599	0.785971252738171	-0.532014524594154	0.592918720545671	0.463170689712625	-0.252096859980014	0.847532331583732	0.790873188829144	0.757920354850135	0.789150348723671	0.391240890689632	0.779002309847095	0.716479219080719	0.697615380812468	0.771094827733364	0.697643230369084	0.54735422146541	0.716053709120194	0.918905634446677	0.791988525530553	0.649644420273514	0.7731734117942	0.0481303697603078	0.883906898212167	0.894653669004633	0.729662562753127	0.402820799125364	0.826676828210473	0.869551316542732	0.813642731730849	0.590986249648574	0.844861907158826	0.740029663127443	0.934813462785478	0.893583507075163	0.494786109200752	0.797089279801897	0.843917197685782	0.825224882761574	0.553500314449427	0.882773130308557	0.848884170012201	0.84180671009839	0.626757925015312	0.625544287551034	0.857853616805329	0.746301784753929	0.488977066473385	0.556562503110802	0.579479696121731	0.786751879644652
ITGA4	0.665133213415623	0.565980680127077	0.36328000133858	0.651832149124738	0.604951185346796	0.665678560907362	0.414612690038076	0.583600911071863	0.73777791837264	1	0.517438875331656	0.562781341627724	0.871272845284851	0.807787356790002	0.345083041059055	0.643442911069591	0.581315039482993	0.616095953914634	0.368897247703053	0.701342765762126	0.653820522574068	0.690828406873824	0.63286731188952	0.734461710947591	0.684263530918305	0.531482127829723	0.551703540711384	0.746265673763432	0.717262137496476	0.417280403605379	0.70191758146502	0.604876440010267	0.304726234504554	0.355727818674443	0.742374017639612	0.629245415547836	0.72151644212149	0.671180680719821	0.571903495980691	0.364244373683703	0.233066175418077	0.549268242999776	0.419667376395606	0.7603894189856	0.576676963336138	0.738778976259009	0.675351866531741	0.755062342982719	0.770257624741979	0.325474172792377	0.750991977058705	0.354371050531762	0.659107099583966	0.672329138713721	0.601688076500518	0.369705994718685	0.510820147496564	0.508701298691032	-0.217096494645559	0.754037694938892	0.673716355496002	0.539000307568798	-0.156839228333502	0.328689929928919	0.168056075261471	0.0307092855372367	0.604949806024732	0.741281101944716	0.708652750212622	0.663346831183987	0.554649864338436	0.415144838240985	0.645472697420551	0.479124121467983	0.493869083498714	0.525526850699223	0.592083712161376	0.772338665889267	0.757186825923641	0.515396841061241	0.662300107594665	0.77996578598607	-0.0326618964750996	0.572192716802847	0.707151343078001	0.779111496268829	0.423398287672306	0.548357520111313	0.650058305042165	0.543681403845428	0.440805879557673	0.655592214155902	0.558324925473669	0.735369575375178	0.732020835022241	0.306916162173886	0.697116468324937	0.746969790581559	0.756174830391783	0.340378757166472	0.697232594833454	0.776206431416143	0.657421873698649	0.648371316670581	0.578914700018794	0.51803656842839	0.639146017590263	0.729100043175789	0.309638669554028	0.609229392677581	0.719025149319653
