""	CD2	CD3D	KLRB1	CD3G	CXCR3	CD81	CCR4	TNFRSF25	ITGAL	F2R	FAS	LDLR	PILRB	PTPRA	CD247	TNFRSF1B	CD8A	CCR5	CD8B	TFRC	CLEC2D	ICOS	SIRPG	CD47	NOTCH1	TRADD	KLRD1	VSIR	CD226	CD4	DPP4	CXCR4	SDC4	ITGB1	PTPRC	FZD6	LAG3	SELL	ITGB2	PDCD1	CD69	SMAP1	KCNN4	ADCY7	S1PR4	CCR6	HAVCR2	TNFRSF9	IGF2R	SLC16A7	RACK1	TRAF3	TSPAN5	KCNA3	SLC16A1	TNFRSF14	ITGA4	TRAF2	BMPR2	RIPK1	MCAM	SMAD3	CD44	ACTR2	CD53	ERAP1	ATP5F1B	HLA.DPA1	NCR3	JMJD6	TSPAN17	MCFD2	NOTCH2	SORL1	LAMP1	AMFR	CD74	LPP	STX4	TSPAN14	CANX	TNFRSF1A	IL2RA	RHBDF2	CCR1	NCSTN	SPN	ADGRE5	IL6R	IL2RG	ITGAM	CD82	APLP2	PTGER4	CD63	ABCA1
CD2	1	0.936839355427337	0.77420354177132	0.914422345809314	0.874305203230626	0.76638315242309	0.148406454579429	0.902660875035671	0.793296691923457	0.00261617016358953	0.447194976763816	0.192565075890987	0.333327304539376	0.886749394972363	0.96311993218322	0.786468294245729	-0.387079988907414	0.882259495109325	-0.393035582503879	0.970273342835303	0.404110578633792	0.562882113932348	0.923540087216389	0.508337523442284	0.631611194222673	0.850390945662988	0.831362402775762	0.290954864688716	0.961938656862974	0.933905808180352	0.814862392506034	-0.072169819582391	0.760932726071899	0.807177266926166	0.741405476264075	0.935672478037759	0.827271866413504	-0.234687655613749	0.943284725372855	0.939534516502258	0.376524260127185	0.860736314601318	0.797112328126541	0.191094451797302	0.52398553568489	0.324147608035365	0.811006795617607	0.306009199495768	0.889283081681981	0.688245235244016	0.239535922963823	0.768869510471297	0.912237314804598	0.646493274743381	0.759555631339492	0.582199989775847	0.562781341627724	0.716917478491082	0.747546724654986	0.651444336384766	0.861782864391109	0.551219403832463	0.459641113724347	0.767917117280372	0.904154922952349	0.44107864717267	0.761149894005921	0.216277341249859	0.833523309676318	0.793471195452144	0.917281150430002	0.762540450780046	0.87880090850647	0.297242656699877	0.942256127706087	0.764658759871693	0.261999578973321	0.507005097013908	0.616602023515901	0.830466652635004	0.806358129241239	0.631458793104148	0.902950034859628	0.585889234577035	0.779012421835117	0.632406291430851	0.941822980547783	0.962796869079636	0.545912468776387	0.985833452089453	0.601751869270505	0.968203542492262	0.566454118767489	0.217795497527027	0.899872725794	0.29481202750573
CD3D	0.936839355427337	1	0.866638722508304	0.980608617289936	0.761978388998875	0.854278128445839	0.366279089864162	0.926385869688166	0.769026374857374	-0.0381208201576521	0.637055478451018	0.417176552251823	0.451122315975022	0.911049182373513	0.973096197147668	0.818519819049236	-0.379400373220824	0.832038488213461	-0.334511188361325	0.894722234523116	0.597238753907249	0.702374580823095	0.929736745834802	0.666058165321377	0.779192350207958	0.872791452204749	0.676825260353799	0.506501228445857	0.879269784623787	0.910217486983731	0.812177437690099	0.232332919452329	0.620710794074201	0.893078572968648	0.839777112931691	0.863077611799763	0.72194126141134	0.0161403965461526	0.861657211184273	0.875527816257876	0.608540471131417	0.900318226243792	0.78177894619624	0.346329833997085	0.749391263596174	0.459100624349987	0.689302733506545	0.359930550025477	0.779362565654997	0.75827092992288	0.475957486658828	0.791249237159914	0.950244050659348	0.689796848053215	0.785279861121749	0.764263102806658	0.690828406873824	0.724370425708308	0.729858872094589	0.747140320917074	0.767922251756067	0.733097967031977	0.621595047971529	0.8204444068754	0.916634237566491	0.471139512852971	0.801497917199368	0.218865013774368	0.838968845238571	0.829721241367499	0.898916784493478	0.795158020194704	0.838399897591125	0.483515813477464	0.907996018109293	0.726618927225234	0.269756301280416	0.607423478880284	0.680043061839724	0.911932715708102	0.80593297150776	0.535957325367686	0.777558367147603	0.572390780162662	0.635685533300121	0.612678113853051	0.874464679855384	0.84690975611489	0.63873495074487	0.911600788206929	0.468741560657319	0.906915784080056	0.525981557224096	0.457287121291494	0.837676430410522	0.365503338816457
KLRB1	0.77420354177132	0.866638722508304	1	0.880595781724944	0.639486476219336	0.641786439252333	0.237115279221203	0.91206035543686	0.535748014391392	-0.363263542095422	0.447990067706922	0.415272224763025	0.225558356409078	0.807861686364289	0.837494287723813	0.637581722824622	-0.616336071553381	0.572997721530446	-0.548351409000757	0.775408968687495	0.435531960584505	0.634540239465582	0.774775147922762	0.559764060154523	0.695062333706707	0.819669693175227	0.610526834518311	0.514623999807646	0.761879109577833	0.790596294682097	0.735013301030934	0.203496038469563	0.460586851564508	0.789073802767151	0.636577887975571	0.751273809229233	0.521274199803646	0.0681087591317604	0.71374206259907	0.787587756673229	0.633415023748035	0.835105605245521	0.592643864209751	0.257557606368814	0.668431494719428	0.349893018597924	0.562332701360466	0.126410152770408	0.578055935720632	0.655137370600839	0.505309900078056	0.610315412857148	0.834048933694349	0.715700079271131	0.570488683059418	0.70457106371442	0.573911937111155	0.667582634729081	0.575562910787462	0.577868171488834	0.754654000131204	0.727471175047735	0.419985766398265	0.728385113937399	0.852155670090193	0.299298475978035	0.734380251682982	0.139743348433353	0.875007599228995	0.663044544379894	0.810220181858495	0.637390074883267	0.727894875451601	0.441148432411399	0.801390012334676	0.566609729857164	0.159234494981617	0.467834155574117	0.594367595976189	0.794323986738828	0.717153961636079	0.546040642053578	0.632260724415221	0.397337433040848	0.537201135522799	0.542196496024182	0.759311579417397	0.720572492267667	0.513541344172155	0.768589645510024	0.350578002124534	0.782607245791373	0.415976181166408	0.526932010110055	0.741245907585679	0.264609138557764
CD3G	0.914422345809314	0.980608617289936	0.880595781724944	1	0.7575699452399	0.824986325862369	0.356898813544261	0.919604841231783	0.724914250819224	-0.0746936012790659	0.600732354490755	0.452521889284416	0.421541451352762	0.909804596005141	0.96721560609786	0.758999504918483	-0.42104675911407	0.759226457145918	-0.377735610776375	0.881160623805818	0.584258481881921	0.694771301841664	0.895848325953302	0.663781196185762	0.773085077719142	0.897975301498731	0.688889067282413	0.544158562125415	0.861180707767834	0.895456762987503	0.860007778609256	0.264360162855628	0.586512020933499	0.892509975536118	0.817860075587695	0.864717477007833	0.708725763286284	0.0610842377066101	0.830645106158577	0.875276026342806	0.649491476200658	0.902123338258134	0.712339720591954	0.323664930126621	0.730675022816744	0.414515655460995	0.686307816850618	0.276073060470079	0.758550012555722	0.792468062262265	0.504228781853743	0.731118138878535	0.95001971072374	0.706882175846395	0.749274953628262	0.754462332392279	0.684263530918305	0.678517561580711	0.732642717216483	0.773356774932174	0.783265948158578	0.724666961390677	0.596608502095598	0.789449795358671	0.914862377919088	0.464147688917293	0.79840285246943	0.161506426743188	0.855555380883576	0.794090969272367	0.872637183148926	0.758864372394207	0.797819926111936	0.513886533094308	0.896418570435886	0.68800662626452	0.205981689158056	0.583636455653101	0.645009951547204	0.88515327731531	0.80901211911907	0.544991131732162	0.787752110753392	0.54211689012805	0.631806291617441	0.589327903738025	0.861866241732446	0.832559528530779	0.607333974270694	0.890263734543484	0.42695923622518	0.879586119307741	0.503185170298463	0.503173476087084	0.818573576501742	0.304370942759676
CXCR3	0.874305203230626	0.761978388998875	0.639486476219336	0.7575699452399	1	0.61634734080454	-0.206352386326482	0.783155126231972	0.652522380316528	0.0371998588554947	0.0952496066242414	-0.0899342857282153	-0.0224302012547874	0.7165728327252	0.818614848622573	0.450360002613772	-0.301116175739996	0.688794867045452	-0.317349119633191	0.861192779690214	0.0875505967454382	0.170237462387754	0.69502932290305	0.236152001481393	0.423841366864409	0.793085642658548	0.908237179752481	0.0556914423788949	0.855656028822551	0.776641904584319	0.747536992552514	-0.293078640090962	0.62764940805343	0.584427375895174	0.420808716871921	0.919870678842503	0.895356703918847	-0.42597378335443	0.851833619922228	0.874979658839887	0.170963208817003	0.619546501947423	0.519912665000371	-0.0344753328291113	0.23272036853744	-0.0737891092133775	0.873141121631872	-0.0793959476585756	0.838654936300146	0.491969794061525	0.0157768711566876	0.45600262703884	0.765407881691471	0.697406523828413	0.452709268141849	0.392448445943411	0.304726234504554	0.511721555389599	0.677278555294047	0.539482241189372	0.8643642759005	0.283974605845139	0.120080936007061	0.505971672279973	0.775619113360326	0.14796343295402	0.568537002297033	0.0359327653624359	0.822421329258635	0.598433747933228	0.717669100789532	0.43950221145926	0.757770860535384	0.27664228536358	0.845176027252571	0.618976175249239	0.0472828457660045	0.138192819430607	0.32942978345949	0.578484581050884	0.678999644869307	0.643611682311105	0.889318905962265	0.342876215133163	0.756123541190681	0.451137035478558	0.878641960459133	0.923260894888454	0.234837436325976	0.891536088289889	0.494203502490532	0.824229778840259	0.380481863208014	-0.00657870765535406	0.871782304619392	-0.042515548067139
CD81	0.76638315242309	0.854278128445839	0.641786439252333	0.824986325862369	0.61634734080454	1	0.406367362711555	0.724235959218157	0.709407806182419	0.170300956476063	0.663058906100128	0.445096745680819	0.591140133585065	0.779827653023803	0.819351581538862	0.679494381174118	-0.068891600107638	0.716852611314854	-0.0187389396171848	0.726579638746574	0.606092717318276	0.594107469678154	0.738695412556341	0.761240133543707	0.76274424000202	0.748782554559335	0.470261722328812	0.539729916033085	0.691968569015011	0.765059481455733	0.65721241939673	0.398836040950584	0.593177522295302	0.786751879644652	0.825850933728451	0.66430133751379	0.601517438114632	0.178377392659248	0.785115192882647	0.736430102055312	0.610065042011874	0.76061016780953	0.727034712629963	0.624058581110223	0.778665831924253	0.468267002688258	0.535970390475251	0.413092389316009	0.641701987232364	0.684843036468465	0.588089409628501	0.6869747588963	0.77048544220715	0.549602343012176	0.702209356415132	0.770715185299165	0.719025149319653	0.649822377468062	0.648899765734497	0.7220589588548	0.557252601950118	0.669615776529471	0.736457087423168	0.782211239271105	0.802838043753092	0.574861385962021	0.803516664370994	0.436079040505255	0.657557058074118	0.847257989457039	0.741670530831344	0.681165554168522	0.738938936434117	0.545947814295294	0.790385298407504	0.720070209732787	0.475506899659965	0.60055763577816	0.719256080944641	0.827426454350416	0.782556182589979	0.440046685413991	0.610669826185862	0.633366237970568	0.483737389969087	0.617097102429091	0.74429399613978	0.684737470789535	0.601841279280386	0.74784734288447	0.49796898102986	0.749049913383691	0.466717789096262	0.513712796669287	0.729314118269652	0.40090074900493
CCR4	0.148406454579429	0.366279089864162	0.237115279221203	0.356898813544261	-0.206352386326482	0.406367362711555	1	0.230643674330918	0.199718571564082	-0.00711632403323502	0.833079661408873	0.79892904263604	0.761825960189402	0.294622850990933	0.287144615870255	0.556544986572341	-0.136496703307249	0.275380598694775	-0.0593915861531994	0.0699105094344056	0.851045422774973	0.771484043911117	0.407195040568912	0.705767042533307	0.480661880111668	0.222526253007118	-0.326514928843537	0.773230089525563	0.0937768879374355	0.266722482861129	0.189859377451011	0.773277998328664	0.0442758294910688	0.531704045877948	0.668313807137917	-0.0109083481604987	-0.144141948139521	0.707145248461101	0.0716285776996915	-0.0246076386305048	0.572724156645904	0.42312784508729	0.441059214093944	0.630390973851246	0.744682973326709	0.835658805299324	-0.174359953316516	0.718973814625973	0.0105853586048242	0.333161125791808	0.704775658215235	0.564516989515916	0.31854242042267	-0.10733680360633	0.560457905275237	0.570181571563013	0.643442911069591	0.317461149163834	0.203612987937084	0.444849449664274	-0.114971707472822	0.596448834284264	0.818134328311233	0.488464962919265	0.247179973332304	0.567763931499241	0.396226794278824	0.332442506342071	0.0442451409761728	0.389848613898278	0.265573437692401	0.564453193483732	0.190313643382029	0.274003762533492	0.12013621776011	0.222312247474317	0.399258416571004	0.724743144985573	0.591712906701309	0.500094025401154	0.272802552570973	-0.101940482030236	-0.0628786641769794	0.436290209144044	-0.130067620204125	0.164693591142208	0.0644912138005064	-0.046556538487248	0.682244895116617	0.0979715114213815	0.0237167296896379	0.156619202345957	0.317628186048268	0.684639130463049	0.0202363265491274	0.648373077681051
TNFRSF25	0.902660875035671	0.926385869688166	0.91206035543686	0.919604841231783	0.783155126231972	0.724235959218157	0.230643674330918	1	0.62969305358822	-0.24781300196441	0.46235388621303	0.317124490936215	0.291986704872032	0.849989196576454	0.915302218641288	0.705116184717184	-0.578504522776363	0.722872195132842	-0.535495915155333	0.87400951322858	0.452742485865381	0.581140799318237	0.864631965037381	0.593898818530237	0.679398430529113	0.889440082255416	0.720918112765689	0.488922798211429	0.877684958230183	0.878227837514582	0.797337432675159	0.107761889241757	0.598246190903611	0.854639235813528	0.674323452827256	0.880428744296294	0.662385020583505	-0.0211600566419856	0.844922326565362	0.868404841230431	0.532008966798697	0.862410352408519	0.718731216808473	0.305753764523474	0.617244348475983	0.385835279980694	0.682337235491881	0.235174609924136	0.760088022125257	0.637370932832348	0.436600889490431	0.721235921845813	0.902086446358215	0.70384208419538	0.630115323186159	0.722337688050271	0.577953542254832	0.767329635187546	0.658886826663027	0.649148453287948	0.855430809042984	0.620428792190215	0.461360577032135	0.784590590719825	0.912604506978796	0.384688265751079	0.788260092119003	0.217734808570694	0.897710248261337	0.773407334542928	0.861078330570868	0.690863066069573	0.880679089487049	0.3660657136289	0.909497867638706	0.690210132356003	0.259403241211164	0.481477585980402	0.655882636079457	0.844168337112631	0.794745164822253	0.663788009500011	0.751769993598507	0.523708482884145	0.641023851514244	0.556941004215355	0.885495360637357	0.855321426412703	0.546001016794895	0.899257683684202	0.483192732860546	0.894483371366568	0.474176479502818	0.433644350660546	0.849181318326527	0.283606148315168
ITGAL	0.793296691923457	0.769026374857374	0.535748014391392	0.724914250819224	0.652522380316528	0.709407806182419	0.199718571564082	0.62969305358822	1	0.296769538972692	0.523201803167071	0.235812051999328	0.426576578393524	0.722045666559593	0.785052730240511	0.700637838201847	-0.0151808794819464	0.833434155089515	-0.0711320593179984	0.725392012169664	0.499953487169569	0.543610242232319	0.765355307867409	0.421732665666246	0.523809333066642	0.571120044415903	0.581829760716948	0.146246909900001	0.745050630050212	0.727072487339565	0.555182697140119	-0.00412771933269746	0.525336108949946	0.611286224643706	0.747610893852179	0.711651241661088	0.697509267208713	-0.199495627586182	0.750127054403987	0.718332548212557	0.342461217292131	0.702903255788177	0.69549318001323	0.168693808753804	0.546711993701516	0.281022689171433	0.610547270616404	0.367409550172257	0.694763922798052	0.643043191511671	0.163433869146447	0.68106996701248	0.745087101103268	0.433983550940882	0.7705050488769	0.548416413611477	0.517438875331656	0.562726901055638	0.596691534974432	0.470813294281491	0.556465481244922	0.541342794847915	0.483054296861276	0.595324401044123	0.672275965840395	0.384318448544595	0.515728054776463	0.170336613523042	0.59647835238399	0.688182395546288	0.768381129464834	0.65125281584373	0.641486177645824	0.427915307910239	0.679262097855081	0.625032826384295	0.222765639244826	0.544757805825331	0.507971567503419	0.733441508727774	0.571412299687905	0.380217816810639	0.651222197726834	0.567952198175024	0.5491495353259	0.637056469555059	0.726526867076903	0.733232079597377	0.501934584995705	0.752826239606386	0.4148698562892	0.727699991620725	0.435316370197616	0.148505687947958	0.644688856301849	0.304921065358234
F2R	0.00261617016358953	-0.0381208201576521	-0.363263542095422	-0.0746936012790659	0.0371998588554947	0.170300956476063	-0.00711632403323502	-0.24781300196441	0.296769538972692	1	0.0579336028355933	-0.233940969962755	0.29150341338799	-0.131347928374698	-0.078428174034535	-0.0447851615081925	0.755624862316621	0.215290561468014	0.725361463249278	-0.054181595517089	-0.0130074174969123	-0.131647494885257	-0.0220861769701707	-0.176032897884295	-0.0898924763845895	-0.276478477127591	-0.0138156774528255	-0.391781566249546	-0.118772412395886	-0.139659136462361	-0.196675909679139	-0.0938048192494194	-0.00668393047612656	-0.252096859980014	0.0963129908662778	-0.112765471030481	0.18897112518255	-0.289863928201187	-0.0377591573495883	0.0271355017535616	-0.258213326943586	-0.231117284658769	-0.0842705671452103	-0.0900101781871894	-0.0601278613178655	-0.212890774202229	0.00904066887365666	0.136914085525444	0.0543660391832698	-0.0786107054838833	-0.357115779497051	-0.0340250775201891	-0.0834143107248566	-0.00204677977133964	0.126954721221175	-0.153613879086626	0.0307092855372367	-0.279769946009548	0.214724662647829	-0.0901505640876906	-0.213051532752175	-0.123922674971066	0.0455328854957879	-0.212723954009906	-0.214332221428104	-0.0588242452577147	-0.29000064078049	-0.168648628274884	-0.294769695837808	-0.149608798336217	-0.0747034610949694	-0.0936234630439437	-0.215656922991125	-0.0487650549675834	-0.153276603041867	-0.0312263291817058	-0.138308047062115	-0.181878912828971	-0.232506716476968	-0.128946286374713	-0.220171270867765	-0.330525650239692	-0.0164600415032024	0.0734516572218015	-0.134651556279711	0.107987308237602	-0.0830357025343802	-0.042501141590706	-0.21359112874861	-0.0575656933879006	-0.133516480985591	-0.132927189224184	-0.0627181202768959	-0.410662326394725	-0.149158292065312	-0.160029723198246
