""	PTPRD	PTPRZ1	EGFR	NRCAM	CDH2	NLGN1	NRXN1	NLGN3	SDC3	APLP1	SDC2	NLGN2	FGFR1	THY1	PTPRS	ITGAV	ITGA5	NRXN2	DDR1	LRP1	TNFRSF21	RPSA	ADAM22	LIFR	LRP6	SLC16A1	APP	TSPAN12	PTPRA	LINGO1	NGFR	TYRO3	GPC1	NCL	CDH10	PTPRF	CHL1	NOTCH2	ROBO1	CNTN1	DAG1	DCC	ADORA1	ADCY1	ITGA7	NCSTN	APLP2	ADAM23	LRP10	NOTCH1	INSR	PLXNB2	PLXNA3	DCBLD2	ITGA3	PTPRK	ROBO2	EPHB3	EPHA4	CD151	CALCRL	LGR4	SLC16A7	ACKR3	PTK7	PDGFRA	NEO1	CD63	LRP8	CD46	NOTCH4	CD47	BMPR2	TNFRSF19	NRP2	RAMP1	CADM1	PLXNA1	AR	S1PR2	PLSCR4	CHRM3	NRP1	LDLR	RAMP2	MCFD2	GPC2	ABCA1	AMFR	BCAM	NT5E	LRRTM2	CSPG4	LAMP1	TMEM67	TRAF2	SIRPA	TSPAN5	ACTR2	ATP5F1B	ANTXR1	ITGA6	FZD3	IL17RC	EDNRB	SORT1	SMAP1	ITGB1	BMPR1A	DIP2A	VANGL2	CNR1	LRP4	GPR37	GPR37L1	SCARB1	IGF1R	KLRC2	F2R	ERAP1	RYK	CD99L2	TSPAN17	RXRA	STX4	TLR4	TNFRSF12A	CD44	CD81	JMJD6	PILRB	TFRC	RACK1	CANX	TNFRSF1A	SORL1	ITGB8	GPNMB	AXL	LPP
PTPRD	1	0.632091227799276	0.765461644360174	0.59365884155583	0.761068064907053	0.774350707567575	0.635993193903703	0.671657474882883	0.493555076301821	0.717190717225539	0.509781351153932	0.775292267737387	0.808461481802753	0.74461120327398	0.660621895217817	0.545486828156195	0.819202163171137	0.68285720142603	0.48988167840358	0.674990256583744	0.723674252288535	0.661800045817086	0.688324226434683	0.56913712463707	0.729254605179697	0.896787658810971	0.787781066338833	0.605386192725271	0.648790119498982	0.65915715189429	0.346621369443696	0.747574158368352	0.630833079881564	0.777830318401041	0.716613327647697	0.74614149713119	0.576721692529952	0.660023207575696	0.676532681487487	0.638605850522365	0.673027644951967	0.616005588184539	0.381451179567209	0.712449046320683	0.731257786463289	0.785701598108289	0.752442816044389	0.574875249737772	0.538037986867522	0.640872017894245	0.735156428372353	0.755176342597018	0.823803989197952	0.834125720603974	0.756832241853334	0.668230595784502	0.64418792893643	0.680137696493038	0.810489527081717	0.776040490160207	0.293449312735265	0.639142988497375	0.707657093886491	0.583329760525859	0.765566904157082	0.448983781691112	0.680373956679577	0.689605375708068	0.668449003598867	0.764413339105222	0.55917734139605	0.692498556319906	0.680979913402933	0.875772533957084	0.28415062546571	0.417160815718035	0.724542941833433	0.787768917654961	0.568936585862016	0.779530414318082	0.248047037265751	0.828405528049238	0.848192431044106	0.712991950251885	0.675340045616271	0.749827168686446	0.584288419564565	0.378648403491328	0.698188819316092	0.425651509127484	0.39678873859885	0.782270274639509	0.645632453335893	0.637912822095796	0.756164843415992	0.645459122105179	0.278581570857519	0.695573978031991	0.756823188781141	0.654085453971529	0.688806261143274	0.36195585204285	0.741618433571393	0.659068702538974	0.319277103229087	0.704039721628634	0.695040507135487	0.802897879688594	0.646688475019899	0.723263626286274	0.644231057706322	0.446629358597448	0.659731550602544	0.546138642415737	0.455339845513104	0.802219531639632	0.830298526463125	0.473933828758367	0.41843276513463	0.80291319222699	0.807950399997177	0.728296301508116	0.670278598890433	0.773070656653433	0.730775732350991	0.606463729580202	0.670667698723435	0.427431712288448	0.560926051706557	0.776637539338949	0.675363403829908	0.839282472717978	0.735097704741482	0.768924273504294	0.716820830278958	0.293124846706325	0.795226817581703	0.644089255652692	0.484826908589903	0.800522268968674
PTPRZ1	0.632091227799276	1	0.728107487450508	0.957708772563191	0.932820798897322	0.86713025813239	0.983145603316697	0.898816528431462	0.929810867533029	0.878440087535387	0.810893275081682	0.850334295065152	0.871015863191475	0.780364053746524	0.850880238330801	0.9313948965635	0.701830003163185	0.88327702654573	0.899203700458636	0.960086688779594	0.915843074994594	0.701638877704212	0.887937982307589	0.947738755870336	0.924678596867642	0.609792098896093	0.91198135163431	0.784868237415277	0.975652068981078	0.67600033603935	0.814655216402111	0.858270096003356	0.794659438846765	0.837364073093505	0.860637235815465	0.856614079433655	0.917546745137853	0.942223269086037	0.910102837508243	0.883491355439878	0.963136973142762	0.682569678934298	0.846451146300212	0.736261830125028	0.868112277554614	0.861884825819492	0.896978814779497	0.839262585243324	0.897272065111743	0.940600487290281	0.83048169416259	0.833129730689384	0.817357565234772	0.819272741618901	0.834573443681963	0.85666143262462	0.968637557798182	0.881456508575179	0.858549407865126	0.771884465605356	0.801424250410992	0.932086995116548	0.751742269248692	0.783794448415275	0.805123322370836	0.629000813001015	0.899571805214062	0.836986780011957	0.894928512787345	0.912681435400836	0.814909294941558	0.915000838494251	0.951314677825047	0.814026998769534	0.728813218085682	0.888716344946939	0.899121727550999	0.739407666724683	0.909285184082337	0.855224287338965	0.76445025717813	0.844772256657422	0.501328779540924	0.808852897842611	0.737838685445918	0.91050638105574	0.796035699840692	0.760245674704876	0.911982187607226	0.828261063241676	0.896467005621475	0.811048073713649	0.632897210797329	0.923233212876474	0.890330312223049	0.727139731291146	0.745904701236279	0.840041824941572	0.880616169214058	0.823626534424615	0.934248431418002	0.821649109829709	0.931393868978779	0.883394745204354	0.802275952362921	0.873617612996624	0.943523181322588	0.79074921495139	0.903842899732449	0.926494499678554	0.891714343615925	0.786639317207723	0.93922392905708	0.910119830999926	0.947354943528807	0.697197905961402	0.667148971094937	0.579899423392891	0.826025505577403	0.850637414773125	0.85393088052935	0.893445305492795	0.75125482170448	0.877279705468138	0.82614424985094	0.830165119462982	0.560628433501484	0.484061246630064	0.914612398846709	0.771709378770133	0.840519827295873	0.820561604915614	0.737258673264526	0.921831755305644	0.875862626832286	0.620460274712097	0.915841894431361	0.668922800510566	0.775724644723688	0.884978255189705
EGFR	0.765461644360174	0.728107487450508	1	0.681715724987332	0.816902059410856	0.861200113195675	0.72848525363785	0.820959144627781	0.610450185489643	0.786717653063725	0.531861972909037	0.815455869527856	0.865702341653876	0.791684722459792	0.792536896497397	0.616211967477568	0.827254337701661	0.814669587225737	0.567779940941127	0.786284576360789	0.796845273184664	0.770230684519477	0.795095303963407	0.617943901113891	0.811100100215262	0.713214773424916	0.880943962609224	0.691819124485289	0.741546897671982	0.729627762649444	0.425059693289691	0.831081830691754	0.639742343981524	0.887210088893318	0.828086431193086	0.662931564436794	0.639088384318912	0.730345109999175	0.776390819753177	0.752016953144113	0.775173559814915	0.747097243050633	0.431427079152185	0.838573799174762	0.842570998421123	0.788161122520543	0.794363315995782	0.723400270146956	0.568524949682117	0.753726774188666	0.77799342205071	0.748780784444262	0.804020407755906	0.865042350261461	0.707799465699556	0.810390489768917	0.73812437042371	0.73952608088371	0.880243960929443	0.763630435080181	0.357155115903914	0.787247663726754	0.757163436605567	0.751589203062092	0.807001876147493	0.617274442191061	0.776459837999045	0.757183010377784	0.82072433402462	0.8053915950897	0.641820826465131	0.778618768282162	0.783503686449923	0.800416896550111	0.315717078827652	0.530508091264907	0.836599610100519	0.796037343907131	0.686006320337835	0.786496638484509	0.324647317651941	0.856843047603513	0.750142061818352	0.849666637333984	0.744105535114222	0.801050102885049	0.73055765309157	0.35489996120644	0.702038350270909	0.49069286842919	0.533357296801728	0.824604806906731	0.794115988668866	0.711750350007222	0.719900613381891	0.759477364584408	0.32007983551436	0.798436178500267	0.85635394019885	0.751573015247134	0.783235197920072	0.446994773868322	0.785120511538482	0.669704032217033	0.380609072122763	0.787792478700233	0.800240204955221	0.856338482798259	0.717508249084364	0.790869714959492	0.763162103140625	0.427013596155812	0.784706670466452	0.653890151252824	0.609820278444651	0.625042500207386	0.689720395482241	0.555190514502798	0.483955654362604	0.867361915604936	0.848987665233189	0.825864584814408	0.694144541444009	0.750360452558974	0.764298379593838	0.567108901816544	0.63649421126713	0.303931303432519	0.621712347865229	0.802187998666915	0.795605509304821	0.876280987911259	0.774565750626103	0.830228020445603	0.715510333663729	0.313434058015797	0.874146277560376	0.468283568098498	0.485687840789945	0.895259417276678
NRCAM	0.59365884155583	0.957708772563191	0.681715724987332	1	0.926014433544974	0.805397670825299	0.929778096069405	0.804083823603346	0.960273897940242	0.849597479594375	0.903648659222877	0.801284567958092	0.830171547169415	0.680080975795516	0.76261863617686	0.980446016039891	0.619604367235982	0.7888687407677	0.951135473209624	0.88342245659151	0.903039419252559	0.702298147706179	0.784509665773267	0.971050891541827	0.879013871543429	0.652638837171714	0.848449195013958	0.727255496782603	0.972623443791429	0.507468338851742	0.881859711719277	0.763602756417729	0.861458572706045	0.793172741177371	0.790400992530877	0.912733609435641	0.972494840976505	0.956130345614701	0.933986261691323	0.758406137296245	0.951779185874019	0.541596315703479	0.906615670645447	0.607422166197241	0.834654711321729	0.878327585770256	0.915190046652397	0.741105369110501	0.961504691762488	0.940579988281675	0.764289594874685	0.881052664303838	0.795863729800111	0.768444341256036	0.867481229927209	0.778100607982691	0.955344452500936	0.894311958728487	0.821840905756814	0.771770144989555	0.883285218378873	0.915079179866034	0.629154210634899	0.753530016675555	0.83720069418391	0.458634514224301	0.902405483445294	0.842334080956605	0.823550663286219	0.85858589473334	0.877097195141661	0.921682183709222	0.952807155184528	0.801530537077316	0.850240512482842	0.930280917535746	0.918272019916993	0.726464404893243	0.940019696735675	0.795555993937848	0.83833365487077	0.770142298061532	0.540805473181984	0.777486970733291	0.656206088424799	0.912181725904327	0.662053148619814	0.87474836670966	0.942313738701183	0.874797603008864	0.93850869491211	0.707294327267182	0.481620748597659	0.943573619686322	0.890134548669341	0.693576594858265	0.858454220454586	0.846289562281735	0.860739016700395	0.826201131017642	0.905513008504423	0.912956863528383	0.930395514662975	0.905063095610644	0.898906703073606	0.890281645291072	0.917935987040812	0.777191580701653	0.909463955759353	0.889891767432239	0.801111008963879	0.88116763484281	0.854343669349168	0.932330914496723	0.898228523366629	0.76735405018038	0.64905389534864	0.391778387622461	0.925739958998416	0.826893188457054	0.805182006879033	0.893972720944718	0.696367013737898	0.881030697575426	0.817083412504698	0.897973859215792	0.604957056192183	0.663166038112705	0.942777054305796	0.758019612077649	0.821974292176189	0.781160638417491	0.744991426132725	0.920653918662714	0.91631343842778	0.724453058499854	0.856448049971509	0.697570599028698	0.863474727219571	0.864039385840062
CDH2	0.761068064907053	0.932820798897322	0.816902059410856	0.926014433544974	1	0.916997577247969	0.906055090580337	0.900212065699117	0.863221037407497	0.947024857331167	0.84980006881048	0.886938762699291	0.945218085443022	0.860198605728767	0.830258747548287	0.897872958884644	0.782265478178068	0.851220295131504	0.838953281925608	0.900535139769787	0.967930626575592	0.868156281945574	0.844571841061813	0.888037804208226	0.924629478626675	0.797492107228683	0.950302219785622	0.83373223221593	0.955732738188347	0.681373059221634	0.763610263216324	0.87526000455531	0.881972447492222	0.94004088750707	0.842833585677323	0.908006689607755	0.90466039514378	0.94675125307638	0.963613931274344	0.809645013793231	0.964229062609781	0.682373940504636	0.768514897476092	0.758965973882264	0.945627950400483	0.95080778436414	0.973495391752472	0.759020231190868	0.870752989967708	0.929738573007961	0.835069039266451	0.942824738040539	0.890520839125014	0.898461615750753	0.910041291119406	0.80843659112525	0.936722624588653	0.948462215366191	0.943410049663554	0.910881727946265	0.682615472726758	0.934803462322145	0.779994785762277	0.835624911692595	0.92206994030327	0.55014176700478	0.931386083337052	0.942917027512342	0.893776501801842	0.90031511764914	0.857942559544411	0.970922200904164	0.935372946973465	0.91020830445817	0.655823341370089	0.848080856350946	0.964800184272976	0.870867510748535	0.899717351492548	0.87507054963199	0.628127408492455	0.913690072268669	0.717035808824404	0.897815464057273	0.83475735007646	0.969762419695966	0.757392305428125	0.698149575189372	0.937754986348754	0.807129296203314	0.798719462094211	0.837508193670601	0.651368097705579	0.953409168951826	0.923226363863576	0.850533820627356	0.659703614804828	0.947957048534933	0.962219256343092	0.931254280737486	0.944652321995317	0.749737211412191	0.936993073156978	0.908553800876242	0.722264633906826	0.943134696079076	0.972378876117627	0.924807075170729	0.877280068853699	0.928213420805197	0.827265739184865	0.749232260178942	0.882827767678883	0.874244959185792	0.822527546893208	0.79534563511086	0.741676931764411	0.527413508849636	0.805545173964495	0.919649353911388	0.93562219562667	0.946642726894527	0.831191101271854	0.906202728227879	0.916581407155866	0.833335122705105	0.754482017674077	0.568280090772398	0.904729909731847	0.88255885204436	0.894567076807794	0.913919178862692	0.90084574639976	0.98555713664858	0.94350851700141	0.565217691231744	0.955543197193358	0.694719598905927	0.781573109480025	0.935680385711639
NLGN1	0.774350707567575	0.86713025813239	0.861200113195675	0.805397670825299	0.916997577247969	1	0.877179515334456	0.910238567709243	0.723365982440152	0.907629503956415	0.647240768789356	0.896740573925124	0.96244702703869	0.879208958683823	0.921494568157258	0.746477374744901	0.857534320965257	0.902428101743294	0.670570064275905	0.898237175554321	0.876195451375044	0.805262386628331	0.909973773355177	0.771795353518671	0.932817180642519	0.73847424266924	0.975081601031034	0.786226478752055	0.857686112530702	0.789140887909971	0.556535225102109	0.910972744710584	0.741651877968446	0.944706429039596	0.860377612406104	0.776579573218069	0.741535958602658	0.872822517460729	0.884893293923024	0.874161999069536	0.874850807189458	0.829820530390208	0.557706802415958	0.856966747905187	0.937509918176381	0.885698268420556	0.895484560800835	0.83292391651037	0.712189329148935	0.870721650827555	0.879514088298449	0.836511250418508	0.862044252765211	0.934247442835641	0.808403573042731	0.849792547677316	0.863545275785926	0.865527754856798	0.926227933518057	0.824666407866479	0.502123933005143	0.912171938830524	0.84521707943786	0.823453381075323	0.86693174733459	0.746007747492017	0.888071177636648	0.833052583531863	0.911553247378784	0.911703379865074	0.75418746798544	0.911183648177924	0.880732406485996	0.888021775914076	0.433058418044064	0.671598772615085	0.911284465747752	0.866392114349939	0.820404186605142	0.856023107568802	0.481880041028353	0.937294806017381	0.699098746001796	0.931657299154053	0.826894182538212	0.908953928625456	0.813192011599161	0.502274211443837	0.831901460494934	0.640064697920382	0.632929014607738	0.934649540217232	0.800002375913685	0.817102947304537	0.863326160240295	0.850376563769303	0.451478314966915	0.899684940869069	0.948919375147026	0.840525512659299	0.900089189693785	0.548153692209103	0.892407459672266	0.767099356527206	0.510353021370569	0.918355711298625	0.899990672602895	0.915333999180564	0.837281069313427	0.917532213337418	0.892666438398775	0.567625441042963	0.905816365789514	0.733501495104709	0.729930678139675	0.679328890343944	0.780204939849318	0.640585473268592	0.622961186235114	0.910275917316716	0.92509057868525	0.879813984057898	0.812996023129265	0.875280420767841	0.853708512794269	0.71358634641564	0.685764588517693	0.399293883319067	0.739623809583278	0.885633852531015	0.929095984943203	0.931443935111112	0.834158860364181	0.918201952233595	0.816069955394061	0.435161945028384	0.964330598941374	0.612195888636176	0.602964886751272	0.947860805278829
NRXN1	0.635993193903703	0.983145603316697	0.72848525363785	0.929778096069405	0.906055090580337	0.877179515334456	1	0.88727793348351	0.907968676384861	0.85043701034428	0.737135443694944	0.858083508764515	0.863105669308217	0.76890904175521	0.882096998110895	0.883125344198417	0.725549901565884	0.909866079063027	0.871331769876234	0.970065936964083	0.868288516833562	0.643095471886774	0.918814362953437	0.934828919519824	0.926738534147888	0.578750382866038	0.913067035660186	0.780590478873257	0.953079785205627	0.703471533804149	0.740463076503765	0.876144059185853	0.753349519610123	0.812853540807741	0.8720795679374	0.832346103914392	0.864642811864569	0.929503678285112	0.873796389916516	0.91691097717949	0.933417401595806	0.714613514761673	0.789956359267182	0.747924617418669	0.849512663882012	0.837193849694868	0.861805045975356	0.881557988392605	0.869015474899025	0.931549102831924	0.853386410696006	0.796037958438676	0.804045047419307	0.831980255265135	0.806787640914162	0.887266121611997	0.957851761487678	0.846809664786156	0.846302158225575	0.723847331730226	0.771865646812792	0.918083158681482	0.776567749411336	0.794493634093176	0.778090071050714	0.701646559605341	0.883132321055801	0.777710376315894	0.885454409365279	0.935338388058263	0.776457978331778	0.888641406363137	0.948336027668324	0.800118733355294	0.690952001018334	0.836457563140644	0.876402684877354	0.699405037139037	0.888862307037848	0.8457193163332	0.749152346449421	0.837987272419421	0.468884891900581	0.795825499682904	0.711647357085119	0.881462968853461	0.807538972450866	0.732906539886052	0.887728448195781	0.784954161757425	0.857264819354359	0.836598054156289	0.675887948261992	0.879663779710013	0.884821688958992	0.701603635772954	0.708842077810636	0.794357907086911	0.85831657367555	0.765290771738199	0.915228681787024	0.777238073460809	0.924734861141496	0.844397827061653	0.759062046753112	0.859151633875658	0.919082666378867	0.766238894480327	0.907332814860717	0.929236587838838	0.920993252347151	0.744280563036719	0.951939901761833	0.876708988097285	0.935464813042427	0.673250400410619	0.688626409386409	0.622966564220803	0.778142660157655	0.845673957364304	0.839025092949533	0.872302050468121	0.760269900861779	0.876196749552323	0.792570004329957	0.811302666548163	0.501687790762008	0.448701626480012	0.873385319724411	0.758182608141202	0.847683412692337	0.815330089260912	0.683731689723632	0.889611634084519	0.83390954865252	0.603111988979026	0.916902894016263	0.670402472238463	0.724660637660426	0.883042836749174
NLGN3	0.671657474882883	0.898816528431462	0.820959144627781	0.804083823603346	0.900212065699117	0.910238567709243	0.88727793348351	1	0.777196507927245	0.899858974265954	0.638921308887771	0.897338725836612	0.912708364315791	0.904977988919586	0.882336870671525	0.763175308429578	0.794154287037635	0.927641754925888	0.722693310302108	0.94594234946463	0.905827763372465	0.802725596568543	0.908763555306477	0.77310440451054	0.90975344932556	0.603211518030792	0.950264820638541	0.829033286027219	0.87336546999301	0.871402643655758	0.625374459356576	0.914427404065547	0.697928769416397	0.917221878998366	0.871127878765166	0.731314516433939	0.744062605866353	0.836336790164453	0.853458839862473	0.923456092265606	0.904471344885608	0.833996042383749	0.625277760340475	0.889557344445662	0.907564233564557	0.843741289596291	0.864338326193168	0.831359054081295	0.709207596602986	0.864398236548183	0.869248815162521	0.778187078631504	0.825626223592652	0.862558470832314	0.773740113615986	0.85185288654698	0.864593347578829	0.84813879591408	0.888934511684204	0.790399738109454	0.519538012742593	0.889336632184986	0.861867534056893	0.828176677361091	0.805559697932249	0.760788000748367	0.850953797171239	0.845416495840558	0.926676595253234	0.869595269497397	0.695848295025154	0.872234929743958	0.86101605836962	0.806642844447599	0.430013366655103	0.739824573845265	0.863900798367895	0.789728786021603	0.798966072711302	0.863764481542736	0.499742984482711	0.906063275619963	0.560734135037929	0.897992465364924	0.878892868661124	0.893464615555198	0.899981840848325	0.479320157700931	0.792593881832364	0.68639745080899	0.700991046166888	0.876368530434832	0.812591120415375	0.831241000268589	0.80163106125546	0.801843215625537	0.472836559989946	0.862994861391019	0.900698423622148	0.850095549185641	0.922113960493554	0.576076861908626	0.854431147562894	0.782147726554649	0.535200879889923	0.822002745201358	0.917718629974577	0.853542791753714	0.791025909483414	0.893463419610042	0.890244488094412	0.551553546659438	0.943550437389464	0.816665171547862	0.845734581979991	0.580642525546833	0.668926108145004	0.764214451374421	0.600553956716211	0.850849711339599	0.92169152271789	0.862288359146665	0.791917934371656	0.809670495075918	0.851004893013002	0.631837322027453	0.596573763484137	0.264034602465771	0.787286024461026	0.812299955040223	0.839788162553887	0.868210483231078	0.800506019189576	0.893934881258491	0.792327670088077	0.386562529561275	0.944043087670985	0.556271389200532	0.587982738875477	0.877652446524497
SDC3	0.493555076301821	0.929810867533029	0.610450185489643	0.960273897940242	0.863221037407497	0.723365982440152	0.907968676384861	0.777196507927245	1	0.773660706522318	0.86193002043814	0.764554742642236	0.753626193418033	0.608551591188027	0.722393476838057	0.95563848980192	0.523866609005495	0.777578470034554	0.974555895137765	0.869318175562897	0.848008016875605	0.627436450710114	0.748348892143551	0.968149750309554	0.837953482412393	0.52888003401126	0.778256122076645	0.691031262633081	0.943115652780957	0.47506526090068	0.887500109891352	0.729883656716441	0.823429821717556	0.714857863437995	0.735358893210647	0.87346763714304	0.939351747468838	0.918231315636823	0.880456419581817	0.748127507025572	0.927480103235735	0.48347848276992	0.911319077863716	0.554457298942906	0.764617257887034	0.808735892086146	0.854827564458781	0.71695113082596	0.952334178076076	0.926161377939691	0.729531344889938	0.810807575651932	0.733915678505594	0.671971909737821	0.806199991910153	0.754066503966405	0.935933045384276	0.84738212350507	0.748682964010093	0.677556409129971	0.893978803577208	0.856454545476814	0.596194344955021	0.717019798449367	0.76031050120177	0.441445288310801	0.847043465810161	0.772270097482577	0.781835747035958	0.796889961041272	0.822911677722012	0.85761696398658	0.929895842415822	0.708087877175228	0.869362882882041	0.92925521779643	0.855948926734867	0.626998983185535	0.90873397333884	0.753137299170169	0.877270131602676	0.681051836532473	0.404270088250146	0.707772207738898	0.601728749201861	0.845676934766977	0.631331013569381	0.891582708299057	0.888332722491629	0.890005957345276	0.945603642142891	0.626964345544391	0.444357363935621	0.899145513287174	0.833221146626112	0.612599471681504	0.901760364484636	0.774124003553077	0.785252132403426	0.756710835643092	0.872924287085066	0.924906163278896	0.87620318997645	0.871827338960495	0.924296691843567	0.813794395369074	0.881111989197288	0.688226672544674	0.886501100917054	0.837606763042132	0.774881275183517	0.860384364921688	0.831251783567691	0.940462818857957	0.926740115618933	0.7021128603464	0.570898378634842	0.383864604576758	0.91066103271945	0.758033879225785	0.746794737867037	0.842886854448457	0.653789029576429	0.816761435329828	0.753553221291199	0.859266408752479	0.477641589402726	0.616274591409862	0.93102393340031	0.677459728638089	0.753121871025794	0.700215836234243	0.654701643250271	0.856739072031909	0.863656412877034	0.726564066122457	0.793263092230079	0.658435040838905	0.833644751008819	0.792342654826665
APLP1	0.717190717225539	0.878440087535387	0.786717653063725	0.849597479594375	0.947024857331167	0.907629503956415	0.85043701034428	0.899858974265954	0.773660706522318	1	0.787782432908563	0.858340406236463	0.919470290515736	0.910517114044951	0.813638126366335	0.810727626143921	0.773405889604676	0.815431826190125	0.747429833447474	0.857267273099217	0.935332927759166	0.89010674523294	0.827171278532051	0.791629712131316	0.865139692025764	0.75404211860855	0.932880179600235	0.85867283425571	0.888781173369496	0.733785005464642	0.700757552149463	0.860040226817722	0.848965871756888	0.927281272958597	0.814001488261066	0.816468059866337	0.816710736499431	0.892423178326187	0.928095340356164	0.792112525199362	0.912796893784629	0.712575789685455	0.700106436936015	0.770148296638203	0.938508352054171	0.925495764224783	0.920944113545981	0.726653935849822	0.77811594010104	0.870497781359329	0.794919103673145	0.896005012633155	0.822924535452363	0.886057773943193	0.854372764737711	0.754979915108302	0.846176165226181	0.918515252369023	0.89730191208794	0.916345269399202	0.57520718681775	0.917990054916457	0.773397847360031	0.867037052998124	0.897618131881809	0.60360966996746	0.899785742199672	0.948011112902234	0.873582717137779	0.847135427659086	0.824333105170909	0.951355088369602	0.85321941981983	0.859850575390626	0.516854542948132	0.805973585674801	0.926500663971299	0.876801604306519	0.833932001217339	0.838356337227253	0.508956941359965	0.891243443261163	0.697196606189665	0.888115895127613	0.893299170506756	0.93202650961446	0.790252779395495	0.570616306954246	0.883519626922624	0.776416339061463	0.70875549971965	0.825518507099211	0.682071909124199	0.917258113638834	0.866768877869269	0.880046605142745	0.547815239910303	0.938677427019039	0.938484975557937	0.952789973826051	0.882909669907682	0.639329614078284	0.872528059461804	0.838695397629845	0.608954346180092	0.911216441833113	0.939007936113363	0.91289170023837	0.816412955523287	0.883801156801697	0.79323107116811	0.647669699937716	0.853916792217389	0.803680606332708	0.771710286293437	0.680215517953356	0.66441515805227	0.60735198884323	0.712859207081335	0.8686548391833	0.914599434489647	0.898380963641927	0.839072884663696	0.834571231078398	0.896845008738967	0.738041742814155	0.774254109748856	0.448142703130946	0.860004112457793	0.863185030566634	0.872574793849397	0.884040306709303	0.917640227294237	0.942522533288759	0.909434574229132	0.460646778789987	0.916370316848384	0.602934512069248	0.697993114829062	0.877045153956546
