""	SIGLEC10	CCR1	FPR1	CD40	CCRL2	ITGB2	LILRB1	CD53	TNFRSF1A	C5AR1	ITGAM	LILRB2	PILRA	VSIR	LILRA1	SIRPA	CD74	ITGB1	HAVCR2	ITGAL	ENG	P2RY12	ADRB2	CD4	LILRA4	CD226	TNFRSF1B	TLR2	TFRC	APLP2	CD81	TLR4	ADCY7	KCNQ3	TREM2	SORL1	LTBR	UNC5B	CD163	KCNQ1	TNFRSF10B	CANX	RACK1	LPP	CD9	IGF2R	PTPRC	ADGRE5	TRAF3	PLD1	ADGRE2	ITGA5	TNFRSF10D	ITGB5	TRPM2	NECTIN2	PDE1B	CD300LF	CD47	FLT1	TNFRSF14	PLXNB2	TREM1	SMAD3	P2RY6	PLD2	TLR7	RXRA	TLR1	RYR1	SEMA4C	FAS	RIPK1	TRADD	SMAP1	LRP1	AMFR	NOTCH2	SORT1	NRP1	LAMP1	PILRB	ITGAV	NOTCH1	CXCR4	CD63	CD44	TSPAN15	CD69	PTPRA	MCFD2	ERAP1	NCL	TNFRSF12A	EGFR	CD33	ABCA1	LRP10	SCARB1	CLEC2D	RPSA	PTGER4	SLC16A1	NCSTN	EDNRB	SDC3	C1QBP	PTPRZ1
SIGLEC10	1	0.848158245325421	0.943881511400476	0.781296097630646	0.748359748871746	0.943244410963413	0.909927954245516	0.918503857159046	0.918471545578669	0.716682845100896	0.931341676887252	0.506718119713191	0.850574992866885	0.549956036123049	0.532923173525505	0.90505526684943	0.801708850612318	0.906089677984375	0.94647124240934	0.878875693168968	0.879249784329955	0.543656772546688	0.662689644027218	0.880047996757768	0.774954841186671	0.891172453938483	0.739744235076832	0.801759926728623	0.835872371027169	0.811097552570884	0.925373258399229	0.831968025560387	0.890079887168027	0.842008186897115	0.944464440292322	0.769915376261356	0.882388069216241	0.828682013508713	0.362247205507449	0.771678605268015	0.648292777939902	0.767984550837375	0.835918743094936	0.667958954729558	0.806939092651107	0.738308459538356	0.908294703882892	0.765581331108782	0.703087245074561	0.881658657253346	0.838130040583505	0.707951390285501	0.831860360914142	0.870500704948318	0.830747690604174	0.760700570416019	0.667050524446812	0.686286917994365	0.773677088631146	0.497882683462683	0.748549539208632	0.794551395497607	0.760173338198459	0.671940734107967	0.811565051826496	0.685682943413977	0.83782461011242	0.740399215623335	0.931989820035267	0.707679408920975	0.622166033548806	0.869219800035327	0.734870932524448	0.725036972348473	0.6970666595579	0.782790698191106	0.414579227653437	0.509971852945282	0.882840285582445	0.812432212484878	0.834571489204496	0.110587771705526	0.666615193570171	0.599825407269878	0.486448798260993	0.817347716712033	0.302011249459203	0.698562569824971	0.83146398747497	0.5408413100513	0.688804416970312	0.725870470359298	0.774344845250803	0.608276780538266	-0.142763091305473	0.857008996898673	0.69840906119038	0.888325349229287	0.764728419885355	0.630439640376289	0.869935338654204	0.891688728642017	0.260308416948387	0.686637209904872	0.118329971021178	0.0713225896779681	0.784054441754025	-0.0982020767911757
CCR1	0.848158245325421	1	0.916007082702402	0.765424288152684	0.88704169958233	0.91737949643355	0.809890899216821	0.858489111195448	0.863375646708423	0.847369357884295	0.903711829165809	0.517216811326472	0.807268808415869	0.483043944012215	0.428759486765755	0.939590779991873	0.692365099733507	0.891860098122873	0.935842230411817	0.868770817937759	0.94164775389953	0.378121615105334	0.562250940581595	0.797511333152745	0.776235212235382	0.761117912506566	0.777190303389122	0.648660487824581	0.860420998472573	0.883723038501342	0.900960369739729	0.785842404239804	0.807791797636031	0.70237975942594	0.900169935426907	0.631658003862999	0.822217958563414	0.830536552654155	0.511372846892806	0.647023365853171	0.710593080009638	0.820621297215003	0.848758709094545	0.612473189742738	0.856588257574188	0.727306988251765	0.848034719607458	0.801470492925486	0.817066118378293	0.920537161069832	0.874078115259531	0.81009012447359	0.790321454761212	0.871404105472023	0.728508407579155	0.797538927009052	0.48108445950626	0.763806080542191	0.792104360578663	0.673929559745084	0.847024576732187	0.869708306043295	0.901520838733769	0.585713014428431	0.757982812710089	0.808146447327178	0.77400933196336	0.705688558319623	0.764736060448012	0.62564827442634	0.473681198875848	0.88376349275724	0.74408223353407	0.815104515873678	0.802592982567281	0.836089964674216	0.484843983892816	0.667235712943868	0.812121980617216	0.876288588432873	0.902577182091344	0.14824797105547	0.65133142021069	0.602403469070635	0.551788028054516	0.885439120286683	0.49159491777923	0.663799441084499	0.772368529485538	0.526163229082127	0.792741241738073	0.820607828880332	0.819839812807098	0.809669219554942	-0.0941054558787336	0.714326958794008	0.816466544723365	0.844612415287947	0.766034981142078	0.488263605474625	0.865628090366671	0.895245675820543	0.27114796184189	0.677412908159975	0.174842513511309	0.10640921080635	0.804193850685475	-0.0513902553391992
FPR1	0.943881511400476	0.916007082702402	1	0.855135353224153	0.840441021261592	0.978886722886789	0.890599602251247	0.953975104315972	0.932126782488724	0.818354181381622	0.97701848617163	0.572956887334296	0.870036545160031	0.582692194892067	0.582977772218222	0.921772295994381	0.794749119032913	0.907492244045337	0.975657184653059	0.906996922847445	0.94706972378428	0.504859746653137	0.648966804689919	0.890942068687958	0.818822872699836	0.842361447205255	0.780824043566323	0.715894278105823	0.894981446169538	0.842572507756695	0.957806151097303	0.79396942504759	0.866433172251481	0.782838735836838	0.968127128280893	0.71484022139162	0.843056765217483	0.872438279847539	0.404231057748068	0.718866244912712	0.689572203554762	0.777034186207267	0.908577803965355	0.62781665138797	0.827387110972292	0.722952982337761	0.901996529998266	0.797384366895385	0.7774788698461	0.89150185445835	0.87626522057474	0.727632500869621	0.825199044893525	0.888869723071741	0.798208998453929	0.765832246311867	0.621023251510304	0.767152956473204	0.777045554231212	0.546442897108299	0.810708441530434	0.855233093397448	0.862792016423306	0.601070496376733	0.826106729231557	0.784242005780749	0.832528757299492	0.789135329018859	0.875652694858151	0.709496120147946	0.547899823030552	0.852773483146348	0.740793179388685	0.809604391357407	0.758267922958662	0.786569042672328	0.436145470550192	0.536288655778642	0.886114939029983	0.819495225655208	0.891682843967172	0.0870575889640053	0.648955265855626	0.587880121040372	0.518272700975012	0.872231482527525	0.385627422765262	0.697209415381769	0.833953922121806	0.518002660664743	0.722876643335225	0.7327076823591	0.819377428050499	0.705889857616455	-0.169643259790925	0.828018343880391	0.721393938856289	0.886599854214188	0.7405814302603	0.530443924958963	0.944452459210994	0.90562717903252	0.252486998138041	0.689969738083476	0.100184368260602	0.0373663719750151	0.847635131992566	-0.130115650883488
CD40	0.781296097630646	0.765424288152684	0.855135353224153	1	0.673492711853419	0.835594276306628	0.755698661918603	0.86062877849435	0.806880434547059	0.591268505489727	0.797150385714969	0.352521314567491	0.864966232733999	0.73382415774803	0.650737393675918	0.727271570321585	0.793901030612733	0.651167524025153	0.826351710247021	0.705089372076205	0.79369372398355	0.6923310456004	0.655496829479323	0.741427429644416	0.847109095825427	0.659367590194976	0.594338019514694	0.668247374259431	0.644146091919801	0.60309447772642	0.86207559743866	0.603559486119153	0.704436563705352	0.653466415009117	0.838576377901282	0.723459206668785	0.740566193563218	0.766212498152154	0.158712200945487	0.53041613035727	0.67114869177133	0.542324821842226	0.83127672427661	0.569851931365223	0.599853076149861	0.470580678887508	0.811750437751247	0.59686823868913	0.764686337314633	0.708199004976994	0.681325452498393	0.535415225064795	0.642989932910508	0.763772162916947	0.732804845246761	0.544099215195749	0.477998043697955	0.641868530025023	0.61312840228577	0.338869389296738	0.61975452453941	0.78283493632617	0.682627973964212	0.378295895104443	0.745590889088478	0.71082944497885	0.790765068915101	0.522780107044045	0.807904553838714	0.557401737797111	0.43233237376356	0.675457048668912	0.558336885322571	0.70803387980857	0.583403321706943	0.580890674594867	0.360696656211596	0.310914557722668	0.760835436895731	0.611668093283437	0.765362456580857	0.1343328406152	0.460554466407522	0.305553110422235	0.306750627662654	0.682078718757362	0.14242442859997	0.708210050659629	0.655806762459961	0.368230504441678	0.542994823890807	0.504442597802696	0.6601235656053	0.556413642229388	-0.212818340180368	0.815751671702861	0.506954769980077	0.750051348910746	0.519339158112921	0.407334325234922	0.827747531963414	0.690047139334111	0.106551054388383	0.575787337822787	-0.00508529840151226	-0.0938865005341478	0.755233548781809	-0.19636204152423
CCRL2	0.748359748871746	0.88704169958233	0.840441021261592	0.673492711853419	1	0.830717659970931	0.595997306704301	0.738745131984208	0.767331285710365	0.827446996290372	0.843380042610529	0.625189908820524	0.72170764561836	0.349312341767261	0.401706985319591	0.841781022020872	0.507154005877985	0.865820237329583	0.850329828185275	0.770651262023262	0.857289138913971	0.154949770044621	0.323932820472882	0.608826871067598	0.720126097220261	0.569271947652053	0.739310995871545	0.434572199543603	0.783440064606268	0.845028655110615	0.828514233338857	0.679773271850668	0.651390785090599	0.460160706119167	0.854086337760416	0.387549657448631	0.777628101717631	0.674238024703835	0.624956072953531	0.491685705259634	0.454473612117808	0.750648541609785	0.814175229647084	0.409706730104393	0.86878054586475	0.739360214940893	0.728339214032175	0.730947046131181	0.728216087271041	0.823928451588363	0.780560501149052	0.793276834043108	0.658099408313474	0.796336275506738	0.513172967544834	0.738799372111396	0.268464196579775	0.851013661229178	0.685679975887881	0.702839126562637	0.921103376352565	0.812041889592595	0.917182534989884	0.382164719239086	0.632566438395759	0.849698840648019	0.567797948773949	0.713946470314741	0.665645409354975	0.351270559462555	0.20110776650148	0.799175375444553	0.539424417881799	0.790868651219683	0.674649996159178	0.678515831044651	0.273707659307876	0.658955415852871	0.626010752643135	0.76723962749942	0.893923985872335	-0.0861099640136101	0.530807551796053	0.513300302490597	0.505883198721308	0.936672868269781	0.695258289189336	0.6542183787775	0.58806802618818	0.374311407127051	0.728085220917687	0.733988474809836	0.671294717541439	0.850956213750634	-0.167623812408107	0.591025934863519	0.778939774971699	0.718389488656526	0.647047556538829	0.293790316706682	0.881156671663496	0.79325874015968	0.17607992830469	0.611571049180565	0.0981625625921559	0.0261384950866919	0.763179940297525	-0.152562563592172
ITGB2	0.943244410963413	0.91737949643355	0.978886722886789	0.835594276306628	0.830717659970931	1	0.908194186678009	0.964931548747569	0.916425941610783	0.814960962048638	0.955743251193592	0.541336279206509	0.883047284317973	0.621758527888191	0.547160737530514	0.922520333620775	0.831313545651636	0.901724966800906	0.963070250916125	0.933706158640538	0.94936653907996	0.530191831234592	0.702553223118814	0.913338789968246	0.837664436602932	0.846388774742455	0.776009746961951	0.729333735678225	0.890623485774503	0.826673194628912	0.964863273813256	0.778059002497685	0.891018640795367	0.793319743384427	0.965940304074742	0.75336204502678	0.839006196425233	0.895105483340101	0.399003450904957	0.762525579069471	0.73985928628902	0.779244435937778	0.894436014198335	0.647151807148893	0.81536552555112	0.692825899888424	0.914073807218214	0.814735267822001	0.759542661626121	0.886376238041674	0.876035864389044	0.709128809849431	0.822360098494131	0.896363799021792	0.838890556867008	0.73117607938437	0.62651898723937	0.755748582506256	0.78517897783484	0.507893517145548	0.806496760217702	0.848731567704733	0.859932166878783	0.620020874351841	0.846447868337625	0.753417064809209	0.841062936095326	0.774546398489695	0.878575991673935	0.738779808029645	0.581185591570721	0.870168560704267	0.75875224097073	0.811858150343318	0.757339035787006	0.789684554054439	0.432022578041138	0.539275138008467	0.898303362927872	0.833473780118688	0.857040848385234	0.108517374705609	0.655337190701947	0.590199084633177	0.564550063816472	0.843735526016128	0.340044562776942	0.721028850026193	0.873616034453297	0.503381605825802	0.708535129363421	0.744326267717168	0.820517382981361	0.676741072674711	-0.16653749291185	0.815415012685088	0.708823636254139	0.9014751353031	0.741250164725682	0.529726523727991	0.922685014531794	0.921722666557744	0.25349229248992	0.671167533417164	0.107157264739931	0.0434390617627669	0.810518315406241	-0.128191084700185
LILRB1	0.909927954245516	0.809890899216821	0.890599602251247	0.755698661918603	0.595997306704301	0.908194186678009	1	0.914048146404284	0.883536452347928	0.73088128521503	0.875461245762279	0.449120540683175	0.787866988438078	0.648631091978353	0.573711612304648	0.853532265105347	0.869145369040534	0.785145683929178	0.869403900061816	0.911725555867963	0.846118761965382	0.64766837984909	0.822719269524725	0.960282920443871	0.727742460026249	0.928016211965844	0.742004591475314	0.855789323319048	0.841370262497257	0.733863487793811	0.861116929272764	0.822391292711861	0.946968978121803	0.925548235208232	0.846415931992411	0.870577197597906	0.767113004213626	0.872973014055748	0.22222597454585	0.829573074127329	0.833652887505737	0.713154893549088	0.782351779078021	0.761310070627838	0.659666991874051	0.633096064439558	0.902148799158325	0.811284545634261	0.687653663649434	0.800931738892901	0.822901617524905	0.592969595649005	0.799476924235569	0.807615064769366	0.90766407537943	0.646250344500737	0.792019512360042	0.59152546417089	0.747603027382892	0.343716080567732	0.610893477664472	0.738400555224506	0.684506355193304	0.792100968035271	0.788793072409979	0.561977070199277	0.891577811061993	0.748467564869017	0.857218652500353	0.880524023621981	0.762417408561832	0.799743310605852	0.819021848284332	0.657621109862797	0.715975294890246	0.799099794975342	0.573673408165563	0.493233035135283	0.954984344520325	0.754519729638455	0.708815826924879	0.30287351870384	0.67314438722159	0.605223062653867	0.589710770585539	0.637865357692945	0.115825446265286	0.619665621032276	0.934011352791925	0.584605412021157	0.633154674527832	0.698903366737409	0.83595937997461	0.470514320199562	-0.0646004313862385	0.819017315506573	0.590528622745086	0.882141194068473	0.728368530003112	0.72131981712527	0.764595532987907	0.884828903776393	0.323148972570476	0.605868243152676	0.160202806865012	0.126423367367778	0.714115433929298	-0.0058524141788649
CD53	0.918503857159046	0.858489111195448	0.953975104315972	0.86062877849435	0.738745131984208	0.964931548747569	0.914048146404284	1	0.9048317942604	0.757790978199509	0.916019040995802	0.4833537766942	0.919262358567358	0.751211329537917	0.635570054177553	0.87130216002376	0.930742343001478	0.84345711636745	0.933666395460243	0.905786335699274	0.879359242753697	0.693525558301705	0.814274196423879	0.947059741942344	0.889487690268635	0.857866262523728	0.78637975876943	0.773755478630222	0.792753321701611	0.742109501803524	0.966492791158529	0.748467769005893	0.890498699155889	0.822130873088279	0.947831279646701	0.846428435883014	0.7997552974906	0.858313011077577	0.268939330716237	0.787736329402857	0.780922472683718	0.699688985075722	0.912017956429536	0.677121600220423	0.69089104061241	0.635522112410738	0.930857768816061	0.781262102482649	0.772762559383241	0.813691758911221	0.771602807522413	0.603576034394755	0.786626173038049	0.822871685187366	0.892342474990443	0.637289355004381	0.701279848063407	0.719281739410064	0.743095588333696	0.330425902659574	0.702969882121104	0.773009255173085	0.734121055246346	0.598749792835468	0.878366753258927	0.6410928718788	0.904283331457287	0.738449737782253	0.882992382807838	0.784890032534048	0.686844424536879	0.787556574988525	0.7763015121503	0.818256277316532	0.740076260803823	0.748595567242024	0.45884162298009	0.412852040847351	0.911107795214388	0.75443568630942	0.82327624969947	0.142311857305326	0.605224311393717	0.489218705071071	0.58248777806365	0.7504718503146	0.173172198488846	0.735677049768457	0.896134982169316	0.476301769871544	0.646988757396131	0.6682176920454	0.803897397035602	0.537882132547871	-0.207107454232542	0.865183688512334	0.606271714058228	0.875905878264366	0.701191973987656	0.580579331804011	0.906735061182329	0.860402877674011	0.203880712614128	0.658288522055726	0.0611174989090722	-0.00606889032833637	0.78359462922488	-0.165881379430791
TNFRSF1A	0.918471545578669	0.863375646708423	0.932126782488724	0.806880434547059	0.767331285710365	0.916425941610783	0.883536452347928	0.9048317942604	1	0.816384384557583	0.937598068652454	0.607914519040532	0.812918492224868	0.612995311674625	0.592434233146944	0.922630656547601	0.798944648555455	0.871322689131413	0.924491469992187	0.882938425248493	0.87061325345076	0.5375093011807	0.658418408379098	0.881647220142923	0.8197030468873	0.855374542873236	0.834360083380979	0.769925710600674	0.836376971576329	0.864219646625416	0.924700515295212	0.874863381800076	0.895443589687127	0.814459569673345	0.911415603962055	0.751964856891489	0.844493532048871	0.856205065890249	0.356340174762199	0.734042946519302	0.705020260810785	0.810541698833398	0.905224537629113	0.762224285611414	0.809019921352414	0.784705738121072	0.919942428569566	0.845182346927258	0.797906021772977	0.829786760549255	0.841073478904485	0.735796809850129	0.797603220614169	0.859006753929945	0.768339058969682	0.782521183187669	0.655181572428563	0.734037126180846	0.845499590758176	0.492433581883001	0.78397710714255	0.866851156674438	0.779491308716012	0.710604362419284	0.71448988783856	0.728187210656971	0.841527113610334	0.823374476707644	0.875639330155671	0.727693380860313	0.594710128156292	0.832044209767702	0.730027332601853	0.773060133714552	0.805484357155551	0.831610132078054	0.584872494967051	0.646672882926062	0.905408100965977	0.798941762662195	0.884656344018031	0.301335067136491	0.747480988219129	0.66558785755574	0.616937926132926	0.812608655809211	0.361311266700887	0.629436570177049	0.816855976542567	0.668817012606382	0.768903390047666	0.744260908077658	0.870967239797164	0.666851165082495	0.0293238496896025	0.813343050816344	0.727327567255389	0.932247564490521	0.771690542869421	0.639916738643352	0.900500224854882	0.874723250471043	0.409499582059114	0.779376584339653	0.286902925936217	0.218511909672234	0.878429788343677	0.0749120986997857
C5AR1	0.716682845100896	0.847369357884295	0.818354181381622	0.591268505489727	0.827446996290372	0.814960962048638	0.73088128521503	0.757790978199509	0.816384384557583	1	0.848830463338521	0.736336319619523	0.618719318081419	0.424038389780187	0.491319258341134	0.816692695663294	0.587364223945176	0.796606875705026	0.814870710611388	0.839755453741531	0.856022578330293	0.242933444244073	0.483154006241419	0.757677843192063	0.673751327792996	0.705530171632469	0.890598181243862	0.537340293983941	0.838384325623527	0.850970253149454	0.760575583872157	0.786934030712833	0.777076092820207	0.627732807369537	0.75100727337422	0.512860952517704	0.661916403923862	0.782399792676763	0.578701565842363	0.596233967976261	0.652821024845208	0.759770283295829	0.761299176266625	0.584069355681671	0.74545429942253	0.793136133863587	0.787445206095505	0.840523315572407	0.718762095176115	0.747990736904714	0.794024340635374	0.757809986625976	0.725518758174463	0.740037790135041	0.582526551582203	0.675031566908843	0.543818813919055	0.835906043726029	0.662350158534561	0.581036822664992	0.854667160720074	0.731154209057197	0.862135894733259	0.666377293755999	0.583824807601294	0.688965291074691	0.68068441363547	0.854346449669836	0.629113163066504	0.635244981386356	0.392735426189605	0.728854351698954	0.696297604560582	0.742310980428699	0.757067493681892	0.758883416489935	0.530582939413913	0.732299273729844	0.725188552845795	0.751692455510248	0.813523137652499	0.14897230582357	0.596339894521193	0.601380350831041	0.761780608970169	0.76470444810956	0.602349236198934	0.495686924288015	0.750145476482012	0.518354895426296	0.707818205862917	0.722459034144625	0.78551466770275	0.701421157742853	-0.069105370711733	0.538831265683965	0.722221518406605	0.722546234002595	0.665512672552001	0.468226735249499	0.778352642538875	0.842590095064468	0.254408073540327	0.659398957872598	0.182341948600723	0.118683182770896	0.680376002419192	-0.0238938197582532
