""	CXCR3	CD2	KLRD1	CD3D	CD3G	KLRC1	CD247	CD8A	CD8B	CXCR4	KLRB1	CCR5	KLRC2	CCR1	ITGAL	F2R	ITGB1	ITGA4	TNFRSF1B	CD226	ADGRE5	VSIR	PILRB	TFRC	ITGB2	KLRF1	TNFRSF1A	S1PR4	TRADD	CD53	SIRPG	CD47	FAS	RACK1	TNFRSF14	LAG3	SMAP1	CD69	ADRB2	IGF2R	CD44	CD4	PTGDR	NCR3	RIPK1	ERAP1	SLC16A7	NOTCH2	PTPRC	TSPAN14	CD81	ADCY7	PTPRA	CANX	CD9	LPP	CLEC2D	PTGER4	PTGER2	TSPAN5	CD74	STX4	SORL1	HAVCR2	EGFR	RPSA	MCFD2	APLP2	CD63	LAMP1	LRP10	C1QBP	PTPRZ1
CXCR3	1	0.952639377087067	0.558571013523499	0.866008867658853	0.841972279862115	0.543733525464133	0.585518723876771	0.748521345554234	0.7560389299226	0.931788286153736	0.769263538589965	0.371167929490271	0.37822929428775	0.38454425474934	0.909527086497878	0.639192726271116	0.822159098383908	0.940801371567366	0.915111456068311	0.821527146133669	0.874616354763094	0.905759013669555	0.603215244710117	0.451040635859246	0.84736735918951	0.444235170483904	0.505787366833889	0.85441427647438	0.863908438744385	0.871645197868272	0.708007992769733	0.742723190947158	0.873308422451028	0.753713006979727	0.845664934006796	0.796004944065509	0.727423812420393	0.877967210967646	0.813457695684663	0.449871982721905	0.906261222331932	0.80428301757152	0.468044127641931	0.881222426477428	0.673507277948791	0.737413927697583	0.706537774532234	0.478518471223379	0.911213450197715	0.887472668031827	0.607213079245161	0.828520703882912	0.348755562896623	-0.123291468501649	-0.26049186403284	0.217708306445701	0.764225949633094	0.836128237568047	0.803541000904633	0.439146188041151	0.568085395128834	0.226150642942879	0.652148673544604	0.563337683702975	-0.275325651978989	0.822257815373813	-0.371601685539588	0.0921287239297951	0.400496466459058	0.429361158203753	0.595944841678302	0.349659027375264	-0.22661859949121
CD2	0.952639377087067	1	0.579811270142726	0.910514276626295	0.904006295777151	0.516374109354221	0.604475378103423	0.848494225694976	0.837469478556307	0.949839688522512	0.817245680029036	0.526903565341463	0.32223465173875	0.390675659657991	0.964835614692814	0.747961471238115	0.804618246222224	0.90974657396677	0.880902720216774	0.846885545882256	0.888139640862059	0.85258142966797	0.605344603094701	0.512460858341107	0.818466440674581	0.518717547854035	0.522715578831974	0.816111765141221	0.886560109595431	0.914930796627659	0.829258061969714	0.805179533135764	0.909138619121836	0.71506546679604	0.842476029142088	0.903250141121741	0.753797501414924	0.913873893454214	0.823888408496494	0.647311414636003	0.932752499281862	0.780640163652218	0.575988779449395	0.802960875131614	0.771281994297468	0.852102720902283	0.742820025886474	0.444929507912731	0.957481011764267	0.945004828610245	0.577654547228009	0.768078518973259	0.440533629256091	-0.094857477391668	-0.232198103461808	0.244058979899487	0.856572971099761	0.893834905236909	0.845323730865023	0.514324634816084	0.511920993411411	0.291471175258046	0.718347729593407	0.590725081923452	-0.230550072906959	0.776758749107556	-0.350552738958856	0.123183819985646	0.375975359913429	0.472257301152432	0.70247743617533	0.343286034659743	-0.176353076303597
KLRD1	0.558571013523499	0.579811270142726	1	0.274993949193501	0.233020804967775	0.970957511993221	0.983766958513036	0.164216354580635	0.158913248405811	0.504347149133123	0.292267772166819	0.620661279607155	0.896543721179803	0.744958785887339	0.463820561667028	0.58111383689683	0.820684608917831	0.573981040508901	0.490993311139478	0.139529780687983	0.719089358093597	0.4237805348855	0.648886225846766	-0.292663054618367	0.750987122294925	0.886485825210028	0.664874116406017	0.662800177509519	0.222008652670868	0.74527526526656	0.153260053915354	0.405883077095605	0.447734722165789	0.0789182943350167	0.438590449104839	0.351777090130741	0.144522004695919	0.355811266754639	0.755705951505369	0.331882934552473	0.719845421140553	0.420620282239033	0.888702863855113	0.579644024176912	0.116274929188851	0.505932150322645	0.327311171218433	0.285769521156803	0.70570593314817	0.424245363261279	0.54146518621163	0.633668423962309	0.0459941179686426	-0.425717195940376	-0.438838820662563	0.258529607209189	0.305465970823092	0.247815134065703	0.128588807122645	0.0168081486848188	0.515010850203978	-0.194809639245318	0.385194129738141	0.720268922822143	-0.316984969142962	0.154193200178712	-0.714185746945678	-0.235303848616015	0.120106098660772	-0.0213583068763033	0.38566861541703	-0.384137514501578	-0.286783956872949
CD3D	0.866008867658853	0.910514276626295	0.274993949193501	1	0.976218559031501	0.20022112111984	0.298834697186322	0.888332488324331	0.865108348411341	0.944229755590231	0.919974191618535	0.322377676588848	-0.0175805464782038	0.0684119041076161	0.947366244301659	0.671825122883593	0.582444080003051	0.85802729963144	0.867059016736171	0.917114259069129	0.781091454943446	0.779743238141069	0.518132461715054	0.634967782846384	0.678802004037082	0.309913758204626	0.349392193917928	0.782044748532763	0.965638641543607	0.805116456129136	0.853610627620638	0.797772727987965	0.862999766784949	0.846307551391331	0.869242474771434	0.941783675397476	0.789284479780627	0.961876945509009	0.722797641390716	0.56976629565898	0.796602682614245	0.821748863347199	0.365953558707769	0.649594622774722	0.782178772122617	0.715907839355591	0.802267561474882	0.408961057582398	0.821911572631669	0.952509714102289	0.432518317495802	0.709588189058348	0.454805779911742	-0.0067459139702135	-0.140722371108989	0.174306129717758	0.895119897014818	0.932805810337027	0.943366417777675	0.648545893289894	0.400941541725425	0.340563237449428	0.700798920131642	0.384312518155223	-0.164414057374103	0.899346487279758	-0.171012878859819	0.188639701084081	0.333866254544504	0.611148636755202	0.615109850529913	0.487059969570424	-0.118657162680472
CD3G	0.841972279862115	0.904006295777151	0.233020804967775	0.976218559031501	1	0.165934321252146	0.252888375991973	0.952605536884861	0.930882061630314	0.928397580628205	0.917135529122507	0.266856298347625	-0.0622923737323019	0.0511027941747916	0.94926725676669	0.635821511389306	0.555057650273856	0.827341902062208	0.818411227901861	0.942519645467337	0.775995384899573	0.766001880728185	0.443126803729277	0.712612269102679	0.600336436911971	0.283283623149048	0.308804902586066	0.696112563144236	0.971562380586467	0.758655515865033	0.924186888699486	0.813106757868932	0.858625646213742	0.850155465172363	0.813401996995714	0.922844338122398	0.848293322865	0.966677232861626	0.66755704399512	0.649334948844384	0.782447765108523	0.773492040230052	0.360504956568821	0.624898483239472	0.850954546855218	0.784305639578323	0.811347033974264	0.381596680140141	0.809964395015843	0.944531018009401	0.410720039672817	0.657922374530363	0.527780968253145	0.0710631290450093	-0.0626453708726606	0.177755737018902	0.931764525384478	0.969269800576411	0.967382932008137	0.656988046196622	0.317549819551846	0.451743007060944	0.673273556453148	0.393063483526993	-0.115099421430019	0.890259519672169	-0.0861370902546299	0.218258139858881	0.383411673672769	0.618588562436751	0.675011027888798	0.569919242275012	-0.0668354913957516
KLRC1	0.543733525464133	0.516374109354221	0.970957511993221	0.20022112111984	0.165934321252146	1	0.943980209159601	0.0987108507839348	0.0964270104421525	0.456391512964145	0.226661219456468	0.474656281459227	0.919775212962347	0.740045626327123	0.398823515720576	0.488693241852464	0.823261937686671	0.568018831285895	0.48209234609462	0.113890171126567	0.694673966555607	0.45805658924504	0.604116620169177	-0.314405368873369	0.732214250922737	0.827176319159859	0.669278717248215	0.638220752745309	0.174820096532062	0.673606548205577	0.0786397959676553	0.359308126924446	0.35806542718168	0.0791297309410946	0.397632791226375	0.247850944791686	0.121120384758833	0.30075954160499	0.691235237516839	0.230852354603877	0.672527574182213	0.428338735443605	0.831761999750178	0.603058774979851	0.0515070576573492	0.43158290876923	0.299701396795981	0.31344030781785	0.641099825552228	0.354088733037129	0.558937560516863	0.649295873742422	0.0119117180993884	-0.406810566695589	-0.404203644533088	0.252982136374168	0.235894720877581	0.201157193294344	0.0743197809367985	-0.0438822444630723	0.534882117112765	-0.183091738931925	0.314693190416637	0.724979930357619	-0.322203530743515	0.151994077746884	-0.690232342269022	-0.225376125381628	0.169529695146019	-0.0447230167034355	0.324647222273386	-0.376075907254729	-0.295722800603147
CD247	0.585518723876771	0.604475378103423	0.983766958513036	0.298834697186322	0.252888375991973	0.943980209159601	1	0.176439796860613	0.179479463240535	0.513496496628444	0.300737104387355	0.68513948033427	0.901569842464085	0.779646573691764	0.483434591434721	0.600252736276365	0.825097078029907	0.563633592339392	0.512282482907859	0.141396578223128	0.720043683172686	0.419369896887301	0.663413553650667	-0.267246391660564	0.772379907449531	0.868215617539401	0.659219186776173	0.659658559469143	0.241918828571104	0.758380147679693	0.165084287280887	0.433448230587333	0.497042360565154	0.0810015650355816	0.456795873947612	0.370177974616568	0.162056877982987	0.359984148452895	0.787311980938552	0.33311139334323	0.75108152983052	0.413208699097062	0.847708375075538	0.583787877986369	0.154655643601605	0.536317902407965	0.308435723826379	0.316269654592751	0.735419477287293	0.447992674566133	0.561369251092507	0.614167890063757	0.0719832212320492	-0.396711122120496	-0.430040252449003	0.264119877211109	0.315173151884928	0.258165501880061	0.143713058382194	0.0413731438571625	0.508201286964363	-0.205183166163257	0.418549182549804	0.704466830817675	-0.297202857315537	0.152193404970661	-0.709850544988596	-0.212035273683644	0.130071769693641	-0.0105104584180456	0.412122212029291	-0.363935742994501	-0.263439897138013
CD8A	0.748521345554234	0.848494225694976	0.164216354580635	0.888332488324331	0.952605536884861	0.0987108507839348	0.176439796860613	1	0.984986079068232	0.841870528669334	0.856131521966005	0.273956786947142	-0.145781089661162	0.0601959165343191	0.892651106354517	0.535091884733449	0.473045193619085	0.729263528485536	0.661128521984796	0.924146679117029	0.673188062387211	0.709619725751062	0.306072250678095	0.790504675559029	0.437444867981363	0.238132622127824	0.238518687915849	0.519176714251293	0.913320405339669	0.623239058815454	0.982534549195856	0.773475349756882	0.801507434150386	0.770112315778871	0.658949826232872	0.884261110792832	0.847779386140172	0.91220526353595	0.543689078945629	0.727441733529892	0.700208699533057	0.617587258750426	0.32122745844854	0.588969003442614	0.915418738075512	0.82059146044725	0.744643985526499	0.312382692353541	0.76133556158874	0.873435459556198	0.311426397834167	0.550654773911817	0.581479263502904	0.155345119696041	0.0052071063900033	0.136415852411051	0.931784248337607	0.971035164106337	0.953183172747936	0.642608298346646	0.193503841375808	0.545838954462927	0.618738093076083	0.330709684147776	-0.0693238470613778	0.792426873300332	0.0297064856519351	0.235694792253998	0.363637246497015	0.542809754428534	0.730173801083336	0.616395283041765	-0.0173548265299028
CD8B	0.7560389299226	0.837469478556307	0.158913248405811	0.865108348411341	0.930882061630314	0.0964270104421525	0.179479463240535	0.984986079068232	1	0.833872286662791	0.835372840447166	0.27490888497116	-0.132925153154664	0.081848299994251	0.873375850742544	0.482612659235698	0.466797917186823	0.732039768370526	0.634071735645668	0.911212564567987	0.641006572303758	0.707783332827473	0.301018142916177	0.792013915205206	0.411168957857003	0.244642945306201	0.213635954965679	0.499900803032006	0.908760166552925	0.586037626711881	0.968886341038915	0.784207829612347	0.824796282251482	0.77454882405215	0.635954430871013	0.856226049458441	0.854384368005345	0.889380406140868	0.549603679827568	0.672955918831463	0.699324914850636	0.587418961031535	0.284115054014782	0.605969818398798	0.907140700270761	0.831586664158233	0.70713118293506	0.29937810941557	0.770701830417785	0.842400471394646	0.293560582366722	0.554397911756626	0.572360998653651	0.177572659536491	-0.00348251203240744	0.122025248282062	0.939625939243443	0.959786668113682	0.947284115360406	0.627043342315224	0.206668226555916	0.519280750055601	0.613747311990762	0.301067180820422	-0.0723563236579043	0.784534051733688	0.029151560914417	0.215130081727005	0.348572396642265	0.496662411265313	0.754715119738693	0.632588086547451	-0.0185034307254605
CXCR4	0.931788286153736	0.949839688522512	0.504347149133123	0.944229755590231	0.928397580628205	0.456391512964145	0.513496496628444	0.841870528669334	0.833872286662791	1	0.923079527177099	0.365179056733309	0.239378801017431	0.279510548196254	0.967204951183258	0.667895351891256	0.747944643819352	0.934060619508594	0.89771841742518	0.85740390881881	0.905159040725481	0.825846835162125	0.648186327297373	0.501844977038408	0.770383481940955	0.525461341098307	0.490337839872079	0.889643661440599	0.945806022205017	0.881060268461677	0.798247592367551	0.856766574891784	0.875643176834645	0.839411550038539	0.884931601245742	0.887349021389836	0.798949964980112	0.971715299528484	0.85705147105182	0.557288240743232	0.910924349550086	0.851740222301176	0.558007827469569	0.78588041559099	0.737694520048108	0.780455223802188	0.834409003826201	0.4836303547722	0.929494757718773	0.945958503311718	0.535381698225331	0.86930967278051	0.457295830157377	-0.0746615124330934	-0.208812180598663	0.224161548049438	0.901477822951705	0.916234036750941	0.899402895808971	0.602642037954049	0.499993778002288	0.282484581254724	0.708559282676915	0.544288290889597	-0.215215412157966	0.892475632562998	-0.301357297642269	0.0940610559362102	0.381519891292053	0.537583846139391	0.681255683593909	0.382944804878953	-0.167479146148747
