""	CD3D	CD3G	IFITM1	CD8A	CD44	ITGA4	PTPRC	CD8B	CD2	PTGER4	CD69	CD247	CCR5	ITGB1	CXCR6	ITGB2	CXCR4	CXCR3	CD46	SIGIRR	ITGAL	S1PR4	KLRD1	TNFRSF1B	CD47	ADGRE5	CD6	HLA.DPB1	CD81	IL2RG	CD96	F2R	C1QBP	CD82	SIRPG	TSPAN5	PILRB	SPN	IGF2R	TRADD	PDCD2	PTPRJ	CLEC2D	JAML	TNFRSF14	RACK1	TSPAN14	JMJD6	ERAP1	KLRB1	CD74	ATP5F1B	RPSA	STX4	SMAP1	PTPRA	CANX	LAMP1	CD63	APLP2	NCL	PTPRZ1
CD3D	1	0.937905569316254	0.662651782941845	0.648386799727178	0.928313394027558	0.480153132003782	0.834347161818796	0.747859689626004	0.859707801347375	0.560537697707716	0.786194858673984	0.898108401824548	0.426714549563283	0.522827657876108	0.884784637448225	0.688213604308577	0.802366792238994	0.664927454926368	0.382398431247497	0.685110499267842	0.738247659739261	0.571524880409222	0.466809446425793	0.746000905113857	0.345948006031735	0.840968177661587	0.672196786884189	0.360067935759261	0.303557060813492	0.814750522152623	0.838511229320441	0.104795708857677	0.021128126503194	0.124799009996039	0.5724155508256	0.587029704885695	-0.184916179375353	0.845952632814359	0.208310973101526	0.608184885369877	0.565404997981441	0.449076518734794	0.597985130806357	0.566425150299345	0.667536311781969	0.580717730110776	0.559926290952614	0.679687406095737	0.369926250649217	0.485337182145716	0.342419436657383	0.215648625066047	0.57668859338414	0.256310064691297	0.421150531510606	-0.255588191329708	-0.148513201291497	0.156664904300114	-0.318175807614726	-0.285633378783119	0.121521796931007	-0.602250216293368
CD3G	0.937905569316254	1	0.599530502025809	0.713846109178695	0.940627307252823	0.544720054550206	0.877525532431422	0.774071636100914	0.894507813090267	0.520052019496184	0.759001485013131	0.924076982388863	0.54674841940417	0.665564392918714	0.941641986826553	0.682032544085013	0.762756278568932	0.785670997599851	0.404591730403302	0.640619945904664	0.685612540944684	0.608822595563611	0.533444798829835	0.715201281799077	0.46650261129674	0.795890785872474	0.642003847587995	0.360686597176655	0.206896476668814	0.854526868135063	0.809985578072251	0.203217773210001	-0.0012525508003205	0.191100469611508	0.605537530759506	0.55929456555229	-0.161861361208192	0.780907011313288	0.188063293936423	0.584572581345836	0.571367056326088	0.283132382379178	0.62341406333409	0.657012081206853	0.612706619437505	0.551179146089531	0.590423246077894	0.629609182893191	0.488467552484842	0.471351632547476	0.348491759168612	0.260635963476467	0.558075032987173	0.13684196218157	0.417592060715132	-0.206802131134076	-0.165433409672786	0.121191173463522	-0.402414760715064	-0.412845772435769	0.113911142671082	-0.645510785387155
IFITM1	0.662651782941845	0.599530502025809	1	0.31066268105035	0.697040467286466	0.589229369435607	0.573223011887021	0.452077941866666	0.74727981818565	0.657436113896066	0.755868125446588	0.670714656381434	-0.0663193887682493	0.330285374512238	0.52564721159837	0.61241074659335	0.794824146019393	0.575260016475807	0.403254404675521	0.693385255330424	0.434474380269	0.703827126608811	0.413516158018967	0.818095956291875	0.587813483926285	0.552247825941145	0.67463680417068	0.557850380239153	0.46354812157585	0.715444102034713	0.455091888016512	0.0354971107064559	0.317006909091751	0.382162702614227	0.716967162853704	0.752360879387562	-0.39281922479597	0.639064745614007	-0.223052827466353	0.782067790646633	0.577979354451759	0.430784657158729	0.743590286647654	0.812056379086956	0.739946657341407	0.706836085757816	0.540547769009972	0.668059870120702	0.270960565190826	0.614605072787503	0.56748586737593	0.497965974085159	0.714085278149065	0.58648659631946	0.56685432273891	0.043457177748688	0.131927280985902	0.213766150634877	0.117914177818421	0.111496033158786	0.352994183040091	-0.321261186367562
CD8A	0.648386799727178	0.713846109178695	0.31066268105035	1	0.682766868185668	0.537576052082484	0.70520665336326	0.964865392831639	0.587888821076661	0.0378022577262894	0.20012659529054	0.587280606851441	0.768946040404119	0.595724968851565	0.724424579994967	0.350211965021236	0.251752119475723	0.669784617042784	-0.127599599553355	0.106718232943787	0.644764422059714	0.121072079906784	0.473302147182943	0.259435047440865	0.122337803090749	0.629446869708748	0.182407327273881	-0.227083406024833	-0.179152976161015	0.58925595582847	0.591126542300703	0.524841639881057	-0.427880678739223	0.0304010270498332	0.522363102744872	0.416842206570519	0.220744029061067	0.379383869506341	0.0212434218558156	0.0100357088842478	0.133698908866749	0.113684500297589	0.236632064899231	0.382462624995434	0.144256639249857	-0.0658873890699237	0.131223212244525	0.116383324065679	0.271385016727156	-0.223476110471991	-0.22738095836369	-0.230688952171332	-0.0620960376211327	0.0245597981224082	0.0201984072381876	-0.142400139760738	-0.502970168095978	-0.100462861544371	-0.599036539865768	-0.633343519490825	-0.226740130842166	-0.57036016314597
CD44	0.928313394027558	0.940627307252823	0.697040467286466	0.682766868185668	1	0.61463824322676	0.879160076174811	0.765699639501268	0.882760797353064	0.534058112412637	0.773036480327877	0.896374953484409	0.468696096312318	0.6660078337738	0.894169742072002	0.675731372399516	0.782482587093037	0.708652119953416	0.407784461718789	0.629425420542634	0.681309445442879	0.568270561096874	0.540139350364986	0.770836700374001	0.472179118009174	0.856732233950907	0.608199426865656	0.376375536246581	0.229240341335933	0.859513982364129	0.829163781482752	0.221207597122225	-0.0103717908575491	0.189836026155781	0.668001740057399	0.605815185111801	-0.213983679886415	0.781655495823568	0.141399016688852	0.602275191032832	0.591249595204005	0.396395192413918	0.643634018658689	0.697858948422007	0.650980062441797	0.556006633407821	0.58786769664384	0.643215536591005	0.428107403703548	0.462056915706119	0.361730179601325	0.232944432972052	0.557636421452788	0.190871910521027	0.494252184056735	-0.107219766512699	-0.136581331615272	0.152438527351729	-0.307268332740815	-0.326866194959042	0.129823352945967	-0.597321818857209
ITGA4	0.480153132003782	0.544720054550206	0.589229369435607	0.537576052082484	0.61463824322676	1	0.769252919786707	0.5406074225339	0.710474195311312	0.491583577996752	0.399791376708907	0.59979717648726	0.377579135067019	0.764466991995716	0.523016861305375	0.346076430240231	0.4969083364507	0.593068508724609	0.418969011775644	0.308700563542563	0.320797547609905	0.275886702327666	0.752490497071558	0.484580706136541	0.590513348100629	0.469433301319347	0.382363581095649	0.164176071150495	-0.130888801708428	0.685773339123206	0.564899955322594	0.313548059759459	-0.125730332514812	0.431097483088351	0.861512934629291	0.650605226306858	0.0798017822651749	0.56714531942539	0.0120634122309418	0.330322973447969	0.176952104315578	0.540868159704067	0.635346978978674	0.679062127279444	0.405339586883836	0.158272129053083	0.506541116417569	0.345944382947293	0.201822991014854	0.12859176895043	0.175447695565259	0.0199345841664882	0.201075050843348	0.385712621522978	0.413915472282259	0.280012604321112	-0.135945650486756	0.140819963092436	-0.167500269615905	-0.21306688819483	0.292225801078365	-0.376891778955784
PTPRC	0.834347161818796	0.877525532431422	0.573223011887021	0.70520665336326	0.879160076174811	0.769252919786707	1	0.738435494962758	0.922741818468265	0.610346783245287	0.680377418565695	0.862549310557643	0.603427209025374	0.813168401030998	0.841773435654404	0.573289829449848	0.735158623091811	0.688484424640874	0.495606944359336	0.566725717873893	0.553298822434136	0.431949734461336	0.757333195644985	0.650505986423941	0.479860891858858	0.753339985741712	0.557845485461647	0.2959106548195	0.0459874208481847	0.790588556547976	0.896669889641274	0.230064101953101	-0.113443508149945	0.215073393371709	0.757532540868424	0.633094811940194	-0.00791993667027872	0.780506090154242	0.267046585586519	0.53046563411441	0.419241514472226	0.491486700947495	0.716001167973445	0.626912048511086	0.574137128500599	0.39418932488486	0.679724703345168	0.635067018347352	0.404984176471466	0.350719221296883	0.284241724730148	0.112393466542694	0.424007309616613	0.259516608910692	0.360859627384702	-0.0259975372240509	-0.132292666415859	0.219587201095377	-0.390250491769764	-0.319685208199649	0.245588111813792	-0.605262589146684
CD8B	0.747859689626004	0.774071636100914	0.452077941866666	0.964865392831639	0.765699639501268	0.5406074225339	0.738435494962758	1	0.652451685339286	0.131719700891464	0.345279948140733	0.682825807610813	0.662353943169611	0.595614601051255	0.793344692451095	0.423875013022301	0.381884335426839	0.670064460006895	-0.0731351101935259	0.215646802216497	0.678875515468095	0.200178997560784	0.465968731912792	0.388196292146114	0.12007497442529	0.72388139043646	0.264960501199282	-0.138149671313208	-0.0588358672305036	0.681425283459398	0.640319377291507	0.401583692285678	-0.357388527210531	0.0554380609642637	0.578087594213924	0.508240185719448	0.0786110659375761	0.471961899622467	-0.0487366236868322	0.137837356690439	0.296070745994639	0.179730500791318	0.313083220876784	0.452705052707962	0.237535375573679	0.0636901548240824	0.186114818043729	0.237244703322875	0.232775922369663	-0.095304801178634	-0.14565399603073	-0.149320698013654	0.0652660417690351	0.085522937079641	0.113752269867013	-0.14152854895993	-0.460047984518796	-0.0399856893925452	-0.538104709986138	-0.571298890731496	-0.174337879332323	-0.567063978666986
CD2	0.859707801347375	0.894507813090267	0.74727981818565	0.587888821076661	0.882760797353064	0.710474195311312	0.922741818468265	0.652451685339286	1	0.779086338981639	0.835647163017338	0.914770512885751	0.391726875972091	0.665751451661312	0.821440274690977	0.652087618421162	0.884271411635677	0.793254355758029	0.581855774591966	0.779594075677379	0.517221125422811	0.677039743955948	0.737875376191521	0.771659075241865	0.590942441582169	0.721973645507044	0.762875382149104	0.466739319785921	0.215515868422292	0.845517055520464	0.831641933107332	0.120363392126051	0.100054813065019	0.370241190307489	0.792828096909097	0.746716543815234	-0.226616691151485	0.838275881918632	0.157677160124188	0.735171440890236	0.501723141345308	0.47804852887852	0.85552099967118	0.773894491728639	0.738282148041163	0.614697680241898	0.748353159146825	0.778710627262413	0.405710371986407	0.574382932204653	0.466134689185395	0.362801629543775	0.646986593987609	0.443920073156172	0.509794459025815	-0.0425680417672057	-0.00412442989532591	0.26863022407534	-0.252577033487736	-0.181221796596521	0.379640611285734	-0.580711186444709
PTGER4	0.560537697707716	0.520052019496184	0.657436113896066	0.0378022577262894	0.534058112412637	0.491583577996752	0.610346783245287	0.131719700891464	0.779086338981639	1	0.813356666361343	0.693173566864715	-0.0952905304311292	0.300055839186602	0.451971816026617	0.446948021960983	0.898226582124703	0.506399821689662	0.737502354358378	0.868208440554407	0.0762091924796065	0.674287825402461	0.692741269441871	0.630972315583084	0.555645948735077	0.456618238174352	0.795086017613764	0.607861582232324	0.344853225055934	0.544953914293341	0.623095968652619	-0.250470821278994	0.397055557706503	0.481437823482961	0.632819773304489	0.740656014196616	-0.435587081877128	0.750404495349506	0.0887731034662864	0.851425801333407	0.423312838096794	0.55566647804288	0.924711002942911	0.578510390294465	0.755719698745692	0.699382341469515	0.791913906306019	0.866517400252243	0.116314959040321	0.744503495549706	0.602407840398034	0.545852458543046	0.74317980938633	0.675097991179569	0.579620409985733	0.147656042140366	0.384613189509488	0.509324250874908	0.161564330738909	0.319631646520539	0.707756489763925	-0.2356159998709
