""	SIGLEC10	CCRL2	CCR1	CCR5	FPR1	CD40	LILRB1	APLP2	LILRB2	TNFRSF1A	CD4	PILRA	ITGB2	CD74	CD163	C5AR1	CD81	CD68	IGF2R	SIRPA	PLXNB2	TREM2	HAVCR2	ENG	TFRC	KCNQ1	HFE	ITGAL	ITGB5	SORL1	KCNQ3	CANX	TLR4	CD72	TLR2	ITGAM	PDE1B	ADRB2	P2RY12	ADGRE2	FAS	PTPRC	CD33	ADCY7	ITGB1	THBD	TREM1	PLD1	SELL	LILRA4	TNFRSF10B	UNC5B	CD9	CXADR	RIPK1	SDC2	PLD2	SCARB1	P2RY6	TLR1	TLR7	ERAP1	PTGER4	ITGAV	SMAP1	RYR1	CD93	CXCR4	CD99L2	CD226	RXRA	ABCA1	RACK1	TNFRSF14	LRP1	NRP1	C5AR2	LRP8	C3AR1	ADGRE5	ITGAX	ASGR1	LPP	LAMP1	MCFD2	AMFR	TLR6	PTPRA	CD63	PILRB	CD69	TNFRSF1B	NCL	SORT1	TNFRSF12A	CD44	C1QBP	NOTCH2	SDC3	EDNRB	CD46	NOTCH1	SLC16A1	ITGA4	CLEC2D	PTPRZ1
SIGLEC10	1	0.35606565252766	0.721212709806156	0.476423811061951	0.942283376258823	0.704223336397238	0.877051500364042	0.481647143829867	-0.16484446247175	0.821579318729863	0.820622970969945	0.597324433472953	0.68197900437379	0.453372121359006	0.803842708548187	0.520731221339084	0.57336317704963	0.105336555646156	0.162451333846644	0.531517923929764	0.835954622484859	0.64454228648543	0.786205990472942	0.82727807620819	0.812384824598716	0.893783417979292	0.545431499512293	0.730941912622129	0.378189845595433	0.847565526278849	0.847766320661977	0.575799430403075	0.200968556990297	-0.399635483884039	0.909732641279718	0.815956658230406	0.703483737684662	0.838159617346309	0.885918019923599	0.737822791179227	0.738806984305944	0.864744166108815	0.731497946153946	0.705944513860598	0.651040700575022	0.513795068382401	0.674226853627144	0.611302362499041	0.251997805871647	-0.129660688633285	0.839503225436024	0.743405006929979	-0.320478719355741	0.872992766829382	0.680125329144937	0.368675948078359	0.851544735898128	0.40438130124642	0.789809932577269	0.843912268355603	0.658630111322459	0.639335126788425	0.560296309100788	0.900053746906654	0.441401714118797	0.833639487104103	0.560288403433861	-0.181122085335587	0.594392987010856	0.865084031913821	0.610543433644581	0.281566890747758	0.624944105944876	-0.10528222941173	0.499381351953605	0.747372617827867	0.463011720839229	0.791779723561478	0.666451907798755	0.540999710687016	0.477924319394053	-0.581356335335446	0.59971148965631	0.292690619135341	0.608365016239977	0.108611167042185	0.697079387762532	0.662385620164313	0.34529435327271	0.782815813707153	0.862576279334977	0.853078997162638	0.749802345044939	0.808380094395617	0.727953987201273	-0.367168425271153	0.642463776153241	0.0417583833026541	0.178446783875327	0.650448309151402	0.291305928504035	0.481776519549703	0.737996070842863	-0.533112384980257	0.512966999349291	0.388562368848999
CCRL2	0.35606565252766	1	0.724676686319105	0.224556265988017	0.414162914410592	0.730106699829999	0.511129103775857	0.848721292676012	0.190074819743944	0.697162217494643	0.671927743732779	0.85680394990974	0.813154473726363	0.584861156496082	0.616432317286443	0.693514121460505	0.886729660078857	0.839962367759151	0.797540546894662	0.905176173466092	0.542324588017352	0.839300833803022	0.737506749182933	0.571196730012964	0.480060299653123	0.561905077781996	0.753467799168527	0.667607485799004	0.729493266107387	0.690599167031315	0.537547226890186	0.774104786904865	0.832413997379901	0.261421184870634	0.338065023932551	0.661378971040425	0.624783355266852	0.658885047779822	0.135619495684226	-0.0632128138611876	0.511204167944448	0.521595563185899	0.789127679672214	0.660236024686643	0.835317049345091	-0.128860748514189	0.602587968990032	0.654036969198807	-0.136904003479175	0.72985595643555	0.43848417335553	0.595978850401501	0.524767809489167	0.432568544547443	0.668289258637071	0.72576992058156	0.531782809487755	0.861960350515634	0.548353189333023	0.432866169015092	0.685447573295465	0.521446285662131	0.668376323207127	0.564002142858499	0.853031656756136	0.134355230793934	-0.161352911786168	0.430092138936195	0.762681726749669	0.195384144284054	0.77110834775205	0.782761480966994	0.849731582824062	0.73772478752464	0.883995848899434	0.652123959581493	0.325528738866012	0.536935255946036	0.817153094559389	0.634383551067819	0.881429578492749	0.162214513517518	0.779541681897364	0.828229371535167	0.879662286783252	0.652087324251476	0.498283646876071	0.781175564043592	0.904902061138523	0.467246057852276	0.39054714660661	0.255031202627254	0.698499778543762	0.734748250358068	0.565706703864323	0.367508386827194	0.825011890074933	0.585070820276225	0.630266368632346	0.49138713008216	0.756621170095843	0.414326378079694	0.677247633889357	0.0413653302339152	0.557649377405478	0.0890451397053095
CCR1	0.721212709806156	0.724676686319105	1	0.460196856415484	0.768650103743123	0.81530163221784	0.813696404273237	0.776897143294878	0.0857385656684779	0.858041354220798	0.866672149307084	0.76799473148457	0.867943966866704	0.594225606699288	0.836994722196605	0.69259430016737	0.812758560149427	0.528896718726256	0.59798619960911	0.825058060409486	0.820671759687403	0.817648076857006	0.86856302923107	0.833026566717023	0.710925419352857	0.813411068177574	0.757913894726448	0.798674828207508	0.639974389089818	0.877160215808404	0.803945880051793	0.794802116499505	0.587114813542461	-0.0969647797862891	0.718006039834886	0.854913916784671	0.834504166936691	0.788179706613413	0.597289928919357	0.408832609772935	0.728064470684996	0.793987634631217	0.838149286543766	0.806647326903313	0.846303067667263	0.307693289149995	0.757916180006492	0.746891099255802	0.0590205331550071	0.322239308325693	0.733317069226137	0.765143893109574	0.123694438598654	0.764564794435737	0.777330176061811	0.645422426679524	0.778297409441148	0.717620990498865	0.733928016281732	0.758362707326574	0.818489424608781	0.712889576015181	0.653337134752605	0.849600696375303	0.715344631805069	0.571973216956637	0.227900727550299	0.059890715153224	0.742537794489488	0.627968100182576	0.755917935580616	0.658306932376975	0.796301471763336	0.360131494310949	0.791025880063712	0.874558281523433	0.454350742457376	0.785123109045867	0.8564455337995	0.703201612922601	0.771128899521466	-0.209135665398283	0.791591269524688	0.636341600552953	0.819547324633308	0.41901077828042	0.775327052903613	0.762184211502919	0.688789579494696	0.684231968064513	0.690899032128542	0.666019330520599	0.854857831654375	0.865330621615448	0.792479561440687	0.0131314103459844	0.800623438437295	0.367476071041063	0.417860332015908	0.629659872620672	0.576262902044547	0.464236143523987	0.778517011508542	-0.257387039700262	0.600340861793407	0.21398350812216
CCR5	0.476423811061951	0.224556265988017	0.460196856415484	1	0.499339639004979	0.314625562903854	0.490669285064825	0.392239942462784	0.0206900696543122	0.4891001367985	0.540931705633266	0.332228597478463	0.398677740672926	0.45091221347813	0.544988423590202	0.452171744751922	0.352331031624993	0.188911361402341	0.262269651945434	0.342930568141356	0.344392035105537	0.309310026010534	0.446682810674297	0.484757426968993	0.591645052629364	0.487893384767372	0.34292899035265	0.356375869099374	0.362193834885472	0.433731105140418	0.453736401350345	0.435137942632543	0.246999248587683	-0.0670767853581836	0.532409270066609	0.4170148349223	0.461040531016842	0.330843435301525	0.368939197235137	0.551193879599501	0.374190912961249	0.551072990492582	0.386799747320249	0.586444106932127	0.398803642898866	0.411170190006515	0.403766457857324	0.433952139611355	0.138439613197609	0.0588649116759896	0.39983387394048	0.321770941425669	0.0348918711662023	0.504901817770498	0.406977691853062	0.466439122299012	0.502799623168885	0.398276932311077	0.338836745692217	0.432657272398658	0.521386317281932	0.506431843694217	0.510168923497635	0.44979144029067	0.400248069396823	0.503859147890962	0.408850444385127	-0.00846961521665852	0.351550649762078	0.448958453890108	0.356149903770584	0.368916043049629	0.377972594286787	0.108979393844204	0.352756770020108	0.495025074990135	0.415174076723812	0.389563195215535	0.415674965104505	0.367795621611464	0.288505765455698	-0.068719324914545	0.438517949191877	0.342036395980996	0.359455383005792	0.359394541311623	0.333618550884477	0.348419979024182	0.267725470314763	0.408932344357282	0.443471653202943	0.500509118375407	0.454463725240365	0.415191232087041	0.429049141499086	0.0374528217237241	0.372976082930321	0.27005013458957	0.220162038201071	0.406116721091942	0.286295555131312	0.413055601399972	0.359865464901057	-0.125560457795419	0.389763682867877	0.272842742298201
FPR1	0.942283376258823	0.414162914410592	0.768650103743123	0.499339639004979	1	0.781557133173889	0.922621254911867	0.568115687181389	-0.1702554404552	0.879397576109448	0.882978484762274	0.658544403033222	0.785058427812702	0.479492776870613	0.903873684420843	0.612840669612665	0.657728029520397	0.18431622238466	0.260008083633611	0.632655778465353	0.891288803230028	0.731544122483038	0.859705460702275	0.936240342432146	0.823753209023347	0.95134281082881	0.615284361310432	0.804117720308224	0.418646342489203	0.900727824458982	0.929579941854902	0.676683848408904	0.267598456254112	-0.387729153873059	0.921709142991807	0.891055747822588	0.790047741599647	0.843171293381901	0.876003056130692	0.755870409493119	0.703420602436358	0.916892606655485	0.773298090143936	0.761594361319966	0.751290464901169	0.572176626384663	0.78474486858665	0.67241494390312	0.237960939931083	-0.0737086771841857	0.872660865451383	0.796784021566479	-0.277251479722354	0.948715944230971	0.773095413092892	0.459821224923541	0.888374406579738	0.459914335177089	0.861311109824608	0.898467191886684	0.705396311106345	0.677997980136243	0.593182641071531	0.941280709533175	0.512936522853601	0.836502105272981	0.603646899611692	-0.185819630462943	0.689937807992421	0.878397216567102	0.667757937898563	0.359487210501328	0.688740718906645	-0.0280472595718	0.583616317396132	0.849867505646484	0.550954303755162	0.879989814777786	0.762143491942305	0.607008594444849	0.570475484998753	-0.547743157563662	0.672628553222867	0.359331998044191	0.676037759726493	0.162103658042641	0.775332436812698	0.691570662728412	0.437557614217613	0.821936701232363	0.903878336546773	0.880574283333374	0.819692630840671	0.861260186994228	0.820904675009453	-0.321227128614342	0.720690462510271	0.0600746491054978	0.164835654241939	0.692019170839368	0.326072133226081	0.445045015372486	0.815553221961263	-0.496998187069802	0.551382088739141	0.357060883197962
CD40	0.704223336397238	0.730106699829999	0.81530163221784	0.314625562903854	0.781557133173889	1	0.827315704637562	0.758655681153249	-0.0549196471529748	0.866648359004125	0.802551362749428	0.888761485651793	0.908385838016257	0.495343365640135	0.822994530225637	0.660617876840734	0.891255763401677	0.577541220074041	0.556502911773798	0.853656501601863	0.839951226849238	0.951879165978011	0.917784165673241	0.842673599262286	0.640592205033722	0.850689888580804	0.751428676601742	0.874055220633962	0.528911611707344	0.884834974153218	0.84025486102209	0.767757762388421	0.589924624643589	-0.139547686461579	0.657036127783039	0.868819264145306	0.749064788627541	0.876060644650888	0.537596583915048	0.314708569662912	0.5796321919437	0.738090202781449	0.881365967747033	0.761748317553824	0.921038046340965	0.180731848953888	0.817150856110062	0.720790577606917	-0.00436952657267292	0.388833914438773	0.67923411119528	0.8542102051217	0.0741573924182912	0.751435400489455	0.789706359685498	0.603689759788381	0.771837429121608	0.698654758250459	0.80681052400871	0.716674065522639	0.721137086929921	0.64775334648917	0.584167195563255	0.856348433040356	0.735999727216988	0.541848749051581	0.158622940389885	0.126606561716102	0.805863972775613	0.536923253022842	0.788628556502232	0.536946990671538	0.871692980418124	0.377677501760009	0.79817896847619	0.821343436895984	0.430939181185892	0.773735135277834	0.911550240544269	0.609543566433306	0.867208135736431	-0.295512725645287	0.759032852469786	0.587163256188868	0.864027199246987	0.337875468233914	0.629603684840719	0.81500298707024	0.796598364097227	0.65534976063159	0.739638310234157	0.574310373993916	0.834798771308511	0.880905912181999	0.788702968949962	-0.0815959932589958	0.890101543478563	0.24072625017982	0.310549526224447	0.582444729603881	0.564952764257591	0.352691296035162	0.867329660619612	-0.306770061246024	0.454877862082158	0.155788015613309
LILRB1	0.877051500364042	0.511129103775857	0.813696404273237	0.490669285064825	0.922621254911867	0.827315704637562	1	0.682586985163223	0.0549840019941602	0.907770203127698	0.916880296028905	0.729123215496595	0.838744529734398	0.60258406213374	0.901035020955091	0.72065595914104	0.743885772155834	0.347313908395612	0.415624287097548	0.723049953598914	0.894638781734336	0.794790349003684	0.855663041639	0.911837994024411	0.834741521846025	0.937730240026385	0.697659360159914	0.812114438939267	0.520388779644376	0.901264693693971	0.904140047160041	0.770141194392349	0.445713932819971	-0.214612730732539	0.886877164945031	0.893501152001703	0.761206021694837	0.881241358896876	0.712313634492426	0.663420660462766	0.655333399025485	0.915757817892643	0.826648009347465	0.793112662774395	0.823576479078174	0.495155602783102	0.796970409779239	0.708558540051362	0.20987952540079	0.0457252848901789	0.785248548391022	0.788781307741827	-0.0886594820914836	0.88423259304355	0.82777781843853	0.496900251045556	0.882964789393272	0.588455342531417	0.815419280630995	0.844653394501945	0.781262672831782	0.709359746544928	0.667344083291065	0.917603765481317	0.650569410561174	0.737201384549802	0.493925559715781	0.036518914260126	0.747208678124351	0.751476814559037	0.764933870631205	0.475165076261273	0.763365882440956	0.152640508702636	0.694557078321843	0.859079505059646	0.463143654334845	0.804408446783455	0.784560435983922	0.556475000116499	0.660255335132733	-0.361547382117614	0.733369358964096	0.46811802821371	0.768139554659513	0.281401231868224	0.803279887486099	0.784848575986151	0.550442036146613	0.797359789615917	0.779186747067606	0.860127757977626	0.860435500349081	0.871717742449112	0.783290870229562	-0.138654099862693	0.80113904654086	0.218153357364746	0.284936923835978	0.664693334476592	0.483997380966225	0.440477739040346	0.856981771737496	-0.321595212165029	0.568316329181205	0.329333517741952
APLP2	0.481647143829867	0.848721292676012	0.776897143294878	0.392239942462784	0.568115687181389	0.758655681153249	0.682586985163223	1	0.290882189201699	0.833360785374431	0.83953151581616	0.854205711088548	0.919247423996327	0.799776461606468	0.829221266659199	0.894044377529838	0.938867985963637	0.875349432882007	0.910988485638169	0.932312800086659	0.724655180560777	0.830659132492428	0.805579457153199	0.744529563777481	0.678071134982822	0.660436774026586	0.836489834495408	0.654917431564299	0.869201064851275	0.758061131916595	0.64357181814551	0.95159121210309	0.905120079713569	0.350031558300356	0.565461774692582	0.73512010222852	0.747027157199002	0.673219418893695	0.224872702792853	0.259363827685518	0.4737819582063	0.745826168942913	0.85122035370405	0.813727689309942	0.884930822640811	0.219553282932853	0.690538231900284	0.849390899096012	0.0281381124106608	0.669609118283156	0.515343871111211	0.584299465967704	0.588790780715305	0.575094521305454	0.848800982663896	0.850393802772535	0.692857438199611	0.955847338287462	0.565846554137538	0.584585180351622	0.866934160458195	0.783918143001048	0.846661212121911	0.664527265805732	0.952423819848311	0.292256070027335	0.0652587892481448	0.342474567421975	0.872125242990123	0.379784093285622	0.886218949944268	0.929330758205079	0.914021352906748	0.759640705365181	0.984615155184284	0.847295070433957	0.33667017287965	0.618908891992225	0.847825498370822	0.602028538523299	0.849689112639825	0.2395491976754	0.907564238474277	0.941886292148682	0.937930377067253	0.77346595829866	0.696544175334421	0.830358603333524	0.918696038566385	0.630163376825563	0.455408226140543	0.5255289478739	0.849286305467539	0.810719558839649	0.648187811208987	0.452574936784411	0.896559197314159	0.733831916893326	0.766733749082607	0.674114885835861	0.898491813812286	0.52553733525949	0.759007992841162	0.124473018478323	0.670273278489831	0.232474497906213
LILRB2	-0.16484446247175	0.190074819743944	0.0857385656684779	0.0206900696543122	-0.1702554404552	-0.0549196471529748	0.0549840019941602	0.290882189201699	1	0.0958254041487222	0.153197540575526	0.135152373567929	0.108782683286406	0.549207840450202	0.0425772939518762	0.412429610583363	0.159587091800392	0.405980249303383	0.416600307376465	0.178727041790858	0.00303191173250476	0.0334065528262201	-0.123491056786669	-0.0673954545792113	0.0560040856413628	-0.0480258774422158	0.312117772356369	-0.122212248615936	0.325632706921077	-0.0544645286056504	-0.122665416913084	0.310857088660997	0.503473399920959	0.591212913934651	-0.00504000200257034	0.00843289429495414	-0.0744650616386445	-0.0510091521572325	-0.411501978279804	-0.021801292229185	-0.0424208126399954	0.0838255840427746	0.056137748827197	0.15318411826165	0.0801583754820937	0.0870372391817972	-0.0181913043309849	0.161508514761324	0.0584169442453724	0.213524634357385	-0.192441417630254	-0.272291940110017	0.570214990988371	-0.186666340000818	0.213270105282574	0.0995287270904874	0.0220243518926541	0.277761521822389	-0.190352939529083	0.0135291853178585	0.274545484203335	0.127856441811551	0.308984803436416	-0.163549736133847	0.375115076533512	-0.21784183309696	0.021319224354534	0.679999858805915	0.126708413389077	-0.2113790107181	0.336736711703221	0.353883586711265	0.151909232386115	0.475807681628069	0.256556553714433	0.0596897487572993	-0.146803157088632	-0.172996818632353	0.00156444312100615	-0.161284319006803	0.0640974984681524	0.673218557119632	0.162077485589595	0.328249674182259	0.176579567875913	0.424527616695783	0.156867447587982	0.125949427358173	0.18583830147662	0.00155148607308305	-0.3276776973247	0.133059898424335	0.0987294967869356	-0.058135233329692	-0.186337141087152	0.664045419224176	0.135046976237226	0.517080616286917	0.377693853416481	-0.00195705551954604	0.386039989260822	0.0144112291063337	0.0214530297968915	0.706727036222524	0.00905916952102407	-0.073825519845683
TNFRSF1A	0.821579318729863	0.697162217494643	0.858041354220798	0.4891001367985	0.879397576109448	0.866648359004125	0.907770203127698	0.833360785374431	0.0958254041487222	1	0.956027296574535	0.843703455463497	0.931853198384999	0.723829606140603	0.930505083321225	0.796260235123027	0.87877761734133	0.556244023638309	0.61087502609451	0.848482315004459	0.905104326551619	0.86784956228176	0.918632418762578	0.919493892892173	0.823712169527448	0.918882092978815	0.814495481902629	0.811948672748849	0.691173393578061	0.922809485303872	0.883869020759408	0.889733951061882	0.632769267571833	-0.0424738700142692	0.836562379146375	0.906539536736244	0.830799145179727	0.867081623678218	0.632191766171553	0.55939670618258	0.664939191212408	0.915445164320576	0.91998962872184	0.870712261979803	0.891416338961795	0.416010099769282	0.786959848464288	0.830863528349731	0.184227045722451	0.289380702556095	0.779510348819359	0.77509562819174	0.13106352384273	0.838088707781589	0.898601851446054	0.656676288779995	0.884707792587661	0.758480362509688	0.813858370875221	0.837745776117179	0.87527195923229	0.766920121669735	0.785907755338814	0.891864445566154	0.797355166324856	0.658839903575098	0.37383497146529	0.118077606964246	0.848299817596746	0.695254420083436	0.864524998143536	0.673454575274246	0.890793947629381	0.366413622203773	0.843851476133496	0.917791780066823	0.499140958574963	0.825578747171312	0.881364247009951	0.639119925046907	0.759097393391107	-0.200223383998422	0.86066706560102	0.676681315206085	0.892120716342392	0.486951955015455	0.806942637017705	0.852090475769257	0.728966627381234	0.802856827290557	0.755248248460315	0.787149716603049	0.924261030613368	0.918498126654469	0.816889540989789	0.0524257907218777	0.905591896428477	0.430215208262145	0.490707191473498	0.77209435313521	0.654288153109701	0.532070076133192	0.881781359127598	-0.207025383877904	0.634905658608377	0.337626960236992
