""	PTPRZ1	SDC3	EGFR	NRCAM	LIFR	PTPRD	PTPRA	CDH2	CDH10	LRP1	PTPRS	FGFR1	APLP2	NRXN1	DDR1	ROBO1	SDC2	NLGN1	ROBO2	NRXN2	SLC16A1	NOTCH2	NCL	PRTG	NOTCH1	NLGN2	ADCY1	ITGAV	NLGN3	NGFR	GPC1	NOTCH3	FZD4	TNFRSF21	LRP6	RAMP1	NCSTN	ADORA1	PTPRF	AQP1	IGDCC4	NOTCH4	ROBO3	DAG1	CD44	PLXNA4	NT5E	PLXNA1	PLXNA2	APP	FGFR2	TSPAN12	FZD3	ITGB5	NPTXR	LRRN3	BCAM	BMPR1B	NEO1	AR	TNFRSF19	GPC2	ITGA7	LRP8	LRP4	PDGFRA	PDGFRB	PLXNB2	BMPR2	PLXNA3	LRP10	RPSA	ABCA1	EPHA4	CAV1	ADAM23	TMEM67	EPHB2	ERAP1	CD99L2	CD63	CSPG4	LAMP1	GPC4	TFRC	FGFRL1	LRRTM2	SORT1	MCFD2	CHRM3	PILRB	KCNQ5	ITGA3	EPHB4	RAMP2	TYRO3	ADCYAP1R1	PLSCR4	DCBLD2	ERBB4	LGR4	CANX	ANTXR1	ACVR1B	FZD6	AMFR	ITGA6	DSCAM	INSR	SORL1	ADAM22	CHL1	TSPAN5	STX4	NRP1	RXRA	GRIN2B	BMPR1A	ACKR3	DIP2A	CADM1	CD47	CNR1	SMAD3	TRPM3	RYK	NRP2	PTPRJ	GPR37L1	GPR37	VANGL2	LRP5	FZD7	PTK7	ACTR2	EDNRB	CD46	UNC5B	SIRPA	IGF1R	F2R	SCARB1	ITGB1	TSPAN17	CD81	JMJD6	RACK1	ATP5F1B	TNFRSF12A	CLEC2D	MERTK	TNFRSF1A	TNFRSF14	CD74	TSPAN14	SMAP1	TRADD	C1QBP	HLA.DPB1
PTPRZ1	1	0.877006884904234	0.960110406729251	0.976689558431747	0.899500955107105	0.727261598776583	0.958792122701697	0.948453036538201	0.922853756563265	0.957085940505305	0.848467454641051	0.959905437413413	0.942166917385216	0.976323822642986	0.949159895752374	0.952979530845834	0.858221549421697	0.975504940475211	0.981556468666737	0.94024322268757	0.958686622551373	0.946307570833224	0.927366716979411	0.900548529261138	0.829482769594452	0.927857195154117	0.951295925541819	0.975504773359271	0.933475506200857	0.901007735412284	0.797379896212514	0.924633150756487	0.866519135205994	0.897810858487596	0.887609707561098	0.790137540232267	0.930829379229074	0.917871218874144	0.896598173188068	0.232443331847208	0.89027173523437	0.744567139939645	0.937231166030605	0.962472471805186	0.704282352900693	0.899747602781643	0.891837139588888	0.913418493263565	0.920053182283266	0.96124419160751	0.821146814224896	0.829038826289187	0.961640203652686	0.915124601109337	0.918549686068328	0.95318062756843	0.865283455319911	0.848778065663218	0.873693874462697	0.933698416552464	0.915468219496121	0.790186818623685	0.873900951584706	0.912013679997326	0.936894586767403	0.679074971275704	0.67892228374921	0.910472868839809	0.956881218796368	0.921322766630397	0.862826911982736	0.766746634567041	0.922307911151971	0.953917294445018	0.702637376627335	0.932745888632005	0.837916668158973	0.893706540386308	0.865714841402505	0.941467759001599	0.753699936465612	0.82094781565528	0.904992460911086	0.828280743446181	0.932386856762827	0.905006061833308	0.946707477842453	0.956520541977342	0.914985372770512	0.944061394028358	0.734686110449998	0.835312439915272	0.831827111220877	0.899046204531972	0.768678960600998	0.932592165706792	0.463614845041937	0.548129272931181	0.934664312380066	0.924008862178895	0.945581698452207	0.969481095056282	0.867593391416589	0.835941446906453	0.904160847911645	0.904768681796873	0.835180207420704	0.810106674823731	0.740968139724502	0.89399831028247	0.944239734487715	0.984031592742249	0.912518271709511	0.834896703811215	0.674948035298148	0.854594064921528	0.87029678920903	0.893449753903589	0.680550696240601	0.92180849416164	0.934875347550516	0.805797126657793	0.898801095639132	0.874900349081571	0.855593352316803	0.94427023740529	0.815008682178937	0.932606167254813	0.932717283251291	0.919580659881201	0.838875620068785	0.858975708669399	0.816205261792204	0.937050172191874	0.934258270762062	0.910768399176005	0.9360589826164	0.866580997610314	0.914916171370645	0.581484710138318	0.937616687164523	0.877793325623086	0.913142020587159	0.764742977285746	0.834907196644332	0.811711168455729	0.779172144266958	0.762469937272052	0.51829428901488	0.875555729682954	0.797820335166416	0.802730068483061	0.613998273289609	0.411011516400653	0.884550663085288	0.889274682481048	0.796653020286908	0.769840287796127	0.527564252764712
SDC3	0.877006884904234	1	0.843716336584208	0.850976937690993	0.923984292449707	0.829609721338288	0.841283249100644	0.775769479737293	0.827124331048567	0.905595825671356	0.819755070938798	0.853976940501874	0.823518280132756	0.882807255820273	0.920078425397474	0.928262079239028	0.777957375033759	0.864398460011235	0.883936552299187	0.9480399068081	0.812487027675627	0.905441215258337	0.778059476823995	0.842407884451543	0.909266408940115	0.868839688557964	0.865701523892576	0.875338470872866	0.83589091562373	0.770022584700926	0.665763661411965	0.860209430509729	0.81830848024195	0.76940472231959	0.878565054412465	0.590056116330583	0.848551613374079	0.786986248947117	0.890923472817369	0.5026309777436	0.903874443611654	0.499136593462238	0.789202675287863	0.915840244585301	0.580520404227884	0.866775166361876	0.680507356610027	0.810108569629611	0.813976296725137	0.813957412335693	0.721780603298192	0.646477720239643	0.886295815288104	0.822294044447823	0.862604468170059	0.790898195754263	0.801562994715119	0.916856830937804	0.93515195192161	0.875225613064686	0.794042940579352	0.665138020424604	0.789926798183182	0.838910754984846	0.945466478506236	0.704228743035041	0.730316924237868	0.86755358862488	0.922406866125726	0.837614147345391	0.787693118095836	0.574555865418679	0.850016268239996	0.820499376560459	0.438556269540784	0.760726008775213	0.76331099257222	0.827357837117985	0.74219831166856	0.845233757326438	0.539331954058439	0.803351931020151	0.735412222949985	0.830914854306156	0.734231541944945	0.760006676366628	0.83354929838223	0.908343427655064	0.731416771714506	0.77422440513927	0.834464948380207	0.779259803333341	0.765148800207258	0.785483926169318	0.609065173903507	0.872578904776658	0.630548189082453	0.702373383708297	0.83855183233644	0.892071185127133	0.881913342245008	0.850429747400161	0.924811245118146	0.860507328241851	0.81589139887113	0.929787571963077	0.82970070911735	0.734011948525791	0.837657423250026	0.917911141309123	0.877403924734905	0.835346129646331	0.740796943023028	0.601229388389426	0.524059370386911	0.811254527761576	0.785538972726567	0.850032717332603	0.662743334892221	0.906499380734685	0.790506761766633	0.627055774311564	0.748327824281125	0.885472707160436	0.669488845697289	0.815135443914405	0.627955325926741	0.768198453916372	0.833412989940119	0.864643845853967	0.895389710303174	0.859979567289009	0.847711477658931	0.881175577919332	0.787030318820152	0.845962767532506	0.803203287502354	0.71786797453526	0.897585527319113	0.747538906192817	0.789174717838749	0.743586709802542	0.762064993285547	0.576773171111174	0.697479983822044	0.618929208604458	0.559906577399052	0.554412987435062	0.304696026858079	0.838025562365219	0.820722171786779	0.654342829696473	0.423015808842739	0.392608989213273	0.897409373606951	0.708219511841496	0.581950689067031	0.5586369706542	0.504394295518785
EGFR	0.960110406729251	0.843716336584208	1	0.959768690059212	0.832502594164643	0.623437761328274	0.984705635751423	0.982485558476174	0.93115067551677	0.951664129064491	0.802231506828137	0.977270360988521	0.985305200249226	0.962274354162221	0.939367436244205	0.946202157009254	0.879444975950833	0.955279223197305	0.944096531449569	0.906647360524919	0.978827205673225	0.906239726241591	0.974727987394841	0.894633198851546	0.833292799897757	0.897284905749066	0.948295593052025	0.948916287658374	0.969147270695295	0.908116264862043	0.865035297263664	0.934434667418892	0.816017374609535	0.945880866814702	0.836779510263274	0.88806674482766	0.951872563206384	0.926856044148727	0.869420016470197	0.166492214960767	0.816898195869528	0.822926656928497	0.954520638395213	0.968471508704987	0.768200092448649	0.879669870972721	0.952263955728816	0.942122357425537	0.91912657327534	0.981528726155902	0.731813212912671	0.859904186764579	0.949454258870212	0.949892643603555	0.876887225435384	0.980148488973707	0.871682761957015	0.770253008808473	0.833108570276734	0.888956739219862	0.854417125731569	0.844947300592504	0.917952965029355	0.927302204425173	0.880523454374846	0.652997785206662	0.596034542712661	0.910788991408424	0.915600208758586	0.896843845409761	0.86706530765151	0.883384856048088	0.858083480331356	0.959305932688288	0.771385367657445	0.901147500367378	0.777079845188218	0.940199135557496	0.884912972538112	0.945676206217428	0.86209274775756	0.804104080462489	0.962014672612167	0.842952709702894	0.956297972583406	0.959589413525276	0.951358091249	0.941129759312204	0.956778729404801	0.927620548103179	0.664882233750277	0.854767875068188	0.877061395448752	0.875181245417632	0.84787354989024	0.913899140635001	0.399207113581993	0.470231916582022	0.892814658012914	0.852040532505629	0.886367981671577	0.988899916768504	0.832510704400698	0.772547689190995	0.890769121933242	0.894665500253771	0.842761087506201	0.840885108163097	0.681933491515978	0.852075297153471	0.935036681826527	0.964348908119962	0.961405271279263	0.904287461315234	0.705266043866938	0.864294177637321	0.901034182021116	0.879114615988681	0.687756884904278	0.876336588337627	0.968851667768392	0.876262114977494	0.848936621717997	0.841021441625999	0.900584117561236	0.977207848950701	0.803124937938064	0.940454921779409	0.943191108328598	0.939846653993452	0.760287213513332	0.794720396474405	0.805219899278015	0.929246661363739	0.973759639922342	0.886494731180454	0.889749837421726	0.882803942105221	0.871346286407627	0.518860122521629	0.967542429565853	0.893165215305677	0.961420972993535	0.871249302516451	0.907694017254954	0.895485218388828	0.879536900087386	0.870985671296836	0.619364414801213	0.875185229116838	0.735857986818355	0.859120930074172	0.662306461202426	0.439554974344429	0.863030080379293	0.955329746021606	0.87753240153839	0.877423793872625	0.577474446879118
NRCAM	0.976689558431747	0.850976937690993	0.959768690059212	1	0.899762180897244	0.670129063554377	0.960304186705604	0.942248855463419	0.895444655627828	0.935736589736384	0.826080751010591	0.950596081031806	0.954648706392355	0.950801208553849	0.939583534257685	0.945909597025404	0.88306008228464	0.967033058621686	0.958441255090514	0.908058344786469	0.948328312248055	0.932993249453362	0.92645192939264	0.876358713529439	0.807894151171844	0.882890923605694	0.92693546788613	0.979142493953236	0.912031872719369	0.851704477801276	0.849163842718957	0.895686497094099	0.848351908114117	0.923492104303154	0.89763089803619	0.822936236460571	0.949133782144047	0.925259194297186	0.885144162916092	0.235167979979794	0.857123145916253	0.746017058396905	0.932643600918869	0.940675365770265	0.789985971950084	0.916698549222959	0.903341493230429	0.931642788409121	0.955742695762124	0.972861691906106	0.809116020888429	0.794847740972253	0.966986449573707	0.90801536313615	0.889512503097385	0.944785042039324	0.871562343403462	0.83594461280166	0.876859503141209	0.935073410063188	0.89369009308935	0.770925326123775	0.919501754245386	0.900608830135365	0.901024461656314	0.651491184949251	0.684439048194018	0.897764190876673	0.944306365611096	0.89281921082866	0.881472118015638	0.779967446032295	0.932897777103273	0.948021329525432	0.734437135316023	0.908700938471398	0.840208468186674	0.892105928332117	0.90590133835019	0.933987802021936	0.794066141502548	0.771550144364714	0.905825181774695	0.81430273326237	0.908825564182453	0.913271591766554	0.945125537637014	0.963795031100027	0.927272708963446	0.92231603358376	0.737483674916712	0.884916512765232	0.877936118853882	0.841571147443511	0.764071004590428	0.896418525376615	0.4578663947796	0.538996102714548	0.897035969774412	0.893817783781789	0.946472957942732	0.973876455559068	0.821611302447091	0.806522986068641	0.903602319411864	0.909966916269238	0.87996012615484	0.752311664306352	0.716637307773724	0.888338823850711	0.924597945242073	0.980342195570967	0.909976261909546	0.843777568381741	0.767364131059486	0.85415042157677	0.850346236599844	0.887870963762926	0.726786542085414	0.897235707172463	0.953230786320185	0.8724691726746	0.890544278725871	0.87570293518171	0.89384727778143	0.943002053755206	0.856508952716345	0.923694809124113	0.890562608921585	0.930127763195383	0.819892480580772	0.821516097179612	0.831473912219041	0.922338376618977	0.941151342610842	0.908862845850373	0.946027076022143	0.860826841538714	0.907694373442533	0.568282155810978	0.938990425158195	0.876215902208512	0.922477621966132	0.800347554244991	0.851596383397532	0.834210050495005	0.792735231765683	0.783810195331013	0.60627791145906	0.862033547724951	0.796110495353591	0.863463705236408	0.711934469110237	0.482443088108333	0.882013543253992	0.889465397748122	0.836565585172622	0.784428649652492	0.568891288804915
LIFR	0.899500955107105	0.923984292449707	0.832502594164643	0.899762180897244	1	0.764549738621817	0.855492767552374	0.775252054149973	0.794540291936971	0.876277699431686	0.77885697735868	0.841688880584933	0.829535262059644	0.884290199917962	0.931253987197129	0.91327405357104	0.833381567973431	0.886291432907134	0.899204647108904	0.899142662229786	0.800716623698539	0.91147031882324	0.764673131828672	0.822566408468413	0.844884096721798	0.843543608947386	0.841249431648396	0.924085916071306	0.783140401401993	0.714240362717282	0.69508678646382	0.825780029941942	0.85128228655423	0.774027398947523	0.89138532495296	0.610100068086902	0.858842903516372	0.824876844294093	0.93820817103968	0.576558924888959	0.940875176762043	0.511386458775134	0.807990671818928	0.886230749441854	0.670499474235333	0.928146858341326	0.690953017557284	0.80633607616827	0.853238983740158	0.847272348647818	0.813547288017159	0.630392837400465	0.908237830908226	0.818915991150677	0.811591826108756	0.794379259144241	0.852676658192855	0.947377215399735	0.939737617024833	0.930131542755059	0.825217990555065	0.618894965007893	0.803582850660147	0.807789389417423	0.922030815925812	0.633573132383255	0.853348640406175	0.844341144244624	0.94438391229463	0.829404020922761	0.862651181313288	0.548901245314399	0.91702440414755	0.806801051235467	0.475263530181391	0.812160373952468	0.83119542642388	0.771917144439784	0.753220037676261	0.8654444068344	0.556675458754008	0.694635089859364	0.744738926111675	0.7570384397441	0.733092439519606	0.759242334486204	0.815283559126179	0.940850831529043	0.768724441603238	0.793939975823235	0.812724364633461	0.856093090145064	0.78404373779108	0.779567389218625	0.60385823318648	0.869443647782763	0.735322374926637	0.789046243071588	0.851812786654431	0.893986480013038	0.926535982862387	0.857931032337928	0.886831310052584	0.876372645004912	0.821600582286638	0.926939236908016	0.901592639988533	0.616173747820414	0.821044392943243	0.930709827086153	0.893962948014364	0.877342691685512	0.758037898666344	0.620892751843849	0.603238759316235	0.812576110274211	0.737633932991885	0.837836151828659	0.748230572605612	0.886255449255029	0.807451090292945	0.687499191771438	0.815626818173212	0.912187890031021	0.707929507434007	0.812676879932574	0.715475067904896	0.760233354554416	0.763699053921285	0.868987348560404	0.933751523140494	0.799587011029232	0.906983420295491	0.870561852257096	0.796277479285758	0.927031988473252	0.867578980074226	0.726891516071538	0.932926310866878	0.722057683710169	0.807328458135362	0.753736197334664	0.765609390372207	0.579342698898623	0.73002928596734	0.622667138929445	0.554659841052894	0.546249164029344	0.366978881373041	0.805878407545908	0.862208425290334	0.717237757949255	0.529238139330414	0.461413310516596	0.853552744041152	0.719152508869442	0.631632760904255	0.544914164279486	0.539504556993528
PTPRD	0.727261598776583	0.829609721338288	0.623437761328274	0.670129063554377	0.764549738621817	1	0.598996102406569	0.553909475383363	0.639517993508995	0.75061633211127	0.794639730234913	0.672211295140829	0.58561274619226	0.719254763790692	0.682989144223329	0.734382242251879	0.539416791397505	0.708667707104846	0.754361980284353	0.812117868513323	0.632695200127239	0.7694540105542	0.561154759300113	0.717805040686446	0.719590193844829	0.725982192137047	0.693729493215184	0.71090559118457	0.629006423220312	0.637518351020439	0.399780333789812	0.653431710097781	0.751144852514426	0.544258757455494	0.811689241979646	0.299277571747505	0.610302119025371	0.54936130423165	0.683964359661376	0.365986206722961	0.785374089611615	0.2611412082723	0.583706926337475	0.712832742655585	0.31070727837068	0.644552563101688	0.445399942450123	0.637787882563387	0.667179169300131	0.583660672500394	0.698835510653322	0.411585307086852	0.731209778523833	0.571568470389679	0.760664441719917	0.599590911951991	0.595463708381733	0.79652686617036	0.773896789648952	0.746002358844496	0.708625240414717	0.394058856788601	0.615401319086272	0.721366496583283	0.831398769172996	0.632319180053881	0.588890254712719	0.694611244731466	0.784463869021027	0.747774687632749	0.523226827453862	0.285635884090067	0.729246224766701	0.639977468144861	0.168054248004965	0.634146825269805	0.656146135638851	0.648858215791017	0.521019184009546	0.618297317143261	0.246915348196482	0.75118285267481	0.479495344850376	0.621893804100399	0.536510900655167	0.508759343973134	0.678688112171636	0.718969491797397	0.471964489590678	0.651734920149581	0.846869382958832	0.557652342357954	0.506197648098472	0.641084482828131	0.355058924328675	0.693565431282855	0.450793475187048	0.523253063516584	0.704077393816673	0.835186261511451	0.760562925141665	0.626486435314719	0.804682578739318	0.769406632372107	0.732294187874329	0.728911140358941	0.604462065589931	0.627631390942588	0.85077862253468	0.779120879438789	0.690739361247971	0.648363660156604	0.49554673112504	0.347402793905536	0.344056440539731	0.632553084321887	0.636256698059428	0.723889974525902	0.41707050190847	0.821871984870954	0.563345692927341	0.375521903145777	0.630523033607386	0.695626082042328	0.468909290068919	0.58302028359327	0.449092422221201	0.581262716040378	0.666717670437967	0.652273217033817	0.786291168154564	0.814109331857808	0.613597278638297	0.717410713975959	0.558692608121676	0.617498533725049	0.697021537924008	0.588742892301175	0.733139771332285	0.662509284948642	0.534885157911198	0.532805828775443	0.556060109379373	0.280275343990162	0.389344403154142	0.35709750034497	0.283470641069038	0.26113302549344	0.0687446284500202	0.737154798440157	0.756318036765793	0.391639317034415	0.190568250835588	0.270038823150012	0.774359752889709	0.430781144342788	0.318215671050448	0.280604419319247	0.32281015613292
PTPRA	0.958792122701697	0.841283249100644	0.984705635751423	0.960304186705604	0.855492767552374	0.598996102406569	1	0.970316103110518	0.906357836863708	0.952321297159781	0.779053881970723	0.958986886710304	0.979145863259048	0.960131240420068	0.959465779224994	0.940173188244525	0.912897461382059	0.944296413853406	0.936261049012055	0.900774594042324	0.964928150466238	0.91288472430798	0.958685610638823	0.863525644256694	0.813286163285897	0.882910549764975	0.936204441937845	0.949626615701573	0.954987627411182	0.882585563081366	0.885943435327362	0.930072046383401	0.827747260157653	0.952846041256892	0.808205025470208	0.904825031736125	0.953392707121705	0.950926816920584	0.889984268846865	0.238749619629616	0.835024926679566	0.829237309906501	0.963628437927728	0.963959667275205	0.799695381580548	0.889941700759663	0.943420393537353	0.935872147481107	0.920149480955715	0.982680872940727	0.74703473673172	0.84382456829898	0.929873762148176	0.95943751721781	0.852890630797759	0.957355462425423	0.899918321593009	0.775147325345952	0.842970009121554	0.895529575315601	0.835576073966632	0.82200106153284	0.90031506141988	0.90267911114346	0.883781377840737	0.60446583231893	0.651383058113024	0.898206509284418	0.919239494286333	0.876426221678032	0.910124501582338	0.87656028617511	0.861028415502596	0.947576664001442	0.781747779076465	0.896493534093173	0.806661393342823	0.906186575397547	0.897537595576437	0.959732594402143	0.872177387006279	0.754472175732953	0.964337948553318	0.830462479229807	0.940698536405492	0.957783708354853	0.932121615696537	0.944011463162641	0.968764853696292	0.899008538170574	0.639637323000269	0.871382108896542	0.894126782070654	0.865344234297139	0.869126669356228	0.920704028271915	0.475543085886615	0.530523635607391	0.881323291260233	0.841634353937657	0.887907372347147	0.988955556864716	0.822786284587545	0.761878854168275	0.881685892427907	0.908617498633089	0.873573705453538	0.785510705982269	0.659872524602062	0.854917482075533	0.926383667019651	0.9713661167654	0.962148761906757	0.911707689768257	0.726549387807341	0.861785252959406	0.866400858943267	0.851597661775841	0.741204173144562	0.850784102754993	0.972671997477276	0.885335261610414	0.865313975875389	0.837807035544592	0.888432536487555	0.963740045528487	0.809758552213188	0.94273913667442	0.931472714209259	0.952872701639917	0.769242320660245	0.774989810547689	0.842401060938266	0.907332739828247	0.967159536754906	0.927001523357425	0.894847595624918	0.856982451221504	0.895686299470242	0.531720005099074	0.96005883614474	0.905759915338425	0.947376141727918	0.878784344620717	0.938099211965066	0.899980918457601	0.879392295704324	0.874150554218945	0.627900503728245	0.848430007030778	0.745930479103336	0.885894400381052	0.710720750789954	0.462570091174874	0.8478839464546	0.958523052591718	0.890168556566412	0.875276980567347	0.594385383679581
CDH2	0.948453036538201	0.775769479737293	0.982485558476174	0.942248855463419	0.775252054149973	0.553909475383363	0.970316103110518	1	0.932622915301338	0.916981531352221	0.772395610097516	0.966647029351317	0.96852425307658	0.948001084866704	0.902396265685878	0.907820917850844	0.846119184197395	0.9442137600104	0.925264787669202	0.861845092765765	0.976470658608828	0.86962338081515	0.97482899368483	0.871990901991938	0.787188315131926	0.88005225286873	0.945031510061066	0.919561667821996	0.959288462603962	0.914664918266997	0.857673811630319	0.91526350356078	0.762501080851078	0.931173985019758	0.796550629603019	0.895546864918904	0.930259407476563	0.910780578544487	0.820948097035434	0.067980253929072	0.765728584045322	0.858835409595272	0.946110152235582	0.939234452062272	0.753120777512234	0.846560436285673	0.970701219454472	0.92939623163533	0.891491568425297	0.975844420526354	0.689310109590603	0.892328958632612	0.924048248780947	0.928340354680972	0.86017397703128	0.986100294430474	0.827582450314839	0.709238838082861	0.770358338472314	0.856057655619395	0.856358352891669	0.878239884189149	0.895042273814114	0.901616568684944	0.830417660399157	0.643692817470988	0.527830171447118	0.889122115911033	0.8770342618029	0.871512682565671	0.827943177055514	0.903878595085803	0.831008927162174	0.968018113829944	0.827831943698218	0.911710499618924	0.757173644858311	0.925872859453603	0.875201771991836	0.931786375921056	0.885342449802223	0.793967942548923	0.974262599899164	0.823812508939312	0.982551932195628	0.956261764017004	0.94608034316915	0.905131964620706	0.961635391398008	0.941152921673826	0.601735203456011	0.807309097082447	0.855262032632762	0.866002585737459	0.850343424110249	0.890140787311121	0.311616588666042	0.38478632451032	0.888487553191963	0.821226797852021	0.84963798702724	0.976945863994746	0.777779980740877	0.732662625827188	0.85725805263473	0.834996641129172	0.785542073730159	0.851268339224582	0.617754610715915	0.804406708745143	0.909263945766679	0.964496216447291	0.967541003076687	0.932381058073292	0.700267765748986	0.839766391528274	0.899087816649233	0.850431978615361	0.648450793801614	0.84329481929962	0.968620790419685	0.876956719930358	0.841804354639642	0.807879189267887	0.924263997159715	0.976138329689245	0.825581509340567	0.958367993421345	0.936058415588609	0.905692959466231	0.710356722378967	0.745980226147716	0.751297887948329	0.905909673458043	0.975291125956158	0.856179952800751	0.882532817478149	0.881453529923732	0.825963491198996	0.458248672672441	0.97430645891916	0.901091779551469	0.963706865701208	0.888350269340845	0.900149255554472	0.914945844227505	0.912349015997246	0.896463206956235	0.655946631926477	0.855827964981698	0.683002128843691	0.843223102551415	0.668575622812511	0.408859096452023	0.823751132227301	0.969977316045105	0.887011390166423	0.90502461607881	0.551234727229446
CDH10	0.922853756563265	0.827124331048567	0.93115067551677	0.895444655627828	0.794540291936971	0.639517993508995	0.906357836863708	0.932622915301338	1	0.906480543401366	0.749727162091819	0.951707435011757	0.907769342875441	0.927505442150174	0.873299551486542	0.908188403044807	0.792916936335299	0.937151732959959	0.897151943457576	0.894096271149513	0.921663187575764	0.87641655655267	0.909599213369297	0.861070756721232	0.870937368566099	0.889764522282729	0.925323844189809	0.900473152623877	0.922002310802824	0.882546699394566	0.710157967009437	0.878918483947461	0.748953095642136	0.861497872192492	0.834832061085879	0.752539865026441	0.867585116457308	0.841074416421323	0.809315731642909	0.102524315271397	0.779108529636648	0.699458067195664	0.873831127464833	0.918629700624072	0.612018669112652	0.825703252129967	0.875225198300915	0.869620868977496	0.829884094327934	0.919463822831569	0.656010332178747	0.825101569562818	0.919161089862778	0.872604891375603	0.872940798246596	0.925385590029846	0.793091662646386	0.740149018100589	0.795389975192081	0.833352155038402	0.836378575384923	0.870524884791757	0.837215098061232	0.892678107360128	0.858636098949878	0.758581222877265	0.524770946726109	0.907066090179905	0.876513068667317	0.852337610313777	0.747832904585889	0.782114815855349	0.821488432366989	0.923837114294537	0.6742676108985	0.867552735379229	0.686361566733656	0.918681522791193	0.793920725548562	0.906080293597092	0.733778098019435	0.829748350683876	0.885178308580987	0.841236364186015	0.91532540110886	0.88656316784602	0.919549730989326	0.893074059219561	0.844690577190358	0.909373089205487	0.658869729701113	0.748111913830344	0.809163036978019	0.868382316771264	0.741502316394965	0.857633486691026	0.323197684586253	0.392665631893151	0.864839165255625	0.854256583635144	0.855128242708595	0.934095381627058	0.838500881383081	0.750477625915978	0.804062035698268	0.84073011203922	0.773367134730553	0.876710111652043	0.690527525612036	0.816705492461509	0.893046697135729	0.918676254927573	0.871432187635416	0.818948435646616	0.603925128326103	0.835425488175084	0.905720332615578	0.881190263411458	0.557785911182578	0.884581176244186	0.881097439876429	0.751246584340902	0.786461349175722	0.814109723167149	0.816969085918639	0.936333487619237	0.729449054331815	0.893568684689352	0.90115336592741	0.850750361564355	0.741350549440112	0.774493035951401	0.714072963705709	0.898674943359157	0.897472253878747	0.804216779460357	0.824806664005006	0.818675479360472	0.805624865744688	0.489222791215509	0.901010332546275	0.819577521518212	0.907268561667692	0.749212035195919	0.78227508319269	0.774211316734096	0.767800141597395	0.752831297308509	0.476551855373419	0.83522911451727	0.734363688713712	0.718521162942091	0.525686291635171	0.379668487148184	0.838643766996653	0.87482711750768	0.755586955139463	0.761335341642381	0.529129126241628
LRP1	0.957085940505305	0.905595825671356	0.951664129064491	0.935736589736384	0.876277699431686	0.75061633211127	0.952321297159781	0.916981531352221	0.906480543401366	1	0.809132892025527	0.951152593849464	0.937454001884178	0.94988787867253	0.945705312954704	0.955760944114424	0.862905863884942	0.936489052494533	0.94619981130327	0.958833794101047	0.936042597063562	0.937664826388268	0.919110537770069	0.899032382227293	0.847673187492145	0.911650890217581	0.933807787060461	0.949438874742007	0.939755833768325	0.894016560864768	0.79220566816444	0.936485411006953	0.856697331504574	0.920000862723902	0.850864185797884	0.792525024310705	0.908110778949077	0.900793971368805	0.883557804631312	0.275919770326149	0.874495167177826	0.717096793274982	0.924468751999708	0.971998588650661	0.690051170563534	0.874413265851662	0.862499135155468	0.928081510255566	0.914530350067471	0.934175278876312	0.769089777017313	0.774739320035036	0.922567102397857	0.923736099786617	0.891387039248025	0.918576690292013	0.876054900170719	0.831875977113752	0.872848352650323	0.891483074625528	0.847989733334539	0.761596898741252	0.880968356134247	0.933558846188524	0.940250987627824	0.647310379339576	0.650032281353582	0.917470665249936	0.946036317005211	0.903651830036753	0.837663261244339	0.772691902629276	0.860464318061193	0.929572380880963	0.638377727502609	0.894981792601486	0.796805250046945	0.905498415842159	0.850253345884702	0.93818758357618	0.747491582260839	0.831609492922468	0.886707600446105	0.838012743215656	0.890957346209854	0.906599613094424	0.919842922506113	0.936472659797754	0.884802761343033	0.883354635279113	0.735795815878057	0.821222938879695	0.847071075237869	0.865348133959859	0.797273963528761	0.917931633202881	0.484031525329803	0.540765188401831	0.902600601881234	0.878782718345939	0.911882399324859	0.959602719801512	0.883146873898888	0.803766757026248	0.901880387143402	0.927620925673564	0.839022777863529	0.80797754988763	0.768306835025001	0.897062963437051	0.915039060687599	0.94184571323317	0.89036226409963	0.811636469818337	0.659584976780515	0.863949093180867	0.859529246451898	0.864446592462382	0.67373746981869	0.904385756673875	0.914953040473835	0.774852763262054	0.866004737501631	0.839330283471197	0.799749522141207	0.915707534262306	0.73879686697416	0.911996780863478	0.94392564655404	0.926157390447353	0.811741334012629	0.877379477232147	0.817594181397333	0.906219545377189	0.912385943916882	0.881545190502434	0.876334181429141	0.822995608034121	0.911630365688746	0.598855244289977	0.891635742704764	0.874002303277162	0.900133813773502	0.756926294936327	0.835919532421968	0.795555427484339	0.769221638108365	0.75941702350778	0.48447204105042	0.865820686393823	0.812589798935589	0.794783624916083	0.590396397765752	0.425745617406704	0.891513057951733	0.867705190684981	0.771478365975947	0.764928276377524	0.549951726203235
