""	PTPRC	IFITM1	ITGAL	CD6	LAG3	DPP4	PTGER4	ITGA4	CD226	S1PR4	CD3D	CD69	CD3G	CD8B	CD2	CXCR3	CD8A	CD47	CD7	CD96	CXCR4	CD28	CD44	KLRD1	CXCR6	F2R	ADRB2	CD247	CCR5	ITGB1	CD27	IL2RG	TIGIT	SELL	CD46	ITGB2	SPN	CD4	TNFRSF1B	SORL1	C1QBP	ADGRE5	KLRB1	ICOS	RIPK1	TNFRSF25	TSPAN5	SLC1A5	JMJD6	SLC16A7	TSPAN14	PTPRJ	SIGIRR	RACK1	CLEC2D	PTGER2	IGF2R	CD81	ADCY7	PILRB	CAP1	HLA.DPB1	PDCD1	FAS	CD82	TRADD	TNFRSF14	SMAP1	TFRC	RPSA	ERAP1	CD74	PTPRA	LPP	STX4	ATP5F1B	MCFD2	LRP10	CD63	CANX	VSIR	LAMP1
PTPRC	1	0.810952518488211	0.736389702119323	0.810801106397462	0.771167656445664	0.64333712808236	0.880463177076544	0.875362490409698	0.756155644402983	0.907943921777237	0.91775278774819	0.813175060664448	0.9336181116816	0.771942573019102	0.921548252662387	0.694485280370518	0.778983259572959	0.765647217741562	0.771456253970827	0.870156124146944	0.939878825210124	0.284916553463277	0.874729804219413	0.844782571297664	0.458139857050615	0.550383768177978	0.516752325688025	0.806134806667567	0.35975214497636	0.737050646961157	0.667812368749144	0.889515818636971	0.439484284267123	0.81744128677915	0.678939046657734	0.156241564194868	0.829013304109357	0.44462325367576	0.691330438409523	0.304139714870838	0.570315658296271	0.763957955013879	0.608417496373154	0.659764839386958	0.478902365236691	0.814921194038721	0.692152652361685	0.698938105697086	0.712687112035827	0.778264100542415	0.613299184760163	0.434220062581353	0.731900520782828	0.724365356873053	0.881978822097519	0.822412888975135	0.499813612937296	0.354762356971006	0.401873970579528	0.638044666634595	0.580777468414792	0.468047309180375	0.541716370452195	0.82299900275995	0.709035229431052	0.79745828417119	0.89010344540606	0.816768183128133	0.388289473411742	0.722410621244152	0.49263112990871	0.119809862635123	0.676732043638979	0.382767660515021	0.401933300988626	0.582127252659034	0.517035390292692	0.489433017899373	0.397385405724195	0.415121771334869	0.313974948069109	0.430661322738535
IFITM1	0.810952518488211	1	0.402618744513634	0.811127353132184	0.806435412495893	0.867230816808798	0.706515774735625	0.577669766537054	0.935692993038107	0.859341007609303	0.936371805717689	0.922407738997653	0.871193605942791	0.606194319514339	0.776236634196184	0.691101740998183	0.566016884037787	0.850504620804374	0.948756989236136	0.790985173520484	0.843844827278387	-0.0715321419632465	0.737493764452517	0.690779861188298	0.498281971511083	0.14666940620557	0.480039138311818	0.868354376670111	0.134308566964839	0.560789313574752	0.34020500638327	0.895132145865213	-0.0131077476831463	0.881761235192246	0.531839778022461	0.0190681181045267	0.696306210547843	0.383777864277576	0.402861509969793	0.178929306041476	0.678389876640456	0.558261013535174	0.849034374658684	0.743594379306808	0.253107883056408	0.784272519213553	0.412105988137186	0.860647805950556	0.501343727110103	0.503992701054482	0.457786873451006	0.09816219592476	0.810568502562636	0.84884251436677	0.640691995406377	0.932327262482348	0.310409041550122	0.356544597234952	0.202159741976115	0.352263639365862	0.612545882775099	0.39678847054157	0.354045323743493	0.689829942663854	0.482877226377684	0.917087241401452	0.668435508032568	0.720740663017316	0.290205274278813	0.864806279616839	0.58251111536029	0.0361534729899872	0.583612750315005	0.215901635291934	0.408429056057226	0.61921722407539	0.342475200362517	0.383902597417907	0.456317940779661	0.303152726331653	0.257077395365327	0.33159638959946
ITGAL	0.736389702119323	0.402618744513634	1	0.513576594640036	0.51583855927397	0.202325427014129	0.768881172860736	0.681465777437706	0.255898338100475	0.536514589097039	0.556546947756667	0.399064915929418	0.710680613027529	0.691212159875689	0.758232116943434	0.507066307433412	0.721468671943149	0.412704034222668	0.351562512021289	0.771473594932715	0.617683699044294	0.402500656862032	0.560684775713863	0.786900193775516	0.427211502652211	0.654514016673701	0.536592273866156	0.590740720570295	0.684069298856405	0.457539396298083	0.810197702611856	0.499900921007277	0.78459310135004	0.372292748442913	0.33308499728369	-0.120574620222035	0.622340627391451	0.011895673113403	0.390802491587177	0.0148930476359564	0.108326009433677	0.829768308854515	0.21730691301354	0.343651833347816	0.219374260512099	0.357017287692211	0.57282395326252	0.238276076387765	0.426106843317081	0.639887825933947	0.213425183706642	0.264369551580137	0.239865804287065	0.194359460434086	0.735489967302987	0.34762933890943	0.335394575742977	-0.0528115678051126	0.113938654447137	0.559514765963572	0.150099349868965	0.0819382910290742	0.330028326751131	0.563131304505255	0.370177326740753	0.36713040307143	0.628629005446419	0.455782911422612	0.134604989249466	0.183399085668821	0.147681494943011	-0.160981781249965	0.341388833660653	0.0830544766643254	0.0319969642210873	0.118876674344895	0.298933533497686	0.218588333845172	-0.0298860138453899	0.0599969754759837	-0.127841438387259	0.0552560768286783
CD6	0.810801106397462	0.811127353132184	0.513576594640036	1	0.676285278630033	0.715213263873668	0.753183640989522	0.618685450431496	0.807251787259708	0.781754654281748	0.875224652998456	0.77732159035591	0.814584167759333	0.402426660627945	0.755492073329107	0.701050307372411	0.464977307632975	0.713005731383567	0.754219721156194	0.769483460072302	0.793900569409088	0.284589204477422	0.679959762672675	0.562224997530675	0.41432743844327	0.284874410135721	0.300361286365908	0.816468595731396	0.177403865380861	0.535830613560903	0.445331165903105	0.805826111058571	0.195927077886701	0.816425831396145	0.553649467818409	0.0150188762373484	0.729938350799763	0.368005544544323	0.446907981472378	0.236817739353393	0.519516732096338	0.625433666914711	0.65805060556612	0.637100595855934	0.30581639269623	0.764942363916647	0.409411310144904	0.742856512326412	0.446759282379027	0.525015433894274	0.434694240641724	0.116291983795683	0.68755908972569	0.697608318417474	0.600015534533024	0.836610181618772	0.196084325821152	0.249644189944105	0.33864141504263	0.387813766714628	0.464519848726515	0.321995467956616	0.397847359121855	0.592803201244078	0.515915579944494	0.839455428958551	0.582823503737591	0.644359830677823	0.237197524216483	0.71459753494364	0.535003785710412	0.000449539267092511	0.517297567569675	0.305433815323525	0.36068964797665	0.489853342110093	0.370239994602903	0.378850479049775	0.316641286432576	0.230344216584891	0.169316822477083	0.207336083019332
LAG3	0.771167656445664	0.806435412495893	0.51583855927397	0.676285278630033	1	0.632737057016273	0.64396856221362	0.66095086483729	0.667740300324931	0.762657560439658	0.758301246259802	0.751395930000919	0.832368315137623	0.804230588909094	0.775493710455422	0.562641025158084	0.755985973850012	0.617555721431789	0.758242517471775	0.741842510451841	0.775791984681036	0.0073305408663282	0.774546972583218	0.804911368413694	0.521524299229791	0.399395992063167	0.472677508513337	0.855883600132799	0.185962527041665	0.497815796637441	0.319364879504034	0.751428770713755	0.150595890593803	0.61697897945154	0.441106270051233	-0.024478531998943	0.59937058323417	0.219700938272108	0.470735495574434	0.141443127303457	0.654628882409359	0.519983460339727	0.578885696362585	0.598380308705173	0.460607212869155	0.613397221397301	0.598281719828776	0.588729089345882	0.622013169939933	0.5299820599281	0.493437795639939	0.115209377858587	0.65510169252828	0.66412367574448	0.712136373749319	0.735833450539052	0.399509044188458	0.355619249515755	0.159759620513478	0.263222993811391	0.528622298566495	0.353696409320798	0.441238692194106	0.586249363765783	0.591407174783545	0.687839307434688	0.609868013689562	0.68309579129069	0.41068740771994	0.678653198721633	0.324097532729538	0.0153144834150184	0.627853508143147	0.294654530017188	0.341101702157758	0.618914178507608	0.434890395333259	0.422041342695389	0.450514582104553	0.337882403013596	0.173345351285306	0.314349399114356
DPP4	0.64333712808236	0.867230816808798	0.202325427014129	0.715213263873668	0.632737057016273	1	0.518772319017572	0.506944928854723	0.862661759598577	0.775930426448678	0.809534804644346	0.858668079537415	0.731649199068824	0.372762915900987	0.683630841458101	0.657331786912616	0.340332589441413	0.804258953652027	0.908348125349969	0.683252274477619	0.785694262705226	0.0366318366327406	0.594860413191523	0.414418948002958	0.508476841525924	0.0685528812985674	0.394688564090179	0.737212209992392	-0.0706225114006121	0.522466982258909	0.241833253051916	0.750800777447322	-0.116960553356324	0.802375510896867	0.53100300510099	0.136489743417305	0.745547969993903	0.506191416765125	0.377008990358843	0.212903596897284	0.609535710043987	0.380108928154642	0.907691837459826	0.790342855710143	0.222194889325689	0.733017136906724	0.109591175069515	0.818796750463281	0.40864462177217	0.493722733916925	0.421603966518485	0.0737577044112378	0.771479330742976	0.819517323716379	0.458574264177794	0.868165746141674	0.168028330110108	0.369779061778843	0.265605583679691	0.175474878816011	0.623493787206458	0.44224601018438	0.339110643526992	0.689386493780783	0.346655057576129	0.886920520166065	0.577444226028517	0.555776896657285	0.282631858951202	0.823247079141178	0.678693858974013	0.142351957412419	0.553723190179922	0.191950986039087	0.384612747995071	0.577381852527649	0.300628096908683	0.332030407119284	0.455738699077054	0.312553332145143	0.325633560168253	0.350119008186316
PTGER4	0.880463177076544	0.706515774735625	0.768881172860736	0.753183640989522	0.64396856221362	0.518772319017572	1	0.76324205444326	0.619283267271956	0.699273467272099	0.812014341828162	0.637610444476261	0.868293264901345	0.671718421840063	0.831716174129554	0.794421513590917	0.637103601895019	0.726998956160783	0.599005346472454	0.901923004816866	0.758023346420141	0.207338946389427	0.648929333004421	0.794987907139571	0.400292495017878	0.515509634630226	0.632638335783052	0.786425625333604	0.578453467892481	0.686113505225121	0.612943817443504	0.713453151001038	0.50981699175356	0.654600126581259	0.585334774971567	0.0910203971958847	0.76954556126583	0.293152345433534	0.552851304489123	0.271955248330621	0.415354826816501	0.85631166224075	0.565199366298782	0.445911912349073	0.279703401964886	0.575579137133921	0.567324553631059	0.634411721518231	0.457352632419291	0.702919259141523	0.398204227404215	0.318869093202017	0.518400137391755	0.565014638049967	0.803951275548234	0.664807088537656	0.439700001464297	0.226919459255114	0.366227763973923	0.599986044388075	0.436211437792426	0.339224163514898	0.266930516276317	0.666958267945869	0.464017651187963	0.702124596912895	0.736038531244719	0.614464347012592	0.301955046374527	0.548028917374461	0.36123407186276	0.0434255603225618	0.53587631525815	0.278721756458127	0.327635293079804	0.408827256742742	0.402006690980126	0.446216272571137	0.241989859898096	0.310436281785609	0.138544451759002	0.279620821843949
ITGA4	0.875362490409698	0.577669766537054	0.681465777437706	0.618685450431496	0.66095086483729	0.506944928854723	0.76324205444326	1	0.504066228695428	0.723875811051683	0.682627595822488	0.60959237521109	0.745291762589741	0.7015831228586	0.810313577256103	0.532033116726675	0.6964586610496	0.641919888628957	0.544325903439232	0.69670915944913	0.82638989190982	0.40515235816917	0.787696204167333	0.702547444879307	0.343818361362537	0.68829298181688	0.501799322496309	0.644276629601523	0.342970616724752	0.752364960670956	0.585287340210017	0.662661288235985	0.485827580415698	0.603146889354757	0.709573212289245	0.390103570683782	0.83672026394276	0.566136975495881	0.813933322808182	0.463696817329266	0.475097865191426	0.654197186571826	0.393328104505653	0.473192346468442	0.676782937024809	0.666899938618729	0.657201261264454	0.502127127118159	0.789846889807394	0.814936560872473	0.713302796468237	0.623291847939135	0.647140216277576	0.571704127116561	0.874074985024295	0.616126078022759	0.610029794393452	0.439446866640508	0.53468387348205	0.606769332382131	0.588086266827855	0.575068687149718	0.628950983309561	0.736861388379599	0.717551717962023	0.581621431945415	0.813086756627808	0.706357217190284	0.472789675790816	0.542777271969253	0.491565034407787	0.344778669858093	0.688322033222795	0.507256458460631	0.377144699541961	0.57297746591937	0.58384158429749	0.55077395171389	0.42530639638042	0.54634662044997	0.462616204077398	0.523801479215725
CD226	0.756155644402983	0.935692993038107	0.255898338100475	0.807251787259708	0.667740300324931	0.862661759598577	0.619283267271956	0.504066228695428	1	0.873861189991827	0.908144294556285	0.912423320067753	0.792576984908204	0.466191649201365	0.676966713463269	0.631307989480168	0.427839749089958	0.841047551517455	0.93648910627021	0.690069076271576	0.802751339118579	-0.0714478670072411	0.717965660673188	0.556849423650733	0.434650300178422	0.0781521890622877	0.377097010357328	0.763090754298973	-0.0345240942537223	0.577827909309724	0.267281175256035	0.877552761945433	-0.0950811005122708	0.890310773462071	0.582809472226143	0.078990895034087	0.650276675760499	0.477671882105308	0.433823644102959	0.222344415381968	0.701807581194324	0.45373305684058	0.877509342785885	0.762398117585665	0.259793857253643	0.831683086104823	0.378018280867371	0.882816526194985	0.482715398532449	0.503004676425035	0.504723591112097	0.143650797080481	0.864570311492506	0.884106418420396	0.527113094115081	0.921184339001011	0.32432846959595	0.425233742330413	0.275458401426936	0.38505438572677	0.642743604753302	0.399418505095768	0.343471693182612	0.680854934169276	0.520325397713	0.905017362253046	0.650043652458655	0.727031555997142	0.344522750699287	0.901703808511842	0.580069720538912	0.0889761190517787	0.618526364573086	0.284657232511808	0.507702127410711	0.660477961902183	0.384335428861247	0.416977167592592	0.510975894293978	0.369868071455996	0.328482147800343	0.4164036913054
S1PR4	0.907943921777237	0.859341007609303	0.536514589097039	0.781754654281748	0.762657560439658	0.775930426448678	0.699273467272099	0.723875811051683	0.873861189991827	1	0.923064750980477	0.912872288101033	0.897482567434515	0.700209529638254	0.849332954816796	0.632178510706885	0.686216514770128	0.767744238887594	0.899864949108029	0.785657250773527	0.936125437601249	0.191757739642429	0.864905487881983	0.743130398278719	0.477333638518899	0.343073871945655	0.458174695711227	0.799746575688769	0.100190256026203	0.665636034713071	0.526636383736838	0.922959107138843	0.235059522450186	0.869224149700312	0.601474454022514	0.0841655691908738	0.756374912623906	0.469202373181797	0.595449701528956	0.211413686367223	0.661096592011989	0.603936363547943	0.759231994422711	0.792904484396788	0.424522219150487	0.868761949418161	0.566426105023486	0.754197961181743	0.682160693104595	0.718026465951018	0.594068061651334	0.310482448641525	0.816506929023095	0.8210292402758	0.738467337480911	0.873385616281515	0.406604923197911	0.39809844916143	0.29823759295465	0.471300077288257	0.633648226954871	0.430998305406542	0.537257222732493	0.84804996712745	0.673561134943931	0.841525097433539	0.811523519798068	0.809165842240235	0.380817118301621	0.834795866447568	0.525922205730631	0.0777009745943705	0.692496809592517	0.294568418125382	0.418038865529752	0.659414846765769	0.486266648393759	0.415193241807903	0.481519776730913	0.394774605454726	0.321601451644458	0.454451730681758
